SA3_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
20101,48,52,84,112,125,100,30,11,3,566,1499,2510,4595,4714,5011,3525,597,45,11,22523,22,59,114,110,124,79,78,28,0,611,3,18,93,97,98,39,0,0,0,344,153,260,624,912,984,639,87,3,4,3664,7,29,85,103,121,79,11,0,0,431,202,616,1167,810,758,513,81,10,3,4154,43,74,171,222,241,154,41,6,0,948,752,922,1049,823,854,624,146,9,3,5184,1040,790,589,422,354,242,59,3,3,3503,19,68,275,308,412,382,108,19,0,1587,34,88,254,234,187,111,22,0,0,934,0,63,176,184,224,121,24,10,0,797,7,64,134,109,122,90,32,3,0,553,30,250,638,621,474,301,102,8,0,2432,23,98,213,232,284,229,41,13,0,1130,30,118,601,729,713,502,85,5,3,2785,87,322,1003,1197,1239,953,171,4,0,4986,70,588,1709,1685,1871,1546,240,14,7,7734,94,161,195,155,147,109,45,5,0,912
20102,14,21,16,28,56,37,25,8,0,208,298,365,745,1216,1641,1286,319,28,8,5901,21,49,102,163,196,213,212,52,7,1023,3,3,18,20,30,12,0,0,0,89,55,45,126,185,231,174,29,3,0,842,0,9,11,33,46,26,5,0,0,130,69,120,227,265,275,232,35,0,4,1233,5,19,29,62,69,60,13,0,0,257,105,108,121,177,223,199,50,5,3,983,214,101,124,156,168,121,34,11,3,938,5,27,50,132,192,154,43,0,4,611,5,4,12,52,49,32,6,0,0,167,0,9,28,48,50,23,5,0,0,170,3,10,26,28,37,35,9,3,0,150,9,23,70,131,213,150,64,4,0,668,10,14,47,81,105,92,26,0,0,385,5,12,92,194,267,181,30,0,0,789,7,36,116,230,348,291,51,4,0,1084,16,75,179,318,465,483,89,3,0,1620,18,17,38,60,62,57,23,0,0,269
20103,9,10,17,36,30,45,15,11,3,185,254,319,600,807,1129,909,239,21,13,4294,31,55,125,158,204,245,155,45,10,1029,0,3,21,20,23,20,0,0,5,88,47,81,161,217,271,199,39,5,0,1023,3,0,10,13,18,19,5,0,0,68,35,78,131,148,163,150,22,0,0,723,7,8,23,35,37,41,8,0,0,164,150,124,153,166,187,176,45,10,0,1010,144,62,60,82,71,77,23,3,0,513,0,13,46,82,118,132,25,3,0,427,0,11,13,13,30,20,4,0,0,94,0,7,7,27,36,14,0,0,0,94,0,6,12,9,14,11,5,0,0,57,3,17,44,61,67,60,31,3,0,289,3,7,22,42,66,68,18,0,0,218,3,16,57,121,210,136,20,7,0,570,5,29,97,138,169,156,40,0,0,631,20,70,193,220,368,311,57,0,0,1234,6,19,25,30,26,32,12,0,3,153
20201,44,56,89,107,87,86,34,9,3,513,1397,2369,4344,4083,4353,3330,566,45,20,20500,23,65,164,140,142,141,57,18,0,749,4,55,187,157,141,51,5,0,0,611,164,456,838,679,763,548,82,9,0,3550,3,27,139,111,155,87,15,0,0,523,135,515,1058,745,667,464,80,10,0,3667,24,70,148,162,166,108,21,4,0,697,739,907,927,775,782,599,142,21,0,4892,949,699,517,326,281,206,40,3,0,3028,21,62,171,255,366,345,99,3,4,1331,17,52,130,118,98,65,17,0,0,496,11,111,437,496,374,202,38,0,0,1672,9,34,107,87,101,80,25,3,0,448,32,138,461,427,329,268,72,8,0,1735,23,89,235,247,286,247,46,8,3,1185,16,113,477,611,661,520,87,11,3,2494,65,262,802,890,919,714,133,9,3,3796,99,587,1582,1435,1661,1504,237,20,3,7121,65,96,103,101,95,84,32,7,0,585
20202,22,17,30,58,89,71,29,7,3,327,515,598,1259,2063,2760,2020,507,56,23,9801,23,28,80,122,155,195,162,80,13,853,0,9,48,65,74,52,11,0,0,253,101,167,358,379,474,387,87,4,3,1954,0,7,20,65,57,54,0,0,0,206,88,183,323,376,419,306,61,4,0,1762,8,35,60,77,112,86,27,0,0,395,349,201,233,288,425,301,92,17,7,1907,281,150,164,153,206,122,40,5,3,1137,6,19,64,137,240,231,63,6,0,768,8,10,26,80,82,68,17,3,0,296,3,23,71,139,161,67,19,0,0,476,7,7,38,47,60,38,31,3,0,227,9,39,154,352,343,263,99,14,0,1282,5,27,59,122,148,152,35,6,0,563,9,30,141,354,479,338,58,0,0,1409,10,56,199,464,591,500,85,3,3,1912,20,119,345,564,870,803,137,10,0,2876,31,27,45,89,106,78,18,4,0,411
20203,4,4,14,10,13,18,3,0,0,70,110,112,243,404,579,499,134,22,6,2096,26,43,121,214,265,338,182,57,7,1262,0,0,13,20,9,6,0,0,0,46,26,29,46,69,82,99,12,3,0,364,0,0,7,10,17,12,0,0,0,47,10,29,44,76,75,73,17,3,0,326,4,7,20,19,34,22,8,0,0,113,66,30,36,54,79,64,14,0,0,342,45,18,11,19,38,30,7,3,0,172,0,6,11,28,56,65,18,0,0,183,0,0,0,12,6,4,0,0,0,24,0,8,9,29,19,8,0,0,0,76,0,0,3,3,15,0,0,0,0,24,0,4,31,21,21,19,8,0,0,99,6,5,14,15,28,23,5,0,0,96,0,3,14,40,71,58,8,0,0,201,6,11,35,67,90,79,14,0,0,296,3,21,52,92,174,152,31,0,0,529,0,4,10,10,9,15,6,0,0,66
20301,14,10,13,31,34,26,3,4,0,137,238,276,694,1012,1063,704,179,13,5,4187,26,38,100,131,169,183,173,42,6,869,0,3,8,12,7,10,0,0,0,51,27,45,106,184,214,139,30,0,3,739,0,5,23,32,37,19,3,0,0,122,47,96,221,315,238,98,25,0,0,1046,6,21,29,68,76,35,17,0,0,248,102,86,144,169,190,119,25,0,0,838,142,82,50,69,53,33,11,0,0,434,8,17,67,110,119,105,24,6,0,449,3,5,12,24,18,15,7,0,0,86,0,7,35,53,41,15,6,0,0,155,0,7,20,34,26,16,3,0,0,115,3,20,71,101,124,71,17,0,0,417,7,14,33,51,61,55,12,0,0,237,3,19,93,138,171,103,20,0,0,554,7,25,134,192,197,165,36,0,0,755,10,63,173,281,322,264,41,3,0,1165,7,15,20,24,35,20,3,0,0,126
20302,90,140,220,226,243,172,55,16,12,1173,2655,4545,8813,8612,8970,6212,1101,82,29,41017,20,82,153,168,194,131,61,21,4,845,3,11,53,53,68,52,4,0,0,241,240,541,1277,1499,1717,1183,157,12,3,6628,15,75,291,259,277,146,25,0,0,1091,308,1008,2261,1735,1428,968,165,22,5,7896,51,188,381,451,462,338,67,3,0,1951,1307,1858,2273,1755,1655,1148,236,21,3,10256,1924,1470,1088,680,555,397,114,6,3,6234,47,197,710,796,974,797,174,8,0,3700,70,108,230,236,200,135,22,3,0,1001,14,149,669,671,602,271,58,10,0,2437,17,108,256,222,196,160,51,10,0,1021,51,344,1109,1192,922,648,186,24,4,4471,39,177,487,570,676,467,136,8,0,2553,45,246,1018,1300,1402,917,180,22,0,5118,132,509,1778,1938,1989,1533,264,14,0,8164,130,1005,2865,2768,3142,2494,441,28,7,12880,186,237,269,271,237,150,61,4,0,1408
20303,28,31,69,96,100,85,39,11,3,458,848,1002,2686,3467,3898,2901,638,54,3,15502,14,31,47,71,86,102,80,30,4,468,0,3,26,34,22,19,3,0,0,107,74,112,268,445,470,324,75,6,0,1766,0,11,60,83,74,69,12,0,0,308,140,346,859,947,778,509,94,6,3,3680,27,41,121,200,200,152,28,4,0,774,433,417,523,560,616,496,119,9,0,3180,591,374,382,384,374,272,106,5,0,2479,19,40,121,205,278,281,85,6,0,1027,16,13,61,101,106,64,13,3,0,372,4,29,172,249,224,151,33,4,0,872,13,32,81,136,122,102,41,8,0,540,17,51,294,566,540,398,188,25,0,2088,18,35,127,224,260,226,78,6,0,982,9,65,324,539,672,451,63,3,0,2135,31,99,607,851,875,855,140,9,0,3473,40,176,813,1027,1230,1038,207,13,0,4557,71,65,94,134,121,127,41,5,0,658
20401,26,21,33,71,99,68,40,12,0,377,599,770,1655,2077,2652,2286,607,74,13,10737,42,103,232,294,347,513,384,133,38,2092,0,10,37,29,30,38,7,0,0,141,87,125,252,312,419,349,71,7,0,1627,0,9,35,60,83,53,9,0,0,255,118,241,515,505,547,411,73,12,6,2430,14,37,94,78,134,112,20,3,3,496,247,202,290,300,435,400,112,9,0,2011,410,220,252,258,327,267,86,6,0,1836,17,71,167,253,325,344,86,8,0,1265,16,11,22,23,47,38,15,0,0,176,0,13,52,55,77,52,19,3,0,276,9,25,34,59,64,59,12,0,0,264,22,37,105,184,195,194,87,14,3,839,23,43,112,160,198,162,42,6,0,743,83,161,401,446,502,406,64,5,0,2074,25,95,335,408,472,447,99,12,3,1885,28,123,346,474,630,628,160,12,0,2407,14,40,90,85,80,62,24,6,0,405
