SA3_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
20101,53,247,154,212,314,240,165,190,18,1587,71,185,92,120,233,225,76,159,343,1521,1821,6358,4960,5711,8417,7669,4342,5709,803,45790
20102,18,62,48,40,72,70,36,54,6,410,25,56,58,39,65,92,35,85,139,590,585,1666,1447,1615,1888,1978,985,1935,308,12415
20103,14,46,40,22,64,59,32,43,12,335,36,44,32,41,64,66,36,53,94,463,422,1233,1083,1215,1516,1440,723,1346,214,9185
20201,65,217,151,198,317,248,167,194,16,1571,57,165,99,130,242,220,86,168,278,1450,1814,5725,4404,5330,8101,6715,3870,4923,710,41593
20202,14,96,64,99,109,135,62,117,8,709,46,119,60,75,111,117,57,103,160,840,864,2818,2481,2737,2964,3432,1702,2873,367,20238
20203,8,29,4,11,23,26,5,28,0,129,11,16,8,12,24,40,8,25,60,204,205,591,423,556,616,727,345,1021,133,4615
20301,12,41,39,36,69,76,29,62,6,359,21,38,36,33,47,52,31,44,88,389,388,1144,1056,1064,1340,1628,786,1523,199,9136
20302,87,450,310,365,601,565,251,357,41,3022,123,347,222,266,490,568,191,369,691,3272,3312,11677,9339,9984,15253,15290,7468,10350,1526,84191
20303,26,187,122,129,190,189,76,132,15,1056,48,165,101,99,129,187,72,140,234,1178,1306,4593,3846,4026,4723,5615,2650,4411,521,31696
20401,34,116,78,98,137,149,77,138,14,835,71,107,86,82,128,173,60,131,241,1071,1001,2857,2442,2805,3602,3990,2076,3791,564,23132
20402,15,91,63,68,133,167,50,118,9,724,36,92,56,68,117,144,48,96,170,828,919,2427,2178,2632,3391,3452,1752,2917,411,20070
20403,34,130,88,136,217,236,135,149,20,1149,82,123,71,86,189,189,74,143,258,1221,1411,3791,3240,4091,5707,5382,3163,4908,642,32340
20501,27,131,95,115,193,173,94,151,11,996,48,99,70,55,107,148,58,115,190,887,908,2817,2288,2471,3412,3468,1998,3518,437,21325
20502,23,96,72,79,101,114,56,95,10,647,45,80,62,65,96,120,27,82,166,740,936,2339,2022,2419,2629,2459,1310,2524,404,17052
20503,39,122,105,96,149,182,81,109,12,895,63,158,99,77,123,136,53,138,245,1091,1288,3706,2981,3277,3379,3750,1941,3920,559,24806
20504,25,161,102,107,230,214,82,162,10,1096,57,93,73,67,161,162,67,135,295,1117,1304,4012,3171,3523,5689,4605,2741,3772,592,29411
20505,28,95,57,93,102,127,51,87,10,650,32,69,54,68,88,120,37,106,175,746,854,2329,1861,2057,2697,2873,1571,3263,399,17898
20601,32,187,164,192,304,267,161,199,25,1524,45,172,139,132,236,304,118,200,383,1728,1392,5183,5019,5471,8651,9427,4921,6432,750,47253
20602,21,122,89,117,186,178,63,98,8,896,25,98,95,93,145,196,64,129,201,1040,841,3106,3003,3496,4731,5627,2936,4141,419,28301
20603,24,106,113,123,191,152,84,138,20,941,31,137,123,77,172,205,77,167,271,1263,1060,4008,3622,3505,5788,7039,3518,5419,558,34507
20604,53,198,238,195,311,280,149,185,19,1627,92,296,340,177,358,460,155,313,522,2712,1978,7237,7707,5210,10856,15126,6354,9525,1165,65152
20605,33,184,164,222,342,309,182,254,14,1705,62,197,174,179,262,491,195,425,352,2350,1672,4531,4617,5318,9230,13018,6929,11655,742,57711
20606,12,120,99,120,179,157,102,138,5,931,33,153,124,106,177,302,116,266,254,1522,925,3224,3004,3004,5816,8045,4243,7286,468,36011
20607,40,170,116,163,319,254,169,178,16,1412,47,162,151,138,256,385,160,317,313,1926,1477,4504,4181,4744,8264,10982,6450,9932,690,51224
20701,57,368,256,219,327,306,195,289,22,2036,107,420,325,265,322,546,174,513,556,3231,2331,11663,8914,8406,10831,15585,7977,15371,1180,82260
20702,29,223,155,162,305,261,123,175,14,1443,52,212,159,137,273,349,94,217,382,1868,1028,5455,4426,4364,7113,8313,3341,5235,752,40019
20703,39,248,228,195,292,280,148,210,16,1650,46,262,208,147,283,335,92,183,350,1901,1317,6749,5648,5094,7815,8961,4072,5988,681,46322
20801,35,239,151,146,167,183,102,198,13,1226,50,302,172,211,186,376,133,417,298,2160,1332,6425,5050,4969,5118,8552,4400,9489,652,45993
20802,55,382,303,286,396,411,218,342,22,2407,73,346,283,255,391,610,205,392,553,3107,2057,9023,8012,8028,11922,15324,7165,10789,1117,73440
20803,62,323,212,250,394,347,206,268,27,2086,74,263,184,203,408,532,183,327,435,2607,1879,6851,5729,6302,10299,11972,6052,8233,921,58234
20804,5,90,56,68,82,68,54,73,6,500,17,105,72,58,83,149,49,137,148,816,507,2708,2250,1992,2737,3941,2071,4011,311,20517
20901,53,271,231,243,340,349,175,276,11,1949,76,246,144,194,319,426,131,256,440,2231,1954,7370,6437,6710,9966,11764,5688,8134,888,58915
20902,29,177,211,165,321,267,110,150,20,1448,67,208,198,169,400,352,116,177,436,2113,1268,5071,5014,4737,8862,8232,3568,4325,927,42006
20903,35,221,148,166,205,253,106,196,25,1338,52,179,126,111,173,250,95,217,187,1383,1136,4852,3882,3973,4942,6635,3251,5254,500,34422
20904,82,488,401,415,906,758,353,430,46,3883,153,507,360,406,1228,910,282,421,1072,5340,3169,10477,9801,10687,22252,19360,8087,10194,2237,96259
21001,27,149,97,128,200,186,76,147,18,1015,39,124,86,94,175,222,72,152,226,1189,905,3231,2774,2834,4966,5666,2415,3853,536,27192
21002,13,63,58,60,76,94,63,102,6,542,18,68,54,45,70,116,45,81,101,589,582,1784,1532,1600,2141,2651,1401,2351,246,14291
21003,31,151,123,138,318,229,116,128,22,1247,61,129,150,125,261,302,91,115,407,1645,1034,3251,3683,3536,7086,6817,2866,3574,806,32659
21004,23,100,76,76,155,158,85,120,10,801,32,66,41,52,129,159,51,74,145,762,648,2223,1982,2192,3864,3883,1875,2542,327,19536
21005,57,275,255,267,600,467,225,247,38,2421,91,368,287,307,806,618,174,290,965,3915,1805,6976,6506,7028,14838,12357,5028,6301,1894,62727
21101,73,371,321,375,679,640,284,439,30,3224,111,350,285,308,804,750,248,394,617,3866,2397,9423,7854,8578,16106,15818,6989,8983,1228,77364
21102,9,68,59,61,78,74,45,87,3,481,15,64,58,52,73,94,43,102,117,611,362,1993,1471,1469,1640,2399,1112,2216,207,12870
21103,52,274,213,262,466,427,195,326,23,2231,61,241,171,181,448,438,167,274,412,2381,1770,6880,5652,6043,10290,10857,5370,7011,840,54714
21104,23,138,143,117,221,187,105,139,8,1094,38,119,101,99,217,240,68,128,192,1203,853,3753,3176,3210,5433,5996,2564,3329,431,28750
21105,99,417,345,351,639,694,362,511,32,3448,161,395,271,302,630,724,274,474,613,3844,2788,9627,7833,8552,12975,13806,7142,9969,1343,74031
21201,53,218,173,161,397,393,207,316,27,1936,76,225,146,185,436,441,184,298,405,2387,1501,5097,4452,4988,8622,8651,4382,6418,912,45037
21202,40,316,246,291,552,521,259,294,34,2564,90,297,224,271,731,694,205,340,636,3490,1737,7123,5762,6860,13205,12093,5326,7011,1261,60378
21203,80,381,266,308,721,662,321,352,31,3115,127,369,292,378,1152,901,289,374,870,4745,2289,7936,6939,8659,19117,15769,6901,8231,1698,77534
21204,40,403,468,339,886,638,239,312,48,3381,141,471,541,429,1512,977,318,318,1268,5981,1850,8459,8554,8136,20085,14940,5559,6399,2201,76174
21205,54,347,317,288,520,463,190,278,23,2476,83,377,377,284,685,783,208,319,706,3819,2123,10371,8452,8026,14987,16390,6375,8429,1416,76573
21301,74,415,423,349,745,603,226,273,50,3144,149,537,467,433,1277,905,227,286,1325,5618,2091,8739,8404,8415,18666,15219,5484,6666,2417,76092
21302,42,176,143,127,297,272,127,177,10,1377,54,147,148,138,291,395,127,225,311,1837,1347,4087,3843,4199,7513,8416,4037,5793,656,39891
21303,38,159,172,145,320,241,153,137,8,1374,60,191,220,156,358,337,99,187,367,1975,1288,4058,4841,4388,8499,8523,4019,5326,699,41648
21304,55,281,218,272,550,539,238,340,35,2513,90,270,205,280,674,684,205,299,671,3376,2230,7256,6190,7328,14773,14635,6070,8166,1454,68097
