SA3_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
20101,242,0,3,3,243,32,3,281,2977,408,27,19,3434,54,30,85,3516,203,12,3727,6647,709,81,45,7482,70,27,101,7579,233,3,7812,530,67,65,11,680,10,0,14,690,21,0,714,56,6,0,69,127,3,0,3,133,6,3,141,10211,1189,179,151,11720,139,58,194,11918,461,15,12394,92,8,0,3,106,22,3,30,129,17,0,149,200,28,0,4,239,3,10,7,243,32,0,276,291,45,0,10,343,27,11,36,378,48,0,422,10500,1232,177,155,12062,165,66,235,12291,503,15,12821,2763,369,79,69,3283,160,16,177,3458,562,16,4032,6,3,0,5,11,0,3,3,10,0,25,35,13261,1601,261,230,15353,325,88,413,15768,1066,53,16881
20102,50,0,0,0,50,8,0,56,677,124,19,8,834,14,8,24,859,62,0,920,1525,252,30,7,1826,27,3,30,1855,85,0,1940,109,17,25,0,149,0,0,0,149,5,0,162,21,5,0,20,47,0,0,0,47,3,0,50,2341,395,72,37,2850,41,17,56,2908,157,0,3068,17,10,0,0,27,3,0,3,26,0,0,29,49,4,0,4,53,3,0,3,55,0,0,55,63,8,0,4,82,3,0,3,87,0,0,86,2406,407,72,42,2930,49,17,66,2995,161,0,3154,801,142,23,21,985,28,3,36,1021,136,0,1156,9,0,6,0,15,0,0,0,15,3,9,32,3220,551,95,66,3927,82,16,97,4031,299,12,4344
20103,29,0,0,0,27,6,0,32,523,84,11,4,620,6,0,7,629,64,0,694,1155,156,30,9,1350,16,3,20,1369,71,0,1443,67,16,23,3,110,0,0,0,110,6,0,117,12,4,0,11,23,0,0,0,23,3,0,27,1752,262,62,26,2110,20,4,27,2137,148,0,2284,12,0,0,7,20,3,3,8,21,6,0,31,39,6,3,0,54,0,0,0,53,12,0,68,51,12,3,7,68,3,3,9,80,19,0,98,1805,273,66,30,2184,26,9,33,2218,166,0,2381,656,118,24,12,817,26,14,43,859,207,3,1067,5,0,3,3,10,0,0,0,10,0,0,14,2468,394,95,55,3007,56,20,77,3082,377,4,3462
20201,173,6,3,9,180,16,0,193,2544,363,42,16,2964,48,17,65,3030,149,3,3187,5526,683,111,64,6377,69,10,83,6462,187,5,6654,489,82,76,9,659,9,0,8,668,13,0,681,55,9,0,30,93,3,0,3,98,10,3,103,8618,1138,221,113,10093,128,32,159,10252,356,14,10621,84,14,0,5,98,17,0,17,116,7,0,122,205,20,3,7,228,12,17,27,253,29,0,280,280,33,3,8,330,26,17,40,369,39,0,406,8897,1175,224,122,10418,153,46,200,10619,388,14,11025,2620,450,51,46,3166,131,48,183,3343,543,9,3897,24,0,0,0,20,0,0,0,20,3,15,43,11543,1620,276,169,13609,290,97,379,13990,933,39,14966
20202,86,0,0,0,86,11,0,97,1257,232,31,19,1540,31,17,44,1583,124,5,1710,2678,505,64,25,3274,20,6,27,3302,111,3,3415,197,49,28,11,282,0,0,0,281,3,0,288,40,3,0,44,92,0,0,0,92,3,0,89,4172,784,121,99,5176,50,18,75,5254,246,7,5508,32,6,0,0,45,6,0,6,47,0,0,52,108,17,0,0,119,5,4,10,130,5,0,135,139,25,0,0,166,13,4,12,180,5,0,190,4318,805,121,99,5347,63,26,85,5433,248,7,5692,1238,197,59,42,1534,30,3,30,1560,167,3,1732,8,3,3,3,16,0,0,0,22,0,14,38,5563,1001,183,149,6893,95,27,122,7014,418,30,7457
20203,4,0,0,0,4,0,0,5,346,34,0,0,386,0,0,0,383,16,0,400,666,64,4,9,740,0,3,3,746,43,0,782,54,3,3,0,64,0,0,0,64,0,0,64,10,0,0,12,23,0,0,0,23,0,0,23,1084,99,8,24,1216,0,3,3,1216,53,0,1273,4,3,0,0,7,0,0,0,7,8,0,18,11,0,0,0,12,0,0,0,15,0,0,15,17,0,0,0,23,0,0,0,21,6,0,29,1101,101,8,24,1235,3,3,4,1237,62,0,1304,278,25,7,14,333,19,6,22,352,88,3,447,5,0,0,0,5,0,0,0,5,0,4,13,1388,132,22,39,1575,22,10,28,1603,154,4,1760
20301,52,0,0,0,52,9,0,63,686,79,10,10,778,11,0,11,786,41,0,831,1728,170,22,19,1937,10,3,12,1945,48,3,1996,139,12,19,0,179,0,0,0,179,9,0,185,18,3,0,25,46,0,0,0,46,3,0,47,2575,262,55,45,2937,22,3,20,2957,97,4,3058,19,3,0,0,18,0,0,0,18,0,0,18,56,8,0,0,65,0,0,0,68,0,0,73,78,9,0,0,87,0,0,0,84,0,0,87,2646,267,52,45,3023,23,3,24,3047,99,4,3145,748,130,34,35,942,9,0,9,950,61,0,1009,22,4,0,0,23,0,0,0,23,0,0,25,3412,402,85,86,3981,25,3,29,4013,158,7,4180
20302,634,9,0,13,648,87,3,740,5042,646,87,35,5813,133,40,171,5981,368,10,6354,11486,1125,144,76,12841,155,31,185,13027,369,8,13405,1031,90,151,16,1290,14,0,14,1304,42,0,1348,108,18,0,103,226,0,3,4,231,7,3,240,17666,1886,385,233,20169,308,72,379,20547,781,25,21349,185,31,3,5,228,42,0,42,264,19,0,284,463,52,9,4,527,40,12,49,576,17,8,602,643,85,10,14,752,76,12,91,837,38,8,882,18312,1966,395,250,20925,382,78,463,21387,813,32,22233,5314,813,148,149,6430,221,61,287,6718,1072,16,7805,40,0,3,13,65,0,0,0,65,7,56,125,23671,2783,547,414,27418,610,141,747,28163,1894,101,30162
20303,215,3,0,4,220,15,0,237,2087,368,44,15,2509,40,7,48,2564,155,9,2730,5287,698,68,55,6111,58,7,65,6176,146,9,6326,378,41,59,7,480,4,0,4,485,5,0,490,53,11,5,47,109,0,0,0,109,9,0,123,7812,1115,171,124,9222,99,14,115,9337,320,17,9666,58,14,0,0,76,9,0,9,81,5,0,89,169,4,0,0,178,14,11,17,201,4,0,202,225,21,3,0,256,18,11,24,280,10,0,292,8043,1138,177,124,9474,115,25,144,9613,326,17,9959,2200,239,60,33,2539,53,18,70,2610,179,4,2793,18,4,0,11,31,0,0,0,31,0,17,47,10260,1377,239,163,12044,174,37,212,12251,514,40,12805
20401,59,3,0,4,57,12,0,71,1498,181,15,16,1709,23,0,23,1733,103,6,1845,2607,386,76,28,3097,33,9,44,3142,79,10,3229,199,14,34,3,260,3,0,3,262,9,0,270,42,7,0,30,78,0,0,0,78,3,0,83,4339,588,131,83,5149,56,8,73,5219,193,13,5423,62,0,0,0,66,7,0,7,69,10,0,81,94,9,0,6,106,3,0,3,106,6,0,111,153,8,0,6,169,11,0,11,184,14,0,194,4497,601,131,84,5319,70,8,81,5400,211,13,5620,1434,218,38,62,1747,49,7,60,1804,241,4,2051,7,3,0,8,23,0,0,0,23,0,23,47,5939,821,174,157,7087,120,20,141,7220,451,48,7719
