SA3_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
20101,495,34,4,0,0,539,358,30,0,0,0,391,339,29,5,0,0,374,638,64,9,8,3,715,1065,91,3,3,0,1167,2977,246,21,5,11,3264,2592,171,15,6,5,2782,1985,89,4,6,8,2101,625,23,0,3,0,653,407,23,0,3,0,433,236,7,0,0,0,244,457,25,0,0,3,491,12183,828,74,44,38,13158
20102,204,0,3,12,3,220,153,0,0,6,0,156,142,0,0,7,0,145,258,0,0,15,0,273,339,0,0,7,4,350,771,0,5,27,16,820,732,0,3,13,3,751,665,0,0,18,5,686,253,0,0,3,0,254,149,0,0,3,0,155,95,0,0,0,0,100,248,0,0,4,3,257,3998,6,6,110,36,4161
20103,215,0,0,3,0,220,206,0,0,3,0,209,170,5,0,0,0,174,333,4,0,0,0,334,425,0,0,3,3,431,760,6,0,3,0,768,477,0,0,0,3,486,267,0,0,0,0,267,80,0,0,0,0,84,40,0,0,0,0,40,33,0,0,0,0,35,185,3,0,3,0,193,3181,21,3,26,9,3242
20201,536,15,5,0,3,560,374,10,3,0,0,391,328,12,3,0,0,343,656,25,4,0,0,685,928,37,3,3,3,971,2787,86,18,0,5,2898,2695,50,15,3,3,2765,1910,31,8,4,7,1953,518,3,0,0,3,525,339,8,0,0,0,350,183,6,0,0,0,187,476,3,0,3,0,481,11731,284,58,16,28,12117
20202,395,3,0,3,6,411,230,0,3,3,5,240,214,0,0,0,0,215,365,0,3,0,0,379,505,3,0,3,4,516,1338,6,10,0,9,1368,1261,4,0,6,8,1270,1163,8,0,4,14,1190,428,0,0,0,3,438,322,0,0,0,4,328,166,0,0,4,0,173,325,3,0,3,0,329,6705,32,20,27,59,6844
20203,134,0,0,0,0,135,116,0,0,5,0,117,81,0,0,3,0,85,143,0,0,0,0,145,155,0,0,0,3,157,266,0,0,4,0,266,150,0,0,0,0,149,127,0,0,0,0,127,49,0,0,3,3,56,32,0,0,3,0,31,19,0,0,0,0,19,98,0,0,0,0,100,1360,0,0,21,15,1387
20301,135,0,0,0,0,135,87,0,0,0,0,86,64,0,0,0,0,66,120,0,0,0,0,122,184,0,0,0,0,186,532,0,0,5,3,542,583,0,0,0,0,584,728,3,0,0,0,735,264,0,0,0,0,269,179,0,0,0,0,175,103,0,0,0,0,103,171,0,0,0,0,178,3141,3,4,14,7,3172
20302,1096,65,11,0,0,1169,610,43,7,0,0,670,529,44,7,0,3,583,1069,80,23,4,0,1179,1473,134,34,3,0,1646,4219,316,83,12,12,4646,4619,269,39,13,10,4951,4431,188,34,22,9,4690,1499,58,12,5,3,1573,1048,40,5,3,0,1092,538,25,0,3,4,567,961,62,12,3,0,1041,22090,1330,272,72,42,23814
20303,406,18,3,0,0,427,199,8,0,0,0,217,197,8,0,0,0,203,310,20,0,0,0,332,435,18,5,0,0,466,1296,54,6,3,0,1358,1578,46,7,3,4,1639,2016,50,7,3,8,2080,848,24,3,0,3,879,673,12,6,0,4,692,362,11,5,0,0,375,393,10,3,0,3,410,8721,281,43,11,27,9085
20401,351,8,3,0,0,366,227,0,3,0,0,225,229,3,3,3,0,235,395,3,4,0,3,403,575,4,5,3,4,595,1476,8,3,6,4,1499,1248,13,5,0,4,1269,953,0,3,6,3,971,326,3,0,0,0,326,235,4,0,0,3,244,141,0,0,0,0,147,381,3,0,5,8,393,6537,42,34,22,30,6669
20402,277,3,0,0,3,285,208,0,0,0,0,212,175,0,8,0,0,189,391,13,4,0,0,414,580,16,10,7,0,606,1455,22,10,3,6,1496,1046,11,6,0,6,1067,732,3,0,3,3,742,252,0,0,3,0,256,145,3,0,0,0,151,80,0,0,0,5,80,284,3,0,3,0,288,5627,77,36,21,21,5783
