SA3_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
21102,3,0,0,0,1073,1076,14,0,0,0,901,911,294,12,6,0,715,1031,980,24,50,0,272,1332,1708,59,130,12,202,2110,1484,40,134,21,82,1758,1056,25,94,40,37,1253,512,13,40,72,6,653,145,0,5,76,3,241,6198,172,469,220,3303,10358,0,0,0,4,987,989,13,0,0,0,760,765,415,6,11,0,583,1022,1227,46,89,9,248,1608,1758,83,193,35,166,2233,1420,35,196,77,84,1811,992,24,131,158,36,1332,370,12,54,270,14,715,85,0,14,316,8,432,6277,203,693,863,2880,10918,6,0,0,7,2062,2068,20,0,0,0,1659,1684,710,15,25,3,1299,2053,2206,68,144,4,521,2945,3469,138,328,42,369,4342,2902,76,327,97,162,3572,2051,43,229,194,69,2588,881,22,94,338,29,1366,229,0,22,400,19,668,12479,377,1161,1083,6179,21275
21103,8,0,0,0,3433,3447,89,7,0,3,3270,3368,2932,87,103,5,4179,7308,5167,210,355,12,1877,7623,4684,374,824,41,1294,7220,4179,221,884,100,645,6025,3253,137,525,215,198,4332,1725,48,178,324,70,2342,501,14,42,312,28,895,22537,1098,2912,1015,14990,42550,5,0,0,0,3200,3203,169,8,4,10,3052,3234,3870,168,158,14,3705,7912,5186,325,552,38,1806,7905,4822,475,1335,124,1123,7879,4039,326,1374,343,567,6642,2989,175,1116,790,214,5285,1321,43,395,1213,79,3051,275,10,79,1333,50,1743,22681,1529,5021,3857,13778,46869,17,0,0,0,6629,6649,260,10,4,7,6320,6600,6801,249,268,16,7880,15221,10349,539,908,54,3681,15525,9505,847,2158,168,2415,15100,8215,547,2259,436,1206,12669,6243,312,1644,1004,408,9618,3049,88,570,1536,148,5392,777,21,125,1642,77,2639,45216,2626,7938,4872,28774,89423
21104,4,0,0,0,1819,1826,41,3,0,0,1788,1836,1725,37,50,5,2122,3929,3151,88,178,12,873,4299,2782,142,304,11,625,3866,2234,99,336,56,342,3068,2117,68,247,95,144,2669,1283,43,111,165,40,1640,366,3,31,199,22,623,13703,481,1254,548,7774,23762,6,0,0,0,1649,1652,88,0,0,0,1560,1649,2195,47,81,8,1726,4063,3367,130,244,19,830,4593,2844,157,551,52,581,4191,2289,136,626,169,346,3567,2015,85,476,448,150,3168,963,32,218,850,53,2110,187,3,58,785,35,1072,13945,588,2248,2338,6938,26055,7,0,0,0,3469,3484,125,9,0,0,3346,3485,3918,83,127,13,3845,7993,6517,214,424,35,1708,8890,5622,302,854,68,1209,8056,4523,230,967,225,688,6637,4130,156,722,545,290,5843,2247,73,325,1015,96,3752,557,9,86,986,57,1691,27655,1069,3498,2885,14716,49819
21105,10,0,0,0,4940,4948,89,9,5,4,4491,4601,3082,133,116,3,5420,8755,5886,337,537,19,2772,9566,6559,531,1240,84,2053,10468,6621,380,1341,149,1029,9526,5273,241,880,311,356,7066,2164,61,281,328,118,2956,520,19,56,347,37,981,30208,1720,4461,1249,21222,58862,10,8,4,0,4730,4752,168,13,8,3,4092,4283,4041,218,190,7,4611,9068,6242,527,848,53,2431,10094,6952,657,1762,195,1530,11094,6477,454,1951,506,699,10093,4636,221,1233,993,226,7307,1498,55,365,1364,75,3357,266,3,71,1169,42,1546,30279,2158,6430,4285,18437,61587,18,8,3,0,9664,9693,256,26,6,3,8592,8881,7120,359,309,11,10026,17828,12132,863,1389,70,5205,19655,13510,1190,3003,278,3584,21559,13099,840,3288,655,1729,19614,9909,463,2109,1303,582,14366,3661,117,651,1689,194,6308,783,26,131,1521,78,2531,60491,3878,10891,5539,39653,120450
21201,3,0,0,0,3226,3237,85,9,3,3,2808,2905,2764,135,96,3,3475,6475,4288,257,396,15,1518,6473,4042,340,758,31,945,6111,3284,249,708,104,401,4755,2471,139,432,126,162,3338,1101,32,130,217,53,1531,262,9,17,140,24,451,18307,1174,2540,643,12604,35266,4,0,0,0,3006,3010,190,15,0,3,2822,3035,3648,212,169,14,3211,7244,4316,398,574,33,1434,6762,3960,428,1099,102,797,6398,3137,229,993,264,273,4896,2193,129,603,567,93,3590,753,29,143,638,34,1597,126,6,30,538,27,730,18331,1450,3619,2165,11703,37261,10,0,5,0,6230,6244,279,22,5,3,5631,5945,6409,339,259,15,6682,13717,8610,652,971,48,2951,13234,8008,767,1855,136,1744,12505,6425,477,1707,377,676,9651,4667,269,1029,695,259,6925,1850,65,271,853,86,3124,393,16,46,681,47,1177,36642,2617,6158,2808,24308,72532
21202,12,0,0,0,4935,4949,202,5,5,0,4651,4863,3597,138,119,7,4701,8562,6402,293,445,24,1740,8901,6663,390,884,56,1156,9146,5561,308,866,141,489,7362,3579,160,483,183,143,4550,1768,50,142,305,41,2304,421,5,26,300,11,763,28196,1360,2970,1018,17862,51408,22,3,0,0,4534,4561,383,22,3,3,3974,4386,4583,246,181,17,3650,8675,6668,428,715,66,1438,9315,6547,488,1366,201,851,9457,5259,384,1263,446,379,7725,2994,153,743,829,132,4847,1197,52,235,1201,45,2735,211,12,54,971,35,1274,27858,1781,4559,3736,15047,52981,32,3,3,0,9467,9510,584,29,12,0,8628,9246,8179,382,299,23,8354,17243,13067,724,1162,90,3181,18219,13212,874,2256,251,2008,18600,10819,696,2122,587,867,15095,6574,312,1222,1011,273,9398,2964,102,378,1511,88,5035,628,21,75,1272,48,2043,56056,3141,7530,4752,32908,104387
21203,23,3,0,0,5904,5932,285,10,5,4,5537,5842,6372,243,171,12,6060,12856,9971,436,611,25,2472,13512,7582,487,1097,72,1345,10577,5374,369,983,148,578,7446,3168,184,581,234,150,4305,1299,60,154,242,48,1806,254,14,30,191,24,506,34319,1800,3631,926,22108,62791,47,0,3,3,5456,5509,714,30,14,3,4828,5586,8601,350,341,19,5024,14333,9436,663,913,96,2029,13137,6959,598,1623,297,1083,10568,4769,403,1436,558,385,7555,2674,183,711,897,118,4586,887,34,213,946,26,2111,142,4,45,679,28,898,34231,2271,5298,3501,18976,64272,71,4,3,3,11357,11440,997,38,17,4,10364,11424,14973,586,519,30,11085,27187,19404,1097,1528,121,4502,26650,14542,1086,2716,375,2424,21144,10139,776,2416,708,964,15001,5840,367,1292,1130,270,8891,2181,98,364,1189,76,3913,395,19,77,869,47,1407,68554,4067,8930,4429,41085,127067
21204,26,3,4,0,5710,5749,532,24,12,6,7561,8132,7994,261,299,22,8409,16986,8727,411,719,28,3179,13066,7240,539,1318,72,2098,11267,6590,457,1388,175,1152,9764,5291,330,927,362,496,7409,3037,117,359,480,162,4151,826,26,63,447,51,1408,40270,2174,5084,1597,28814,77934,62,9,4,5,5096,5173,1247,44,39,15,5162,6502,9221,368,535,53,5278,15456,8023,616,1161,147,2166,12109,6764,618,1803,349,1445,10978,6189,488,1804,872,840,10183,4656,265,1146,1648,324,8033,2084,100,397,2240,120,4940,390,12,99,1783,64,2346,38632,2516,6978,7111,20489,75725,88,14,5,5,10808,10918,1774,73,46,23,12724,14638,17216,631,831,81,13689,32445,16748,1033,1877,173,5343,25174,14002,1157,3128,419,3539,22244,12777,942,3192,1048,1990,19950,9948,596,2071,2009,823,15439,5121,219,758,2712,279,9095,1215,33,162,2230,107,3755,78901,4687,12068,8702,49301,153660
21205,17,0,3,5,6086,6113,166,5,3,7,8833,9014,5017,121,143,4,7996,13285,7893,235,411,18,2271,10827,7865,337,784,50,1632,10665,6323,263,781,108,889,8355,5430,160,533,262,379,6765,3924,80,233,525,142,4903,1226,23,40,585,49,1922,37865,1214,2932,1554,28278,71853,24,0,0,4,5841,5867,322,7,8,8,7871,8215,6173,147,227,21,5943,12510,8593,335,734,49,1831,11534,8155,431,1251,178,1402,11412,6517,357,1263,451,706,9296,5313,204,904,1212,307,7936,2958,61,388,2286,145,5838,606,12,95,2219,82,3003,38663,1552,4868,6426,24117,75621,41,0,5,7,11925,11985,488,16,9,12,16707,17233,11195,265,371,31,13935,25796,16486,573,1142,60,4102,22362,16025,766,2038,221,3036,22081,12839,620,2044,561,1591,17651,10742,360,1441,1479,683,14702,6883,144,626,2810,283,10743,1831,29,129,2801,129,4926,76527,2770,7799,7982,52398,147473
21301,33,7,3,3,5941,5982,436,29,10,10,7405,7881,6305,293,327,21,8775,15714,7701,512,860,39,3436,12548,7519,711,1370,72,2032,11701,7096,533,1385,172,1010,10191,5399,347,669,342,392,7151,2487,96,187,462,116,3349,565,16,23,344,23,961,37530,2529,4836,1460,29121,75476,55,3,9,3,5672,5740,963,59,32,7,5708,6776,7648,524,503,36,6070,14776,7647,819,1382,96,2751,12698,7302,792,1999,332,1598,12021,6936,591,1834,832,731,10914,4425,284,835,1488,247,7277,1641,84,217,1954,78,3968,261,11,50,1375,36,1737,36876,3173,6866,6120,22886,75921,85,12,9,3,11605,11719,1403,91,44,16,13109,14661,13952,815,822,55,14848,30495,15351,1329,2243,135,6189,25245,14816,1496,3367,403,3628,23719,14031,1119,3217,1002,1745,21109,9821,635,1506,1831,635,14427,4126,177,411,2412,193,7321,822,27,75,1722,60,2699,74409,5702,11700,7578,52009,151396
