SA3_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
20101,0,0,3,8,0,3,0,0,0,11,0,0,3,4,3,0,3,0,0,10,0,0,0,15,3,0,0,0,0,20,0,3,3,7,11,47,121,79,25,290,4,22,44,112,76,77,34,22,7,401,0,0,3,0,3,13,7,9,3,34,0,0,8,16,0,0,0,0,0,29,0,0,3,11,7,0,0,0,0,25,3,26,23,111,44,47,14,3,0,267,0,0,0,7,3,3,7,8,5,36,0,3,4,18,32,38,54,36,10,192,0,8,4,8,10,7,0,0,0,37,0,0,14,39,17,11,8,3,0,98,0,0,0,4,3,5,8,3,3,26,0,9,4,29,10,0,7,0,0,55,0,0,3,14,3,0,0,0,0,19,0,3,12,44,14,7,0,0,0,73,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,3,0,8,13,39,16,18,12,0,0,110
20102,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,3,4,3,20,32,22,3,92,0,3,10,51,57,36,32,0,0,194,0,0,0,0,0,3,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,3,3,16,5,6,0,0,0,42,0,0,0,5,0,3,3,0,0,17,0,0,0,3,10,16,30,9,4,72,0,0,0,3,0,0,0,0,0,5,0,4,3,4,6,5,4,0,0,38,0,0,0,0,3,3,5,3,3,23,0,0,0,3,0,3,4,0,0,8,0,0,0,3,0,0,0,0,0,4,0,0,0,6,0,3,0,0,0,17,0,0,0,0,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,13,4,20,4,0,0,50
20103,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,21,29,4,3,71,0,4,0,19,22,20,18,3,0,99,0,0,0,0,0,0,3,3,3,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,4,0,6,0,28,10,11,5,0,0,59,0,0,0,0,0,3,0,0,0,3,0,0,0,3,7,10,26,11,7,61,0,0,0,0,0,3,0,0,0,5,0,0,0,3,3,0,0,0,0,11,0,0,0,0,0,0,3,0,0,7,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,8,0,0,26
20201,0,0,0,14,5,0,4,0,0,24,0,8,39,111,33,15,7,6,0,225,3,0,0,19,0,0,0,0,0,18,0,0,3,6,5,21,35,20,12,91,3,11,16,105,49,65,35,15,0,305,0,0,0,5,0,0,8,9,3,28,0,7,4,19,0,0,0,0,0,29,0,0,0,22,3,0,0,0,0,30,0,17,13,109,48,28,12,3,0,244,0,0,0,0,0,0,3,6,3,15,0,0,0,9,16,36,32,21,8,136,0,0,7,6,5,6,3,0,0,30,0,9,14,35,11,5,12,0,3,89,0,0,0,0,3,0,5,4,0,9,0,10,4,38,11,6,7,6,3,89,0,0,5,18,3,3,0,0,0,28,10,81,68,43,14,3,0,0,0,227,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,6,0,13,10,25,12,4,6,3,0,73
20202,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,3,8,16,24,41,13,4,111,0,12,16,79,61,60,37,9,3,275,0,0,0,0,0,3,4,6,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,14,7,0,0,0,0,22,0,10,11,37,21,16,8,0,0,97,0,0,0,4,0,3,4,0,3,17,0,0,3,9,23,18,33,9,4,102,0,0,0,7,0,6,0,0,0,10,0,3,3,22,8,11,10,4,0,59,0,0,0,0,3,3,3,0,0,13,0,0,0,8,0,5,0,0,0,14,0,0,7,46,3,0,0,0,0,59,0,0,3,13,0,4,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,4,0,5,5,16,13,16,13,0,0,79
20203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,0,16,0,0,0,10,6,14,9,3,0,43,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,7,3,14,5,4,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,17,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,3,0,0,19
20301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,15,17,9,4,56,0,3,3,18,21,14,17,0,0,86,0,0,0,3,5,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,3,4,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,13,7,5,3,40,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,12,0,0,0,0,3,3,5,0,0,15,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,5,4,3,0,23
20302,0,4,8,15,3,0,3,3,0,33,3,5,38,92,27,21,16,0,0,202,0,0,10,28,3,0,0,0,0,43,0,3,6,25,22,86,220,145,73,582,8,46,90,322,174,133,60,20,13,868,0,3,3,19,25,41,45,25,3,174,5,33,34,57,3,3,3,0,0,138,0,0,0,26,14,6,0,0,0,53,9,38,94,275,159,118,67,9,8,780,0,0,0,36,19,38,41,45,52,225,3,17,12,55,67,127,139,124,25,563,0,18,24,28,26,26,10,0,0,127,3,17,33,69,51,33,29,15,10,258,0,0,0,13,34,50,55,51,18,219,3,11,16,77,19,17,14,0,8,170,3,0,7,21,5,4,4,0,0,40,9,89,64,105,33,12,4,3,0,315,0,0,5,39,41,90,81,55,13,324,0,0,5,19,15,3,11,6,0,57,6,29,29,92,24,27,19,5,3,242
20303,0,0,0,3,4,3,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,4,8,29,65,41,17,174,3,19,27,129,76,68,58,15,7,405,0,0,0,6,7,6,13,4,6,42,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,5,3,3,0,25,0,4,0,30,17,10,6,0,0,86,0,0,0,9,0,3,6,3,10,32,0,3,0,20,29,51,62,28,18,207,0,3,3,12,0,0,0,0,0,18,0,3,8,61,30,14,15,6,0,136,0,0,0,0,0,0,8,0,0,9,0,0,0,12,0,3,0,3,0,18,0,0,0,4,0,0,0,0,0,3,0,0,7,12,7,3,3,0,0,31,0,0,0,0,0,3,8,0,0,12,0,0,0,0,3,0,0,3,0,5,3,17,8,58,31,14,23,0,0,159
20401,0,0,0,4,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,26,48,18,11,116,0,10,18,66,53,79,33,16,3,285,0,0,0,4,5,7,3,8,3,29,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,0,3,0,0,10,3,10,11,62,28,22,6,0,0,137,0,0,0,4,0,0,6,3,4,21,0,0,0,12,18,24,44,17,9,122,0,0,3,3,3,3,0,0,0,20,0,3,0,18,4,13,8,0,0,47,0,0,0,0,3,0,3,0,3,9,0,0,0,5,6,0,5,0,0,20,0,0,8,28,0,0,0,0,0,38,3,6,5,18,9,3,0,0,0,51,0,0,0,0,5,0,3,0,0,7,0,0,0,5,0,0,0,0,0,6,0,6,0,17,11,8,14,4,0,63
