SA3_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
21502,0,3,14,28,6,4,3,0,0,64,0,0,0,0,3,5,8,7,6,38,0,0,0,0,0,0,0,0,0,3,0,3,21,56,78,77,82,44,20,384,0,0,3,8,0,0,0,0,0,18,0,0,6,3,0,3,0,0,0,11,0,0,4,10,4,10,34,3,4,69,0,0,0,0,3,3,24,32,7,70,0,0,4,15,0,5,3,0,0,32,4,7,8,126,10,7,5,4,0,171,4,0,0,7,0,0,0,0,0,7,0,3,0,3,0,0,0,0,0,10,0,0,3,7,5,0,0,0,0,20,0,3,0,8,0,3,0,0,3,19,0,0,0,7,21,37,99,108,40,309,0,0,3,17,0,0,0,0,0,18,0,0,8,18,0,0,0,0,0,24,0,0,0,0,3,0,0,0,0,3,0,8,23,60,3,3,0,0,0,98,0,0,0,0,0,3,0,0,0,3
21503,0,0,7,26,3,3,3,0,0,44,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,21,44,50,61,42,15,226,0,0,0,10,10,4,6,0,0,31,0,0,0,10,3,0,0,0,0,12,0,0,0,5,0,7,10,0,3,36,0,0,0,0,0,5,4,7,3,22,0,0,0,10,0,0,0,0,0,10,3,10,7,94,9,8,7,3,0,138,0,0,3,12,7,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,8,3,0,0,0,0,14,0,0,0,0,3,16,46,38,18,125,0,0,0,4,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,6,5,5,39,11,9,0,0,0,73,0,0,0,0,0,3,4,0,0,9
21601,0,0,3,17,3,3,0,0,0,22,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,7,0,0,4,26,58,88,118,58,26,379,0,3,0,3,3,0,0,0,0,9,0,0,0,0,0,4,0,0,0,6,0,0,0,9,3,6,15,5,3,39,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,6,30,0,0,0,3,3,39,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,4,7,0,18,0,0,0,3,3,13,31,23,9,81,0,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,0,15,0,0,0,0,0,4,4,0,0,9
21602,0,0,0,7,3,3,0,0,0,14,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,4,24,45,65,97,55,15,298,0,3,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,6,5,0,8,17,4,0,44,0,0,0,0,0,3,3,0,0,7,0,0,0,0,0,0,0,0,0,3,3,3,0,51,4,3,0,0,0,67,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,3,16,4,0,0,0,0,25,0,0,0,5,0,4,4,4,0,12,0,0,0,3,8,13,46,32,9,106,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,19,4,0,0,0,0,36,0,0,0,0,0,4,7,6,0,16
21603,0,5,13,41,16,4,8,0,0,84,0,0,0,0,3,4,9,0,0,12,0,5,0,0,0,0,0,0,0,12,0,9,14,59,57,107,114,60,23,432,0,4,4,16,0,0,0,0,0,21,0,0,0,0,0,3,0,0,0,8,0,0,3,12,4,13,22,8,3,61,0,0,3,3,3,4,26,33,8,84,0,0,5,20,0,0,0,0,0,28,13,37,39,375,41,37,14,3,0,565,0,0,0,11,0,0,0,3,0,21,3,23,10,20,0,0,0,0,0,55,3,11,43,126,36,5,4,0,0,226,0,4,0,9,6,3,4,7,0,33,0,0,0,6,19,72,130,123,71,428,0,0,0,7,0,0,0,0,0,6,0,0,0,11,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,6,0,3,11,67,13,14,3,0,0,105,0,0,0,0,0,0,6,0,0,4
21701,0,0,6,6,5,0,0,0,0,23,0,0,0,0,0,0,3,0,0,5,0,0,0,4,0,0,0,0,0,4,0,13,5,37,63,94,106,77,17,413,0,0,0,4,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,3,7,5,7,21,10,4,51,0,0,0,0,0,0,3,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,3,33,5,4,0,0,0,48,0,0,0,0,8,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,15,0,0,0,0,3,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,12,0,0,0,0,0,3,3,3,0,16
21703,0,6,3,21,9,6,0,0,0,45,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,0,6,0,6,3,37,42,98,92,69,25,379,0,0,0,4,3,0,0,0,0,7,0,0,0,5,3,0,0,0,0,15,0,0,0,9,9,9,11,11,3,47,0,0,0,0,0,5,3,0,0,12,0,0,0,0,0,0,0,0,0,0,4,6,0,16,0,3,0,0,0,38,0,0,0,3,3,0,0,0,0,10,0,0,3,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,4,0,18,0,0,0,0,0,8,15,8,7,34,0,0,0,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,4,0,0,16,0,0,0,3,0,3,3,0,0,8
21704,0,5,6,44,16,5,3,0,0,77,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,3,0,0,13,0,21,6,69,71,91,115,62,36,481,0,0,3,3,0,0,0,0,0,13,0,3,5,7,4,0,0,0,0,16,0,0,4,3,7,9,12,11,3,39,0,0,0,0,0,3,0,0,0,5,0,0,3,6,3,0,0,0,0,14,0,7,3,28,4,0,0,4,0,51,0,3,0,12,3,0,0,0,0,20,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,8,19,0,7,6,0,0,49,0,0,0,0,3,3,0,0,5,20,0,3,0,9,6,0,0,0,0,19,0,0,7,14,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,8,11,3,0,0,0,23,0,0,0,0,3,0,5,0,0,10
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29999,0,4,43,31,0,3,0,0,0,82,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,24,32,16,18,16,3,0,116,0,0,0,0,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,7,0,0,3,3,3,0,6,0,0,19,0,0,0,0,3,0,0,3,0,3,0,0,5,11,0,0,0,0,0,18,3,0,12,30,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,3,3,0,0,3,0,0,0,0,12,0,0,3,4,0,0,0,0,0,9,0,0,6,7,3,0,8,0,0,19,0,0,0,0,0,0,0,0,0,9,0,0,8,9,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4
