SA3_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
21002,3,13,3,202,3,3,0,10,0,3,0,3,0,14,151,193,6,0,3,12,0,6,0,3,0,26,10,62,571,153,28,430,50,358,38,213,32,974,185,3031
21003,0,12,0,240,16,3,4,10,4,10,4,7,7,49,258,366,11,0,7,3,3,3,3,3,4,76,74,189,1750,227,58,794,86,652,26,371,70,2215,373,6617
21004,0,7,0,102,5,3,0,7,0,7,0,3,0,20,141,196,4,3,3,0,3,3,0,8,3,35,21,78,858,113,17,498,63,382,25,239,42,1077,184,3502
21005,3,12,3,196,36,4,4,22,4,25,4,20,11,74,364,567,13,7,3,11,4,12,0,4,4,111,95,259,2136,276,73,1192,136,1271,68,668,139,3486,532,9971
21101,9,23,0,486,32,3,0,22,11,31,0,26,17,77,567,795,18,7,13,15,9,10,0,5,3,124,80,279,3202,520,84,1932,179,1485,71,986,149,4792,721,14129
21102,0,25,0,230,0,0,0,0,0,5,0,9,0,25,111,151,8,0,3,6,0,0,0,0,0,28,12,56,382,119,19,285,19,218,4,205,18,868,128,2281
21103,3,30,0,448,22,11,4,12,4,21,5,15,3,79,412,582,18,3,6,3,0,12,0,3,4,84,49,175,2584,396,65,1358,141,997,62,712,105,3284,503,10201
21104,0,39,0,320,9,3,6,5,6,14,0,8,3,35,252,343,9,0,7,4,0,0,4,3,0,43,38,110,1152,235,34,661,61,615,24,435,60,2294,313,5874
21105,7,38,0,510,34,0,7,16,7,37,0,14,7,105,611,857,23,8,15,20,6,14,4,10,8,160,94,352,3187,698,121,2276,249,1454,120,1147,181,4513,787,14726
21201,0,17,0,251,31,4,4,9,4,34,0,8,3,67,332,497,14,3,8,8,5,3,0,9,0,61,60,177,2003,318,77,1290,131,897,62,508,78,2364,441,8173
21202,3,35,0,317,22,3,0,21,5,34,0,17,5,81,392,583,19,0,9,14,5,9,0,4,10,109,62,242,2149,339,72,1339,134,1267,56,716,137,3557,541,10314
21203,0,13,0,242,44,4,0,15,9,32,0,14,10,77,448,664,31,0,16,13,5,8,5,4,10,106,79,274,3234,353,84,1721,172,1469,67,693,130,3152,604,11673
21204,3,18,0,220,30,10,9,21,5,25,0,20,16,99,615,856,10,0,7,7,3,10,0,12,7,175,124,365,2524,605,97,1496,151,1828,78,1017,183,5812,839,14619
21205,3,95,0,863,27,6,4,17,4,25,6,10,3,103,737,939,13,7,8,3,0,4,0,7,12,135,91,273,2840,596,95,1488,140,1481,79,1200,153,6635,913,15599
21301,5,17,5,221,18,13,3,27,13,41,5,24,11,127,488,762,17,4,10,9,3,16,0,12,9,200,168,441,2360,493,97,1434,147,1727,70,914,169,5394,774,13591
21302,0,17,0,642,27,3,6,10,6,18,0,15,3,57,387,522,15,0,8,6,0,3,0,4,0,77,62,177,2154,232,66,921,120,880,49,431,87,2368,487,7786
21303,0,4,0,679,27,3,0,15,10,15,3,16,0,21,407,513,0,4,5,4,0,0,0,3,3,31,41,97,2754,404,70,1145,131,831,35,386,56,1333,483,7624
21304,3,10,0,298,29,0,3,16,6,38,0,24,3,77,421,635,28,3,10,18,0,6,0,4,5,112,74,262,2778,327,92,1447,189,1418,65,671,134,3350,558,11033
21305,4,11,3,557,58,10,3,22,8,47,3,19,12,73,708,969,32,0,11,10,3,10,3,0,8,105,87,279,4454,533,126,2177,263,2370,98,922,177,3986,889,15992
21401,4,27,0,363,47,4,0,24,12,28,3,14,3,90,533,761,14,3,9,15,3,14,3,7,7,139,68,282,2965,438,94,1689,186,1251,101,762,144,3767,668,12058
21402,14,194,7,944,31,7,4,28,3,26,4,27,6,203,827,1164,23,11,16,17,6,18,3,20,10,270,148,528,2442,892,158,2009,177,1409,114,1518,203,7900,1113,17941
21501,0,24,0,186,28,3,0,5,0,20,0,20,7,88,311,485,14,0,4,13,0,4,0,3,4,90,58,191,1296,336,87,1116,96,553,74,496,102,2601,446,7204
21502,3,22,0,121,20,7,3,15,0,11,0,3,5,45,271,383,11,0,4,8,4,5,0,7,3,78,74,203,1101,238,49,806,78,501,41,327,76,2066,395,5681
21503,3,3,0,97,10,3,0,7,0,12,7,9,0,49,176,270,18,3,11,8,0,0,0,3,6,68,55,164,784,212,51,644,54,349,40,278,71,1547,279,4308
21601,3,11,0,98,5,0,0,7,0,11,0,6,4,35,175,246,17,0,3,3,0,3,0,0,0,54,43,124,760,234,43,615,53,355,34,301,60,1697,268,4423
21602,0,14,0,68,6,0,0,5,0,8,0,6,3,46,141,225,4,0,4,3,0,7,0,3,4,62,37,128,551,151,56,477,53,268,25,219,47,1499,236,3579
21603,5,19,0,175,15,8,5,14,0,23,0,13,3,54,275,398,13,3,10,11,0,0,0,0,7,79,50,171,1200,256,67,891,90,564,50,428,82,2180,376,6177
21701,0,8,3,128,13,7,0,13,0,12,4,3,0,45,163,257,21,0,7,3,0,3,0,6,3,56,44,141,737,223,62,690,71,414,52,326,48,1450,248,4325
21703,0,20,0,125,14,5,0,9,0,4,0,9,9,45,174,270,10,4,8,5,0,3,0,3,0,41,37,116,746,271,59,649,69,310,29,314,53,1418,252,4166
21704,3,28,3,187,14,4,4,13,0,3,0,6,3,46,212,313,5,0,0,9,4,4,0,0,0,56,43,131,1053,272,57,858,87,427,40,399,65,1801,307,5368
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
