SA3_CODE_2016,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
20101,9,0,0,11,5,0,0,0,8,3,0,4,12,0,0,16,502,57,7,9,573,7,0,7,578,29,0,609,77,21,5,0,97,3,0,3,97,26,0,132,0,0,0,0,0,0,0,0,0,0,0,0,577,74,13,9,665,10,0,10,681,56,3,738,72,13,3,0,88,0,3,3,89,10,3,109,87,21,3,0,107,0,0,0,107,6,0,113,4,0,0,0,9,0,0,0,9,0,0,9,0,0,0,3,3,0,0,0,3,0,0,3,164,29,10,3,204,0,3,3,208,23,3,233,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,6,163,29,10,3,214,0,3,3,212,23,3,237,22,6,0,0,27,0,0,0,32,10,0,38,0,0,0,0,0,0,0,0,0,0,0,0,191,39,10,3
20102,0,0,0,0,3,0,0,0,5,0,0,0,5,0,0,5,116,9,3,3,135,0,0,0,135,10,0,144,12,0,0,0,17,0,0,0,21,8,0,29,0,0,0,0,0,0,0,0,0,0,0,0,135,9,3,7,152,0,0,0,158,18,0,175,11,3,0,0,18,0,0,0,18,0,0,18,20,4,0,0,26,0,0,0,26,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,12,0,0,41,0,0,0,41,3,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,12,0,0,45,0,0,0,45,3,0,47,5,3,3,0,9,0,0,0,9,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,38,10,3,0
20103,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,6,76,5,4,0,92,0,0,0,92,11,0,98,13,4,0,0,17,0,0,0,17,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,97,9,3,3,109,0,0,0,109,16,0,126,11,3,0,0,13,0,0,0,13,0,0,11,16,0,0,0,20,0,0,0,20,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,25,0,0,0,25,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,25,0,0,0,25,0,0,30,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,0
20201,3,0,0,5,10,0,0,0,8,0,0,0,6,0,0,9,389,71,11,9,476,7,0,7,481,31,0,518,58,13,0,0,71,4,0,3,74,36,0,110,3,0,0,0,3,0,0,0,3,0,0,4,449,77,11,13,551,11,0,14,558,69,3,626,58,10,0,0,72,0,0,0,69,0,0,69,60,18,3,0,75,0,0,0,75,5,0,84,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,122,25,5,0,149,0,0,3,153,4,0,160,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,120,26,5,0,152,3,0,4,155,3,0,158,14,7,0,3,24,0,0,3,28,7,0,31,0,0,0,0,0,0,0,0,0,0,0,0,136,26,5,4
20202,4,0,0,6,12,0,0,0,12,0,0,0,12,0,0,7,197,30,7,8,240,0,0,4,247,18,0,259,37,3,7,3,48,0,0,0,45,14,0,62,0,0,0,0,0,0,0,0,0,0,0,0,228,37,11,10,292,0,0,3,297,30,0,322,25,0,0,0,26,0,0,0,27,0,0,27,33,4,3,0,44,0,0,0,44,7,0,50,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,59,7,4,4,77,0,0,0,78,7,0,80,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,61,7,4,4,78,0,0,0,77,7,0,84,6,0,0,0,7,0,0,0,7,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,72,7,4,7
20203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,58,0,0,0,58,4,0,65,4,0,0,0,5,0,0,0,5,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,62,3,0,0,64,0,0,0,64,10,0,76,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
20301,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,111,14,4,4,135,0,0,3,135,3,0,144,19,3,3,3,27,0,0,0,29,3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,130,18,5,10,159,3,0,7,165,12,0,172,18,3,0,0,21,0,0,0,21,0,0,17,20,3,0,0,25,0,0,0,25,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3,0,0,47,0,0,0,47,5,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4,0,0,46,0,0,0,46,5,0,49,6,0,0,0,9,0,0,0,9,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,45,4,0,0
20302,29,0,0,29,31,7,3,0,42,7,3,9,55,3,0,55,1120,144,27,23,1312,22,6,27,1334,78,3,1417,195,35,4,6,236,6,0,12,246,71,0,320,0,0,0,0,0,0,0,0,0,0,3,7,1314,179,31,25,1547,32,7,39,1586,150,5,1746,189,15,3,0,209,3,0,4,215,22,0,234,239,43,3,0,283,0,0,0,283,23,0,308,9,0,7,4,23,0,0,0,23,3,0,25,3,0,0,3,6,0,0,0,6,0,0,6,443,57,14,11,526,3,0,4,531,44,3,574,3,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,4,4,0,4,10,0,0,10,7,0,0,0,13,4,0,4,11,0,0,11,452,61,14,8,536,7,0,7,541,44,3,591,73,18,6,0,96,5,0,3,100,42,0,144,0,0,0,0,0,0,0,0,0,0,0,3,523,78,22,9
20303,3,0,0,3,9,0,0,0,11,0,0,0,11,0,0,11,387,70,15,3,483,5,0,5,491,13,0,500,43,13,3,0,51,0,0,0,52,14,0,67,0,0,0,0,0,0,0,0,0,0,0,4,425,81,17,5,537,6,0,6,543,25,3,573,64,8,0,0,74,0,0,0,74,9,0,83,87,13,0,0,103,0,0,3,103,0,0,108,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,24,6,0,184,0,0,3,185,10,0,196,0,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,4,0,0,0,4,0,0,4,7,3,0,0,9,0,0,0,9,0,0,9,158,26,6,0,190,0,0,3,190,10,0,206,21,3,0,0,28,3,3,6,29,6,0,33,0,0,0,0,0,0,0,0,0,0,0,0,175,31,5,0
20401,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,177,34,8,4,220,4,0,6,223,15,0,240,26,5,0,0,37,3,0,3,37,3,0,38,0,0,0,0,0,0,0,0,0,0,0,0,203,41,3,4,255,10,0,12,265,17,0,280,24,4,0,0,26,0,0,0,27,9,0,34,19,3,0,0,24,0,0,3,23,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,8,0,0,47,3,0,4,52,10,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,8,0,0,50,3,0,4,54,10,0,60,9,0,0,0,9,0,0,0,9,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,51,8,0,0
