SA3_CODE_2016,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
20101,8,0,0,7,5,3,8,19,42,0,61,0,6,0,6,0,0,3,6,11,0,18,4,16,5,27,11,13,24,52,65,0,117,0,38,4,43,16,16,31,67,120,0,193,11,83,11,102,20,43,67,167,224,0,393,28,192,13,237,27,50,80,321,293,3,609,79,188,15,288,11,23,35,320,326,3,643,131,183,9,321,9,15,26,347,241,0,585,158,153,11,322,8,14,24,351,164,0,513,167,96,9,273,7,0,6,279,90,0,372,133,50,8,193,0,3,3,193,61,0,263,119,28,7,150,0,0,0,149,29,0,180,121,35,12,164,0,0,0,162,32,0,196,47,9,0,57,0,0,0,57,15,0,71,20,6,0,20,0,0,0,20,0,0,27,21,3,0,22,0,0,3,29,6,0,38,16,3,0,22,0,0,0,26,5,0,30,142,103,12,256,17,15,34,289,131,16,430,10,14
20102,0,0,0,0,0,0,0,5,12,0,17,0,0,0,0,0,0,0,0,5,0,6,3,6,0,12,0,5,3,16,17,0,37,0,4,0,12,4,3,9,18,22,0,42,3,30,0,31,3,4,10,39,33,0,72,8,40,0,51,8,6,16,62,50,0,110,15,45,8,69,3,3,3,74,63,3,137,15,47,10,70,0,3,3,67,38,0,108,33,30,0,65,0,3,8,65,54,0,117,20,20,0,44,0,3,3,45,19,0,68,22,11,3,38,0,0,0,37,13,0,51,19,6,3,30,0,0,0,28,10,0,34,13,10,0,26,0,0,0,26,11,0,34,3,0,3,8,0,0,0,8,6,0,11,10,0,0,7,0,0,0,7,0,0,9,4,0,0,3,0,0,0,3,5,0,8,6,0,0,8,0,0,0,8,3,0,6,26,22,7,51,0,3,3,59,57,4,116,0,0
20103,0,0,0,0,0,0,0,0,18,0,18,0,3,0,3,0,0,0,3,7,0,12,4,3,0,13,0,0,3,12,29,0,42,0,12,0,12,4,3,6,22,33,0,58,3,21,4,22,8,3,12,32,72,0,106,4,58,0,62,5,13,17,79,80,0,158,20,31,3,58,3,3,8,63,87,0,150,24,23,0,53,4,3,9,55,83,0,140,25,26,0,46,0,3,3,50,54,3,105,14,10,0,32,3,0,3,29,25,0,54,12,4,0,15,0,0,0,15,14,0,29,9,3,0,14,0,0,3,14,8,0,22,18,3,0,16,0,0,0,16,10,0,28,3,0,0,6,0,0,0,6,6,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,5,0,10,0,0,0,0,0,0,0,0,0,0,0,22,19,3,45,0,3,8,57,26,3,85,3,0
20201,0,0,3,3,4,3,7,11,43,0,49,0,8,0,8,4,5,7,17,21,0,37,3,22,0,23,10,13,26,52,78,0,128,3,35,6,44,19,15,33,78,117,0,193,12,76,14,98,16,11,29,125,171,0,294,36,197,26,252,18,38,60,317,268,0,583,65,209,18,291,12,12,31,326,304,0,633,132,197,13,334,9,11,20,355,243,3,602,170,151,8,331,7,8,17,355,179,3,532,148,89,13,256,0,3,3,258,112,3,377,143,44,9,198,5,0,5,204,57,0,262,94,32,4,132,0,0,0,131,27,0,158,115,38,5,160,4,0,4,160,37,0,196,38,13,3,52,0,0,0,57,13,0,63,9,3,0,10,0,0,0,13,3,0,13,15,0,0,15,0,0,0,15,11,0,27,11,0,0,16,0,4,4,21,7,0,25,140,100,17,261,6,13,19,281,142,8,427,13,13
20202,0,0,0,0,3,0,4,6,12,0,17,0,3,0,3,0,0,0,7,7,0,16,0,9,4,13,5,6,10,27,26,0,53,3,13,0,21,4,3,11,25,54,0,77,4,39,0,44,8,11,16,56,55,0,119,14,72,4,83,8,4,16,98,96,0,194,37,63,3,100,7,4,13,108,90,0,203,43,44,7,94,0,3,8,97,94,0,185,52,54,6,116,0,7,7,123,65,0,189,62,39,3,102,3,0,3,99,39,0,141,52,27,3,77,0,0,0,77,17,0,96,22,16,3,39,3,0,4,43,18,0,61,37,17,0,52,0,0,0,59,18,0,80,11,4,0,15,0,0,0,15,11,0,27,6,3,0,15,0,0,0,15,0,0,16,12,4,0,11,0,0,0,15,0,0,13,9,3,0,8,0,0,0,9,7,0,15,62,72,4,142,0,4,3,142,57,4,205,3,7
20203,0,0,0,3,0,0,0,3,4,0,3,0,0,0,0,3,0,3,3,0,0,3,0,5,0,5,0,0,0,5,6,0,13,0,5,0,5,0,3,4,7,15,0,21,3,3,0,4,0,3,0,8,23,0,33,4,18,0,18,0,0,0,16,30,0,49,7,8,0,16,0,0,0,16,27,0,46,8,9,3,14,0,0,0,14,23,0,39,8,14,3,30,0,0,0,30,20,0,50,12,3,0,17,0,0,0,17,7,0,20,4,3,0,12,0,0,0,12,5,0,15,8,3,0,12,0,0,0,12,0,0,8,4,3,0,3,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,4,0,10,11,10,0,19,0,0,0,16,22,0,47,0,0
20301,0,0,0,0,3,0,3,3,3,0,9,0,0,0,0,0,0,0,0,0,0,4,0,3,3,4,0,0,0,10,12,0,14,0,5,0,7,0,0,0,13,14,0,20,0,11,0,15,0,4,0,17,22,0,38,5,22,0,30,0,0,4,31,24,0,54,10,18,3,28,0,0,0,33,30,0,55,15,24,3,41,0,3,3,42,24,0,71,26,14,0,36,0,0,3,40,20,0,64,24,14,0,33,0,3,4,38,16,0,52,13,13,3,30,0,0,0,30,10,0,39,15,0,0,17,0,0,0,17,7,0,21,16,5,0,23,0,0,0,23,3,0,24,6,0,0,6,0,0,0,6,3,0,10,0,0,0,3,0,0,0,3,0,0,3,0,3,0,4,0,0,0,4,0,0,6,4,0,0,8,0,0,0,8,3,0,4,24,15,0,40,0,0,0,40,24,0,65,4,3
20302,9,6,3,17,7,6,13,27,97,0,128,0,20,0,23,9,5,12,39,44,0,76,3,47,9,59,16,19,38,97,159,0,256,13,70,12,90,18,24,45,133,184,0,311,19,149,10,183,46,29,74,258,336,0,594,56,327,32,415,51,56,107,521,468,3,996,130,296,21,445,23,26,50,496,488,5,985,190,311,36,534,9,26,40,572,436,3,1012,315,280,24,621,20,10,31,648,370,8,1024,284,185,22,496,12,3,16,513,208,5,729,251,107,9,367,3,3,5,370,125,0,498,217,63,11,287,5,6,4,296,78,3,375,300,54,13,372,6,6,4,379,91,3,465,106,14,3,122,0,0,0,122,25,0,149,39,6,0,44,0,0,0,44,13,0,57,43,13,0,52,0,0,0,53,19,0,75,46,6,3,50,3,0,4,57,13,0,72,219,193,22,433,21,12,32,466,275,9,758,19,20
20303,0,0,0,0,0,3,3,4,24,0,24,0,10,3,11,0,4,6,12,5,0,20,0,14,0,16,5,9,13,22,21,0,50,4,20,0,22,0,4,10,32,34,0,65,11,51,5,68,12,0,16,83,61,0,144,17,105,13,135,7,10,21,151,97,0,250,39,110,7,156,10,8,21,170,91,3,264,62,93,0,155,8,4,7,167,95,0,256,79,122,8,210,3,9,10,221,75,0,293,90,43,4,136,5,4,8,138,45,0,185,86,36,4,125,3,0,3,126,26,0,153,60,25,0,86,0,0,0,90,22,0,107,84,36,7,124,0,0,0,130,25,0,157,25,10,0,33,0,0,0,33,8,0,49,13,4,0,13,0,0,0,13,3,0,14,22,0,0,21,0,0,0,21,0,0,23,12,3,0,14,0,0,0,14,3,0,20,99,65,6,170,6,7,11,181,77,4,264,4,7
20401,3,0,0,4,0,0,0,3,23,0,29,0,7,0,12,0,0,3,8,9,0,22,3,14,4,21,8,3,13,33,35,3,74,0,27,7,36,3,7,9,40,57,0,104,11,36,4,56,8,9,19,73,74,6,144,16,101,5,123,8,11,16,145,114,0,259,34,75,8,112,8,11,13,126,104,0,228,58,63,4,126,9,3,10,138,104,4,246,63,58,8,131,0,0,0,133,69,0,205,63,28,3,92,3,0,3,96,56,0,154,48,18,7,81,0,0,0,80,29,0,109,51,15,4,69,3,0,3,69,18,0,89,56,8,0,64,0,0,0,68,13,0,86,25,3,0,34,0,0,0,32,8,0,39,8,0,0,9,0,0,0,9,3,0,14,7,0,0,11,0,0,0,11,5,0,16,5,0,0,3,0,0,0,3,4,0,10,59,73,0,131,7,0,12,147,85,3,233,3,4
