SA3_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
20101,103,28,61,5,198,70,19,18,8,117,61,32,117,5,211,45,15,193,0,257,410,65,393,31,892,266,112,609,27,1018,1498,244,643,40,2430,857,435,585,45,1921,1018,747,513,54,2340,950,953,372,42,2321,638,978,263,30,1903,627,916,180,19,1744,1191,1777,196,35,3200,633,1191,71,12,1909,315,752,27,9,1101,175,399,38,3,610,342,857,30,4,1237,570,1218,430,20,2238,219,110,117,9,456,9981,10850,4870,399,26101
20102,46,11,17,0,76,44,9,6,0,53,36,9,37,3,85,12,4,42,0,57,173,25,72,4,278,111,45,110,0,263,497,78,137,5,719,312,152,108,14,581,366,248,117,7,741,324,277,68,9,681,164,253,51,5,469,169,237,34,8,442,369,446,34,4,846,207,281,11,0,505,111,160,9,0,282,61,91,8,0,158,126,173,6,0,313,230,395,116,9,746,83,32,26,6,140,3431,2935,1007,66,7445
20103,57,11,18,0,85,32,3,12,0,53,25,10,42,0,84,14,3,58,0,74,230,27,106,10,374,137,55,158,5,357,710,94,150,9,963,331,145,140,18,628,341,277,105,8,729,274,257,54,10,593,142,225,29,3,399,160,184,22,0,369,210,303,28,3,551,97,153,12,0,258,35,97,3,0,134,20,41,10,0,63,30,60,0,0,90,211,330,85,3,622,102,31,35,0,167,3165,2299,1067,66,6595
20201,79,21,49,4,157,69,4,37,11,127,46,11,128,9,199,20,8,193,3,222,368,92,294,23,777,229,93,583,21,933,1363,219,633,58,2264,835,445,602,42,1925,1032,705,532,66,2342,997,920,377,40,2329,563,888,262,31,1738,567,851,158,24,1608,1076,1565,196,32,2874,581,1107,63,13,1768,320,618,13,5,960,135,369,27,0,529,277,586,25,3,893,562,1024,427,19,2030,214,83,96,10,404,9344,9617,4696,423,24078
20202,55,17,17,0,88,60,11,16,3,91,49,13,53,3,113,26,11,77,4,116,273,31,119,7,427,142,55,194,8,398,806,113,203,20,1139,483,184,185,30,878,652,370,189,21,1230,529,427,141,15,1120,319,417,96,10,846,297,401,61,7,765,547,778,80,4,1411,307,564,27,5,892,177,323,16,0,516,100,222,13,0,339,225,397,15,4,638,345,651,205,9,1214,125,49,38,3,216,5506,5020,1746,153,12425
20203,23,11,3,0,39,26,5,3,0,31,4,8,13,0,21,9,0,21,0,29,91,24,33,0,145,44,18,49,0,113,260,46,46,4,364,139,74,39,6,254,153,98,50,0,303,134,111,20,3,271,74,107,15,3,200,81,106,8,4,201,121,129,6,0,259,55,81,0,0,134,30,43,0,0,71,14,30,0,0,50,26,34,10,0,70,115,164,47,0,328,37,14,9,3,64,1442,1113,377,26,2962
20301,18,3,9,0,30,14,3,4,0,25,19,3,14,0,35,3,3,20,3,32,82,17,38,0,145,58,20,54,0,136,273,44,55,6,381,148,76,71,6,298,216,180,64,4,456,219,229,52,3,504,104,218,39,0,358,119,235,21,0,370,240,416,24,3,686,147,325,10,5,483,63,174,3,4,241,25,99,6,0,130,78,189,4,0,276,121,338,65,3,528,38,33,15,3,94,1998,2608,578,42,5219
20302,220,56,128,18,425,124,38,76,9,251,123,68,256,20,464,68,41,311,13,437,890,166,594,33,1679,452,236,996,26,1714,2534,475,985,74,4070,1553,728,1012,97,3384,1787,1284,1024,95,4197,1658,1569,729,100,4050,988,1615,498,48,3152,1103,1710,375,54,3244,2182,3408,465,73,6124,1323,2334,149,30,3835,658,1511,57,13,2240,361,881,75,6,1317,689,1818,72,10,2592,1131,2320,758,42,4241,437,240,210,14,894,18264,20489,8780,764,48298
20303,112,30,24,3,165,75,11,20,0,113,51,10,50,3,109,38,9,65,3,112,335,35,144,9,516,199,60,250,9,513,1055,120,264,13,1454,710,217,256,10,1200,940,424,293,25,1678,780,578,185,27,1570,447,676,153,12,1290,492,698,107,12,1317,932,1331,157,14,2431,557,1033,49,8,1643,312,615,14,3,947,183,430,23,0,642,423,828,20,0,1266,562,1098,264,8,1930,188,68,61,10,322,8392,8267,2409,161,19236
20401,106,17,29,3,156,63,13,22,0,103,57,11,74,3,143,34,17,104,0,159,329,32,144,5,515,202,59,259,5,522,1014,108,228,17,1361,519,239,246,27,1032,697,422,205,23,1340,621,464,154,15,1253,338,476,109,10,932,357,478,89,3,936,588,787,86,9,1467,353,551,39,10,955,161,268,14,0,447,92,141,16,0,250,187,271,10,3,471,472,731,233,5,1443,184,82,53,9,336,6386,5172,2104,157,13813
