SA3_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
20101,35,46,331,473,83,1159,32,578,55,2793,230,555,965,1018,457,895,146,606,78,4954,827,2536,1804,1161,1121,858,417,831,123,9670,1232,2591,1358,1039,1289,641,494,761,150,9549,1374,2152,1227,1128,1489,704,650,992,168,9881,907,1650,822,786,1107,533,547,766,92,7218,203,326,160,130,193,124,155,181,37,1517,41,34,13,5,20,6,18,19,13,173,6,0,8,3,0,0,0,10,4,31,4856,9890,6684,5748,5766,4920,2471,4737,720,45790
20102,18,8,110,100,19,171,8,176,6,609,60,57,202,133,68,104,33,118,19,789,185,261,357,181,167,106,100,170,20,1548,434,522,419,237,328,147,160,240,33,2517,542,608,455,393,449,199,253,322,53,3281,497,563,379,282,347,144,197,277,50,2726,268,159,60,46,88,37,45,74,18,801,64,10,4,4,6,3,3,6,9,107,9,0,7,0,0,3,0,3,5,27,2076,2189,1982,1385,1472,901,796,1395,219,12415
20103,12,4,76,61,14,190,9,120,7,496,50,54,162,104,37,96,19,146,13,669,155,208,280,138,112,95,89,209,16,1293,283,223,296,207,205,134,148,220,31,1753,345,271,309,310,288,147,194,326,40,2236,370,280,287,205,214,137,196,323,33,2041,215,78,47,39,51,35,31,59,26,577,46,5,3,3,4,4,3,11,14,91,6,0,0,3,3,0,4,3,0,21,1481,1127,1457,1062,925,845,694,1420,170,9185
20201,36,35,262,400,103,1014,59,614,39,2564,221,508,878,903,356,847,174,747,75,4711,821,2359,1722,1019,998,683,430,985,105,9126,1040,2163,1105,900,1126,618,470,799,123,8350,1094,1784,1067,1035,1312,658,581,899,121,8563,808,1403,728,821,1052,512,521,785,103,6723,192,286,131,134,208,123,125,142,35,1379,34,26,15,10,13,15,9,32,13,151,3,3,4,7,8,0,0,0,3,31,4247,8571,5916,5219,5169,4467,2379,5005,616,41593
20202,16,6,142,189,24,354,18,273,15,1044,49,99,331,212,87,195,59,233,14,1278,283,536,537,285,250,182,127,380,45,2631,685,1179,598,416,460,211,195,357,60,4156,858,1285,695,636,695,339,314,504,74,5404,693,1095,537,457,527,247,280,435,60,4334,294,265,105,84,122,81,85,98,32,1173,86,30,17,10,13,8,4,17,9,183,15,5,0,3,4,3,0,4,6,40,2976,4505,2970,2294,2181,1617,1085,2297,313,20238
20203,8,0,30,9,4,87,4,66,3,216,21,23,59,28,14,32,11,45,3,242,97,81,101,45,54,32,26,97,8,540,229,130,111,58,110,40,68,90,23,855,285,144,138,118,150,70,110,144,17,1174,392,134,110,78,98,48,113,155,16,1150,193,34,12,18,23,11,17,33,7,343,52,3,3,0,7,3,0,5,3,85,7,0,0,0,0,0,0,0,0,17,1295,545,564,360,460,317,356,636,82,4615
20301,11,3,85,70,13,147,4,120,16,478,38,44,163,111,43,84,31,109,14,632,164,275,353,162,162,99,106,122,17,1456,341,398,412,183,276,155,166,190,38,2151,393,364,345,260,306,148,183,220,45,2259,306,294,197,152,178,104,151,180,23,1584,194,75,48,28,40,16,30,53,13,494,38,3,0,0,0,3,3,8,3,60,9,0,0,0,3,0,0,0,0,18,1495,1463,1598,959,1034,751,684,999,164,9136
20302,52,74,519,801,176,1997,105,1064,82,4873,396,945,1644,1834,784,1726,412,1220,119,9073,1660,4855,3421,2215,2032,1543,1003,1583,278,18588,2291,4478,2552,1957,2347,1287,1076,1533,301,17825,2373,3591,2326,2287,2597,1251,1429,1822,278,17956,1509,2614,1596,1523,1898,968,1126,1464,187,12889,361,547,245,275,402,214,218,336,64,2660,47,59,21,5,28,17,20,53,27,280,8,7,5,0,4,4,0,7,12,57,8709,17176,12335,10900,10270,9013,5382,9074,1349,84191
20303,23,13,212,356,59,559,27,363,31,1638,99,178,508,484,150,401,41,245,35,2140,505,1576,1163,672,503,391,141,329,76,5352,1205,2104,1106,713,852,473,229,438,107,7222,1210,1876,1040,902,1084,536,290,469,122,7536,930,1546,774,615,875,467,320,433,92,6046,300,394,133,109,245,109,83,141,50,1566,52,41,14,4,20,12,3,18,13,184,4,3,0,0,0,0,0,0,3,22,4321,7737,4949,3859,3782,2948,1130,2436,539,31696
20401,31,15,212,237,38,382,36,301,25,1278,104,103,380,363,113,242,106,312,22,1734,435,571,760,538,337,235,237,496,61,3668,703,693,775,528,492,252,301,507,55,4307,892,755,762,609,696,389,432,733,99,5381,908,735,654,436,652,333,465,645,84,4913,503,241,142,113,156,104,82,143,41,1526,157,30,11,9,14,7,7,14,27,271,32,0,7,0,7,3,0,5,0,62,3768,3135,3700,2827,2503,1951,1676,3160,408,23132
20402,19,14,182,182,32,428,20,298,20,1201,87,138,357,213,111,202,77,235,25,1459,338,681,611,342,291,258,169,360,40,3085,542,781,587,429,444,290,260,416,62,3816,748,805,625,589,656,335,430,559,66,4813,779,777,451,486,560,258,362,526,47,4247,444,147,91,79,110,71,80,134,33,1183,137,15,8,5,13,10,3,15,14,222,25,3,4,0,3,4,3,3,9,45,3121,3359,2909,2335,2227,1853,1409,2554,311,20070
20403,44,37,352,355,82,692,41,418,35,2048,133,176,782,541,184,343,148,408,52,2766,564,1118,1221,790,572,473,386,642,77,5840,918,1347,948,684,800,430,443,600,113,6287,1221,1288,970,820,1061,541,633,809,121,7472,1095,1142,667,637,791,417,536,690,88,6055,502,221,144,120,166,113,139,153,38,1601,119,13,9,7,15,6,6,21,20,220,20,6,0,4,4,3,4,0,9,48,4612,5351,5094,3959,3679,3026,2334,3734,548,32340
20501,43,16,216,195,61,329,30,352,20,1248,106,157,471,268,138,247,80,292,26,1785,423,769,848,422,421,319,230,488,68,3983,642,774,627,429,521,234,301,430,83,4036,822,826,717,554,609,339,394,588,63,4914,714,798,515,373,507,236,353,470,59,4024,345,184,106,65,128,52,88,106,33,1100,115,10,8,7,13,9,3,13,12,192,20,0,3,6,0,0,0,3,4,37,3219,3541,3509,2301,2396,1758,1477,2759,359,21325
20502,22,9,110,148,19,361,14,223,22,933,70,89,295,196,79,168,54,201,12,1171,294,450,531,368,233,221,151,366,37,2649,392,530,496,408,343,259,189,378,46,3036,603,630,525,555,547,299,283,548,52,4041,698,616,440,424,493,292,263,502,74,3811,366,158,93,88,126,83,83,135,32,1172,111,20,8,8,11,8,4,13,18,206,11,3,0,0,0,0,0,3,0,24,2580,2507,2507,2190,1860,1693,1045,2358,299,17052
20503,34,10,201,209,31,506,18,297,24,1339,105,92,415,264,91,237,48,247,26,1524,487,676,854,463,335,312,204,492,48,3875,832,814,831,481,518,370,289,501,54,4690,1112,880,861,646,695,497,442,742,92,5966,1055,848,663,566,634,451,423,668,92,5386,578,216,158,108,188,116,97,176,42,1684,181,14,8,5,17,3,9,21,24,289,24,0,8,4,3,0,4,4,6,58,4405,3554,3994,2746,2518,2488,1537,3155,409,24806
20504,27,15,249,221,52,770,30,360,36,1767,131,287,694,505,335,485,92,332,50,2908,426,1207,1274,684,834,522,395,593,113,6049,616,981,953,623,869,471,477,645,105,5737,729,939,1111,750,1027,453,629,753,111,6507,577,841,783,585,737,312,565,659,111,5174,204,189,145,102,129,75,91,139,39,1108,42,23,12,7,13,11,3,10,9,137,12,0,0,3,0,0,4,0,4,25,2764,4484,5225,3494,3991,3099,2292,3485,574,29411
20505,18,16,155,128,36,377,23,222,24,1002,115,137,364,223,97,184,78,207,21,1429,414,677,662,379,296,189,201,384,49,3250,598,633,582,357,368,230,241,351,46,3402,667,624,588,489,505,250,333,485,61,4004,674,601,459,404,426,240,295,489,56,3648,360,105,97,59,94,48,76,115,23,970,91,14,11,5,4,5,8,14,11,161,16,4,0,0,0,0,0,4,11,39,2961,2802,2905,2037,1829,1524,1260,2276,306,17898
