SA3_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
20101,339,193,530,159,212,378,10,0,12,0,5,9,58,51,113,17094,15109,32202,1068,1256,2321,229,3,235,87,13,93,247,53,299,119,48,169,673,631,1302,20083,17592,37671,10,11,23,0,0,0,18,13,37,113,58,175,12,11,24,22,4,30,176,105,287,0,0,0,0,0,0,7,12,16,13,32,41,4,3,8,25,40,67,140,86,226,344,237,581,60,57,119,10,10,14,9,0,7,71,71,138,709,947,1652,1822,3471,5293,242,208,450,23267,22523,45790
20102,93,92,187,18,12,34,3,0,3,3,5,7,3,8,9,4203,3549,7746,219,231,448,159,3,162,29,3,31,18,4,24,42,31,73,234,185,422,5033,4116,9146,9,11,15,0,0,0,3,6,12,69,49,124,8,16,20,3,0,0,88,84,171,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,7,52,23,73,145,107,246,35,42,74,0,0,0,0,0,0,38,39,80,632,600,1229,556,960,1516,110,85,195,6520,5901,12415
20103,11,8,17,5,8,17,3,0,5,0,0,0,3,0,7,3318,2784,6097,181,222,396,108,8,120,11,4,17,31,15,43,43,11,55,226,144,373,3943,3201,7147,0,0,0,0,0,0,0,0,0,9,7,13,0,0,0,3,0,3,10,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,25,5,35,38,15,58,5,0,8,4,0,4,3,0,3,9,0,6,406,317,723,423,680,1111,69,69,144,4890,4294,9185
20201,119,77,192,200,196,393,7,7,13,8,7,15,39,44,80,15557,13897,29456,967,1218,2179,250,12,265,152,26,173,294,75,363,109,49,160,642,668,1310,18337,16258,34593,11,11,20,0,0,0,6,3,6,33,23,58,9,0,9,4,0,3,62,35,98,0,0,0,0,0,0,8,5,20,13,18,28,15,6,22,36,31,65,167,91,261,263,163,423,16,12,34,5,4,6,11,3,14,34,23,51,545,748,1295,1719,3134,4853,193,178,371,21093,20500,41593
20202,381,278,653,22,17,46,4,0,6,9,4,12,8,6,13,6692,5803,12494,382,414,795,176,9,183,34,3,36,87,40,129,64,41,106,360,306,673,8227,6917,15144,15,12,27,0,0,0,25,20,47,98,61,161,14,23,35,28,12,42,180,131,306,0,0,0,0,0,0,7,0,8,6,0,3,0,0,0,9,0,8,68,40,107,260,166,424,57,69,125,0,0,0,5,0,3,63,70,129,807,901,1705,958,1619,2573,127,136,259,10442,9801,20238
20203,5,4,4,8,4,8,0,0,0,0,0,0,0,0,0,1544,1216,2758,69,74,140,64,0,63,18,5,22,10,4,15,35,13,43,179,134,311,1926,1454,3377,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,4,17,18,9,29,0,0,0,0,0,0,4,0,4,3,0,3,387,302,682,146,304,447,41,37,74,2522,2096,4615
20301,32,10,41,30,13,43,0,0,0,0,0,0,4,0,4,3520,2738,6263,168,126,301,96,3,100,13,3,16,13,11,25,35,9,47,120,82,203,4040,2998,7037,0,0,0,0,0,0,0,0,0,29,14,43,0,0,4,0,0,0,32,16,45,0,0,0,0,0,0,3,4,4,0,3,3,0,0,0,4,6,9,25,15,39,61,37,101,17,6,29,3,0,3,0,0,0,21,6,31,384,352,735,384,726,1110,62,66,128,4953,4187,9136
20302,1211,730,1939,539,616,1151,20,8,30,13,11,24,102,80,182,30764,26737,57502,1846,2346,4188,420,9,430,210,25,230,594,167,757,241,106,350,1087,1199,2289,37044,32030,69071,73,57,131,0,0,0,74,68,140,340,229,564,42,33,72,64,13,79,594,396,985,0,0,0,0,0,0,37,34,77,25,60,85,15,9,26,82,108,185,301,177,483,973,677,1656,216,184,401,18,12,27,17,9,24,244,204,448,1173,1641,2814,3313,6104,9421,422,364,780,43176,41017,84191
20303,244,162,407,111,106,222,3,0,3,12,16,29,7,3,11,11516,10053,21569,509,602,1110,190,4,195,62,3,68,136,56,192,99,50,148,378,385,759,13273,11448,24725,9,4,16,0,0,0,4,10,16,211,119,328,5,13,20,8,0,5,242,148,385,0,0,0,0,0,0,9,22,33,7,15,27,3,4,4,16,44,59,99,60,158,357,248,608,94,63,159,0,4,3,12,0,14,104,70,174,934,1235,2174,1365,2336,3705,157,161,318,16196,15502,31696
20401,137,116,253,65,47,109,0,0,0,3,8,10,5,4,10,8101,6647,14746,519,455,970,240,6,248,50,7,57,99,26,125,107,59,165,737,572,1305,10074,7940,18011,11,5,13,0,0,0,5,9,11,63,46,108,9,5,9,8,3,10,88,68,154,0,0,0,0,0,0,0,6,6,3,0,5,0,0,4,3,6,14,94,27,120,182,106,287,24,32,54,0,0,0,7,0,4,29,31,55,872,911,1787,1032,1596,2632,206,156,363,12396,10737,23132
20402,11,3,18,31,30,63,4,3,10,0,5,11,19,8,31,7209,6323,13532,416,463,872,182,7,191,57,13,74,143,58,202,71,24,98,442,455,904,8593,7396,15991,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,7,10,10,0,0,0,0,0,0,0,3,3,0,3,6,0,0,3,3,9,12,75,34,104,81,52,129,3,3,5,0,0,0,0,0,4,5,6,10,689,698,1384,812,1446,2262,144,153,301,10322,9749,20070
