SA3_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
20606,67,65,50,38,39,23,8,492,5,72,64,36,8,8,24,31,13,32,36,32,22,13,21,416,0,0,0,4,21,26,58,31,9,21,18,30,33,15,13,278,0,0,0,0,10,21,44,46,6,17,9,19,15,11,9,206,0,3,3,17,12,14,3,0,3,0,0,0,0,0,0,52,0,4,15,62,111,128,130,92,26,26,39,34,45,28,22,752,0,11,16,8,3,0,3,0,0,0,0,3,0,0,0,35,0,20,18,10,10,9,11,13,9,6,10,16,3,8,6,149,6,11,35,69,145,149,331,360,138,134,140,129,158,101,46,1944,0,0,0,0,0,4,12,10,4,0,4,7,7,0,0,58,0,0,0,4,29,63,34,49,18,15,26,24,27,26,18,336,37,92,56,16,51,37,19,14,0,3,0,3,7,3,8,351,0,0,8,18,24,35,91,55,10,16,17,13,21,12,4,324
20607,51,54,43,36,39,23,15,539,10,183,330,92,16,15,27,34,13,17,35,29,33,16,38,884,0,0,0,3,14,27,67,42,9,13,0,14,20,12,18,242,0,0,0,0,14,11,36,37,6,15,21,9,12,14,5,180,0,3,8,14,20,7,3,4,0,0,0,0,0,0,0,58,0,0,12,48,109,131,154,97,24,30,24,26,46,32,25,748,0,19,35,5,4,0,0,0,0,0,0,3,0,0,3,72,0,21,25,15,13,16,13,11,3,4,9,8,17,14,11,183,3,8,31,83,210,248,447,482,193,221,181,192,176,118,77,2661,0,0,0,3,0,3,9,16,0,3,12,5,4,3,0,65,0,0,3,10,31,77,57,43,3,13,14,21,17,17,14,318,0,8,18,7,39,38,13,5,0,3,0,0,9,4,6,147,0,0,11,9,21,36,72,41,8,7,14,16,19,10,6,261
20701,32,31,18,6,3,3,13,489,18,471,609,165,46,16,32,29,4,21,22,23,15,3,45,1529,3,0,5,20,24,75,103,52,20,13,15,15,22,14,20,396,0,0,0,7,31,69,219,166,44,31,30,31,19,35,19,697,0,7,19,46,24,16,7,13,0,0,3,3,0,3,3,136,10,10,59,333,683,776,484,354,80,79,90,90,109,104,76,3333,0,39,35,17,4,0,0,0,4,0,0,0,0,0,0,109,3,78,63,22,32,18,38,26,4,0,3,8,5,0,9,314,15,40,82,217,318,346,620,358,96,143,93,94,98,54,72,2647,0,0,0,13,6,33,22,34,17,13,12,10,35,12,12,228,0,0,5,18,69,100,66,85,23,28,54,24,36,31,20,563,13,76,58,31,70,59,20,19,4,0,3,9,3,3,6,367,5,0,21,80,114,171,231,130,46,27,17,30,52,34,14,966
20702,5,0,3,0,0,0,7,117,26,890,1183,358,49,35,26,24,7,10,14,10,4,3,149,2802,0,0,0,13,19,16,59,28,0,6,10,3,0,3,3,167,0,0,0,3,20,80,216,233,42,39,18,14,8,19,22,724,0,12,47,107,92,61,28,4,0,0,3,3,0,0,9,366,0,5,48,169,506,741,644,557,109,122,113,113,156,93,78,3450,0,83,49,5,3,4,4,0,0,0,0,0,0,0,6,149,0,61,41,12,9,4,10,4,3,0,3,0,0,0,10,151,7,8,29,53,112,120,257,113,29,31,17,16,13,10,25,839,0,0,5,9,9,30,42,55,22,18,23,28,50,35,13,342,0,0,8,17,64,101,56,58,13,17,12,20,10,13,15,402,3,28,33,12,36,35,3,3,0,0,0,0,0,0,3,157,0,0,10,32,75,113,276,156,17,18,16,20,20,14,10,781
20703,8,18,0,0,3,0,9,214,8,220,353,148,11,15,8,5,3,4,11,9,0,0,28,835,0,0,0,0,13,26,80,47,9,15,14,8,16,18,14,246,0,0,0,7,12,47,203,233,31,61,44,38,41,35,26,779,0,3,6,15,11,15,3,3,0,0,0,0,0,0,0,63,3,3,31,109,315,617,466,379,60,90,125,181,235,181,128,2914,0,27,29,9,0,0,0,0,0,0,0,0,0,0,0,70,0,92,77,17,9,6,22,16,5,3,0,4,0,0,13,266,8,13,36,82,162,171,277,160,47,49,45,16,21,25,27,1139,0,0,3,0,3,8,18,47,12,20,19,33,25,14,3,206,0,0,0,12,50,127,58,77,33,34,46,61,75,43,14,628,0,21,31,28,53,51,12,10,0,3,4,6,0,0,5,216,0,0,6,26,46,75,146,128,9,14,30,18,26,23,17,567
20801,37,31,13,19,15,10,10,559,19,201,230,104,31,15,17,19,9,10,8,12,16,5,26,725,0,4,4,11,18,34,42,34,8,13,27,26,34,32,28,305,0,0,0,0,7,16,30,21,6,0,4,0,3,9,4,105,0,0,8,24,27,17,7,3,0,3,0,0,0,3,5,105,0,0,13,68,64,96,72,19,13,3,6,4,13,4,10,396,0,18,36,4,3,3,0,0,0,0,0,0,0,0,3,78,3,67,60,17,14,18,44,42,8,15,7,18,7,0,10,328,18,16,41,153,285,262,447,251,59,56,45,45,49,18,51,1793,0,0,3,3,6,3,3,9,3,8,3,4,0,3,0,48,0,3,0,14,37,35,30,21,9,10,3,9,18,12,10,215,3,62,86,38,126,89,30,17,0,3,5,3,7,3,9,477,3,0,6,15,22,30,53,56,12,12,3,12,13,16,3,270
20802,65,66,33,30,25,13,8,691,13,281,408,185,51,24,22,32,14,21,12,36,15,9,35,1161,0,5,3,21,22,71,159,111,18,42,46,72,61,36,37,709,0,0,0,3,23,60,172,230,72,34,56,58,48,26,16,783,0,8,10,42,48,25,13,9,0,3,0,0,0,0,4,168,3,4,8,73,188,194,221,207,31,53,45,45,70,44,27,1206,0,29,29,20,11,0,4,0,0,0,0,0,0,0,3,93,0,48,52,11,29,25,21,17,11,5,6,9,10,4,3,246,10,16,51,136,326,294,495,364,118,118,83,46,66,40,49,2219,0,0,0,6,4,15,12,33,8,9,22,14,12,6,5,152,0,0,0,15,80,153,75,115,28,46,58,65,56,42,16,758,83,420,350,83,235,128,52,30,6,0,9,7,6,3,57,1473,3,4,10,35,50,43,116,75,19,26,19,37,47,19,11,512
20803,43,51,23,10,3,3,10,567,11,218,365,183,47,11,22,14,5,11,15,17,9,3,37,981,0,0,3,7,10,59,88,42,7,17,6,12,3,8,8,270,0,0,0,4,9,11,46,48,0,3,0,8,3,3,4,143,0,3,4,37,41,23,19,11,3,0,0,0,0,0,8,145,0,3,9,37,78,118,85,52,8,8,12,4,12,12,12,447,3,38,53,8,10,3,0,4,0,0,0,0,0,0,6,132,0,98,81,32,32,12,27,33,0,3,0,3,0,4,10,330,9,13,34,152,315,301,538,274,111,87,49,47,29,28,61,2039,0,0,0,9,5,12,10,22,3,3,0,6,11,3,0,95,0,0,0,8,97,254,125,106,40,34,47,32,47,28,18,850,4,20,31,23,170,133,38,19,3,6,4,3,13,0,11,478,0,0,3,13,14,49,56,44,0,6,0,0,7,3,4,213
20804,10,4,14,3,3,6,0,133,0,71,110,44,4,7,3,3,0,4,3,5,0,0,10,263,0,0,0,3,8,19,28,25,0,0,13,4,5,6,6,118,0,0,0,0,11,10,38,34,10,9,15,11,5,3,4,135,0,0,4,7,3,5,4,0,0,0,0,0,0,0,0,31,0,0,7,38,81,79,79,58,13,18,13,24,46,17,18,503,0,7,3,4,0,0,0,0,0,0,0,0,0,0,0,16,0,21,16,4,3,6,6,6,0,0,0,0,0,0,0,72,0,4,17,42,66,92,152,73,24,33,33,26,25,13,21,617,0,0,0,0,3,3,3,10,3,3,4,4,7,5,0,50,0,0,0,6,23,22,20,32,8,10,13,7,15,17,9,181,11,26,22,14,28,13,8,0,0,0,0,0,3,0,0,119,0,3,3,6,25,23,52,23,11,17,6,15,11,3,7,214
20901,18,16,13,3,3,0,12,396,14,659,881,319,61,27,28,14,8,11,7,8,13,0,88,2150,0,3,0,5,16,25,77,52,4,9,3,6,9,7,5,222,0,0,0,0,5,21,50,83,10,0,8,7,5,0,4,209,0,8,30,96,86,73,27,10,3,3,3,3,0,3,20,373,0,0,14,56,171,225,200,119,24,30,40,25,37,7,19,983,3,69,88,18,16,7,0,3,0,0,0,0,0,0,6,212,0,75,63,15,23,4,29,20,3,0,13,0,0,0,3,249,9,11,33,92,187,225,341,199,78,65,32,20,19,43,52,1403,0,0,0,4,3,16,25,44,0,12,11,14,19,8,8,172,0,0,3,17,92,124,87,112,19,28,17,15,25,18,27,587,3,25,26,19,73,68,18,11,9,0,5,0,3,3,11,264,0,0,9,27,28,26,83,48,12,9,12,16,4,4,13,290
