SA3_CODE_2016,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
20101,10,24,0,0,0,0,0,0,0,30,23,193,3,3,0,0,0,3,0,224,204,435,38,21,38,23,17,15,8,795,11,31,0,3,0,0,0,3,0,46,90,274,13,38,23,10,7,13,0,482,21,46,3,12,4,3,0,0,3,90,619,1858,187,234,179,103,63,116,56,3412,0,3,3,0,0,0,0,0,0,10,178,229,133,107,64,55,50,46,10,875,228,221,232,167,102,88,51,78,17,1197,813,236,3578,381,257,361,641,713,102,7070,17,5,30,34,12,32,26,58,3,224,41,28,48,39,22,31,46,45,6,306,21,24,20,8,7,7,12,3,7,113,50,34,96,25,20,50,75,69,40,466,2328,3640,4387,1074,725,768,993,1162,253,15335,5,33,0,0,0,3,0,0,0,40,15,154,3,3,3,0,0,0,0,177,139,622,13,38,65,12,3,8,11,908,5,56,0,4,3,3,0,0,0,75
20102,0,0,0,0,0,0,0,0,0,3,10,44,3,0,0,0,0,0,3,63,50,86,6,8,14,3,3,7,3,175,3,3,0,0,0,0,0,0,0,6,25,60,3,10,8,4,0,4,3,118,6,8,0,0,0,0,0,0,0,12,158,339,56,48,51,27,25,32,11,739,0,0,3,0,0,0,0,0,0,3,75,75,45,21,15,8,12,14,3,276,77,57,57,48,27,8,10,22,11,324,391,60,974,80,65,60,249,260,47,2179,9,4,15,9,3,4,7,6,0,54,21,10,16,28,3,10,18,25,0,129,3,4,8,3,0,0,4,0,0,30,35,8,48,9,4,9,23,31,10,192,869,750,1229,267,193,133,354,415,95,4311,0,6,0,0,0,0,0,0,0,10,16,43,0,0,7,0,0,0,0,63,44,168,4,12,26,3,0,0,3,270,3,9,0,0,0,0,0,0,0,21
20103,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,9,19,35,3,0,3,0,0,0,4,59,0,0,0,0,0,0,0,0,0,0,7,35,0,0,3,0,3,0,0,49,3,9,0,0,0,0,0,0,3,13,72,150,24,24,13,0,3,14,8,303,0,0,0,0,0,0,0,0,0,0,30,36,15,20,8,5,10,7,5,137,50,26,35,37,12,9,5,18,3,194,339,48,759,76,43,60,212,223,30,1790,16,3,6,3,0,6,16,17,0,63,14,4,16,15,3,3,13,14,0,84,10,0,5,0,0,8,5,0,0,31,46,8,26,10,3,11,25,35,12,185,613,359,887,187,99,96,287,329,62,2913,4,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,9,10,55,0,8,6,0,0,0,0,89,0,8,0,0,0,0,0,0,0,10
20201,0,17,0,0,0,0,0,0,0,14,12,116,0,6,4,0,0,0,6,143,133,317,7,15,25,4,3,11,7,525,0,18,0,4,3,0,0,0,0,28,68,238,11,36,20,8,5,4,3,389,16,32,0,7,9,0,0,3,0,72,435,1615,130,149,168,102,48,106,20,2767,0,0,3,3,6,0,0,0,0,16,127,190,114,91,48,26,28,36,11,667,199,210,209,171,82,69,42,71,17,1079,797,248,3328,443,286,333,648,767,70,6920,21,12,36,14,12,16,33,67,3,222,36,24,45,36,19,40,50,64,3,312,19,31,21,10,7,8,11,16,7,129,51,32,78,40,17,46,67,79,34,439,1914,3097,3990,1021,700,653,926,1226,177,13715,3,31,0,0,0,0,0,0,0,34,9,95,0,0,5,0,0,0,0,109,81,493,9,38,45,14,0,5,3,695,4,43,0,0,4,0,0,0,0,57
20202,0,9,0,0,3,0,0,0,0,8,16,111,10,0,0,0,0,3,0,136,89,199,12,9,14,3,0,7,4,349,3,11,0,0,0,3,0,0,0,19,62,155,15,30,11,4,3,8,3,286,13,10,4,5,3,0,5,4,0,43,351,765,106,103,80,43,18,63,12,1528,0,0,0,0,0,0,0,0,0,7,92,144,69,47,32,29,13,22,7,459,118,101,83,81,36,23,25,42,10,507,479,105,1520,176,87,119,343,357,56,3236,17,8,7,7,5,4,14,21,0,75,33,17,23,23,9,4,24,29,3,167,14,16,10,6,0,4,8,10,3,66,51,24,41,23,10,17,35,57,19,280,1333,1662,1907,513,290,243,486,612,114,7166,0,17,0,0,0,0,0,0,0,22,22,104,0,5,6,0,0,0,0,137,96,325,8,18,40,7,0,6,3,503,7,27,0,0,5,0,0,0,0,35
20203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,3,4,14,0,4,4,0,0,0,0,29,0,3,0,0,0,0,0,0,0,3,57,62,15,5,4,5,11,6,0,170,0,0,0,0,0,0,0,0,0,3,50,12,3,9,0,4,3,9,0,88,39,10,10,11,5,6,3,7,0,90,289,24,294,26,18,19,109,126,15,917,4,0,5,4,3,0,3,8,0,25,22,0,4,0,0,0,3,3,0,40,3,3,4,0,0,0,0,0,0,16,20,5,9,4,3,6,9,16,6,74,501,136,343,59,39,48,145,177,28,1476,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,13,9,27,0,0,5,0,0,0,0,47,0,0,0,0,0,0,0,0,0,5
20301,0,3,0,0,0,0,0,0,0,7,7,28,0,0,0,0,0,0,0,36,27,48,0,4,3,0,0,0,0,88,3,4,0,0,0,0,0,0,0,6,15,41,6,4,0,3,0,0,0,69,4,8,0,7,0,0,0,0,0,19,149,229,30,17,24,22,12,8,3,506,0,0,3,0,0,0,0,0,0,3,60,55,38,10,10,11,16,16,6,229,67,43,53,35,13,8,9,21,4,252,305,43,902,75,48,58,208,206,31,1875,3,0,4,0,0,5,11,6,0,44,17,3,12,4,4,3,17,11,3,86,6,0,3,0,0,0,3,7,0,24,32,12,29,6,0,5,14,18,18,134,706,504,1085,157,114,123,297,305,70,3367,0,7,0,0,0,0,0,0,0,10,3,20,0,0,4,0,0,0,0,29,20,81,3,4,10,0,0,0,0,117,3,7,0,0,4,0,0,0,0,14
20302,0,22,0,3,5,0,0,3,0,28,39,462,5,7,8,0,0,3,0,530,337,691,71,56,60,56,49,51,17,1382,20,44,0,6,8,0,0,0,0,78,133,377,22,54,38,10,12,12,3,660,29,77,11,14,14,0,0,3,3,147,1176,3268,396,391,456,323,187,291,79,6574,4,7,10,5,4,3,3,0,0,33,334,426,358,201,112,109,93,119,17,1770,430,447,513,335,196,145,150,185,35,2421,1301,459,6236,818,456,542,1278,1455,204,12752,35,25,68,37,18,53,56,111,6,406,91,64,92,80,39,60,115,98,6,646,29,57,38,22,9,16,26,28,3,237,68,82,179,73,31,62,146,176,94,917,4030,6502,7994,2090,1462,1378,2112,2538,477,28575,12,72,0,4,6,0,0,0,0,86,28,273,6,6,17,4,0,0,3,328,199,928,33,114,112,37,3,16,14,1452,18,79,3,3,15,3,0,0,3,121
20303,4,8,3,0,0,0,0,0,0,23,19,164,0,3,0,0,0,3,0,192,172,327,17,13,28,4,3,3,9,580,8,13,0,3,3,0,0,0,0,22,53,197,23,17,17,5,5,9,5,338,19,29,0,5,0,0,0,0,0,59,642,1503,199,175,168,109,35,98,41,2968,0,0,4,0,0,0,0,0,0,11,165,213,140,85,33,50,30,38,14,766,214,200,201,126,53,78,39,45,17,975,669,181,2668,281,135,211,308,461,77,4998,7,8,20,13,12,16,13,16,3,109,44,26,35,31,8,29,16,32,8,226,15,24,25,7,10,8,12,7,0,102,48,40,61,27,17,21,33,32,33,310,2081,2932,3401,786,488,531,501,749,209,11678,7,30,0,0,6,0,0,0,0,50,13,127,4,3,3,0,0,0,0,163,124,463,3,36,53,9,0,6,4,702,9,45,0,7,5,0,0,0,0,71
20401,0,0,0,0,0,0,0,0,0,3,13,33,0,4,3,0,0,0,3,58,68,76,3,17,10,4,3,6,3,189,4,6,0,0,0,0,0,0,0,16,22,78,5,21,11,0,0,4,0,146,4,11,3,3,0,0,0,0,0,22,290,419,76,73,45,30,22,57,8,1003,0,0,0,0,0,0,0,4,0,11,177,74,48,44,25,25,20,35,8,462,184,78,87,113,32,23,23,46,7,597,694,118,1967,228,133,161,532,541,81,4459,19,4,21,20,3,9,16,33,0,129,49,17,29,24,12,16,31,39,5,225,16,3,18,5,7,4,15,13,0,73,75,15,83,22,3,22,51,68,46,386,1610,947,2347,574,288,296,715,838,159,7775,0,7,0,0,3,0,0,0,0,11,9,35,0,0,0,0,0,0,0,43,55,138,7,13,23,0,0,13,3,252,3,14,0,3,0,0,0,0,0,22
