SA3_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
20101,14,455,1725,1439,1469,1186,433,130,62,6915,5,144,1189,1035,1078,690,189,69,20,4438,0,51,761,964,883,605,121,34,5,3434,0,20,409,631,661,453,75,23,10,2279,3,12,401,712,810,552,113,25,9,2636,8,17,115,395,473,313,107,48,25,1507,670,608,962,880,943,937,993,794,470,7255,6819,7686,13301,12700,13287,12360,9822,5476,2398,83848
20102,3,73,245,367,457,368,146,34,16,1709,3,26,157,228,315,253,76,15,10,1085,0,8,127,225,271,211,57,17,6,921,0,3,56,144,189,122,32,9,7,563,0,4,65,217,249,173,39,4,9,764,0,5,23,108,127,101,41,3,0,410,208,120,207,292,429,489,415,248,166,2580,1505,1106,2203,3394,4478,4777,3772,1557,648,23428
20103,3,48,205,248,315,282,105,34,18,1261,3,18,103,156,219,120,40,8,3,663,0,8,71,128,145,134,32,4,0,522,0,5,35,67,80,59,16,3,3,266,0,0,25,74,85,64,13,4,3,280,0,3,16,22,33,32,22,5,4,147,172,79,198,286,385,430,536,296,130,2515,1330,1079,2016,2657,3532,4195,3882,1854,700,21245
20201,13,440,1608,1187,1281,1041,389,143,71,6174,8,182,1111,931,926,668,185,42,21,4070,0,53,688,815,793,567,135,28,15,3086,0,20,371,514,547,361,85,21,11,1931,3,19,386,652,661,420,88,46,14,2282,9,18,111,279,290,235,84,41,11,1067,653,504,950,790,887,947,957,846,712,7258,6023,6970,12416,11241,11552,11405,8880,5240,2515,76243
20202,15,124,438,592,740,610,253,88,26,2885,4,46,277,450,542,443,154,36,5,1958,0,15,210,407,472,385,100,30,8,1627,0,11,104,247,323,223,47,16,5,978,0,4,119,394,511,311,78,22,4,1441,3,4,33,198,273,171,91,24,5,803,366,214,586,642,725,767,693,442,295,4723,2668,1878,3871,5768,7219,7525,6155,2852,1128,39071
20203,0,28,94,124,148,172,47,10,11,637,0,13,55,68,89,103,17,14,3,367,0,3,28,71,67,63,20,0,4,251,0,3,18,38,49,42,14,0,0,163,0,0,12,44,42,41,7,3,0,147,0,0,6,21,25,28,5,8,0,87,116,30,86,130,167,198,207,134,70,1145,686,384,818,1194,1701,2013,1568,786,311,9469
20301,4,59,295,313,330,237,90,15,0,1346,0,25,176,258,209,166,48,11,4,896,0,17,137,240,222,114,29,7,0,768,0,3,77,140,134,79,16,0,0,439,0,7,80,174,165,117,21,6,3,580,3,7,26,68,128,68,27,7,3,330,173,72,117,181,203,198,174,110,89,1320,1242,863,1864,2696,2833,2563,1761,687,258,14759
20302,22,848,3304,2625,2564,2045,764,264,127,12565,12,288,2410,1980,1805,1279,356,87,43,8254,6,123,1669,1716,1631,1092,232,72,17,6557,4,53,877,1255,1210,794,159,27,22,4397,7,22,911,1722,1686,1036,218,46,27,5675,11,33,261,817,903,575,188,74,38,2897,1102,1082,2065,1864,1939,1738,1755,1470,1132,14144,12055,13688,25386,23722,24312,22243,17524,10355,5191,154470
20303,9,185,904,958,1018,985,532,142,63,4792,5,65,778,817,774,631,261,64,31,3425,4,32,526,801,746,584,195,57,24,2968,0,8,263,579,579,412,123,43,14,2020,0,10,279,830,727,546,179,58,14,2637,5,4,120,429,503,349,179,56,21,1674,357,215,455,564,621,768,910,595,411,4889,3814,2906,6841,9119,9326,10308,9245,4456,1869,57894
20401,21,175,659,666,783,745,294,92,55,3486,3,76,419,505,511,512,150,34,10,2234,0,37,282,355,441,362,89,36,9,1605,3,11,155,255,334,236,71,25,9,1091,0,4,127,285,385,269,96,25,5,1203,0,9,33,100,139,143,94,50,17,579,480,236,501,577,731,905,897,575,307,5212,3227,2554,5066,5864,7372,8373,7314,3521,1384,44677
