SA3_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
20101,0,5,5,20,11,7,12,9,3,67,0,0,0,4,11,24,32,24,11,99,0,0,0,9,3,0,0,4,0,19,0,6,3,10,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,6,0,11,12,32,11,13,3,8,0,85,0,0,0,0,3,10,16,3,0,36,0,0,0,3,0,3,0,0,0,9,0,0,0,4,0,0,0,0,0,5,0,0,3,10,0,0,0,0,0,13,3,0,0,4,10,44,103,75,8,247,3,31,37,115,79,61,40,16,3,378,0,0,0,0,6,7,9,9,0,38,0,4,3,25,3,0,0,0,0,40,0,0,0,3,7,0,0,0,0,13,9,26,19,76,14,5,0,0,0,151,0,0,0,4,0,0,3,0,8,14,0,3,5,23,24,31,54,26,8,180,0,3,0,7,5,0,0,0,0,23,0,7,14,44,21,15,8,4,0,110
20102,0,6,3,8,12,9,8,3,0,40,0,0,0,9,6,12,18,4,0,48,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,0,0,14,0,0,0,3,5,21,23,4,0,67,0,0,0,3,0,4,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,8,21,30,20,3,83,0,3,5,25,43,46,24,11,0,153,0,0,0,0,0,5,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,0,0,0,0,16,0,0,0,4,0,0,7,0,0,13,0,0,0,9,10,17,24,12,3,68,0,0,0,3,0,3,0,0,0,10,0,0,3,5,3,5,7,0,0,24
20103,0,0,0,3,3,3,6,0,0,19,0,0,0,0,3,0,9,10,4,25,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,14,14,3,0,36,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,43,14,3,82,0,3,3,25,22,33,22,13,3,122,0,0,0,0,0,3,3,6,0,10,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,8,0,7,4,0,0,0,0,20,0,0,0,0,3,0,4,0,0,5,0,0,0,0,3,15,21,9,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,14
20201,0,7,0,15,8,7,14,6,3,67,0,0,3,3,9,11,19,17,12,67,0,0,5,0,0,0,0,0,0,8,0,7,9,15,0,0,0,0,0,24,0,0,0,3,0,3,0,0,0,11,0,3,11,30,15,11,3,0,0,80,0,0,0,0,0,5,8,3,0,17,0,0,0,7,3,0,0,0,0,11,0,8,31,114,34,20,6,9,0,221,0,3,0,14,0,0,0,0,0,20,0,0,0,3,3,22,33,20,10,95,0,15,33,109,62,47,24,11,4,309,0,0,0,3,6,5,9,0,0,24,0,3,3,21,0,0,0,0,0,31,0,0,0,4,6,0,0,0,0,17,3,17,22,46,9,10,5,0,0,110,0,0,0,0,0,0,0,3,3,7,0,0,3,18,13,25,31,27,5,118,0,0,3,5,3,3,3,0,0,18,0,6,25,32,24,12,8,0,0,114
20202,0,5,0,17,7,5,6,8,3,54,0,0,0,8,9,14,36,9,6,78,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,8,8,0,0,0,0,15,0,0,0,3,8,10,4,0,0,22,0,0,0,0,0,16,20,3,0,44,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4,9,16,20,48,29,3,123,0,9,10,68,68,72,38,12,4,279,0,0,0,4,3,3,4,3,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,12,3,5,8,18,3,3,0,0,0,42,0,0,0,3,0,5,4,0,4,14,0,0,0,18,14,20,36,10,3,108,0,0,0,3,3,0,0,0,0,7,0,0,10,12,9,9,13,3,0,56
20203,0,3,0,3,0,0,0,0,0,8,0,0,0,0,0,0,7,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,0,16,0,0,3,10,6,15,11,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,9,3,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,7,0,0,0,13
20301,0,0,0,6,6,3,5,0,0,19,0,0,3,3,9,4,12,3,4,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,3,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,16,28,12,0,63,0,8,5,34,19,13,10,4,0,94,0,0,0,0,7,4,3,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,5,0,0,0,3,0,4,0,0,0,6,0,0,0,8,5,18,13,4,0,41,0,0,0,0,3,0,0,0,0,7,0,0,0,4,3,0,0,0,0,7
20302,3,24,14,71,35,33,25,20,11,223,0,3,15,42,63,121,205,182,93,732,0,3,6,16,5,0,0,0,0,32,3,15,16,40,0,7,0,0,0,77,0,0,3,27,13,14,3,3,0,62,3,9,37,85,27,26,13,10,0,209,0,0,0,3,3,31,58,13,0,112,0,4,7,19,6,3,0,0,0,41,3,6,38,74,20,12,11,0,0,174,0,0,7,45,0,0,0,0,0,56,0,5,6,11,18,102,239,113,54,544,11,45,108,344,156,142,72,33,3,913,0,5,0,18,19,41,39,28,11,155,10,35,48,135,13,5,5,0,0,248,0,3,0,12,12,3,0,0,0,30,3,49,95,150,74,29,11,3,0,415,0,0,3,30,18,41,28,18,18,159,0,10,10,61,89,126,133,79,19,527,0,11,14,16,27,17,14,0,0,97,0,21,28,90,38,39,17,9,0,244
20303,0,5,0,22,18,13,17,7,10,103,0,0,0,15,13,26,58,37,13,165,0,0,3,4,0,4,0,0,0,16,0,3,3,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,9,0,4,3,17,9,8,0,0,0,42,0,0,0,3,4,28,46,23,0,108,0,0,0,4,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,4,0,12,10,35,76,44,12,188,7,29,23,143,78,57,56,15,0,412,0,0,0,4,13,7,16,7,0,45,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,7,0,0,0,16,0,4,9,9,3,0,0,0,0,30,0,0,0,8,0,0,3,7,5,20,0,5,3,24,34,48,58,35,6,219,0,0,7,6,5,0,7,0,0,26,4,13,7,41,24,13,11,7,0,121
20401,0,3,0,15,10,6,9,10,0,60,0,0,0,3,3,22,40,18,11,106,0,3,5,3,0,0,0,0,0,16,0,0,5,6,3,0,0,0,0,14,0,0,0,3,0,0,3,0,0,3,0,6,5,8,10,3,0,7,0,43,0,0,0,0,0,18,17,9,0,49,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,11,11,30,61,18,6,132,0,6,25,58,70,52,53,6,3,276,0,0,0,3,0,5,4,3,0,21,0,0,0,9,0,0,0,0,0,7,0,0,0,3,5,0,0,0,0,7,5,18,11,24,7,3,0,0,0,64,0,0,0,0,0,4,6,7,0,22,0,0,0,7,12,25,35,11,9,97,0,3,3,0,4,0,0,0,0,16,0,3,0,11,8,10,12,11,0,44
