SA3_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
20101,44230,..,..,..,..,44230,..,29,3,29,0,29,..,85,9,94,0,94,..,8,0,12,0,12,..,66,13,81,0,81,..,328,97,420,3,424,..,26,10,39,0,39,..,414,121,539,3,542,..,53,6,61,0,61,..,64,3,65,0,66,..,55,3,59,0,59,..,72,3,69,0,69,..,63,11,75,0,79,..,47,0,46,0,46,..,109,5,110,0,110,..,123,9,129,0,130,..,43,8,43,3,51,..,43,4,50,0,50,..,57,7,58,0,58,..,410,28,440,4,446,..,103,0,105,0,109,..,45,8,53,0,53,..,19,0,18,0,18,..,5,3,12,0,12,..,23,0,23,0,23,..,36,8,40,0,40,..,15,3,18,0,18,..,33,0,31,0,31,..,3,0,3,0,3,..,16,0,16,5,22,..,50,3,55,0,55,..,10,0,12,0,12,..,63,0,66,0,71,..,10
20102,12280,..,..,..,..,12280,..,7,0,7,0,7,..,5,0,6,0,6,..,0,0,0,0,0,..,5,3,6,0,6,..,19,4,24,0,24,..,0,0,0,0,0,..,28,10,35,0,35,..,30,6,31,0,31,..,20,0,24,0,21,..,22,0,22,0,22,..,40,0,40,0,40,..,29,3,36,0,36,..,3,0,3,0,3,..,6,0,6,0,6,..,4,0,4,0,4,..,4,0,4,0,4,..,0,0,0,0,0,..,7,0,7,0,7,..,27,0,24,0,24,..,53,0,53,3,54,..,5,0,4,0,4,..,0,0,0,0,0,..,14,3,15,0,15,..,33,0,33,0,33,..,4,0,4,0,4,..,10,0,9,0,9,..,6,0,6,0,6,..,0,0,0,0,0,..,24,4,26,0,26,..,3,0,3,0,3,..,0,0,0,0,0,..,9,3,8,0,8,..,0
20103,11333,..,..,..,..,11333,..,0,0,0,0,0,..,6,0,4,0,4,..,0,0,0,0,0,..,4,0,4,0,4,..,9,8,22,0,17,..,0,0,0,0,0,..,13,8,26,0,26,..,3,0,3,0,3,..,13,0,14,0,14,..,11,0,9,0,9,..,18,0,19,0,19,..,22,3,24,0,24,..,0,0,0,0,0,..,5,0,5,0,5,..,9,0,11,0,11,..,3,0,3,0,3,..,3,0,5,0,5,..,4,0,4,0,4,..,30,3,30,0,30,..,13,0,19,0,16,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,3,7,..,17,0,14,0,14,..,0,0,0,0,0,..,5,0,5,0,5,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,15,0,12,0,12,..,0,0,3,0,3,..,7,3,9,0,9,..,0
20201,40103,..,..,..,..,40103,..,31,0,31,0,31,..,77,7,81,0,81,..,9,0,9,0,9,..,43,10,45,0,45,..,141,58,206,3,202,..,18,0,18,0,18,..,199,68,264,3,269,..,12,0,11,0,11,..,14,0,21,0,21,..,30,0,30,0,30,..,42,0,42,0,44,..,58,10,63,0,67,..,28,0,27,0,27,..,88,3,95,0,95,..,100,10,110,0,114,..,51,0,51,0,51,..,36,0,32,0,34,..,60,5,62,0,62,..,362,21,380,3,379,..,79,9,82,0,82,..,17,0,17,0,12,..,23,10,30,0,30,..,3,0,3,0,3,..,11,0,11,0,11,..,13,3,18,0,18,..,6,0,6,0,6,..,16,0,14,0,14,..,4,0,4,0,4,..,3,4,3,0,3,..,42,0,48,0,44,..,19,0,19,0,19,..,28,0,31,0,31,..,7
20202,20183,..,..,..,..,20183,..,4,0,4,0,4,..,7,0,10,0,10,..,0,0,0,0,0,..,8,10,23,0,23,..,38,55,90,0,90,..,0,3,6,0,6,..,50,66,120,0,121,..,12,0,12,0,12,..,38,4,44,0,45,..,36,3,35,0,35,..,84,0,84,0,84,..,44,3,48,0,48,..,3,0,3,0,3,..,15,0,15,0,20,..,17,0,22,0,22,..,7,0,7,0,4,..,3,0,5,0,5,..,11,0,11,0,11,..,48,3,54,3,56,..,73,5,79,0,81,..,14,0,12,0,12,..,0,0,0,0,0,..,3,0,4,0,4,..,16,0,16,0,16,..,0,0,0,0,0,..,9,0,7,0,7,..,3,3,8,0,8,..,4,0,4,0,4,..,5,3,8,0,8,..,20,0,20,0,20,..,4,0,4,0,4,..,13,0,11,3,14,..,7
20203,5147,..,..,..,..,5147,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,5,0,5,0,5,..,5,0,5,0,5,..,8,0,5,0,5,..,8,3,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,14,0,14,0,14,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,10,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,17,0,17,0,17,..,0,0,0,0,0,..,14,0,14,0,14,..,3
20301,8773,..,..,..,..,8773,..,0,0,0,0,3,..,4,5,14,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,4,..,0,0,0,0,0,..,8,0,8,0,9,..,15,0,17,0,17,..,12,0,12,0,12,..,8,0,8,0,8,..,18,0,18,0,18,..,7,0,9,0,9,..,0,0,0,0,0,..,4,0,4,0,4,..,6,0,6,0,6,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,16,0,14,0,14,..,36,0,43,0,42,..,3,0,7,0,7,..,0,0,0,0,0,..,5,0,5,0,5,..,12,0,12,0,12,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,3,0,3,..,0,0,0,0,0,..,11,0,16,0,16,..,3,0,3,0,3,..,10,0,10,0,10,..,0,0,0,0,0,..,0
20302,73887,..,..,..,..,73887,..,71,0,71,0,73,..,302,59,367,8,370,..,12,0,12,0,12,..,152,44,194,3,198,..,638,170,803,3,808,..,57,23,77,0,77,..,851,237,1083,3,1087,..,822,135,961,13,973,..,163,6,171,3,173,..,131,6,138,0,139,..,284,4,285,3,292,..,320,36,357,3,360,..,62,3,61,0,61,..,300,7,304,3,310,..,377,31,408,3,411,..,118,6,127,0,127,..,138,10,148,0,148,..,176,5,187,7,186,..,1169,63,1233,9,1241,..,867,108,976,25,1000,..,90,3,90,0,90,..,48,20,68,0,68,..,415,72,488,8,489,..,69,5,71,0,71,..,172,29,205,0,207,..,152,22,178,0,174,..,100,17,113,0,114,..,15,0,20,0,20,..,311,50,365,5,369,..,165,3,167,0,167,..,83,0,88,0,90,..,188,0,191,0,191,..,65
20303,31449,..,..,..,..,31449,..,24,0,21,0,21,..,11,0,9,0,16,..,3,0,3,0,3,..,19,3,24,0,24,..,59,16,77,3,79,..,3,0,7,0,7,..,82,25,102,3,108,..,46,5,51,0,51,..,75,0,75,0,75,..,58,3,66,0,61,..,136,0,137,0,140,..,123,22,148,0,146,..,0,0,0,0,0,..,18,0,18,0,18,..,15,0,15,0,15,..,15,0,15,0,15,..,0,0,0,0,0,..,15,0,15,0,15,..,66,0,63,0,63,..,185,6,188,7,195,..,21,6,28,0,30,..,6,0,3,0,3,..,18,3,22,0,22,..,40,9,50,5,50,..,10,0,8,0,8,..,15,0,12,0,12,..,8,3,10,0,10,..,3,0,3,0,3,..,11,5,12,0,12,..,3,0,3,0,3,..,22,0,22,0,22,..,7,0,7,0,7,..,0
20401,23605,..,..,..,..,23605,..,8,0,8,0,8,..,25,0,25,0,25,..,3,0,3,0,3,..,29,15,48,0,48,..,73,56,124,0,126,..,44,21,61,0,61,..,150,86,233,0,235,..,15,0,13,0,13,..,20,0,21,0,21,..,26,0,26,0,26,..,76,0,76,0,76,..,57,5,56,0,56,..,4,0,4,0,4,..,25,0,24,0,24,..,37,4,42,0,40,..,6,0,6,0,6,..,9,0,9,0,7,..,5,0,5,0,5,..,83,3,86,3,87,..,128,7,131,5,136,..,23,3,29,0,29,..,12,3,12,0,12,..,10,0,12,0,12,..,26,0,28,0,28,..,6,0,3,0,3,..,10,0,10,0,10,..,0,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,25,0,23,0,23,..,7,0,7,0,7,..,28,4,31,0,31,..,11
