SA3_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
20101,9464,759,490,72,18,7,49,10850
20102,2582,197,112,23,3,0,17,2935
20103,1913,201,132,26,3,4,26,2299
20201,8300,717,467,59,17,5,54,9617
20202,4455,323,194,33,5,0,18,5020
20203,962,82,43,11,0,0,7,1113
20301,2334,160,93,12,3,0,7,2608
20302,18063,1415,752,136,25,10,95,20489
20303,7420,509,263,35,8,0,29,8267
20401,4440,417,229,38,12,0,31,5172
20402,3833,317,208,48,7,0,43,4455
20403,6221,546,375,50,3,3,37,7233
20501,4580,384,257,36,4,3,34,5298
20502,3307,293,181,37,7,3,33,3871
20503,4932,396,289,45,0,6,40,5711
20504,6082,601,379,66,11,5,55,7200
20505,3675,326,219,28,3,5,37,4292
20601,7968,348,126,61,3,0,17,8524
20602,5315,251,82,35,0,3,11,5699
20603,7200,313,112,30,3,3,11,7676
20604,5205,275,79,27,0,0,14,5607
20605,6791,434,119,18,7,0,11,7379
20606,3777,255,67,19,0,0,12,4135
20607,5497,374,88,35,3,0,11,6011
20701,20764,855,303,156,11,6,17,22119
20702,11759,508,171,139,10,10,27,12624
20703,11917,492,195,80,6,0,26,12715
20801,12533,625,226,54,6,3,21,13462
20802,17918,798,251,112,11,0,28,19126
20803,13628,876,398,90,13,0,24,15027
20804,4853,197,59,27,0,0,3,5141
20901,14743,723,314,106,9,0,34,15931
20902,9475,427,199,130,9,4,26,10264
20903,9260,553,256,70,0,0,17,10155
20904,27932,1446,919,368,38,19,71,30793
21001,7301,365,164,59,6,3,19,7908
21002,3752,207,139,29,4,0,12,4148
21003,8447,338,188,74,7,0,15,9069
21004,4600,365,216,37,8,3,20,5254
21005,21038,980,566,337,12,13,62,23002
21101,19444,1268,612,200,21,7,64,21619
21102,3689,183,84,25,0,3,6,3997
21103,12970,844,396,113,8,3,27,14363
21104,7728,356,153,76,8,0,14,8346
21105,16881,1451,791,175,31,11,61,19396
21201,10893,952,652,118,15,10,65,12707
21202,17069,1063,552,241,24,13,50,19004
21203,22236,1485,1016,384,37,26,75,25253
21204,21239,1118,547,497,45,12,96,23552
21205,21084,839,313,270,14,8,50,22576
21301,21343,1141,656,475,43,28,113,23797
21302,9886,524,244,82,5,5,29,10774
21303,7986,399,137,100,4,7,34,8661
21304,19192,1251,848,259,27,21,86,21678
21305,29702,1638,1035,447,47,32,88,32996
21401,13297,1318,738,153,31,9,61,15607
21402,14845,1327,685,113,17,9,69,17072
21501,4796,358,294,40,12,3,58,5554
21502,4627,423,262,55,9,6,33,5432
21503,3164,204,154,37,0,0,30,3593
21601,3268,267,179,26,3,0,24,3770
21602,2379,189,130,22,3,4,20,2747
21603,5978,426,290,71,10,3,43,6822
21701,3046,241,169,22,0,4,29,3503
21703,3224,230,173,25,0,0,19,3678
21704,4674,313,219,28,6,3,36,5282
29797,0,0,0,0,0,0,0,0
29999,0,0,0,0,0,0,0,0
