SA3_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
20101,73,75,166,175,297,567,1175,1151,732,4424,3,17,32,49,60,36,22,28,10,253,370,525,884,822,935,983,1076,897,519,7021,2973,7680,13284,12696,13282,12358,9820,5472,2399,79950
20102,12,16,48,39,87,171,419,325,170,1290,0,0,8,3,9,9,12,11,4,53,125,101,195,269,437,506,446,289,164,2523,669,1100,2201,3393,4472,4773,3771,1555,648,22580
20103,12,22,38,56,117,261,542,463,238,1754,0,3,5,10,9,7,13,5,6,64,72,73,200,300,399,447,535,335,151,2512,549,1073,2016,2649,3532,4193,3880,1847,702,20444
20201,52,91,222,213,315,517,1066,1123,757,4361,3,20,87,86,93,73,48,29,7,446,385,439,879,775,901,932,983,988,678,6967,2675,6954,12406,11240,11537,11398,8873,5243,2515,72838
20202,22,25,48,64,119,268,543,493,287,1860,3,6,7,15,19,22,24,9,12,109,190,187,571,641,734,795,756,487,267,4632,1027,1869,3863,5768,7218,7527,6147,2852,1131,37405
20203,3,10,17,16,47,108,243,203,123,771,0,0,0,0,3,0,7,8,3,31,63,39,90,132,192,206,231,161,68,1179,261,382,814,1194,1699,2013,1572,782,311,9037
20301,9,5,21,32,46,87,196,141,89,632,0,0,5,6,5,8,3,3,0,26,66,63,98,161,176,203,155,90,49,1070,476,857,1863,2693,2828,2563,1762,687,258,13987
20302,114,153,360,434,577,1129,2269,2361,1543,8943,17,48,133,155,157,137,175,189,90,1096,602,929,1944,1667,1880,1743,1882,1721,1198,13571,5165,13632,25362,23704,24284,22222,17514,10353,5189,147422
20303,25,21,35,58,94,204,593,635,501,2164,10,7,13,15,12,21,16,28,9,125,174,169,391,536,553,729,852,603,344,4355,1373,2898,6836,9121,9323,10308,9241,4451,1868,55418
20401,42,28,88,84,161,382,831,697,384,2703,3,3,19,12,21,12,23,17,8,115,237,215,480,542,731,884,919,630,328,4967,1321,2548,5062,5864,7372,8371,7312,3514,1377,42749
20402,22,28,81,77,144,305,665,713,478,2506,5,0,4,7,18,24,24,24,7,116,199,180,284,384,513,669,732,541,423,3927,1056,2099,4173,5072,6299,6966,5946,3284,1628,36527
20403,26,39,88,116,172,395,854,793,450,2933,0,6,29,37,46,35,39,35,16,242,282,341,674,711,815,875,761,641,321,5430,1799,3829,7863,8335,9687,9935,7543,3747,1578,54318
20501,29,24,69,78,138,241,673,636,414,2303,7,7,15,17,29,16,25,20,9,151,163,199,325,418,522,623,595,460,187,3493,1249,2531,5283,5440,6506,6745,5734,2933,1111,37534
