SA3_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
20604,12821,13114,25931,2547,2544,5094,1439,1615,3058,13465,13476,26936,1135,1224,2356,505,545,1051,818,864,1682,302,334,638,131,150,285,398,387,786,3,0,6,18193,18601,36792,21728,25041,46772,485,444,927,42950,46633,89587,8194,7874,16066,63968,67613,131580
20605,16992,17941,34938,2892,2975,5867,1104,1225,2332,12314,12779,25092,841,1006,1845,289,293,584,432,470,896,203,190,391,68,60,125,178,199,380,0,0,0,15415,16229,31648,5998,6494,12495,370,334,705,24682,26034,50710,5165,5159,10328,46840,49133,95973
20606,9797,11207,21005,1385,1422,2801,835,931,1759,7773,8445,16218,661,730,1393,215,314,528,346,413,761,134,147,279,31,28,63,130,155,290,0,0,0,10116,11169,21286,4055,4798,8857,237,224,456,15788,17608,33401,2812,2967,5782,28402,31789,60187
20607,15167,16421,31585,2027,2153,4182,1020,1182,2205,11334,11625,22963,784,906,1689,316,350,668,515,550,1068,164,196,353,72,62,137,280,262,549,0,0,0,14486,15138,29622,4363,4970,9335,334,316,648,21214,22571,43792,3985,4068,8052,40370,43064,83431
20701,40573,44686,85258,3612,3832,7443,961,1047,2009,17987,19348,37337,689,758,1449,303,339,639,379,391,773,156,152,306,66,73,135,153,164,317,3,0,3,20700,22270,42970,7009,8038,15046,343,302,645,31659,34438,66101,3908,4221,8129,76138,83353,159493
20702,25459,27593,53046,1451,1484,2931,230,256,487,8062,8619,16675,204,246,451,113,131,243,116,114,229,35,40,69,11,16,29,46,51,95,0,0,0,8817,9471,18286,3614,3951,7566,147,161,307,14030,15060,29090,1747,2077,3823,41232,44727,85963
20703,24844,27656,52496,1668,1766,3432,405,421,831,9925,10199,20119,237,306,546,179,184,367,144,159,299,75,89,165,23,35,59,67,77,143,0,0,0,11061,11475,22536,6440,6829,13268,218,220,438,19383,20286,39663,2195,2417,4619,46420,50361,96776
20801,24631,27454,52089,2626,2929,5558,496,566,1062,9890,10643,20542,308,360,666,101,98,198,186,178,371,53,65,115,16,21,39,78,72,148,0,0,0,11133,12010,23148,2658,2997,5652,147,168,318,16567,18101,34667,2486,2855,5345,43682,48413,92096
20802,35612,38666,74279,3140,3122,6262,700,773,1469,15811,16501,32308,475,536,1011,215,208,427,277,281,558,98,116,218,38,48,85,96,113,209,0,0,0,17717,18569,36281,6875,7789,14664,360,331,691,28089,29807,57891,3512,3669,7184,67214,72149,139359
20803,30247,32684,62927,2553,2681,5231,417,404,824,12702,13773,26474,366,394,758,107,106,214,154,145,302,81,84,169,29,37,65,48,43,94,0,0,0,13910,14989,28902,2646,2996,5637,248,220,469,19354,20879,40237,3041,3412,6448,52642,56973,109619
