SA3_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
20101,49961,53854,103815,3493,3242,6736,6750,6478,13227,3475,3343,6819,3821,3866,7686,6508,6794,13301,6057,6643,12700,6289,6995,13287,5803,6561,12360,4598,5226,9822,2372,3107,5476,801,1603,2398,46968,50882,97851,3000,2969,5965,657,747,1400,28,40,68,13,16,30,697,796,1500,41857,45073,86934,4722,5094,9811,44230,47756,91983,2693,2857,5548,44740,48332,93075,662,671,1334,6237,5962,12199,2513,2521,5027,1293,1553,2841,1283,2075,3360,17078,20862,37939,6117,6412,12521,7424,7158,14585,3388,3220,6614,2237,2547,4788,139,113,258,45290,48732,94024,3841,4252,8089
20102,13951,14358,28307,694,687,1379,1771,1731,3504,775,726,1505,586,515,1106,1054,1148,2203,1612,1785,3394,2164,2306,4478,2353,2418,4777,1930,1837,3772,778,775,1557,233,420,648,13039,13501,26537,912,860,1767,128,132,257,5,6,13,3,6,12,138,147,284,10920,11157,22083,1698,1767,3465,12280,12559,24833,550,595,1148,12272,12514,24780,143,144,290,1586,1538,3122,495,545,1042,126,148,274,227,503,731,4242,5457,9701,1797,1801,3601,2384,1844,4225,1051,836,1880,733,629,1360,26,27,53,12361,12705,25066,1377,1469,2847
20103,12887,12481,25365,604,592,1197,1507,1412,2925,691,636,1330,568,513,1079,979,1042,2016,1374,1281,2657,1765,1764,3532,2156,2042,4195,2021,1866,3882,950,900,1854,263,439,700,12098,11844,23942,786,634,1428,168,178,351,5,16,24,4,7,12,181,198,380,10574,10157,20728,1177,1166,2344,11333,11269,22598,290,300,589,11281,11206,22487,114,130,247,1362,1274,2630,483,461,945,92,123,213,143,283,423,2834,3658,6498,1666,1704,3371,2551,2117,4669,1245,1013,2259,976,823,1805,42,30,64,11349,11376,22725,1244,895,2137
20201,45463,48916,94378,3157,3015,6170,6213,5749,11968,3016,3002,6023,3395,3572,6970,6001,6419,12416,5358,5884,11241,5513,6039,11552,5384,6022,11405,4192,4688,8880,2352,2891,5240,886,1632,2515,42769,46463,89225,2700,2450,5155,779,794,1574,28,33,55,14,23,39,825,847,1669,38470,41426,79897,3645,3918,7565,40103,43153,83258,2256,2489,4749,40739,43997,84740,535,510,1045,5601,5221,10826,2131,2216,4353,967,1349,2318,958,1689,2643,14204,17872,32078,5414,5698,11118,7371,7035,14403,3275,3080,6356,2268,2440,4711,236,212,445,41314,44324,85639,3477,4025,7503
20202,23406,23889,47291,1239,1248,2485,2923,2806,5737,1394,1279,2668,1010,866,1878,1971,1898,3871,2774,2998,5768,3484,3739,7219,3727,3797,7525,3068,3088,6155,1386,1464,2852,433,698,1128,22061,22568,44628,1347,1319,2667,234,188,420,3,3,11,3,3,4,241,195,435,18528,19016,37542,2777,2569,5345,20183,21078,41261,795,887,1684,20110,21090,41201,256,239,498,2619,2537,5156,969,967,1933,204,276,482,349,775,1119,7677,9571,17249,2836,2771,5605,3444,2976,6421,1590,1327,2920,1039,974,2009,55,59,110,20448,21374,41818,2552,2031,4584
20203,5828,5590,11421,286,289,571,702,675,1381,340,343,686,195,193,384,390,426,818,609,593,1194,835,867,1701,1078,942,2013,876,695,1568,383,404,786,141,173,311,5476,5240,10715,355,350,702,65,87,152,4,3,9,4,3,7,71,93,168,4792,4594,9383,384,412,797,5147,4945,10092,135,147,278,5137,4936,10072,61,52,113,599,588,1188,234,247,482,31,42,77,34,126,167,1165,1579,2744,831,765,1598,1193,875,2064,560,446,1004,462,353,814,18,11,31,5161,4951,10108,547,510,1061
20301,9609,9411,19018,645,617,1265,1538,1460,2992,667,573,1242,474,385,863,883,981,1864,1314,1377,2696,1403,1430,2833,1312,1250,2563,931,829,1761,349,337,687,97,162,258,9110,9000,18115,499,406,906,67,67,133,3,3,8,3,0,4,76,69,143,8036,7862,15896,906,909,1811,8773,8610,17386,291,295,584,8746,8576,17323,151,135,284,1384,1325,2701,497,432,928,136,146,279,130,322,452,2775,3549,6322,1445,1253,2695,1554,1159,2716,647,505,1155,415,303,718,13,13,26,8863,8755,17619,499,529,1028
20302,91328,96854,188180,5986,5661,11641,11299,10774,22065,6078,5979,12055,6948,6737,13688,12591,12794,25386,11585,12140,23722,11712,12603,24312,10562,11679,22243,8215,9304,17524,4511,5845,10355,1845,3343,5191,86557,92323,178883,4768,4534,9302,923,988,1916,44,39,88,22,18,45,997,1048,2044,69455,74042,143492,15852,16299,32151,73887,79472,153362,11176,11727,22908,78317,84732,163052,1164,1047,2212,10336,9875,20205,4669,4736,9410,2621,2895,5512,2518,3827,6344,32655,38599,71251,11777,11172,22950,12273,12188,24458,5497,5732,11224,4329,5314,9644,501,600,1104,82491,88068,170560,7290,7261,14551
20303,34873,36852,71729,2318,2023,4340,4881,4611,9498,2004,1809,3814,1554,1353,2906,3171,3670,6841,4403,4718,9119,4376,4948,9326,4913,5392,10308,4443,4800,9245,2098,2362,4456,723,1154,1869,32028,34177,66202,2843,2674,5521,245,253,495,14,4,14,3,3,10,258,262,523,28243,29858,58097,4337,4633,8972,31449,33197,64645,1414,1625,3042,31264,33129,64390,484,442,924,4547,4272,8821,1573,1461,3035,532,599,1133,688,1298,1991,13486,16082,29569,4465,4580,9044,4590,4325,8924,1738,1628,3364,1172,1245,2422,65,66,129,31162,33054,64220,2344,2657,5005
20401,26952,26890,53840,1454,1359,2816,3228,3123,6348,1713,1508,3227,1388,1170,2554,2515,2551,5066,2802,3059,5864,3615,3757,7372,4214,4161,8373,3762,3549,7314,1694,1826,3521,565,820,1384,24944,25111,50056,2005,1782,3781,338,329,667,16,15,31,8,10,13,360,358,718,21551,21355,42908,2772,2858,5636,23605,23538,47142,1115,1143,2262,23683,23562,47244,266,285,552,2900,2762,5657,1171,1111,2286,306,295,598,370,809,1174,7236,9236,16472,3555,3406,6962,4924,4007,8924,2351,1796,4147,1551,1403,2954,67,47,115,23268,23448,46719,4719,4090,8806
20402,22303,23797,46100,1227,1159,2386,2835,2723,5555,1368,1294,2660,1088,1018,2107,1997,2175,4177,2403,2673,5076,2990,3308,6300,3340,3623,6968,2920,3036,5953,1535,1758,3290,605,1031,1631,20786,22329,43118,1512,1468,2982,305,322,631,10,14,18,3,3,8,319,341,653,18689,19862,38550,1719,1921,3642,19828,21065,40892,837,930,1763,20118,21448,41569,201,210,409,2583,2460,5038,963,922,1882,179,249,421,245,672,920,5953,7844,13797,3153,3302,6457,4177,3661,7838,1712,1518,3236,1294,1385,2677,59,61,118,20070,21309,41382,1755,1997,3751
20403,34667,35580,70249,2159,2101,4257,4609,4425,9032,2294,2108,4403,2111,1731,3840,3794,4077,7875,4008,4328,8340,4719,4970,9695,4871,5067,9941,3752,3794,7542,1761,1991,3754,587,990,1576,32055,33271,65327,2612,2309,4921,562,668,1229,32,20,59,21,12,34,616,710,1323,28413,29041,57452,3537,3772,7308,30312,31229,61549,1786,2018,3802,30873,31842,62709,469,461,934,4187,4064,8243,1630,1550,3180,460,519,974,681,1393,2074,9985,12407,22388,4453,4351,8809,6584,5875,12460,2233,2063,4294,1689,1516,3205,122,118,242,30408,31965,62367,6818,5904,12723
20501,23621,25004,48626,1487,1458,2943,3231,3128,6366,1554,1464,3018,1283,1249,2537,2537,2748,5283,2565,2879,5443,3108,3401,6509,3226,3520,6744,2801,2941,5739,1430,1504,2933,405,707,1111,22179,23600,45777,1444,1407,2849,229,221,447,7,10,18,3,8,14,244,235,484,19296,20220,39516,2495,2781,5276,21132,22339,43473,917,1020,1934,21167,22358,43519,266,268,535,2934,2857,5786,1111,1131,2243,266,349,610,326,901,1228,6383,8619,15000,3223,3298,6520,4410,3682,8098,1851,1626,3473,1237,1247,2488,68,77,151,21401,22559,43963,1603,1849,3454
20502,22174,22974,45146,1108,1124,2230,2502,2417,4923,1203,1103,2302,929,893,1823,1842,1979,3826,2037,2245,4288,2726,3067,5789,3470,3764,7234,3917,3617,7532,1879,1934,3811,560,839,1395,20196,21193,41392,1973,1784,3757,618,646,1266,3,13,13,3,4,9,627,660,1289,17605,18096,35699,2351,2547,4894,19519,20133,39650,737,856,1597,19597,20253,39844,216,241,457,2196,2134,4333,814,754,1571,115,189,311,228,627,856,5541,7152,12694,2934,3090,6022,4301,3854,8157,2010,1660,3668,1435,1286,2723,75,56,132,19180,19994,39178,2238,2410,4647
20503,30038,31626,61668,1727,1528,3256,3626,3611,7236,1702,1490,3199,1142,1140,2278,2608,2815,5426,3004,3362,6360,4039,4183,8215,4650,5109,9763,4577,4778,9358,2221,2401,4624,752,1204,1954,27538,29315,56852,2505,2311,4818,263,246,508,21,12,39,18,13,34,305,277,576,23590,24660,48247,3776,4133,7910,26564,27932,54498,1221,1341,2570,26571,27891,54458,295,308,607,3221,3253,6472,1192,1118,2313,216,256,472,364,902,1261,7921,10559,18480,4354,4321,8680,5525,4867,10390,2509,2129,4646,1700,1674,3371,82,83,165,26442,27873,54317,2566,2926,5493
20504,35700,37398,73099,2266,2093,4357,4530,4345,8880,2279,2124,4397,2344,2420,4768,4332,4704,9040,4027,4289,8315,4709,4977,9688,4944,5129,10072,3729,3861,7593,1883,2336,4220,655,1106,1759,33449,35285,68738,2248,2114,4365,529,572,1102,17,27,45,22,13,37,574,614,1180,28118,29160,57270,4314,4770,9091,30571,31888,62457,2281,2551,4829,31271,32759,64029,320,307,622,4058,3921,7983,1551,1528,3082,448,695,1145,618,1181,1801,9415,11590,21006,5258,5023,10281,6347,5755,12104,2531,2699,5231,2062,2302,4362,148,167,315,31959,33469,65422,2971,3290,6266
20505,21631,21238,42871,1251,1192,2443,2668,2513,5182,1290,1215,2510,1201,939,2135,2492,2358,4853,2544,2391,4934,2769,2946,5720,3195,3275,6470,2589,2479,5065,1228,1310,2536,395,638,1029,20031,19909,39943,1600,1329,2931,302,302,608,10,8,22,9,7,20,324,321,640,17431,17111,34545,2292,2252,4541,18456,18812,37271,761,849,1612,18412,18757,37174,248,220,474,2402,2260,4661,879,909,1783,169,205,370,249,649,897,5087,6748,11834,2997,3029,6024,3889,3342,7237,1789,1457,3244,1270,1058,2324,60,63,125,18428,18995,37427,2689,1706,4389
20601,41727,44532,86257,2363,2301,4663,3666,3600,7265,1668,1667,3336,3599,4240,7836,10382,10726,21113,7083,7206,14286,5058,5174,10233,3459,3930,7390,2215,2584,4798,1561,2094,3654,667,1006,1680,39937,42696,82632,1792,1831,3626,181,225,407,14,8,20,4,3,9,203,238,436,26185,27999,54190,12858,13754,26611,26347,27883,54231,13021,14204,27224,33102,35698,68803,488,470,958,3422,3335,6759,1376,1390,2767,1839,2297,4132,2732,3561,6295,24639,27320,51951,2521,2125,4649,2513,2048,4562,1020,971,1984,2006,2762,4767,475,770,1244,38595,41321,79918,2519,2588,5103
20602,24589,27481,52065,1523,1456,2984,2764,2694,5455,1101,1063,2165,1591,1920,3509,4859,5636,10493,4186,4699,8883,3467,3856,7320,2282,2518,4799,1371,1596,2966,1042,1357,2403,393,692,1089,23501,26306,49807,1089,1171,2264,135,178,309,4,11,13,5,3,4,141,184,334,16634,18608,35235,6278,7085,13364,17081,18932,36012,6005,6935,12945,20522,23081,43603,374,336,707,2570,2524,5094,945,903,1846,754,985,1736,1224,1920,3143,13880,16553,30437,1475,1280,2756,1425,1172,2595,606,579,1187,1100,1612,2705,263,406,668,22624,25182,47808,1508,1855,3359
20603,32066,34534,66595,1952,1843,3798,3632,3501,7136,1748,1850,3604,2545,2627,5177,5979,6596,12574,4707,5041,9750,4376,4614,8997,3463,3752,7221,2079,2203,4278,1048,1551,2597,525,953,1480,30709,33225,63932,1356,1310,2663,135,115,249,3,4,7,6,5,10,144,129,272,21097,22412,43511,8626,9730,18357,21435,22483,43915,8472,9817,18290,25949,27929,53887,389,356,743,3291,3233,6526,1487,1600,3092,1326,1347,2671,1453,2027,3480,17534,19415,36952,2370,2271,4642,2178,2143,4321,914,946,1857,1098,1509,2603,256,476,735,29415,31726,61140,2239,2379,4622
20604,66144,69825,135969,2174,2212,4386,2219,2122,4341,4534,6059,10594,13533,16225,29759,22238,22188,44424,8555,7483,16038,4840,4947,9788,3829,3968,7801,2657,2623,5288,1091,1206,2299,459,795,1255,63502,67065,130571,2643,2760,5399,243,177,421,5,14,25,13,18,25,261,207,470,22716,21720,44439,35541,40266,75805,28075,26933,55006,30131,35328,65457,30712,30673,61389,323,319,648,1851,1803,3649,3821,5241,9068,9406,11494,20899,6358,7432,13790,47118,50863,97982,2819,2656,5476,2010,1931,3941,846,866,1709,683,941,1622,310,482,794,54835,58506,113340,21863,22049,43912
