SA3_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
20101,0,0,0,0,0,3,266,15,5,14,6,3,9,6,0,3,6,65,0,0,0,0,0,0,0,0,0,0,0,217,34,35,4,3,6,6,0,3,19,336,4,0,0,0,0,0,0,0,0,0,4,1115,68,69,9,3,19,10,4,5,60,1360,1162,17,9,3,4,0,0,3,0,40,1233,194,3,3,3,0,3,0,0,3,5,218,19,0,9,0,0,0,0,0,0,4,43,3,0,0,0,0,0,0,0,0,0,3,215,3,13,3,0,4,5,0,3,16,258,10,0,0,0,0,0,0,0,0,0,12,1384,15,21,6,9,8,5,7,3,55,1502,618,13,3,3,0,0,0,0,0,25,669,180,0,0,0,0,0,0,3,0,6,188,32,3,0,0,0,0,0,0,0,4,42,3,0,0,0,0,0,0,0,0,0,3,217,0,5,0,0,0,0,3,0,12,235,8,0,0,0,0,0
20102,0,0,0,0,0,3,142,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,135,6,3,0,0,0,0,0,0,6,152,0,0,0,0,0,0,0,0,0,0,0,705,25,18,4,3,0,0,0,0,29,788,644,10,3,0,0,0,3,0,0,30,686,123,0,0,0,0,0,0,0,0,3,132,16,0,3,0,0,3,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,136,3,3,0,0,5,0,0,0,3,158,0,0,0,0,0,0,0,0,0,0,3,781,13,3,0,0,5,3,0,0,34,848,257,0,0,0,0,0,0,0,0,13,277,74,0,0,0,0,0,0,0,0,0,81,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,97,3,0,0,0,0,0
20103,0,0,0,0,0,3,77,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,69,6,4,0,0,0,0,3,0,3,83,0,0,0,0,0,0,0,0,0,16,16,463,13,12,4,0,0,0,5,0,39,534,540,4,4,0,0,0,0,0,0,23,577,54,0,0,0,0,0,0,0,0,3,56,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,3,61,0,0,0,0,0,0,0,0,0,6,5,598,4,4,0,0,0,0,0,0,37,649,256,0,3,0,0,0,0,0,0,6,267,38,0,0,0,0,0,0,0,0,3,41,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,38,0,0,0,0,0,0,0,0,3,43,0,0,0,0,0,0
20201,0,3,3,6,3,3,162,6,3,18,3,7,11,6,12,3,9,72,0,0,0,0,0,0,0,0,0,0,0,123,26,25,5,7,19,7,12,6,8,240,0,0,0,0,0,0,0,0,0,0,3,747,54,51,5,8,23,12,16,8,33,953,776,14,13,0,0,0,0,0,0,31,831,99,3,6,0,0,0,0,0,3,3,113,11,0,5,0,0,3,4,3,3,5,37,0,0,0,0,0,0,0,0,0,0,0,102,3,12,3,0,3,4,3,4,11,149,3,0,0,0,0,0,0,0,0,4,8,882,18,21,3,0,7,4,3,4,47,984,367,8,3,0,0,0,0,0,0,22,396,72,3,0,0,0,0,0,0,0,9,84,10,0,4,0,0,3,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,84,3,4,0,0,3,0,0,0,8,116,3,0,0,0,0,0
20202,0,0,0,0,0,5,123,0,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,114,6,0,0,0,0,0,0,0,8,135,0,0,0,0,0,0,0,0,0,26,30,940,35,8,0,3,0,5,0,0,67,1067,914,13,9,0,3,3,0,0,0,40,975,121,0,0,0,0,0,0,0,0,7,134,10,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,3,139,0,0,0,0,0,0,0,0,9,151,0,0,0,0,0,0,0,0,0,7,10,1051,13,14,0,4,3,0,0,0,53,1134,398,3,4,0,0,0,0,0,0,32,435,63,0,0,0,0,0,0,0,0,9,69,8,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,4,73,0,0,0,0,0,0,0,0,9,83,0,0,0,0,0,0
20203,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,163,0,5,0,0,0,0,0,0,13,181,156,0,6,0,0,0,0,0,0,12,177,28,0,0,0,0,0,0,0,0,0,28,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,192,3,6,0,0,0,0,0,0,12,210,56,0,0,0,0,0,0,0,0,3,59,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
20301,0,0,0,0,0,6,57,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,49,0,3,0,0,0,0,0,0,8,61,0,0,0,0,0,0,0,0,0,0,0,374,4,14,0,3,0,0,0,3,20,414,303,5,0,0,0,0,0,0,0,11,324,41,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,4,48,0,0,0,0,0,0,0,0,0,0,0,353,5,0,0,0,0,0,0,0,13,371,130,0,0,0,0,0,0,0,0,4,137,25,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
20302,0,8,3,3,5,38,1353,176,37,45,11,10,10,16,18,19,29,363,8,0,0,0,0,0,0,0,0,0,12,1350,106,86,10,12,27,17,25,26,63,1725,9,0,0,0,0,0,0,0,0,17,27,4048,191,153,21,24,36,24,26,26,155,4693,3005,21,31,5,4,5,3,0,0,81,3160,1356,6,6,0,0,0,3,7,0,35,1412,369,14,14,5,3,9,6,7,3,10,448,23,0,0,0,0,0,0,0,0,4,25,1746,19,24,4,3,13,10,15,8,43,1888,7,0,0,0,0,0,0,0,0,6,19,4766,41,57,11,8,11,14,17,11,137,5069,1577,20,6,0,0,3,0,0,0,57,1667,1036,3,5,0,0,0,0,0,0,56,1096,488,5,6,0,0,0,3,3,0,43,547,29,0,0,0,0,0,0,0,0,3,30,1554,9,10,0,0,0,3,3,0,96,1681,16,0,0,0,0,0
20303,3,0,0,3,0,4,213,14,0,0,0,0,5,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,3,203,5,11,0,3,4,0,3,0,6,232,3,0,0,0,0,0,0,0,0,0,3,1358,44,31,0,6,14,4,7,0,49,1507,1517,14,15,5,8,6,0,3,0,43,1614,278,3,3,0,0,0,0,0,0,9,296,30,0,0,0,0,0,0,0,0,0,31,6,0,0,0,0,0,0,0,0,0,7,313,3,3,0,0,0,0,0,0,14,336,3,0,0,0,0,0,0,0,0,0,3,1833,12,19,5,8,6,0,3,0,60,1950,688,6,9,0,0,0,0,0,0,25,733,212,0,0,0,0,3,0,0,0,12,220,33,0,0,0,0,0,0,0,0,6,37,8,0,0,0,0,0,0,0,0,0,8,249,0,0,0,0,3,0,0,0,10,266,8,0,0,0,0,0
20401,0,0,0,0,0,6,149,12,3,4,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,0,0,3,150,8,7,0,0,0,0,0,0,6,175,4,0,0,0,0,0,0,0,0,0,3,918,32,20,3,3,3,3,0,3,38,1023,1041,10,3,0,0,3,0,0,0,45,1099,161,0,0,0,0,0,0,0,0,3,161,12,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,3,175,3,0,0,0,0,0,0,0,7,185,4,0,0,0,0,0,0,0,0,0,4,1215,9,3,0,0,6,0,0,0,49,1287,465,0,0,0,0,0,0,3,0,12,485,123,0,0,0,0,0,0,0,0,3,128,12,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,3,149,3,0,0,0,0,0
