SA3_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
20101,178,286,459,104,148,255,185,745,929,226,1180,1403,807,2554,3359,918,1309,2226,2346,1160,3510,1893,1288,3180,2327,1118,3444,2309,774,3082,1889,558,2448,1759,360,2123,3223,418,3640,1942,94,2030,1117,28,1141,639,182,823,1295,20,1314,2258,333,2591,442,655,1105,25847,13212,39056
20102,60,108,170,57,51,103,74,204,275,47,332,373,250,704,959,243,309,546,688,272,960,576,304,882,723,250,977,666,158,818,475,134,612,425,83,510,837,79,919,521,17,535,281,8,290,171,38,215,331,8,339,760,37,793,132,187,319,7328,3268,10591
20103,82,94,177,48,63,112,65,274,335,71,448,518,347,965,1316,324,333,655,935,278,1213,621,281,895,729,210,932,591,115,711,403,85,491,376,42,419,548,57,601,277,7,285,140,0,147,64,33,96,99,0,100,628,40,668,165,256,417,6512,3580,10096
20201,135,200,336,114,145,259,169,632,798,186,1059,1246,699,2122,2819,840,1202,2039,2139,1085,3229,1851,1162,3011,2317,1028,3347,2289,737,3026,1740,486,2228,1630,338,1962,2888,429,3317,1823,64,1888,1002,37,1042,552,151,704,939,22,956,2053,276,2333,386,639,1026,23759,11809,35561
20202,79,126,203,81,95,177,94,315,410,100,495,597,395,1166,1562,364,555,916,1091,447,1534,852,449,1302,1203,403,1608,1093,249,1339,835,214,1055,777,129,899,1421,189,1608,921,26,947,529,5,536,357,85,440,662,13,667,1222,74,1293,203,278,479,12265,5312,17580
20203,41,48,84,30,34,57,21,102,127,26,171,191,137,397,527,97,125,221,349,96,447,246,141,390,303,86,391,286,49,330,197,34,230,201,21,228,261,18,279,133,0,139,76,0,76,48,5,56,76,4,79,329,16,347,63,109,172,2919,1452,4367
20301,26,30,57,22,16,35,31,77,109,28,91,118,128,208,340,125,116,237,354,85,435,283,119,398,436,122,557,488,70,552,352,56,410,366,32,404,683,61,743,500,3,500,243,0,248,136,25,164,297,0,295,533,13,544,88,56,147,5110,1185,6296
20302,351,512,867,217,307,531,407,1274,1674,374,2075,2448,1529,4192,5724,1554,2209,3766,3854,1831,5692,3206,2068,5272,4107,1991,6093,3978,1348,5331,3142,1017,4158,3229,697,3923,6101,889,6990,3920,150,4063,2331,76,2410,1375,300,1673,2725,65,2797,4286,500,4794,852,1239,2088,47555,22738,70291
20303,163,185,348,110,105,217,93,347,440,100,561,652,483,1261,1746,474,802,1281,1403,604,2007,1150,598,1749,1637,588,2221,1559,411,1974,1269,332,1598,1303,250,1548,2397,302,2700,1650,38,1695,981,17,998,663,156,822,1318,19,1336,1942,120,2065,309,331,645,19006,7031,26043
20401,141,184,324,93,92,185,126,400,532,132,626,754,478,1378,1855,475,663,1138,1314,531,1844,1001,581,1579,1285,532,1814,1243,316,1557,923,211,1129,943,155,1099,1472,193,1660,973,29,1004,468,13,478,257,78,334,507,10,516,1460,57,1520,323,445,772,13606,6499,20110
