Assignment, Due, Moodle, File, Marks
Assignment 1, 2024-08-15, https://learning.monash.edu/mod/assign/view.php?id=1366400, "assignment-1.html", 25
Assignment 2, 2024-09-05, https://learning.monash.edu/mod/assign/view.php?id=1366405, "assignment-2.html", 25
Assignment 3, 2024-10-03, https://learning.monash.edu/mod/assign/view.php?id=1366411, "assignment-3.html", 20
Assignment 4, 2024-10-25, , "assignment-4.html", 25
Oral Presentations, 2024-07-22, https://learning.monash.edu/mod/assign/view.php?id=1366403, "oral-presentations.html", 5
