SA2_MAINCODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
201011001,2647,1527,1428,1551,1525,1133,753,358,115,11034,0,3,0,0,3,0,0,0,0,6,0,3,0,0,0,0,0,0,0,6,46,73,68,38,31,37,15,6,8,313,0,3,0,3,3,4,0,0,0,15,4,0,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,3,0,0,13,0,3,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,83,67,40,40,40,23,11,8,373,54,86,67,40,41,39,23,11,8,375,2703,1607,1497,1589,1567,1172,777,367,118,11405
201011002,1904,1546,1285,1314,1563,1434,1115,700,348,11211,0,4,0,0,0,0,3,0,0,9,0,4,9,6,3,4,8,3,0,32,65,139,135,96,85,111,121,110,63,918,0,0,0,0,5,5,5,0,0,21,0,0,0,0,3,4,5,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,3,0,0,16,0,5,0,0,0,3,0,0,0,11,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,72,153,142,104,94,135,148,111,63,1015,71,156,147,107,91,134,150,111,61,1027,1977,1704,1429,1423,1661,1570,1257,809,412,12237
201011003,4122,2718,2826,2673,2937,2718,2012,1178,555,21736,0,5,4,0,5,8,5,3,0,35,0,0,3,0,3,4,3,4,0,16,78,120,117,73,70,68,50,18,15,609,0,4,3,6,4,5,4,0,0,24,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,4,0,0,0,6,0,5,4,0,16,4,0,3,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,87,121,121,87,85,86,53,32,13,689,87,131,131,86,89,89,59,33,13,723,4212,2848,2953,2762,3029,2809,2066,1209,568,22457
201011004,4224,3511,3434,2779,2655,2567,2049,1171,526,22921,4,9,4,0,3,4,3,0,4,34,0,3,0,3,8,3,11,3,0,33,85,223,146,91,82,76,60,33,27,813,0,0,3,6,0,5,3,0,0,14,0,4,5,5,5,5,0,0,0,18,3,0,0,0,9,3,3,0,0,17,0,0,0,0,0,7,3,0,0,6,0,0,3,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,90,235,155,104,97,102,79,29,24,914,95,242,160,104,103,103,80,37,33,948,4319,3758,3598,2882,2757,2668,2124,1204,552,23870
201011005,1442,1106,570,882,887,907,611,244,72,6720,0,6,0,0,0,0,0,0,0,6,0,10,0,0,0,0,3,0,0,18,28,223,21,19,14,18,13,10,4,352,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,234,29,19,18,20,20,13,4,375,28,236,29,19,20,20,20,13,4,383,1468,1348,593,895,909,925,631,259,76,7108
201011006,1396,975,911,834,848,721,582,287,145,6696,0,6,0,0,3,0,3,0,0,11,0,0,0,0,0,0,0,0,0,5,38,59,44,22,18,15,10,4,0,200,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,59,40,26,17,17,15,6,3,218,35,64,40,26,26,17,13,8,3,228,1432,1040,953,859,875,736,598,289,144,6922
201011007,852,487,285,518,637,537,308,94,20,3746,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,10,29,12,6,7,3,4,0,0,79,3,0,3,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,29,18,10,3,9,6,6,0,91,10,29,18,10,3,9,7,5,0,91,865,515,305,532,645,542,313,95,24,3840
201011008,2747,1699,1822,1617,1610,1531,1392,937,438,13790,4,4,4,0,0,0,0,0,0,18,0,7,0,3,0,6,0,0,0,16,81,88,71,40,45,44,37,15,10,427,0,0,0,0,0,3,3,0,0,10,0,0,3,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,96,79,39,52,48,44,14,10,465,81,102,84,47,52,52,46,13,12,484,2824,1800,1902,1662,1662,1584,1431,954,452,14273
201021009,1074,589,517,751,910,796,619,228,87,5571,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,4,18,29,18,25,29,27,8,11,0,169,0,0,0,0,3,3,0,3,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,22,27,31,35,15,15,3,191,20,25,22,28,29,35,17,13,3,199,1093,617,535,775,942,835,631,243,88,5765
201021010,1305,672,614,834,1017,1215,975,493,219,7337,0,0,0,4,0,0,0,6,3,14,0,0,0,0,0,3,3,0,0,11,64,66,30,28,18,39,30,23,16,307,0,0,0,3,3,3,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,68,30,30,24,49,43,25,16,354,67,66,36,36,24,49,42,27,18,363,1375,735,647,870,1034,1260,1016,519,242,7700
