SA2_MAINCODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
201011001,707,1339,740,680,822,646,256,490,67,5747
201011002,766,1872,546,591,604,516,157,355,83,5491
201011003,1177,2470,1555,1311,1373,1042,491,952,159,10533
201011004,829,1783,1557,1494,1174,1178,592,1239,158,9991
201011005,437,863,446,388,440,295,125,248,48,3287
201011006,288,480,543,427,423,413,239,404,69,3289
201011007,209,300,362,217,243,202,179,203,36,1949
201011008,443,784,931,654,687,623,431,856,99,5503
201021009,384,429,447,282,370,193,245,298,58,2698
201021010,545,501,554,343,373,250,192,358,47,3167
201021011,696,820,549,490,389,259,162,460,66,3891
201021012,451,436,434,271,343,204,200,280,46,2660
201031013,325,135,140,130,118,60,98,179,19,1209
201031014,327,195,232,177,174,123,146,222,36,1628
201031015,273,297,355,196,223,166,144,231,38,1919
201031016,266,301,437,364,248,310,165,454,48,2586
201031017,289,201,290,200,164,184,144,337,31,1840
202011018,568,1448,822,726,645,585,319,838,104,6047
202011019,368,593,767,646,537,518,391,764,80,4667
202011020,682,1460,688,759,748,683,271,570,77,5945
202011021,447,1166,483,614,533,482,156,410,47,4341
202011022,768,1343,1200,1060,996,906,526,1262,135,8195
202011023,318,460,457,256,370,252,162,224,31,2538
202011024,546,1126,531,459,624,422,166,293,52,4219
202011025,556,982,959,700,715,615,378,649,82,5639
202021026,517,712,534,366,452,306,245,326,53,3523
202021027,479,1061,519,493,386,333,175,550,52,4042
202021028,623,768,548,382,358,261,178,460,64,3646
202021029,231,215,268,164,174,149,166,190,26,1576
202021030,644,857,657,503,482,310,214,553,70,4291
202021031,487,890,441,384,338,250,108,224,53,3166
202031032,366,274,324,146,246,172,168,245,36,1973
202031033,924,273,236,211,214,152,192,386,48,2638
203011034,369,479,570,347,397,310,210,303,50,3035
203011035,564,491,578,342,346,209,294,399,65,3294
203011036,557,487,452,264,284,229,179,303,47,2812
203021037,628,1518,948,815,820,717,310,622,109,6480
203021038,563,719,1328,1239,839,984,1105,1837,203,8825
203021039,770,1715,799,766,772,574,268,549,94,6301
203021040,1044,2412,1404,1238,1231,940,505,800,126,9707
203021041,1026,2248,1775,1467,1378,1286,606,1041,150,10982
203021042,1407,2977,1231,1237,1333,1271,340,694,123,10614
203021043,869,1329,1345,1054,1069,862,736,900,186,8334
203021044,608,925,985,863,824,647,371,648,73,5940
203021045,404,648,1089,893,664,664,530,979,92,5953
203021046,789,1613,467,577,588,429,120,254,65,4909
203021047,587,1073,963,751,755,652,495,743,130,6139
203031048,585,966,1013,800,716,579,347,583,94,5681
203031049,396,535,389,246,224,186,56,203,41,2277
203031050,1448,2878,1753,1362,1323,996,328,724,172,10989
203031051,292,411,380,302,312,235,147,252,49,2377
203031052,253,451,179,143,180,107,40,104,36,1502
203031053,1348,2486,1225,1008,1032,840,219,567,147,8877
204011054,476,337,439,339,293,203,163,343,57,2652
204011055,590,401,359,270,224,191,168,368,44,2614
204011056,671,800,1070,712,775,572,577,762,99,6047
204011057,701,593,646,448,380,382,206,489,70,3911
204011058,378,222,263,170,168,110,102,316,29,1764
204011059,227,276,385,335,284,263,182,467,38,2459
204011060,438,280,266,398,229,113,174,213,43,2151
204011061,6,3,21,10,8,4,4,10,0,67
204011062,291,216,246,147,140,106,94,195,29,1465
204021063,479,626,633,514,433,386,306,546,65,3993
204021064,440,236,255,143,184,102,105,203,36,1704
204021065,294,243,255,173,192,125,127,325,29,1760
204021066,801,1458,1084,1027,953,920,547,962,109,7862
204021067,1103,795,689,479,463,319,317,520,71,4756
204031068,328,521,254,282,172,149,80,183,32,1999
204031069,730,543,568,441,336,317,189,492,59,3678
204031070,207,223,236,163,186,132,149,194,35,1526
