SA2_MAINCODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
212051321,0,24,0,104,3,0,0,0,0,4,0,3,0,19,94,119,0,0,0,0,0,0,0,0,0,21,11,37,220,76,6,131,8,149,7,159,17,1070,112,1956
212051322,0,9,0,81,3,0,0,6,0,0,0,0,0,12,83,99,0,0,0,0,0,0,0,0,3,17,9,32,233,44,10,135,15,132,9,135,17,704,105,1528
212051323,0,12,0,100,0,0,0,0,0,0,0,0,0,14,75,86,0,0,0,0,0,0,0,0,0,15,11,28,219,50,5,121,7,102,8,125,15,706,86,1440
212051324,0,12,0,106,3,0,0,0,0,3,0,3,0,14,85,110,0,0,3,0,0,0,0,0,0,8,18,29,296,60,14,154,11,155,4,105,9,752,110,1672
212051325,0,3,0,78,0,3,0,0,0,3,0,0,0,16,77,102,0,0,0,0,0,0,0,0,0,10,13,28,351,61,12,182,23,184,10,122,22,771,103,1839
212051326,0,5,0,110,10,0,0,3,0,3,0,3,0,4,79,107,0,0,0,0,0,0,0,0,0,22,13,41,487,96,11,200,32,181,11,118,18,595,101,1848
212051327,0,18,0,138,4,0,3,0,0,3,0,0,0,20,90,120,0,0,3,0,0,0,0,0,7,20,15,46,236,76,14,187,6,189,6,188,29,1060,116,2113
213011328,0,0,0,18,0,0,0,0,0,3,0,0,0,6,28,40,0,0,0,0,0,0,0,0,0,11,10,23,148,26,11,88,10,94,5,41,4,180,39,649
213011329,0,0,0,14,4,0,0,0,0,0,0,4,0,0,26,36,0,0,0,0,0,0,0,0,0,9,7,14,114,17,3,53,6,68,6,30,4,151,36,498
213011330,0,3,0,45,4,0,0,0,3,4,0,3,0,6,65,92,0,0,3,0,0,0,0,0,0,20,24,47,400,55,17,197,23,227,8,106,17,567,98,1719
213011331,0,0,0,9,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,0,0,0,0,6,0,10,112,15,0,57,8,86,0,30,5,205,22,544
213011332,0,3,0,20,0,0,0,3,0,8,0,0,0,6,48,62,0,0,3,0,0,3,0,0,0,18,13,34,213,40,9,118,8,143,4,85,18,514,66,1216
213011333,0,0,0,3,0,0,0,0,0,4,0,0,0,19,32,59,3,0,0,3,0,0,0,0,0,19,12,40,126,32,7,95,6,153,7,84,12,489,51,1063
213011334,0,0,0,5,3,0,3,0,0,3,0,3,0,22,52,98,0,0,3,0,0,0,0,0,0,24,33,62,173,48,10,152,16,192,14,105,23,724,95,1555
213011335,0,3,0,17,0,0,0,3,0,3,0,3,0,10,50,73,3,0,0,0,0,0,0,3,0,19,15,41,123,54,5,100,14,141,0,103,19,602,75,1231
213011336,0,0,0,15,0,0,0,0,0,0,0,0,0,4,27,40,0,0,0,0,0,0,0,0,0,6,7,19,148,48,4,98,12,88,5,51,9,227,39,727
213011337,0,0,0,14,0,3,0,0,0,3,0,0,0,6,22,37,0,0,0,0,0,0,0,3,0,14,9,30,131,36,5,67,4,85,5,58,14,341,45,786
213011338,0,3,0,20,0,0,0,0,0,5,0,3,0,24,51,82,0,0,0,0,0,4,0,0,0,36,26,64,223,43,4,132,8,152,4,91,14,710,92,1484
213011339,0,0,0,15,0,0,0,3,0,3,0,0,0,4,22,38,0,0,0,0,0,0,0,0,0,12,8,19,189,26,8,111,11,119,3,43,9,194,36,753
213011340,3,0,0,39,0,0,0,8,0,9,0,0,0,13,54,80,5,0,0,3,0,0,0,0,4,11,13,37,253,51,8,171,22,177,6,98,16,488,79,1363
213021341,0,0,0,89,3,0,0,0,0,0,0,3,0,8,68,90,0,0,3,0,0,0,0,0,0,15,17,40,350,34,10,155,24,161,9,101,14,462,85,1411
213021342,0,0,0,42,6,0,0,0,3,9,0,3,0,5,75,108,5,0,0,4,0,0,0,0,0,19,7,28,404,44,11,205,32,230,12,96,18,576,87,1704
213021343,0,5,0,53,0,0,0,0,0,4,0,0,0,16,59,82,3,0,0,3,0,0,0,0,0,22,23,49,333,25,12,110,11,110,10,47,7,516,99,1280
213021344,3,0,0,258,12,0,0,0,4,3,0,0,0,9,88,117,4,0,3,3,0,0,0,0,0,5,6,29,664,49,16,215,26,154,8,63,19,308,102,1630
213021345,0,0,0,7,3,0,0,0,0,0,0,0,0,3,18,30,0,0,0,0,0,0,0,0,0,3,3,11,89,12,3,48,11,57,0,26,7,111,29,386
213021346,0,14,0,193,0,0,0,0,0,3,0,3,0,7,76,97,0,0,0,0,0,0,0,0,0,9,5,23,313,62,10,185,16,171,8,94,19,396,89,1363
213031347,0,0,0,54,4,0,0,0,0,3,0,0,0,5,62,79,0,3,0,0,0,0,0,0,0,13,16,31,404,58,18,160,25,167,10,77,10,317,86,1323
213031348,0,0,0,97,5,0,0,4,0,9,0,0,0,3,89,112,0,0,0,0,0,0,0,0,0,3,6,11,550,123,16,279,26,182,8,102,12,219,99,1616
213031349,0,0,0,92,3,0,0,0,0,5,0,0,0,3,68,76,0,0,3,0,0,0,0,0,0,7,7,11,402,52,11,178,15,168,8,71,7,208,78,1194
213031350,0,0,0,136,0,0,0,0,0,0,0,3,0,5,48,62,0,0,0,0,0,0,0,0,0,4,3,13,391,42,7,149,18,69,0,39,6,152,53,929
213031351,0,0,0,74,0,0,0,3,0,0,0,4,0,4,62,79,0,0,0,0,0,0,0,0,0,3,8,17,351,76,10,159,22,107,9,50,7,198,69,1071
213031352,0,0,0,225,11,0,0,0,0,0,0,0,0,3,78,99,0,0,4,0,0,0,0,0,0,3,7,15,652,54,12,220,36,124,3,45,11,238,95,1494
213041353,0,4,0,50,4,0,0,0,3,3,0,4,0,20,65,105,5,0,3,3,0,0,0,0,3,24,4,45,406,54,20,250,30,204,13,120,30,679,83,1889
213041355,0,0,0,42,0,0,0,6,0,3,0,3,0,7,49,64,7,0,0,3,0,0,0,0,0,4,11,32,471,34,13,191,28,163,7,72,12,325,60,1378
213041356,0,3,0,23,3,0,0,3,0,11,0,8,0,8,64,100,3,3,3,0,0,0,0,0,0,18,16,41,273,62,18,205,28,228,3,113,27,544,87,1576
213041357,0,5,0,40,6,0,0,7,3,4,0,4,0,10,72,107,0,0,3,3,0,0,0,0,0,14,8,32,455,58,15,252,30,269,8,108,18,546,95,1862
213041358,0,0,0,23,3,0,0,7,0,5,0,3,0,11,62,86,3,0,0,4,0,0,0,0,0,18,8,45,330,37,11,179,30,178,12,92,20,358,77,1315
213041359,0,0,0,3,0,0,0,0,0,0,0,0,0,3,8,13,0,0,0,0,0,0,0,0,0,3,0,5,17,3,3,16,0,18,3,15,0,68,10,163
213041360,0,0,0,40,7,0,0,0,0,5,0,0,0,11,37,52,0,0,0,0,0,0,0,0,0,10,6,24,325,19,9,97,18,103,3,52,19,314,46,1001
213041461,0,0,0,10,0,0,0,0,0,0,0,0,0,3,14,25,0,0,0,0,0,0,0,3,0,4,4,12,67,14,0,30,3,45,3,19,6,149,20,354
213041462,0,0,0,9,0,0,0,0,0,0,0,0,0,0,13,11,0,0,0,0,0,0,0,0,0,0,0,6,83,5,3,36,5,49,0,19,3,57,14,270
213041463,0,0,0,57,3,0,0,0,0,3,0,0,0,6,45,67,0,0,0,7,0,0,0,0,0,8,5,23,350,36,6,182,19,159,10,61,12,307,65,1215
213051361,0,0,0,26,0,0,0,0,0,0,0,4,3,5,65,87,4,0,0,0,0,0,0,0,0,12,8,24,272,54,14,197,26,210,15,115,21,406,82,1415
213051362,0,0,0,29,3,0,0,0,0,4,0,4,0,6,63,85,0,0,0,0,0,0,0,0,0,11,11,30,257,70,15,175,14,260,14,141,21,602,84,1642
213051363,0,0,0,30,3,0,0,0,0,0,0,0,0,7,25,32,0,0,0,0,0,0,0,0,0,3,9,6,221,32,5,97,10,90,7,51,13,133,35,699
213051365,0,0,0,46,9,0,0,6,0,7,0,3,0,11,85,129,3,0,0,0,0,0,0,0,0,12,9,30,650,68,16,328,43,295,10,88,16,470,122,2105
213051366,0,0,0,43,4,0,0,0,0,10,3,0,0,3,60,80,7,0,0,0,0,4,0,0,0,7,4,19,587,50,15,209,26,259,10,61,24,233,69,1546
213051368,0,3,0,34,5,0,0,0,0,7,0,0,0,7,51,73,0,0,0,3,0,0,0,0,3,16,6,31,218,44,3,143,19,126,4,66,15,378,65,1083
213051369,0,0,0,31,12,0,0,3,0,3,0,0,0,6,70,94,4,0,0,0,0,3,0,0,0,11,6,33,482,43,19,229,41,225,8,73,8,348,92,1569
213051464,0,0,0,93,3,0,0,0,0,0,0,3,0,0,53,59,0,0,0,0,0,0,0,0,0,3,3,11,313,34,6,116,7,157,3,48,14,160,58,918
213051465,0,0,0,97,4,0,0,0,0,3,0,0,0,4,75,99,0,0,0,0,0,0,0,0,0,3,6,13,496,40,13,175,22,214,10,66,11,345,87,1489
213051466,0,0,0,63,3,0,0,0,0,0,0,0,0,0,47,52,0,0,0,0,0,0,0,0,0,0,3,10,393,25,5,125,12,139,3,34,5,159,49,955
213051467,0,0,0,31,4,0,0,0,0,3,0,3,0,9,63,87,3,0,0,0,0,3,0,0,0,15,16,39,278,48,3,204,18,234,10,103,17,467,89,1474
213051468,0,3,0,34,3,0,0,5,0,7,0,0,3,9,49,78,4,0,0,3,0,0,0,0,0,11,4,23,299,30,10,178,14,159,4,65,13,276,59,1103
214011370,0,0,0,12,8,0,0,5,0,3,0,0,3,8,74,103,0,0,0,3,0,0,0,3,0,11,11,33,457,38,14,243,32,209,10,84,16,418,94,1618
214011371,3,3,0,52,15,0,0,4,0,6,0,6,0,14,100,147,0,0,3,3,0,0,0,0,0,26,12,47,486,84,17,266,30,223,17,144,23,657,125,2070
214011372,0,7,0,23,3,3,0,0,3,8,0,3,0,16,70,118,0,0,0,0,0,3,0,0,0,22,15,48,350,52,12,219,29,162,22,128,21,648,96,1732
214011373,3,5,0,98,5,0,0,4,0,3,0,0,0,19,91,123,4,0,0,0,0,3,0,0,0,27,9,48,318,81,13,254,16,149,15,134,23,712,109,1829
214011374,0,3,0,56,9,0,0,7,0,5,0,4,3,13,78,117,5,0,0,3,0,3,0,0,0,22,7,49,547,86,17,321,38,213,15,132,26,634,92,2115
214011375,0,5,0,45,3,0,0,0,0,6,0,0,0,14,72,95,5,0,0,0,0,0,0,0,0,23,11,40,465,61,13,203,31,165,13,82,16,460,96,1604
214011376,0,3,0,71,3,0,0,4,3,0,0,0,0,0,43,59,3,0,3,0,0,3,0,0,3,3,3,15,349,39,13,179,10,130,11,59,20,236,55,1098
214021377,0,18,0,64,0,0,0,3,0,4,0,0,0,23,66,91,3,0,5,0,0,0,0,0,3,30,13,55,190,79,14,159,11,119,21,131,16,740,90,1570
214021378,0,34,0,93,0,0,0,0,0,0,0,0,0,5,49,59,0,0,0,0,0,3,0,0,0,11,4,23,85,71,6,75,7,57,7,73,11,284,56,730
214021379,3,5,0,73,0,3,0,3,0,4,0,6,0,20,100,139,0,0,4,3,3,3,0,3,3,32,21,71,330,106,24,286,27,226,14,193,21,931,137,2292
214021380,0,25,0,131,5,0,0,3,0,3,0,3,0,32,135,179,3,0,8,0,0,0,0,0,0,47,15,75,440,101,27,262,35,203,14,232,36,1355,169,2872
214021381,3,26,4,221,6,3,0,4,0,3,0,3,0,20,91,128,5,0,0,3,0,0,0,3,0,19,9,44,264,110,9,213,18,167,11,176,20,710,118,1803
214021382,0,29,0,126,3,0,0,0,0,0,0,3,3,17,107,137,0,0,0,3,0,3,0,3,0,21,18,54,263,94,14,225,19,151,13,158,23,827,138,1918
214021383,4,36,0,125,4,4,0,4,0,7,0,8,0,30,113,166,0,0,0,0,0,3,0,0,0,42,19,71,225,132,21,243,13,140,13,210,27,1097,157,2277
214021384,0,14,0,48,3,0,0,0,0,3,0,0,0,46,85,139,4,0,0,0,0,0,0,0,3,51,34,93,251,117,27,247,17,169,15,224,27,1414,146,2651
214021385,0,11,0,60,7,0,0,3,0,0,0,3,0,20,86,115,6,3,0,0,0,0,0,3,0,16,11,43,401,85,15,309,30,177,10,126,20,546,107,1826
215011386,0,6,0,21,3,0,0,0,0,3,0,5,0,14,31,58,0,0,0,0,0,0,0,0,0,12,11,25,145,34,3,120,3,76,11,79,14,361,56,906
