SA2_MAINCODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
201011001,70,245,63,74,0,547,79,80,357,156,162,20,864,5,0,16,12,21,3,61,3,0,10,17,87,0,124,3,0,16,9,29,12,67,309,219,1088,626,1401,115,3754
201011002,118,259,73,61,9,654,199,116,465,122,114,30,1046,8,4,21,16,12,3,61,5,10,17,17,49,0,101,9,3,28,10,25,12,94,496,331,1478,623,939,117,3990
201011003,168,467,111,139,15,1106,148,150,577,243,299,48,1469,11,5,36,19,35,6,114,0,6,20,44,188,16,280,3,9,32,28,81,27,182,533,495,2065,1155,2696,283,7230
201011004,119,330,115,143,15,852,89,84,402,265,408,38,1282,10,4,52,19,47,4,141,0,6,24,40,188,5,264,12,6,20,33,97,33,194,372,311,1528,1065,2917,237,6427
201011005,64,181,61,37,4,445,65,48,178,81,79,18,461,4,0,18,9,19,0,41,7,0,17,14,50,4,85,5,3,14,4,34,9,69,238,157,726,379,734,77,2307
201011006,13,93,31,26,0,189,21,41,106,83,122,10,387,0,0,7,6,11,0,21,3,0,5,12,65,3,91,5,0,5,3,28,6,41,62,74,395,335,1012,65,1942
201011007,17,59,29,29,6,147,13,24,83,47,65,15,247,0,0,0,6,7,0,16,0,0,0,3,36,0,46,0,0,9,0,26,12,41,43,68,238,194,616,77,1238
201011008,53,150,36,68,4,358,22,51,187,136,207,25,631,0,0,14,15,38,3,67,0,0,17,15,90,3,126,0,0,18,13,63,37,133,117,144,679,483,1685,184,3298
201021009,25,78,30,32,6,187,23,24,65,43,80,7,239,0,0,9,7,10,0,27,3,6,13,3,49,0,72,0,0,14,8,46,3,76,100,81,367,282,800,102,1733
201021010,40,77,35,26,3,233,31,39,92,81,127,23,385,3,0,3,16,12,3,34,0,3,6,19,65,3,95,3,0,5,12,36,11,70,115,112,402,370,963,108,2072
201021011,49,119,37,30,9,296,57,46,163,104,91,21,477,8,4,30,16,16,4,76,8,6,8,14,44,4,82,4,3,27,15,36,21,100,252,172,760,502,888,134,2715
201021012,25,71,48,38,0,220,18,24,88,64,68,10,270,0,3,10,5,12,0,25,0,0,11,6,36,3,53,3,0,8,12,41,5,73,113,79,350,315,800,79,1738
201031013,3,17,10,9,0,47,6,6,32,22,41,8,116,0,0,4,0,3,0,14,0,0,0,3,12,0,18,0,0,3,3,12,5,25,23,21,127,121,352,63,706
201031014,10,38,21,13,3,98,5,11,50,49,43,3,160,0,0,0,8,5,0,16,0,0,3,3,33,3,42,0,0,3,4,25,5,37,36,37,172,192,462,56,960
201031015,23,40,20,26,3,132,11,16,59,56,60,14,224,0,0,0,3,16,0,18,0,0,0,3,47,0,54,0,0,3,8,34,10,59,56,63,203,225,633,77,1252
201031016,16,70,11,34,8,158,9,11,67,70,136,20,310,0,0,4,3,15,0,25,0,0,3,4,57,6,71,0,0,6,4,39,19,69,37,43,236,220,869,121,1527
201031017,12,36,20,13,5,94,12,9,51,46,57,8,174,0,0,4,5,10,3,15,0,0,0,7,39,3,55,3,0,4,4,25,9,47,24,33,163,168,593,79,1057
202011018,72,207,59,61,14,478,150,81,398,172,228,26,1051,4,3,9,4,28,3,47,8,5,13,17,100,5,150,9,4,15,14,66,34,140,324,228,1152,589,1640,180,4107
202011019,44,98,40,53,10,273,24,35,135,130,263,20,604,0,0,6,3,16,0,38,3,0,10,19,97,3,132,4,0,17,10,58,26,110,79,118,452,421,1584,124,2775
202011020,90,242,76,61,15,558,116,80,361,131,195,22,904,0,0,17,15,27,3,61,14,0,22,32,96,9,168,0,3,22,8,45,10,86,285,260,1225,631,1379,157,3932
202011021,90,198,41,45,6,461,71,84,236,143,146,19,697,3,4,15,6,11,3,50,8,8,18,22,63,0,108,4,3,17,5,29,3,67,236,230,931,463,996,94,2946
202011022,72,227,68,83,14,511,60,85,292,211,350,36,1034,0,3,16,13,25,0,54,6,5,18,39,177,6,251,3,0,14,15,82,30,146,209,233,1090,802,2515,217,5065
202011023,36,86,28,30,7,204,24,22,105,56,76,12,302,0,0,0,0,7,0,12,0,0,3,14,80,3,102,0,3,4,7,28,11,52,64,86,367,266,806,78,1672
202011024,60,232,41,38,6,441,66,59,237,110,117,14,608,0,0,7,4,22,0,34,3,3,12,12,77,0,111,4,0,12,13,38,11,71,186,198,920,479,1045,93,2911
202011025,49,175,54,68,7,379,42,56,238,143,234,35,754,0,0,10,16,24,10,64,0,5,7,21,123,7,163,3,0,14,13,60,24,108,137,162,821,548,1805,175,3646
202021026,48,116,35,42,3,283,40,51,158,97,105,19,473,0,0,0,0,18,0,20,3,3,9,10,82,3,107,3,0,5,13,39,8,68,124,152,559,386,1057,118,2387
202021027,78,145,45,31,11,416,76,66,180,122,112,19,576,9,5,30,16,5,8,74,8,3,22,16,60,3,106,8,7,24,21,41,11,116,327,236,803,433,861,130,2795
202021028,64,109,26,27,0,277,37,46,142,96,115,20,457,9,10,13,9,13,4,51,0,4,13,9,70,0,102,0,3,16,11,31,17,86,188,187,640,403,955,128,2502
202021029,22,28,10,9,0,78,7,13,38,33,73,12,170,0,0,3,0,3,0,10,0,0,3,3,37,0,45,0,0,0,3,22,19,47,31,45,172,153,531,59,996
202021030,71,137,32,38,8,346,32,36,144,65,123,19,425,13,3,24,11,18,6,76,0,0,15,9,85,7,119,7,3,19,16,37,14,97,214,180,747,476,1138,165,2922
202021031,57,121,18,38,8,328,37,46,157,70,61,9,379,3,0,17,7,10,3,39,9,3,17,15,29,0,73,5,9,25,14,23,7,88,263,199,770,358,637,83,2321
202031032,20,46,16,20,3,117,15,23,60,31,65,12,204,0,0,3,8,8,0,23,0,0,0,4,38,4,53,0,0,3,4,36,7,50,49,65,217,179,659,67,1225
202031033,32,59,14,19,4,135,13,10,54,59,79,15,232,0,0,3,0,5,0,11,0,0,5,3,32,3,49,4,0,0,7,22,25,54,35,65,274,267,782,112,1535
203011034,27,105,38,32,0,235,10,25,111,60,113,11,329,0,0,5,10,6,0,19,0,0,3,15,68,3,98,0,0,5,11,43,12,69,71,74,417,376,1039,87,2073
203011035,28,100,29,28,3,234,11,35,97,79,111,13,348,0,0,7,3,7,3,25,4,0,5,11,71,0,94,3,6,6,10,37,9,76,97,126,432,380,1078,107,2222
203011036,22,84,42,22,4,204,19,26,93,49,95,6,303,0,0,11,15,12,3,33,7,4,14,9,57,0,86,3,0,8,8,24,7,61,113,73,479,334,816,92,1909
203021037,105,297,88,80,5,713,84,79,339,132,191,27,849,4,3,31,10,20,0,65,6,3,23,38,88,8,163,3,3,28,19,51,21,134,398,278,1410,727,1562,160,4535
203021038,25,135,82,110,9,425,29,25,153,179,418,40,846,0,0,7,13,18,8,46,3,0,10,35,163,6,221,3,0,13,28,126,82,258,145,99,663,793,2639,379,4725
203021039,81,230,70,52,12,539,131,107,496,164,160,23,1073,4,3,23,14,27,0,71,7,8,27,31,117,0,191,11,0,30,14,43,24,117,413,301,1557,759,1352,153,4543
203021040,133,428,117,116,8,960,114,137,522,222,293,39,1323,12,10,39,17,28,3,106,9,6,49,51,147,5,266,13,5,40,36,77,30,200,536,412,2215,1182,2303,232,6893
203021041,93,404,156,130,19,941,108,93,527,279,399,41,1446,11,0,30,26,48,8,116,6,4,46,61,209,9,324,4,3,32,40,96,21,200,408,294,1994,1389,3114,227,7424
203021042,158,578,124,95,24,1279,143,125,655,234,241,40,1430,10,5,38,22,41,3,118,12,9,49,41,140,3,252,11,5,53,40,58,16,186,783,454,2650,1275,2119,217,7493
203021043,59,209,85,90,17,513,41,55,214,189,255,32,787,3,0,23,21,31,4,87,5,3,27,34,143,5,218,8,0,22,39,83,28,186,227,181,1111,1036,2465,237,5265
203021044,25,159,89,72,4,406,29,51,233,171,269,31,784,3,0,9,13,26,0,50,7,0,15,28,147,4,201,3,0,6,20,69,15,119,154,113,789,767,1928,133,3891
203021045,28,89,55,77,8,279,21,36,180,157,299,33,725,0,0,4,9,26,0,50,9,3,18,15,137,5,186,3,0,8,14,96,28,154,101,91,580,600,1961,193,3529
203021046,81,284,81,41,3,618,146,67,365,111,92,21,809,3,4,22,10,14,8,66,3,5,9,28,60,3,104,8,3,44,16,32,16,111,445,258,1461,587,810,88,3647
203021047,55,158,78,80,9,427,50,37,219,138,202,30,676,3,6,10,9,19,0,49,3,3,19,32,107,3,170,3,3,33,25,82,24,166,194,162,961,730,1673,194,3912
203031048,66,157,74,50,11,405,33,57,217,166,264,20,767,0,5,14,15,13,3,53,0,3,11,36,132,10,186,4,0,19,18,76,15,138,147,168,803,699,1781,158,3764
203031049,37,113,22,16,3,232,30,13,107,45,25,9,233,3,3,26,13,21,0,66,3,0,11,7,29,3,48,0,3,21,11,20,9,67,138,99,568,279,514,73,1673
203031050,178,556,151,96,21,1193,178,159,548,235,283,66,1467,8,9,39,29,63,9,150,15,9,44,50,149,8,267,14,7,44,39,92,30,229,643,539,2440,1419,2736,262,8040
203031051,25,57,26,25,5,170,22,21,81,56,92,18,284,0,0,8,3,13,5,25,0,3,6,6,34,3,53,3,0,16,9,24,14,68,87,65,333,291,688,104,1580
203031052,17,73,20,11,3,156,33,12,82,38,23,3,191,0,4,13,3,3,0,24,3,0,6,5,14,0,36,9,6,7,3,5,6,32,127,81,406,195,271,35,1111
203031053,131,482,121,70,21,996,111,104,470,207,130,32,1053,14,5,21,27,26,3,102,4,8,34,50,116,3,217,10,7,56,33,66,31,207,556,383,2307,1174,1952,214,6593
204011054,47,95,35,56,9,265,13,9,72,43,70,15,231,3,3,3,4,14,7,34,3,0,5,5,42,0,56,0,0,3,7,30,10,52,63,80,342,284,793,105,1667
204011055,27,75,28,25,5,176,12,18,69,62,91,12,263,0,0,6,12,34,3,52,4,3,6,11,38,4,67,3,4,13,6,31,17,73,65,78,349,303,725,109,1622
204011056,77,150,48,66,8,393,24,28,144,147,156,25,533,3,0,10,22,40,3,78,8,0,11,27,131,12,183,3,8,16,23,104,20,171,136,149,627,717,1985,204,3822
204011057,60,125,49,46,10,325,12,10,99,81,73,8,288,3,3,10,7,13,4,35,0,0,9,20,83,3,114,3,3,5,13,64,27,107,113,116,560,454,1238,147,2622
204011058,10,58,18,9,0,100,11,3,42,35,36,8,138,0,0,7,9,12,3,33,0,0,3,9,23,0,33,0,0,8,4,20,12,46,41,25,218,227,527,73,1110
