SA2_MAINCODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
201011001,..,59,36,7,15,8,0,3,0,131,..,14,37,21,58,91,87,68,38,423,29,36,12,12,8,8,11,4,3,128,1277,734,756,809,788,569,378,187,75,5572,..,15,623,1104,1008,757,521,214,41,4292,..,101,322,143,109,68,30,4,0,775,..,12,78,131,172,45,23,6,9,479,2581,..,..,..,..,..,..,..,..,2581,..,732,..,..,..,..,..,..,..,732,..,370,115,30,20,14,3,0,0,541,..,37,29,3,8,21,11,15,4,126,..,37,29,7,12,4,0,0,0,93,..,139,79,17,26,15,7,3,0,299,..,32,102,65,108,139,113,102,51,709,51,68,34,20,24,15,18,10,3,245,2631,1543,1419,1529,1488,1078,730,354,110,10873
201011002,..,152,89,17,17,23,9,3,4,312,..,43,98,79,91,159,207,168,94,944,18,48,28,13,15,18,15,10,5,170,917,684,667,686,798,721,575,357,142,5563,..,19,390,712,882,806,632,325,61,3826,..,85,246,157,137,96,29,8,7,759,..,13,49,114,155,78,21,23,19,468,1823,..,..,..,..,..,..,..,..,1823,..,531,..,..,..,..,..,..,..,531,..,223,111,37,32,21,3,0,0,427,..,37,24,5,24,23,15,9,3,146,..,24,22,0,10,3,0,0,0,62,..,271,194,43,35,45,10,14,4,614,..,81,163,157,193,287,302,219,123,1526,45,67,59,23,29,26,23,18,7,292,1867,1354,1261,1253,1487,1376,1037,613,220,10472
201011003,..,197,129,22,33,31,23,11,3,446,..,58,144,138,179,342,342,300,176,1684,43,75,50,23,24,30,32,17,12,299,1994,1343,1424,1396,1538,1395,1051,618,273,11031,..,32,964,1511,1622,1559,1167,524,103,7478,..,261,647,346,312,155,68,16,0,1812,..,34,150,236,302,147,57,57,45,1030,3959,..,..,..,..,..,..,..,..,3959,..,949,..,..,..,..,..,..,..,949,..,646,261,99,85,51,5,0,0,1152,..,103,38,18,30,46,31,17,9,300,..,58,29,8,17,6,4,4,0,123,..,373,292,61,75,62,49,21,10,941,..,118,308,279,366,559,503,403,216,2751,76,145,113,59,60,54,52,26,21,596,4032,2711,2803,2621,2880,2644,1939,1069,395,21096
201011004,..,366,140,30,38,44,15,9,0,645,..,82,162,137,225,421,430,322,202,1989,48,88,50,22,18,33,43,17,12,334,1987,1787,1702,1404,1381,1387,1103,643,289,11677,..,55,1001,1282,1155,1236,1036,532,124,6416,..,445,774,386,259,161,64,17,3,2109,..,91,267,372,400,166,66,48,39,1446,4016,..,..,..,..,..,..,..,..,4016,..,871,..,..,..,..,..,..,..,871,..,685,303,122,85,39,4,0,0,1243,..,150,83,44,44,55,29,18,21,443,..,118,78,26,22,13,5,0,0,257,..,692,334,69,91,82,36,17,0,1326,..,172,379,344,458,681,673,438,256,3400,96,164,119,64,43,54,64,28,16,645,4108,3441,3349,2699,2549,2479,1985,1110,451,22169
201011005,..,57,11,4,4,16,3,0,0,99,..,10,13,15,22,56,60,47,26,242,3,19,4,3,4,6,9,3,0,53,690,373,250,456,442,432,297,127,34,3106,..,8,231,592,601,634,430,153,27,2669,..,30,109,112,96,54,22,6,0,427,..,8,16,61,62,32,15,11,3,197,1377,..,..,..,..,..,..,..,..,1377,..,340,..,..,..,..,..,..,..,340,..,200,77,29,19,12,0,0,0,326,..,21,3,3,4,11,7,7,8,64,..,24,6,3,3,3,0,0,0,37,..,159,31,10,11,18,9,4,3,251,..,23,31,31,51,91,90,64,30,410,17,43,11,12,13,11,9,6,0,126,1395,852,529,851,858,862,586,242,63,6226
201011006,..,46,13,3,8,12,10,5,0,96,..,9,23,15,32,54,66,69,38,306,10,27,5,6,8,9,11,7,0,77,651,486,471,418,439,390,297,144,58,3354,..,19,342,460,493,472,391,131,18,2329,..,93,249,115,83,40,23,0,0,599,..,13,61,108,110,44,15,17,3,369,1340,..,..,..,..,..,..,..,..,1340,..,362,..,..,..,..,..,..,..,362,..,276,94,32,14,9,0,0,0,429,..,33,29,5,15,15,18,5,6,124,..,20,19,7,10,3,0,0,0,63,..,91,47,17,15,22,18,5,3,225,..,21,46,53,75,87,95,87,51,520,24,49,22,12,19,23,17,7,5,179,1369,980,914,810,827,718,578,255,84,6533
201011007,..,0,7,0,6,4,5,0,0,18,..,0,7,3,10,21,20,11,0,71,3,3,4,0,0,0,6,0,0,27,407,233,159,261,306,252,131,36,14,1794,..,0,139,354,460,415,214,58,12,1649,..,16,49,72,72,32,13,3,0,261,..,0,13,33,24,16,8,5,0,92,821,..,..,..,..,..,..,..,..,821,..,247,..,..,..,..,..,..,..,247,..,190,47,14,13,3,0,0,0,267,..,8,0,7,5,7,10,4,3,41,..,14,3,0,0,0,0,0,0,22,..,4,8,6,10,10,6,0,0,39,..,3,10,22,34,42,39,19,5,169,10,16,7,5,3,5,7,0,0,59,832,494,277,514,617,523,302,91,21,3675
201011008,..,59,29,21,15,17,8,3,3,168,..,33,97,77,113,177,244,214,133,1091,48,46,25,16,8,13,9,5,5,177,1263,786,907,804,801,770,730,476,209,6749,..,37,618,743,731,811,763,467,109,4286,..,153,393,230,177,101,51,13,0,1111,..,57,148,197,208,87,40,39,22,795,2571,..,..,..,..,..,..,..,..,2571,..,494,..,..,..,..,..,..,..,494,..,438,163,81,79,19,9,0,0,794,..,55,43,25,29,53,42,16,10,270,..,50,29,20,10,3,0,0,0,111,..,147,115,49,40,41,18,9,4,422,..,61,209,189,256,339,380,282,176,1887,83,87,66,41,27,32,15,17,7,372,2656,1585,1790,1568,1553,1478,1311,851,330,13114
201021009,..,4,8,8,8,5,12,0,0,40,..,4,12,23,48,51,54,48,22,261,5,15,8,8,11,13,9,6,0,79,493,272,257,370,462,373,288,114,41,2667,..,3,180,435,542,499,391,105,21,2173,..,34,136,120,137,61,18,0,0,504,..,6,26,50,52,34,12,15,6,200,1017,..,..,..,..,..,..,..,..,1017,..,287,..,..,..,..,..,..,..,287,..,190,95,26,19,3,3,0,0,337,..,8,8,3,7,16,12,13,11,78,..,7,11,3,6,4,3,0,0,38,..,8,10,16,10,19,23,3,0,81,..,11,28,47,85,116,110,70,23,496,15,29,20,18,27,15,10,7,0,146,1032,588,508,725,878,768,579,216,60,5352
201021010,..,0,5,3,16,7,6,0,0,47,..,6,11,31,49,109,105,89,57,460,6,12,10,5,9,16,3,7,3,70,625,322,296,395,495,579,438,215,90,3454,..,12,222,436,516,663,588,247,31,2711,..,35,126,151,142,110,45,6,0,621,..,9,47,69,73,54,22,17,14,303,1224,..,..,..,..,..,..,..,..,1224,..,254,..,..,..,..,..,..,..,254,..,239,101,33,34,15,3,0,0,420,..,18,12,3,12,15,16,21,12,106,..,17,12,3,9,4,3,0,0,49,..,3,17,18,27,25,23,4,0,110,..,18,36,68,128,223,201,122,92,890,11,36,26,20,18,27,12,9,4,162,1232,643,584,802,955,1141,901,431,154,6840
