SA2_MAINCODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
201011001,1385,94,63,10,0,0,5,1553
201011002,1026,77,33,3,0,0,0,1139
201011003,2160,153,83,16,3,0,9,2415
201011004,1770,171,122,20,3,0,17,2105
201011005,798,45,29,5,0,0,0,879
201011006,645,63,55,9,0,0,8,779
201011007,522,33,22,0,0,0,5,589
201011008,1154,116,87,15,3,3,10,1378
201021009,622,43,25,4,0,0,3,693
201021010,637,57,38,9,0,3,7,747
201021011,707,52,32,0,0,0,4,793
201021012,613,47,19,11,0,0,5,697
201031013,240,14,12,0,0,4,3,279
201031014,346,34,18,6,0,0,0,411
201031015,435,52,36,8,0,0,3,532
201031016,497,55,32,3,3,0,7,601
201031017,387,48,30,3,0,0,7,479
202011018,949,91,53,4,0,0,8,1114
202011019,854,90,91,12,3,0,14,1060
202011020,1076,75,56,6,0,0,8,1219
202011021,764,65,26,5,3,0,4,865
202011022,1547,151,107,9,4,0,8,1823
202011023,746,48,29,3,0,0,0,828
202011024,1170,77,36,4,0,0,6,1294
202011025,1193,119,75,19,3,3,11,1415
202021026,887,48,45,6,0,0,3,990
202021027,785,57,32,8,0,0,3,885
202021028,723,58,25,4,0,0,3,815
202021029,325,36,20,3,0,0,3,386
202021030,906,64,45,10,0,0,7,1026
202021031,829,51,24,3,3,0,3,915
202031032,435,54,21,5,0,0,9,523
202031033,529,34,20,5,0,0,4,586
203011034,874,52,26,0,3,0,4,957
203011035,828,58,42,9,3,0,3,942
203011036,637,52,20,5,0,0,0,707
203021037,1254,84,35,7,0,0,4,1392
203021038,1939,216,162,28,5,3,21,2371
203021039,1012,71,26,6,0,0,3,1121
203021040,1927,106,45,5,0,0,6,2088
203021041,2377,178,108,23,9,4,9,2707
203021042,2629,152,68,13,0,0,3,2864
203021043,1972,187,107,23,0,0,9,2303
203021044,1348,149,77,11,0,0,3,1591
203021045,1112,110,69,12,4,0,13,1318
203021046,1151,44,21,0,0,0,4,1227
203021047,1344,108,49,9,0,0,4,1512
203031048,1269,116,62,9,0,0,15,1468
203031049,404,29,14,0,0,0,0,452
203031050,2696,169,100,14,0,0,9,2985
203031051,454,41,14,6,3,0,4,524
203031052,310,20,6,0,0,0,3,339
203031053,2283,126,77,5,0,0,5,2499
204011054,451,39,29,7,0,0,0,526
204011055,432,32,21,0,0,0,3,493
204011056,1375,139,65,13,3,0,12,1617
204011057,691,54,22,5,3,0,4,777
204011058,323,35,16,0,0,0,0,377
204011059,435,44,19,8,0,0,8,513
204011060,459,35,37,3,0,0,0,535
204011061,13,0,0,0,0,0,0,14
204011062,258,28,17,0,0,0,3,312
204021063,685,73,41,7,0,0,0,809
204021064,305,29,14,11,0,0,9,366
204021065,339,27,16,3,0,0,7,396
204021066,1518,123,92,20,3,0,17,1769
204021067,981,71,45,10,0,0,13,1120
204031068,359,40,12,5,0,0,3,417
204031069,645,43,27,4,0,0,3,718
204031070,309,31,12,5,0,0,3,359
204031071,382,28,23,0,0,0,0,435
204031072,475,39,18,6,0,0,4,537
