SA2_MAINCODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
201011001,1097,16,45,0,3,1159,1596,20,18,0,11,1638,547,135,129,0,4,818,19,3,4,0,0,23,113,5,16,0,0,138,0,4,0,0,0,7,9,5,0,0,0,15,14,0,0,0,0,14,700,147,153,0,6,1013,11,0,0,0,0,13,52,3,4,0,3,60,3456,187,224,3,23,3886
201011002,1418,246,40,3,3,1711,1058,111,18,4,0,1192,767,279,151,5,6,1208,19,3,8,0,0,31,186,55,37,0,6,272,21,8,12,0,6,52,16,3,3,0,5,33,11,7,0,0,0,20,1022,344,215,3,20,1606,23,7,0,0,3,31,65,15,15,0,3,100,3587,734,292,14,28,4654
201011003,2682,241,20,29,14,2982,2814,110,5,25,13,2974,1295,428,57,0,10,1788,225,86,11,0,3,329,365,50,4,4,3,422,29,23,14,0,0,59,24,10,0,6,3,38,27,5,0,0,0,36,1960,601,84,9,18,2678,57,51,3,0,0,113,183,40,4,3,5,240,7707,1047,118,68,54,8992
201011004,2209,433,42,3,10,2699,2478,439,17,6,7,2944,1367,989,126,4,9,2499,238,259,48,0,0,546,410,148,16,0,7,574,49,56,16,0,0,119,23,32,4,0,0,58,34,19,3,0,0,51,2120,1500,205,4,15,3842,40,12,0,0,8,56,220,77,18,0,12,325,7067,2460,282,15,45,9868
201011005,886,10,9,0,0,907,926,13,0,0,0,945,235,22,9,0,0,271,3,4,0,0,0,6,84,5,3,0,0,91,0,0,0,0,0,5,3,0,0,0,0,3,10,0,0,0,0,10,337,26,10,0,0,378,8,0,0,0,0,8,42,0,0,0,0,42,2198,48,19,0,7,2281
201011006,683,53,0,0,0,744,1002,72,3,0,4,1077,216,66,3,0,0,289,120,9,3,0,0,133,77,13,0,0,0,88,22,3,0,0,0,21,6,0,0,0,0,9,4,0,0,0,0,4,445,96,6,0,3,556,32,0,0,0,0,36,64,5,0,0,0,65,2228,223,12,0,8,2472
201011007,460,0,0,0,0,458,695,0,0,4,3,701,17,0,0,0,0,17,0,0,0,0,0,0,27,0,0,0,0,27,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,8,54,0,0,0,0,53,4,0,0,0,0,4,23,0,0,0,0,23,1239,0,0,3,6,1246
201011008,1665,168,12,0,0,1852,1620,55,12,3,0,1688,724,236,121,0,0,1082,306,90,25,0,3,427,233,36,23,0,0,287,19,14,20,0,0,56,24,4,3,0,0,33,18,9,0,0,0,34,1320,396,203,0,9,1926,22,0,0,0,0,21,134,37,14,0,0,181,4758,652,243,6,8,5667
201021009,722,3,15,0,7,744,989,0,9,3,3,1004,101,0,16,0,0,120,10,14,0,0,0,25,84,0,0,0,0,84,0,0,0,0,0,0,17,0,0,0,0,19,8,0,3,0,0,15,221,19,25,3,3,265,19,0,0,0,0,20,39,0,6,7,0,52,1982,20,49,12,9,2079
201021010,1087,3,0,145,17,1259,936,5,0,91,19,1053,127,0,0,35,0,166,31,17,0,0,0,56,165,3,0,22,4,187,0,0,4,0,0,7,14,0,0,14,3,28,21,0,0,3,0,23,360,25,11,66,8,469,23,7,0,0,0,33,70,34,3,6,0,120,2482,69,13,313,45,2933
