SA2_MAINCODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
201021011,1585,9,0,22,21,1634,1181,0,0,15,8,1205,245,14,3,3,3,264,18,0,19,0,0,44,230,7,11,3,8,256,3,6,5,0,0,15,14,3,0,0,0,16,24,0,0,0,4,27,539,31,38,8,13,626,19,3,0,9,0,25,101,0,0,3,13,120,3421,48,41,52,57,3612
201021012,798,0,0,3,6,807,901,0,0,0,3,908,56,0,7,0,0,68,0,0,0,0,0,0,93,0,3,0,0,96,3,0,0,0,0,4,18,0,0,0,0,15,12,0,0,0,0,15,182,0,11,0,4,196,11,0,0,0,0,10,45,0,4,0,3,51,1931,0,7,3,17,1964
201031013,718,0,0,12,3,734,375,0,0,0,3,380,42,0,3,0,0,48,7,0,0,0,0,11,100,0,0,0,0,105,0,0,0,0,0,0,13,0,0,0,0,13,19,0,0,0,0,19,187,0,0,0,0,190,10,0,0,0,0,18,51,0,0,0,0,46,1338,0,0,13,6,1365
201031014,717,0,0,42,3,766,503,0,0,0,3,502,45,0,3,0,0,50,0,0,0,0,0,0,114,0,5,3,3,127,0,0,0,0,0,0,17,0,0,5,0,21,17,0,0,0,0,22,203,0,16,7,3,226,12,0,0,0,0,12,42,0,4,3,3,50,1474,0,16,54,10,1561
201031015,664,0,0,3,0,669,781,0,0,8,3,789,43,0,0,0,0,43,0,0,0,0,0,0,63,0,0,4,0,71,0,0,0,0,0,0,6,0,0,0,0,6,12,0,0,0,0,12,125,0,0,4,0,127,8,0,0,0,0,8,34,0,0,0,0,41,1617,0,0,14,5,1632
201031016,1286,69,3,29,4,1391,836,17,3,3,5,857,393,70,18,3,0,479,97,44,6,0,0,145,191,15,4,8,0,214,13,19,9,0,0,39,17,0,0,8,0,28,19,3,0,0,0,22,723,156,31,11,4,931,18,29,0,0,0,50,114,18,7,3,0,138,2977,292,45,47,13,3374
201031017,1042,9,0,28,8,1086,693,0,0,16,3,709,66,0,0,0,0,71,5,7,20,0,0,31,123,3,3,5,0,130,0,0,3,0,0,3,15,0,0,3,0,20,19,0,0,3,0,21,228,15,26,9,0,274,18,0,0,3,0,20,71,0,7,4,0,79,2038,28,35,57,8,2164
202011018,1558,64,10,3,5,1645,1429,60,12,4,7,1517,1071,349,80,5,11,1517,265,87,23,0,0,374,381,56,16,3,0,450,27,8,0,0,0,34,34,4,38,0,0,69,27,5,4,0,0,37,1801,509,157,11,11,2481,17,5,0,0,0,25,153,44,18,0,3,215,4960,682,199,16,23,5885
202011019,1338,39,7,0,4,1386,1480,10,4,0,5,1507,730,94,13,0,7,845,206,71,5,0,3,282,255,19,3,3,4,285,53,5,0,0,0,60,13,3,0,0,0,19,26,3,0,0,0,30,1283,193,26,8,14,1523,15,3,0,0,0,15,129,17,0,0,0,146,4240,262,42,6,30,4577
202011020,1914,177,4,0,3,2092,1231,97,18,3,3,1346,708,425,24,0,3,1153,76,84,5,0,0,171,239,80,0,0,0,325,10,24,0,0,0,40,10,6,0,0,0,19,20,4,0,0,0,26,1070,624,29,0,4,1723,35,9,0,0,0,39,98,38,3,0,0,136,4336,934,52,5,12,5340
202011021,940,142,0,0,0,1087,975,46,0,0,0,1022,695,276,16,0,3,991,46,45,4,0,0,90,208,48,3,0,0,257,22,15,0,0,0,37,6,9,0,0,0,13,9,3,0,0,0,9,975,390,16,0,3,1395,16,3,0,0,0,22,74,26,0,0,0,101,2989,613,21,0,7,3630
202011022,2423,109,21,36,3,2591,2441,61,20,0,6,2529,1046,189,71,3,13,1327,210,118,29,0,0,362,419,41,12,0,4,475,47,22,22,0,0,92,42,3,3,23,0,72,33,3,7,0,0,39,1788,379,152,32,13,2362,25,0,4,0,0,31,191,31,14,9,3,246,6868,588,203,78,31,7758
202011023,471,0,0,4,5,479,878,0,0,0,3,882,76,0,0,0,0,76,0,0,0,0,0,0,39,0,3,0,0,45,0,0,0,0,0,0,3,0,0,5,0,10,3,0,0,0,0,3,128,0,3,5,0,133,4,0,0,0,0,4,31,0,0,0,0,31,1512,0,4,7,4,1528
202011024,909,0,3,18,4,930,1408,0,3,0,3,1416,197,4,0,0,0,198,3,0,0,0,0,3,61,0,3,0,0,61,3,0,0,0,0,3,4,0,0,3,0,7,3,0,0,0,0,7,278,4,3,5,0,281,44,0,0,0,0,45,49,0,0,0,0,48,2686,6,4,22,9,2729
202011025,1066,8,0,9,0,1082,1891,3,0,3,4,1903,611,58,3,0,3,678,68,26,0,0,0,95,175,6,0,5,0,193,20,6,0,0,0,25,12,0,0,0,0,10,16,3,0,0,0,19,908,95,8,4,3,1018,17,0,0,0,0,18,79,6,5,0,6,97,3958,114,17,19,12,4118
202021026,855,3,0,9,14,881,1212,0,3,4,21,1236,85,0,0,0,0,85,0,0,0,0,0,0,78,0,0,0,0,79,0,0,0,0,0,0,19,0,0,0,0,21,7,0,0,0,0,14,189,0,3,0,3,197,3,0,0,0,0,3,42,0,0,0,0,42,2296,3,4,20,37,2356
202021027,1674,55,4,4,16,1755,1248,13,6,0,9,1280,402,65,6,0,3,477,72,53,0,0,0,122,214,29,9,0,3,254,17,8,0,0,0,20,10,5,0,0,0,15,19,3,0,0,0,17,728,155,17,4,5,910,22,0,0,0,0,28,117,18,3,0,3,139,3788,247,30,11,32,4115
202021028,1571,4,3,17,8,1604,1248,0,0,7,17,1271,134,3,0,0,0,137,3,3,10,0,0,15,169,3,0,7,0,179,0,0,8,0,0,9,17,0,0,3,0,24,24,0,0,0,0,25,346,8,16,12,3,389,25,0,7,0,0,37,76,0,0,0,0,77,3265,19,27,33,29,3373
202021029,800,0,4,11,6,826,621,0,4,3,5,638,102,0,7,0,3,115,4,0,0,0,0,4,99,0,0,7,0,108,3,0,0,0,0,3,10,0,0,9,0,22,9,0,0,0,0,13,232,0,8,14,8,258,5,0,0,0,0,6,93,0,0,0,3,100,1748,7,16,31,18,1826
202021030,1307,29,21,3,0,1362,1350,10,10,14,0,1383,277,51,31,12,0,363,46,25,6,0,0,77,127,20,12,5,0,163,11,11,0,0,0,18,19,0,0,3,0,23,9,0,0,0,0,9,489,104,45,23,0,659,22,0,0,0,0,25,84,6,0,0,14,108,3251,155,74,38,23,3532
202021031,880,16,0,3,6,912,1026,3,3,0,0,1034,171,19,0,0,0,195,31,7,0,0,0,38,80,11,3,0,3,90,17,3,0,0,0,22,8,0,0,0,0,7,9,0,0,0,0,12,317,41,3,4,3,368,6,0,0,0,0,10,55,5,0,0,4,59,2287,69,9,4,17,2377
202031032,643,3,0,8,0,664,666,0,0,11,3,675,53,0,0,0,0,52,6,0,0,0,0,6,89,3,0,3,0,94,3,0,0,0,0,3,12,0,0,0,0,12,18,0,0,3,0,23,179,3,0,8,0,192,11,0,0,0,0,11,48,0,0,3,0,52,1544,6,3,30,5,1593
202031033,1382,3,4,35,17,1449,691,0,0,14,8,712,68,0,11,0,0,75,7,8,17,0,0,32,218,0,8,3,0,230,7,0,3,0,0,8,63,0,0,6,0,69,43,0,0,0,0,43,403,6,38,11,0,458,35,0,0,0,0,32,104,0,7,3,5,122,2619,11,50,63,33,2775
203011034,545,0,0,3,0,552,1120,0,0,0,0,1126,139,0,3,0,0,142,0,0,0,0,0,0,70,0,0,0,0,70,0,0,0,0,0,0,12,0,0,0,0,12,8,0,0,0,0,8,233,0,3,0,0,235,4,0,0,0,0,4,39,0,0,0,0,40,1944,3,3,8,3,1956
203011035,806,0,7,0,3,823,1232,3,8,3,0,1246,55,3,3,0,0,59,0,0,0,0,0,0,91,3,0,0,0,94,8,0,0,0,0,8,16,0,0,0,0,18,15,0,0,0,0,15,187,3,3,0,0,197,15,0,0,0,0,15,52,0,3,0,0,51,2295,14,19,6,10,2339
203011036,818,0,0,0,5,827,792,0,0,3,3,802,77,0,0,0,0,84,26,0,0,0,0,26,129,0,6,0,3,141,0,0,0,0,0,0,27,0,0,0,0,27,12,0,0,3,0,18,278,0,8,3,5,296,14,0,0,0,0,14,58,0,0,0,0,61,1963,3,8,13,13,1994
203021037,1608,249,0,69,5,1937,1560,159,9,8,3,1744,724,469,44,0,7,1242,74,45,0,0,0,121,237,100,3,4,3,347,38,26,0,0,0,66,11,9,0,72,0,93,21,5,0,4,0,30,1106,649,50,84,5,1892,24,3,0,4,0,35,91,28,0,5,4,132,4390,1090,64,174,14,5733
203021038,2630,67,29,0,7,2727,2500,77,24,0,4,2607,1575,256,73,4,9,1915,853,338,16,0,0,1208,502,31,15,3,0,550,86,30,4,0,0,114,50,9,5,39,8,105,48,14,3,10,7,75,3102,681,122,49,20,3971,47,3,0,5,0,60,339,51,15,0,0,404,8616,874,188,57,31,9767
203021039,1295,206,74,5,7,1587,1210,165,55,4,0,1437,657,412,224,3,5,1304,74,143,30,0,0,246,254,83,37,4,0,377,17,13,12,0,0,36,23,8,3,0,0,36,12,6,3,0,0,26,1039,663,311,6,7,2031,20,5,3,0,0,33,82,39,18,0,3,139,3655,1076,461,14,19,5226
203021040,2168,171,128,3,3,2476,2249,141,108,3,6,2510,1072,376,515,8,10,1987,54,56,64,0,0,172,322,73,69,3,6,469,13,18,20,0,0,49,22,4,15,0,0,41,13,4,4,0,0,25,1498,533,690,8,15,2737,23,3,3,0,0,30,147,27,37,0,3,216,6086,875,968,15,24,7966
203021041,2377,226,4,25,0,2634,3087,168,3,45,3,3309,904,209,11,26,0,1158,129,45,11,0,0,181,385,47,8,8,3,446,68,21,15,4,0,101,18,0,13,0,0,28,21,8,3,0,0,27,1517,325,65,35,9,1946,124,74,10,0,0,209,153,38,20,3,0,211,7258,830,100,105,18,8315
203021042,2728,182,9,0,0,2922,2756,117,3,0,5,2883,699,332,8,0,3,1042,21,28,0,0,0,52,283,96,3,0,0,382,3,35,0,0,0,37,10,7,0,0,0,22,12,9,0,0,0,19,1028,503,13,0,6,1554,19,6,0,0,0,23,116,21,0,0,0,136,6646,823,22,3,21,7515
203021043,1665,92,0,0,3,1764,2512,128,3,3,3,2646,613,221,21,0,0,855,24,3,0,0,0,22,217,23,0,0,0,242,21,13,0,0,0,34,37,3,0,0,3,49,22,4,0,0,0,24,934,271,22,0,3,1230,39,5,0,0,0,43,115,10,0,0,3,135,5268,501,27,3,16,5814
203021044,1447,117,0,17,4,1582,1999,44,0,4,0,2042,475,78,5,0,0,552,20,8,0,0,0,28,172,20,0,0,0,192,5,3,0,0,0,4,15,0,0,17,0,31,10,0,0,0,0,10,695,108,4,17,0,823,17,27,0,3,0,49,75,14,0,0,0,90,4230,310,4,42,8,4588
203021045,1851,105,3,32,3,1995,1714,100,3,7,6,1835,637,265,20,3,4,927,250,47,5,0,0,301,300,61,0,0,0,364,53,64,0,0,0,119,52,4,0,0,0,60,24,4,0,0,0,27,1317,449,27,7,5,1803,70,3,0,0,0,76,171,18,0,6,0,194,5121,675,32,54,16,5900
203021046,1232,184,9,0,6,1432,1073,128,15,0,3,1216,365,308,62,0,3,741,15,44,0,0,0,62,120,61,13,0,0,193,6,15,0,0,0,23,11,3,0,0,0,20,11,6,0,0,0,15,529,436,77,6,5,1051,17,3,0,0,0,23,60,16,0,0,0,79,2906,780,101,6,14,3805
203021047,2046,98,41,24,6,2210,1433,108,44,3,4,1589,662,281,111,3,7,1057,60,64,12,0,0,138,233,35,28,0,0,293,14,23,3,0,0,39,33,20,0,16,0,65,23,3,5,0,0,33,1018,420,156,19,6,1631,32,0,3,0,0,38,153,27,11,0,0,188,4678,655,261,44,20,5652
203031048,1984,72,39,0,6,2108,1830,29,0,3,6,1870,567,63,3,5,7,642,6,3,0,0,0,10,191,12,4,0,0,204,9,0,0,0,0,8,10,0,0,0,0,14,12,0,0,0,0,20,793,85,5,5,3,898,25,0,0,0,3,25,112,4,4,0,0,124,4751,196,52,6,20,5023
203031049,890,8,20,5,3,928,459,3,6,0,4,483,180,13,19,11,0,221,12,0,8,0,0,16,121,10,6,3,4,139,0,4,8,0,0,8,17,0,0,0,0,17,9,0,0,0,0,16,333,27,37,13,10,416,4,0,5,0,0,12,46,0,0,0,0,49,1737,39,70,22,23,1889
203031050,2796,206,14,8,12,3032,3105,129,14,0,5,3249,980,163,19,4,5,1175,18,29,0,0,0,48,315,45,3,11,3,374,23,0,0,0,0,25,16,6,0,7,3,32,42,7,0,0,0,47,1398,246,27,19,10,1700,33,0,0,0,0,35,128,23,6,3,4,161,7457,605,56,26,33,8174
203031051,1472,47,37,0,4,1566,625,13,7,0,0,658,432,72,47,0,3,554,0,0,0,0,0,0,126,20,11,0,3,152,0,17,0,0,0,18,12,0,0,0,0,14,19,0,0,3,0,27,584,103,56,3,3,764,19,3,0,0,0,17,93,6,7,0,7,114,2804,178,110,7,23,3116
203031052,871,53,11,7,3,956,319,12,4,0,0,337,128,29,12,3,0,170,0,4,3,0,0,7,79,3,0,3,0,90,4,0,0,0,0,4,5,0,0,0,0,8,12,3,0,0,0,17,226,36,17,3,4,293,8,0,0,0,0,13,34,3,0,0,0,40,1465,110,35,19,14,1638
203031053,1972,148,9,0,15,2144,2387,96,10,0,0,2485,747,230,23,0,0,1001,0,3,0,0,0,3,270,43,5,0,0,313,5,0,0,0,0,5,15,3,0,3,0,18,25,3,0,0,0,36,1067,281,28,3,0,1376,58,13,0,0,0,69,111,14,0,0,0,130,5588,541,46,6,16,6204
204011054,1082,24,0,39,17,1164,709,3,0,9,11,735,164,32,10,4,3,220,27,17,4,0,0,42,136,7,0,7,0,154,0,0,0,0,0,0,33,3,0,6,3,51,18,0,0,0,0,24,381,59,19,22,5,483,11,0,0,0,0,12,86,24,0,41,3,158,2265,113,25,110,36,2549
204011055,1203,24,11,11,5,1255,722,3,3,0,0,734,155,8,16,3,0,181,20,16,0,0,0,42,156,5,10,3,0,175,0,18,0,0,0,20,29,6,3,3,0,50,24,3,0,0,0,31,391,61,26,12,3,495,23,7,0,0,0,29,76,5,3,4,3,90,2414,98,49,31,15,2599
204011056,1381,90,34,23,3,1532,2058,21,11,0,6,2096,574,74,31,0,0,685,37,26,7,0,0,71,200,12,4,3,3,223,5,0,10,0,0,12,16,3,0,13,0,29,26,0,0,0,0,25,852,126,52,15,7,1048,23,17,5,0,0,47,97,12,3,0,4,119,4408,268,107,38,20,4845
204011057,1377,11,8,13,14,1427,973,3,4,7,3,995,258,16,9,0,0,287,53,3,0,0,0,54,163,0,6,0,3,181,0,0,0,0,0,0,46,7,0,10,3,67,34,0,4,0,0,41,558,33,14,12,10,629,48,0,0,0,0,52,124,0,5,3,4,141,3088,48,37,35,30,3233
204011058,669,3,6,23,8,713,458,0,3,4,0,462,126,4,25,3,0,158,9,8,0,0,0,18,93,0,6,6,0,107,0,0,3,0,0,3,28,0,0,0,0,28,20,0,0,0,0,19,272,18,33,11,0,334,12,0,0,0,0,17,53,3,0,0,3,55,1458,25,45,37,12,1578
204011059,806,6,24,14,3,852,662,3,8,0,0,680,276,11,70,0,0,355,146,11,46,0,0,204,130,0,28,0,8,165,5,0,3,0,0,6,32,0,10,4,0,43,17,0,3,0,0,18,599,21,161,9,8,794,5,0,9,0,0,16,78,4,12,0,0,102,2164,34,215,28,10,2441
204011060,441,0,0,0,3,451,496,0,0,3,3,506,30,0,0,0,0,30,13,0,0,0,0,13,71,0,0,0,0,74,0,0,0,0,0,0,216,12,0,0,0,225,13,0,0,0,0,13,348,16,0,0,0,359,14,0,0,0,0,11,37,0,0,0,0,38,1330,14,0,5,14,1360
204011061,29,0,0,0,0,29,45,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,4,82,0,0,0,0,84
204011062,652,6,3,13,6,686,418,3,0,0,3,429,82,3,13,0,0,96,3,0,3,0,0,10,88,0,0,0,0,92,6,0,0,0,0,3,16,0,0,8,0,20,17,0,0,0,0,14,207,3,22,4,0,238,10,0,0,0,0,12,45,0,3,3,0,50,1339,15,26,27,9,1419
204021063,1617,9,71,9,10,1720,1144,3,22,4,10,1183,504,25,143,0,6,683,191,18,32,0,0,242,185,3,28,0,0,215,6,0,12,0,0,14,23,0,0,0,0,26,19,0,3,0,0,21,928,46,222,3,12,1205,24,0,42,3,0,69,120,5,25,3,0,147,3833,61,373,27,29,4325
204021064,603,0,0,6,9,613,488,0,0,3,0,490,50,0,0,0,0,50,0,0,0,0,0,0,72,0,0,0,0,76,0,0,0,0,0,0,8,0,0,0,0,11,10,0,0,0,0,17,143,0,0,3,0,148,7,0,0,0,0,7,28,0,0,0,0,28,1267,0,0,13,7,1291
204021065,581,12,19,3,3,615,517,3,10,3,0,537,104,4,49,0,0,157,13,4,28,0,0,44,75,0,12,0,0,86,7,0,4,0,0,9,14,0,0,0,0,17,12,0,0,0,0,10,227,8,81,3,0,324,6,0,0,0,0,6,33,0,8,0,0,41,1363,21,125,12,6,1521
204021066,2500,205,0,10,6,2723,2206,74,7,3,4,2286,759,366,31,0,0,1162,252,140,15,0,0,402,303,113,0,0,0,420,14,39,0,0,0,54,17,5,0,10,0,35,12,14,0,0,3,35,1368,676,49,10,4,2115,35,42,0,0,0,75,225,57,4,3,3,292,6335,1054,64,28,20,7495
204021067,1631,3,3,22,3,1661,1270,0,5,9,8,1289,92,4,3,0,4,95,0,0,4,0,0,8,222,0,3,0,3,229,0,0,0,0,0,0,20,0,0,15,3,38,46,0,0,0,0,46,380,3,12,12,4,417,22,0,0,0,0,24,84,0,0,3,0,90,3394,8,19,43,16,3482
204031068,702,16,13,3,3,740,503,8,4,0,11,526,134,10,20,0,0,166,25,3,17,0,0,41,97,5,6,3,4,110,3,0,0,0,0,5,5,0,0,0,3,13,9,0,5,0,0,15,270,25,47,4,6,346,16,0,3,4,0,18,27,0,3,0,4,39,1516,46,69,8,18,1664
204031069,1273,19,38,4,21,1345,828,16,21,3,19,894,254,21,34,0,8,308,16,9,6,0,0,30,203,14,23,8,3,253,0,0,0,0,0,0,39,3,16,3,0,59,15,0,3,0,0,20,519,55,86,13,13,682,20,0,13,0,0,32,80,4,6,0,3,91,2717,95,160,16,57,3046
204031070,420,0,5,13,3,448,505,0,0,3,8,515,59,0,3,0,0,62,0,0,4,0,0,4,58,0,7,0,0,63,0,0,0,0,0,0,6,0,0,4,0,10,4,0,0,0,0,6,123,0,16,4,3,147,7,0,0,0,0,7,29,0,0,0,0,35,1086,5,23,19,14,1152
204031071,794,7,0,5,9,817,533,5,0,4,0,539,166,30,0,3,0,195,27,9,0,0,0,36,119,9,0,3,4,132,3,0,0,0,0,3,8,0,0,0,0,10,15,3,0,0,0,21,343,44,4,9,6,399,7,0,0,0,3,12,68,7,0,0,0,76,1745,65,3,15,15,1847
204031072,1040,3,0,11,9,1070,692,0,0,0,7,698,121,5,5,0,0,135,14,5,0,0,0,20,200,3,0,0,3,211,0,0,3,0,0,3,32,0,0,3,0,38,33,0,0,0,0,39,411,11,11,3,3,444,26,0,0,0,0,29,70,4,0,3,0,80,2248,24,12,24,15,2317
204031073,1317,66,26,7,3,1415,1837,46,19,0,0,1904,849,185,100,0,0,1142,273,58,51,0,0,377,205,38,19,0,0,266,22,4,7,0,0,22,117,3,0,7,0,131,12,0,0,0,0,10,1475,286,178,7,5,1948,37,3,0,0,0,37,80,14,9,3,0,110,4744,410,228,18,12,5419
