SA2_MAINCODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
201011001,2252,2387,4644,454,487,947,63,49,115,1895,2009,3904,63,61,128,42,33,72,36,32,71,22,18,44,3,3,11,8,3,14,0,0,0,2130,2224,4352,136,142,277,32,27,59,2754,2881,5631,271,265,540,5277,5540,10817
201011002,2589,2998,5580,363,402,759,77,78,158,1571,1789,3364,38,54,93,30,42,77,29,30,52,18,19,35,12,17,28,3,7,10,0,0,0,1786,2031,3812,187,182,369,58,38,98,2388,2651,5041,389,435,821,5363,6080,11441
201011003,5609,6122,11735,864,940,1807,95,97,192,2530,2893,5424,98,107,204,34,43,79,42,57,100,12,25,44,16,17,35,12,9,18,0,0,0,2829,3255,6092,162,218,384,62,39,100,3922,4462,8379,681,802,1483,10216,11387,21594
201011004,5246,5736,10980,1035,1178,2218,95,123,215,2804,3282,6092,69,100,167,50,57,104,57,65,119,27,21,47,21,22,41,11,6,14,0,0,0,3133,3673,6806,259,279,539,89,74,161,4516,5205,9717,892,1014,1900,10649,11949,22603
201011005,1837,1766,3597,212,244,461,28,19,51,904,941,1847,25,16,39,16,7,24,18,15,29,9,12,22,0,7,8,0,0,0,0,0,0,1002,1021,2016,95,77,174,13,8,25,1329,1351,2673,231,220,452,3395,3332,6726
201011006,1602,1750,3349,155,180,337,25,27,52,1090,1161,2249,24,21,48,13,12,26,12,20,32,3,3,7,3,3,4,3,0,9,0,0,0,1181,1242,2420,25,33,55,23,21,37,1379,1476,2851,182,216,399,3159,3447,6607
201011007,1322,1193,2515,40,34,69,16,13,32,413,418,825,8,12,23,7,3,12,0,0,0,3,3,9,4,4,7,3,3,11,0,0,0,448,462,910,4,5,8,4,4,6,492,507,1002,104,96,198,1918,1798,3716
201011008,3603,3876,7484,548,616,1166,48,46,94,1470,1631,3101,55,60,110,37,31,68,31,31,57,9,14,28,11,9,20,8,4,11,0,0,0,1668,1833,3498,135,130,263,31,35,71,2383,2607,4996,504,599,1104,6496,7084,13579
201021009,1753,1709,3458,148,173,325,23,19,39,578,588,1168,3,5,11,3,7,4,5,9,15,0,3,5,3,0,3,0,0,0,0,0,0,616,635,1248,26,30,55,8,12,17,806,840,1649,216,219,436,2770,2767,5540
201021010,2267,2239,4502,223,238,463,33,38,72,684,738,1425,24,25,52,11,11,21,16,12,22,3,4,12,4,3,7,3,5,10,0,0,0,781,841,1622,24,28,52,8,14,22,1040,1120,2156,337,428,766,3648,3781,7432
