SA2_MAINCODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
213041353,34,12,88,39,39,33,27,21,3,293,0,0,0,0,3,0,0,0,0,5,8,16,12,16,8,3,19,3,3,82,17,9,29,23,20,9,11,29,22,164,710,1348,1177,724,719,304,372,331,93,5771
213041355,51,5,131,65,49,42,35,39,8,424,0,0,0,0,3,0,0,0,0,8,8,13,13,14,18,3,19,11,3,92,16,13,35,10,18,21,18,19,33,186,733,1535,1234,714,1003,454,390,361,112,6545
213041356,23,7,89,27,39,31,15,35,3,267,0,0,4,0,0,0,3,3,0,10,8,8,9,12,7,0,12,3,3,54,9,3,26,25,12,12,30,15,30,166,408,648,929,697,542,271,401,336,74,4310
213041357,36,8,116,61,37,44,36,43,4,380,0,0,0,0,0,0,0,4,0,3,9,16,8,15,18,5,25,8,3,108,11,16,35,20,21,23,35,32,23,220,584,1083,1137,864,848,366,474,434,102,5883
213041358,30,10,89,55,51,30,27,31,3,333,0,0,0,0,3,0,7,0,4,10,5,3,11,7,11,6,8,9,3,64,12,3,30,21,21,21,24,25,25,192,426,774,908,698,621,294,401,310,100,4532
213041359,0,0,5,3,6,0,3,3,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,12,3,0,0,4,0,0,6,0,4,25,37,34,82,44,42,19,50,33,9,347
213041360,37,11,99,58,38,35,32,26,4,342,0,0,0,0,0,0,0,0,0,7,13,12,13,8,18,7,15,6,3,97,16,12,33,11,25,16,21,31,20,175,734,1390,921,564,902,358,333,312,100,5626
213041461,3,0,13,12,6,6,3,18,0,59,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,3,5,0,16,3,4,5,11,3,3,5,9,7,53,105,260,192,165,165,85,114,112,27,1233
213041462,17,0,36,22,13,12,14,10,0,127,0,0,0,0,0,0,0,0,0,0,3,12,5,5,6,0,4,0,0,40,0,3,4,3,5,5,13,5,6,40,185,469,274,212,276,101,136,114,23,1778
213041463,37,10,109,45,44,40,22,32,7,350,0,0,0,0,3,0,0,0,0,10,14,18,7,10,25,13,9,5,5,100,20,18,25,13,17,16,19,17,10,173,878,1699,924,664,894,442,341,308,95,6240
213051361,29,12,92,56,38,44,19,44,3,334,0,0,0,0,0,0,0,0,0,11,3,14,8,10,12,5,10,5,0,71,10,16,20,11,21,14,30,22,29,174,492,1167,1039,743,730,388,458,388,98,5495
213051362,18,13,106,45,27,39,35,34,3,318,0,0,0,3,0,0,0,7,0,16,3,14,6,20,11,6,18,7,0,82,4,3,32,5,21,13,25,13,29,143,419,1054,867,706,686,355,436,429,88,5036
213051363,17,7,70,32,12,16,7,33,5,200,0,0,0,0,0,0,0,0,0,5,3,14,6,3,3,7,5,10,6,60,3,4,4,9,4,4,15,15,15,83,327,871,386,308,358,211,167,257,70,2961
213051365,55,26,206,118,96,69,119,73,7,767,0,4,0,7,0,0,4,4,0,14,19,30,16,54,34,20,45,19,10,238,20,24,37,35,25,23,52,33,49,289,1089,2515,1441,1553,1642,704,1090,745,183,10967
213051366,48,15,164,77,46,35,85,42,0,516,0,0,0,4,3,3,5,5,0,13,13,11,18,24,18,8,35,14,3,144,7,12,34,20,18,10,48,29,38,212,789,1952,937,995,1064,526,765,488,145,7665
213051368,18,3,51,29,22,16,12,15,3,172,0,0,0,0,3,0,0,0,0,6,3,8,3,5,13,0,6,3,3,44,15,3,18,9,12,9,16,13,14,114,436,767,579,350,403,185,174,214,61,3174
213051369,44,13,114,62,41,65,28,40,8,415,0,0,0,0,3,0,0,3,0,8,10,15,7,14,22,4,17,11,3,105,5,11,35,28,23,19,32,25,28,201,649,1424,1099,1000,1017,502,537,453,101,6784
213051464,37,3,54,29,27,24,10,5,3,189,3,0,0,0,0,0,0,0,0,7,11,10,10,5,8,5,9,8,0,71,12,13,6,9,11,6,5,3,18,85,874,1290,480,331,566,296,158,140,77,4215
213051465,64,20,122,65,63,25,22,33,7,424,3,0,0,0,0,0,3,0,0,12,14,34,17,19,12,7,18,8,9,134,16,15,18,12,21,9,19,15,26,145,1177,2520,985,799,1093,470,339,290,121,7796
213051466,27,9,96,28,20,22,15,21,3,248,0,0,0,0,0,3,0,0,0,9,8,13,3,10,13,7,6,0,0,69,15,10,10,12,16,10,6,4,14,97,813,1772,625,520,786,344,191,213,73,5343
213051467,32,6,113,48,31,32,39,41,3,337,0,0,0,0,0,3,0,0,0,4,8,7,13,13,8,5,18,15,0,86,10,5,16,20,17,19,29,19,31,173,418,897,793,672,603,347,456,428,91,4695
213051468,19,10,77,38,20,23,14,28,3,226,0,0,0,3,0,0,0,0,0,4,4,6,14,9,10,4,12,7,7,65,4,4,13,18,19,8,24,17,15,125,359,727,763,472,521,247,287,260,58,3686
214011370,30,12,147,59,49,62,29,48,4,442,0,3,0,0,0,0,0,0,0,7,11,10,13,14,20,3,11,10,8,99,14,9,41,35,13,22,26,34,26,217,505,997,1341,874,783,466,430,462,101,5957
214011371,35,15,154,66,41,42,14,41,6,414,3,0,4,0,0,0,0,3,0,14,14,22,11,14,11,5,3,6,3,94,12,18,31,18,6,21,20,18,27,175,655,1711,1304,989,739,484,269,426,106,6697
214011372,29,12,130,46,33,33,13,36,3,331,0,0,0,0,0,0,0,3,3,6,11,14,10,16,3,0,9,3,4,70,10,15,27,24,16,14,20,42,23,193,400,915,972,772,521,334,310,405,71,4703
214011373,30,9,87,39,42,30,9,20,3,273,0,0,0,0,3,0,0,0,0,0,23,23,7,14,11,8,5,4,0,96,18,15,15,18,13,21,5,12,21,144,969,1904,971,650,674,382,147,237,76,6015
214011374,51,15,174,70,70,64,22,53,3,519,0,0,0,0,0,0,0,0,0,3,13,16,10,15,12,10,8,8,3,101,19,14,45,21,31,16,18,34,27,222,980,1572,1954,1011,1035,549,344,479,101,8032
214011375,31,10,111,54,47,33,17,28,0,324,0,0,0,3,0,0,0,3,0,5,8,9,5,14,14,3,7,3,3,72,17,16,25,21,18,20,17,23,32,184,582,1233,1089,669,611,328,218,304,83,5120
214011376,30,9,82,39,43,23,13,28,0,268,0,0,0,0,0,0,0,0,0,8,17,13,15,3,10,3,5,5,0,66,9,9,15,7,10,10,12,5,19,108,644,1024,794,546,597,283,187,240,72,4382
214021377,26,8,82,35,25,17,5,17,0,215,0,0,0,3,3,0,0,0,0,4,4,10,3,3,10,0,3,3,0,34,3,8,21,14,13,12,7,8,5,91,414,726,669,373,317,218,103,175,32,3040
214021378,15,0,22,6,3,5,3,4,0,66,0,0,0,0,0,0,0,0,0,4,7,3,0,0,4,3,0,0,3,24,12,0,8,6,3,7,5,5,8,58,405,561,284,118,154,96,33,97,35,1780
214021379,40,18,154,79,44,35,11,47,7,432,0,0,3,0,0,0,0,3,0,7,8,19,8,12,6,11,3,3,4,70,19,18,26,34,22,17,21,20,25,197,724,1213,1536,999,572,364,252,471,65,6199
214021380,46,12,162,80,45,51,16,35,3,448,0,0,0,0,0,0,0,3,0,13,12,15,13,16,7,12,3,8,3,84,19,21,28,23,17,20,13,31,25,187,946,1858,1263,922,732,450,183,352,86,6793
214021381,47,13,58,47,36,30,3,13,6,252,0,0,0,0,0,3,0,0,0,7,17,24,6,12,16,3,0,0,3,85,10,20,18,6,12,10,4,4,12,106,1296,2157,728,469,651,357,63,149,72,5943
214021382,40,14,98,42,29,40,7,24,0,297,0,5,0,0,0,0,0,0,0,5,15,20,4,8,20,3,3,8,0,86,18,22,22,13,14,12,4,14,12,129,1020,1849,990,627,667,412,95,216,74,5947
214021383,38,5,131,49,29,34,11,41,4,344,0,0,0,0,0,0,0,0,0,4,17,14,8,9,6,7,6,0,0,66,13,13,42,22,16,20,10,21,23,179,681,1055,1030,534,419,345,96,281,73,4513
214021384,39,3,173,62,33,38,16,38,3,401,0,0,3,0,0,0,0,0,0,3,7,4,6,10,10,10,7,3,0,50,16,21,47,17,7,32,12,22,21,194,546,985,1136,731,414,381,164,367,60,4795
214021385,48,13,126,64,48,33,17,40,4,384,0,0,3,0,0,0,3,0,0,6,14,14,12,16,8,7,6,8,3,78,13,14,34,13,23,20,9,27,22,179,732,1190,1418,740,664,362,254,411,85,5855
215011386,15,3,57,26,12,12,3,13,3,145,0,0,0,0,0,0,0,3,0,6,3,0,3,6,3,0,4,7,0,31,12,8,11,11,3,11,10,22,6,101,210,402,307,422,142,96,81,199,36,1882
215011387,8,0,3,7,3,0,0,3,0,30,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,9,8,0,4,3,3,3,0,8,0,34,323,171,91,94,72,41,25,67,11,887
215011388,37,14,128,55,44,46,11,24,0,364,0,0,0,0,0,0,0,4,0,7,3,5,3,10,3,7,3,5,3,39,10,5,31,17,10,19,10,17,24,138,602,1253,812,633,510,297,190,236,60,4596
215011389,5,0,13,3,4,10,3,5,0,41,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,12,17,0,12,3,3,3,4,7,0,49,300,203,156,110,98,47,45,69,19,1035
215011390,25,0,34,12,14,3,7,20,0,108,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,4,0,0,12,13,8,3,3,3,6,5,16,4,67,385,353,217,205,148,56,96,158,12,1634
215011391,16,0,15,7,3,0,3,11,0,54,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,4,3,6,3,0,8,0,6,8,43,217,150,102,113,71,29,27,84,13,808
215011392,22,3,47,23,10,13,5,19,0,151,0,0,0,0,0,0,0,0,0,3,3,5,0,3,3,0,3,5,0,16,16,10,12,12,8,9,3,27,11,108,331,395,318,393,136,110,99,213,30,2024
215011393,8,0,8,3,3,5,0,10,0,37,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,6,9,3,0,4,0,0,4,5,0,30,238,136,64,78,44,23,28,73,12,705
215011394,16,0,18,14,5,3,0,11,0,77,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,9,23,3,12,11,0,4,4,6,7,71,379,321,205,247,111,53,63,115,22,1525
215021395,20,4,30,18,17,14,4,9,3,117,0,0,0,0,0,0,0,0,0,4,0,8,3,4,0,6,0,0,0,19,10,13,22,11,8,12,11,7,7,98,302,454,400,228,226,136,97,105,35,1986
215021396,12,0,19,11,14,14,0,7,0,74,0,0,0,0,0,0,0,0,0,0,3,3,3,4,0,0,0,0,0,12,5,3,12,9,7,4,0,6,7,57,165,225,226,159,138,61,65,85,15,1143
215021398,14,0,12,7,8,3,0,8,0,50,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,8,8,11,5,3,3,7,12,0,55,261,152,113,102,65,31,61,87,6,872
215021399,11,4,29,16,8,11,8,10,0,84,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,3,3,0,15,6,3,17,12,8,6,8,24,11,96,207,279,260,170,118,83,87,147,40,1388
215021469,36,6,129,46,36,36,15,43,7,349,3,0,0,0,0,0,0,0,0,3,3,9,3,7,4,3,6,3,0,41,9,8,23,19,11,22,21,37,33,182,446,1188,698,667,402,271,171,382,66,4285
215021470,37,7,84,23,25,36,11,32,0,254,0,0,0,0,0,0,6,0,0,14,9,5,3,4,6,0,5,9,3,53,15,5,24,8,5,28,17,21,17,145,460,987,570,495,381,267,147,234,72,3618
215031400,19,0,24,9,7,14,4,12,0,87,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,0,0,0,0,11,18,3,13,3,7,4,8,12,0,68,382,317,185,146,113,76,69,104,11,1421
215031401,14,3,32,14,15,19,4,9,0,104,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,18,30,3,15,6,3,7,6,21,4,98,440,268,240,159,125,69,80,151,17,1550
215031402,9,0,25,6,8,10,0,15,3,75,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,16,4,9,4,4,3,5,16,5,63,133,203,166,122,92,51,39,99,10,917
215031403,6,0,10,4,4,5,0,10,0,34,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,7,11,9,47,78,101,67,63,46,29,38,73,17,516
215031404,25,5,89,26,27,22,3,36,9,239,0,0,0,0,0,0,0,0,0,3,5,3,4,3,0,0,3,0,0,25,16,13,9,13,12,5,7,28,15,113,384,719,504,341,253,163,109,216,46,2738
215031405,19,0,24,8,8,10,0,5,0,80,0,0,0,0,6,0,0,0,0,6,6,4,0,3,0,3,0,3,0,14,23,5,15,14,3,8,9,26,9,101,368,270,261,174,124,80,73,148,19,1525
216011406,35,11,130,50,26,33,17,46,11,352,0,0,0,0,0,0,0,0,0,3,3,3,0,4,3,3,4,3,0,27,12,9,15,23,9,22,8,34,18,151,508,929,794,571,319,262,169,317,56,3930
216011407,31,3,60,18,9,24,10,36,5,197,0,0,0,0,0,0,0,0,0,3,7,3,4,3,3,3,0,3,3,30,18,4,19,22,11,9,16,30,14,143,468,559,505,350,245,159,159,319,35,2800
216011408,12,0,19,9,4,3,5,8,0,67,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,14,8,3,0,4,0,3,3,9,3,43,258,160,177,99,73,50,63,108,14,998
216011409,19,0,10,8,3,9,0,7,0,61,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,0,11,9,3,5,4,0,0,3,11,3,51,176,162,155,116,72,49,51,81,10,869
216011410,3,0,19,4,3,3,0,7,0,51,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,9,19,3,7,3,0,0,5,10,4,53,240,163,147,103,65,25,56,113,12,925
216021411,10,0,42,15,17,11,4,20,0,131,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,14,14,4,7,4,3,6,5,18,11,78,171,247,234,155,123,69,74,201,20,1295
216021412,9,0,13,3,0,3,4,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,4,3,3,6,0,3,3,10,3,41,174,128,110,63,56,20,49,82,11,688
216021413,36,0,58,20,14,16,17,39,3,210,0,0,0,3,0,0,0,0,0,4,9,3,6,3,0,3,7,9,0,37,34,5,28,19,9,18,15,37,17,179,664,558,499,376,251,151,187,353,49,3094
216021414,23,4,53,30,13,15,6,30,4,183,0,0,0,0,0,0,0,0,0,5,4,5,6,3,0,0,4,3,0,23,3,4,22,17,4,13,10,20,10,92,224,372,380,262,158,104,87,162,30,1782
216031415,20,4,45,18,11,24,3,21,0,148,0,0,0,0,0,0,0,4,0,5,0,3,3,0,0,0,0,4,3,10,3,4,13,9,8,11,4,15,12,84,192,377,341,292,194,121,83,192,29,1823
216031416,24,7,108,38,46,31,16,39,0,311,0,0,3,0,0,0,0,0,0,9,8,14,8,6,5,4,3,3,0,49,8,14,19,14,7,25,19,38,25,175,601,1694,780,638,468,279,201,372,62,5097
216031417,55,9,149,56,36,54,20,44,4,425,0,3,0,0,0,0,0,0,0,3,13,12,7,4,11,7,3,16,0,81,27,22,35,17,16,17,20,45,35,227,695,1327,997,728,567,312,218,442,85,5373
216031418,3,0,14,3,11,6,3,8,0,45,0,0,0,0,0,0,0,0,0,4,3,0,0,4,0,6,0,0,0,17,15,3,9,6,8,6,6,10,3,64,260,286,208,104,121,44,60,96,15,1175
216031419,19,3,46,27,10,16,3,23,4,152,0,0,0,0,0,0,0,0,0,0,7,9,5,0,0,0,0,6,0,29,31,8,18,11,9,10,18,26,9,132,476,570,445,287,250,123,121,268,37,2577
217011420,15,7,39,19,6,7,9,25,3,127,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,3,4,0,19,28,3,9,13,4,11,24,17,11,127,466,407,361,271,173,90,185,216,36,2195
217011421,17,8,81,42,21,20,4,28,0,218,0,0,0,0,0,0,0,3,0,7,3,10,9,3,7,0,3,3,0,37,7,10,14,12,8,7,10,12,13,93,374,695,531,385,281,183,127,192,35,2791
217011422,16,8,62,24,23,24,15,28,0,205,0,0,0,0,0,0,0,5,0,7,0,7,4,3,7,0,4,0,0,30,6,6,19,8,5,4,27,25,6,117,257,615,567,380,243,106,242,233,33,2675
217011423,15,3,26,18,6,9,4,9,0,89,0,0,0,0,3,0,0,0,0,3,11,0,3,0,0,0,0,7,0,23,44,7,9,3,9,6,4,11,11,105,647,375,215,169,149,80,61,144,24,1864
217031471,6,8,32,7,10,3,0,8,0,72,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,9,4,4,4,3,3,8,14,0,52,112,204,162,115,73,41,38,87,12,839
217031472,22,9,80,33,18,22,14,61,0,258,0,0,0,0,0,0,0,4,0,6,3,3,3,4,6,4,3,6,5,36,17,7,23,17,7,9,10,35,18,145,341,569,554,526,277,186,169,397,44,3076
217031473,10,0,33,3,6,4,3,13,0,82,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,5,0,28,21,3,17,3,5,13,11,18,14,92,403,289,235,201,133,60,91,162,30,1604
217031474,7,0,32,4,11,4,0,7,0,65,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,0,0,15,12,5,3,9,3,6,4,12,11,63,345,248,200,163,83,69,57,114,17,1289
217031475,32,0,39,13,7,5,10,29,0,136,3,0,0,0,0,0,0,0,0,3,13,0,3,5,3,0,4,3,3,26,28,5,8,9,4,3,7,19,3,93,585,309,283,166,105,60,100,233,31,1881
217031476,10,0,40,8,3,6,3,20,3,89,0,0,0,3,0,0,0,0,0,0,8,4,0,3,0,0,0,0,0,16,10,3,4,0,0,3,0,12,3,43,210,222,187,111,77,52,47,138,18,1058
217041477,27,0,22,7,4,9,4,25,0,99,0,0,0,0,0,0,0,0,0,3,9,3,3,3,3,0,3,0,0,30,36,7,8,4,11,9,9,19,4,96,590,336,264,188,146,72,73,185,36,1873
217041478,29,3,90,25,15,14,3,27,3,216,0,4,0,0,0,0,0,0,0,10,3,11,3,3,0,0,3,3,3,28,30,4,23,11,5,12,3,26,17,124,539,667,466,324,214,123,121,261,49,2777
217041479,47,8,189,70,49,62,18,62,4,503,0,4,7,0,0,0,0,7,0,14,16,10,11,9,11,6,11,10,0,78,17,11,26,18,12,13,16,36,19,168,656,1674,1155,795,610,412,229,465,62,6057
217041480,32,8,107,41,16,36,8,25,0,272,0,3,0,0,0,0,0,0,0,5,4,14,3,11,7,3,5,5,0,48,14,13,17,13,16,9,13,21,14,124,451,1120,609,509,374,211,140,255,43,3711
297979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22
299999499,9,3,34,8,3,3,4,6,0,75,0,0,0,0,0,0,0,0,0,0,3,4,5,7,3,3,0,6,0,34,4,5,15,4,0,0,9,14,15,66,132,367,223,181,112,65,72,142,34,1337
