SA2_MAINCODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
212021297,15,4,50,22,15,22,16,23,0,171,0,0,0,0,0,0,0,5,0,9,6,4,4,4,0,3,3,8,0,35,4,10,17,5,14,6,19,8,10,96,220,539,493,384,343,186,208,248,57,2680
212021299,18,3,29,11,19,26,3,0,0,101,3,0,0,0,0,0,0,0,0,3,7,6,4,7,4,3,3,3,0,32,3,5,20,3,9,9,0,10,11,67,418,626,490,189,355,165,87,114,34,2477
212021453,21,4,63,24,26,32,15,25,3,197,0,0,0,0,0,0,0,3,0,4,8,8,5,5,14,3,3,4,3,57,8,6,15,13,6,10,8,14,18,97,388,854,655,368,487,227,197,239,56,3473
212021454,19,9,82,38,23,22,14,21,0,234,0,0,0,0,0,0,0,0,3,11,7,14,14,13,6,3,3,7,3,70,16,16,16,12,5,3,13,15,14,112,442,1047,686,468,531,267,243,257,69,4021
212021455,22,10,66,27,34,34,8,36,3,231,0,0,0,0,0,0,0,0,0,3,3,8,8,3,10,7,4,3,4,58,5,9,14,11,16,16,17,19,20,126,437,886,840,455,580,328,224,298,79,4123
212021456,13,12,87,41,30,33,16,27,0,255,0,0,3,0,3,0,0,0,0,3,0,8,8,16,13,3,6,4,0,53,6,4,28,6,14,4,14,18,18,120,343,727,794,512,538,291,320,310,72,3906
212031300,39,4,109,48,40,32,41,65,9,387,0,0,0,0,0,0,4,3,0,5,3,5,13,10,6,6,16,7,0,68,18,13,35,29,17,25,29,40,39,232,427,712,1168,820,595,372,442,492,93,5122
212031301,63,17,188,84,68,60,47,41,9,574,0,0,0,3,3,4,3,0,0,11,7,15,19,21,23,11,16,15,4,133,12,19,32,26,21,10,17,23,42,198,874,1854,1458,1177,1103,577,580,559,130,8314
212031302,27,10,104,42,36,43,22,47,3,346,0,0,0,3,0,0,0,3,0,5,4,9,15,21,16,4,16,6,3,91,11,9,34,11,17,15,19,30,25,180,592,1183,1060,842,793,398,445,486,81,5879
212031303,16,3,59,29,30,16,3,16,0,169,0,0,0,0,0,0,3,0,0,7,3,8,4,3,6,0,0,0,0,28,8,4,20,3,5,4,7,11,8,73,408,534,661,283,358,149,120,190,31,2722
