SA2_MAINCODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
201011001,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,6,4,0,0,0,0,10,0,0,6,22,16,6,3,0,0,56,19,23,32,63,48,37,34,13,6,268,411,906,784,1628,849,638,445,208,75,5954,0,0,3,0,0,0,0,0,0,3,798,1677,1449,2403,1296,992,667,299,92,9674,0,4,0,12,3,0,5,0,0,23,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,3,0,0,0,16,0,0,0,0,0,0,0,3,0,5,0,12,3,67,28,9,4,0,0,130,0,0,0,0,0,3,3,0,0,13,0,0,0,5,0,0,0,0,0,12,3,24,13,40,38,36,34,20,3,212,0,0,0,7,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,3,0,5,4,3,19,3,0,36
201011002,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,3,0,3,3,24,6,0,3,9,6,56,7,26,51,86,68,64,57,42,25,427,278,693,826,1456,887,821,678,449,262,6353,0,0,5,0,0,0,0,0,0,8,565,1224,1444,2125,1352,1289,978,590,293,9865,0,3,0,8,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,5,0,12,24,38,10,4,3,0,0,88,0,0,0,0,0,3,4,4,3,12,0,0,0,3,0,0,0,3,0,7,3,20,11,38,33,40,50,37,9,247,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,11,0,0,0,3,3,3,3,5,4,33
201011003,0,0,3,6,0,0,0,0,0,14,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,4,0,0,5,0,6,14,21,15,9,11,12,3,96,36,58,98,194,90,88,106,88,21,781,734,1373,1464,3014,1627,1526,1189,760,421,12118,0,0,0,0,0,0,0,0,0,0,1387,2573,2605,4952,2614,2422,1707,949,488,19699,0,3,0,13,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,3,0,8,5,8,3,0,0,24,0,0,0,3,0,0,0,0,0,3,0,3,13,26,9,6,5,0,0,61,0,0,0,0,3,6,17,20,6,54,0,0,0,0,0,0,3,0,0,3,3,14,14,74,80,100,120,71,27,494,0,7,0,5,4,4,0,0,0,15,0,0,4,7,4,0,0,0,0,14,0,0,0,8,6,8,16,9,7,50
201011004,0,0,0,7,3,0,0,0,0,10,0,0,0,0,3,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,5,24,41,13,16,7,14,4,120,50,77,144,228,139,130,130,80,33,1002,785,1337,1937,3321,1490,1526,1241,734,367,12736,0,0,7,0,0,0,0,0,0,7,1510,2468,3186,5299,2283,2193,1661,907,447,19953,0,0,3,3,0,0,0,0,0,8,0,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,6,124,95,16,9,0,0,0,251,0,0,0,3,3,3,8,0,0,21,0,4,0,0,3,0,0,0,0,8,0,11,10,60,63,110,116,73,26,470,0,0,3,7,0,4,3,0,0,19,0,0,0,3,5,0,0,0,0,9,0,0,3,3,0,16,36,9,6,74
201011005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,5,3,3,4,0,0,4,0,28,7,24,26,58,36,46,31,22,3,255,206,527,529,782,476,488,345,148,42,3540,0,0,0,0,0,0,0,0,0,0,397,967,1010,1258,753,767,482,186,50,5873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,59,17,3,0,0,0,0,81,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,17,11,44,42,62,57,26,5,265,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,8,0,0,12
201011006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,8,0,0,6,0,38,14,30,22,51,31,22,23,15,14,219,210,482,517,944,470,426,326,185,96,3660,0,0,0,0,0,0,0,0,0,0,450,879,944,1598,763,669,495,245,105,6155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,18,3,4,0,0,0,33,0,0,0,0,3,0,3,3,0,10,0,3,3,0,0,0,0,0,0,6,0,3,6,14,18,22,29,18,11,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,5,31
201011007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,8,14,3,29,22,28,7,7,0,108,113,310,237,443,319,284,147,45,10,1909,0,0,0,0,0,0,0,0,0,0,204,624,483,764,547,431,247,65,11,3392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,23,22,10,4,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,5,3,8,4,0,26
201011008,0,0,4,7,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,3,25,0,10,11,6,0,62,36,50,49,146,89,80,70,57,38,616,508,855,913,1856,864,849,846,575,320,7590,0,0,0,0,0,0,0,0,0,0,980,1645,1624,3056,1395,1329,1182,765,349,12331,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,3,25,27,7,0,3,0,0,70,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,9,4,26,24,40,62,40,17,222,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,21,3,5,39
201021009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,10,9,9,0,43,10,19,18,58,62,47,30,11,6,256,159,363,291,685,512,411,329,131,55,2927,0,0,0,0,0,0,0,0,0,0,313,704,571,1107,702,597,413,148,63,4623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,4,0,3,4,0,11,0,0,0,0,0,0,0,0,0,0,0,3,6,30,63,58,63,28,4,251,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,3,21,3,0,37
201021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,5,5,7,3,39,16,32,39,74,71,91,70,39,20,453,191,485,358,767,554,681,517,267,145,3974,0,0,0,0,0,0,0,0,0,0,360,870,641,1276,833,1009,735,343,153,6220,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,3,0,3,0,11,0,0,0,0,0,0,0,0,3,8,0,3,7,23,45,53,76,42,12,260,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,6,18,10,4,43
