SA2_MAINCODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
201011001,0,5,..,5,0,5,0,5,..,3,0,3,0,3,..,4,0,4,0,4,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,3,0,3,0,3,..,10,0,10,0,10,..,0,0,3,0,3,..,20,0,23,0,23,..,12,0,12,0,12,..,10,0,10,0,10,..,11,3,9,0,10,..,0,0,0,0,0,..,4,3,6,0,8,..,97,6,107,4,107,..,467,68,538,4,542,..,15,0,15,232,245,5164,483,68,549,235,5954,10117,..,..,..,..,10117,..,19,0,19,0,19,..,31,3,31,0,31,..,0,0,0,0,0,..,32,6,35,0,35,..,138,48,183,0,183,..,3,3,7,0,7,..,167,53,218,0,219,..,9,0,9,0,9,..,10,0,10,0,10,..,18,0,13,0,13,..,16,0,14,0,14
201011002,0,7,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,8,0,8,0,8,..,0,0,0,0,0,..,8,0,8,0,8,..,9,0,9,0,9,..,3,0,3,0,3,..,5,0,4,0,4,..,4,0,4,0,4,..,18,0,20,0,20,..,15,0,15,0,15,..,3,0,3,0,3,..,8,0,8,0,8,..,0,0,0,0,0,..,12,3,15,0,15,..,63,6,72,3,76,..,374,31,407,8,408,..,15,0,20,373,386,5559,384,34,424,374,6353,10483,..,..,..,..,10483,..,4,0,4,0,4,..,30,0,30,0,30,..,3,0,3,0,3,..,32,6,37,0,37,..,85,19,98,0,98,..,0,0,0,0,0,..,114,17,136,0,136,..,9,0,8,0,8,..,25,0,25,0,25,..,18,0,20,0,23,..,31,3,30,0,30
201011003,0,6,..,0,0,0,0,0,..,5,0,5,0,5,..,7,3,11,0,11,..,6,0,7,0,7,..,3,4,9,0,9,..,0,0,0,0,0,..,3,0,3,0,3,..,11,0,11,0,11,..,9,0,9,0,9,..,13,0,13,0,13,..,3,0,3,0,3,..,36,0,36,0,36,..,11,0,14,0,14,..,8,0,6,0,6,..,9,0,11,0,11,..,0,0,0,0,0,..,14,0,14,0,14,..,74,17,92,8,96,..,471,63,531,10,542,..,28,0,28,673,708,10871,498,63,562,685,12118,20733,..,..,..,..,20733,..,12,0,12,0,12,..,14,0,14,0,14,..,3,0,3,0,3,..,13,3,15,0,16,..,87,11,101,0,101,..,12,3,15,0,15,..,121,18,134,0,136,..,55,11,61,0,61,..,20,0,20,0,26,..,25,0,27,0,27,..,47,3,46,0,46
201011004,0,6,..,0,0,0,0,0,..,3,0,5,0,5,..,8,3,13,0,13,..,3,0,7,0,7,..,7,0,7,0,7,..,0,0,0,0,0,..,8,0,8,0,6,..,21,0,21,0,21,..,9,0,9,0,9,..,20,0,18,0,18,..,8,0,11,0,10,..,56,0,62,0,63,..,10,0,10,0,10,..,7,0,11,0,11,..,8,4,14,0,14,..,8,0,5,0,5,..,9,0,6,0,6,..,113,21,131,0,129,..,605,96,700,11,706,..,41,7,45,862,910,11118,644,99,747,865,12736,21088,..,..,..,..,21088,..,8,3,11,0,11,..,49,5,50,0,50,..,9,0,9,0,9,..,32,12,39,0,39,..,184,62,250,3,249,..,31,8,45,0,45,..,246,85,325,3,331,..,21,0,18,0,21,..,47,3,53,3,49,..,31,0,34,0,34,..,30,0,28,0,28
201011005,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,4,0,4,..,3,0,5,0,5,..,0,0,0,0,0,..,20,4,26,0,26,..,115,18,129,0,129,..,11,0,11,206,214,3196,124,18,137,206,3540,6433,..,..,..,..,6433,..,5,0,5,0,5,..,8,0,8,0,8,..,0,0,0,0,0,..,7,3,9,0,9,..,58,17,69,0,69,..,8,4,13,0,13,..,69,20,91,0,91,..,5,3,7,0,7,..,8,0,8,0,8,..,4,0,3,0,3,..,14,0,14,0,14
201011006,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,10,0,10,0,10,..,0,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,44,3,51,0,52,..,119,17,136,3,144,..,13,0,13,194,206,3311,132,17,150,199,3660,6446,..,..,..,..,6446,..,0,0,0,0,0,..,10,0,12,0,12,..,0,0,0,0,0,..,8,3,11,0,11,..,26,11,41,0,38,..,0,0,0,0,0,..,33,20,47,0,50,..,7,0,10,0,10,..,10,0,11,0,11,..,4,0,3,0,3,..,7,0,8,0,8
201011007,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,13,3,12,0,12,..,46,3,47,0,47,..,8,0,8,81,89,1774,53,3,54,81,1909,3643,..,..,..,..,3643,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,5,0,5,..,3,0,3,0,3,..,12,0,12,0,12,..,8,0,8,0,8
201011008,0,0,..,0,0,0,0,0,..,6,0,6,0,5,..,0,0,0,0,0,..,3,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,23,3,26,0,26,..,0,0,0,0,0,..,33,3,38,0,38,..,5,0,5,0,5,..,72,3,71,0,71,..,0,0,0,0,0,..,3,0,3,0,3,..,3,3,7,0,7,..,0,0,0,0,0,..,5,4,15,0,15,..,50,16,67,0,67,..,277,52,326,4,330,..,22,5,27,465,493,6769,299,58,354,467,7590,13052,..,..,..,..,13052,..,12,0,12,0,12,..,3,0,4,0,4,..,9,0,7,0,11,..,10,11,16,0,16,..,88,20,112,0,108,..,0,0,0,0,0,..,93,31,123,0,125,..,4,0,4,0,4,..,27,0,27,0,27,..,16,0,16,0,16,..,22,0,22,0,22
201021009,0,0,..,0,0,0,0,0,..,13,0,13,0,17,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,19,0,25,0,25,..,111,7,120,0,121,..,6,0,6,212,217,2590,120,7,127,209,2927,5222,..,..,..,..,5222,..,3,0,3,0,3,..,3,0,6,0,6,..,0,0,0,0,0,..,4,0,4,0,4,..,8,0,13,0,13,..,0,0,0,0,0,..,14,0,16,0,16,..,12,0,15,0,15,..,10,0,10,0,10,..,9,0,9,0,9,..,18,0,18,0,18
201021010,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,9,0,9,0,9,..,3,3,3,0,3,..,0,0,0,0,0,..,4,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,14,3,21,0,16,..,111,11,119,3,127,..,4,0,4,374,375,3475,116,11,129,375,3974,6870,..,..,..,..,6870,..,13,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,4,0,4,..,4,3,8,0,8,..,0,0,0,0,0,..,12,3,15,0,15,..,9,4,12,0,12,..,18,0,18,0,21,..,15,0,15,0,15,..,11,0,11,0,16
