SA2_MAINCODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
201011001,0,0,0,0,0,0,0,0,0,3,0,5,3,14,9,5,0,0,0,50,0,0,0,3,0,0,0,0,0,3,0,0,7,3,4,5,10,6,0,37,0,4,0,3,4,3,0,0,0,22,0,3,10,19,9,5,8,3,0,55,0,0,0,0,0,3,0,3,0,7,0,7,3,16,11,4,3,0,0,48,0,0,0,6,0,0,0,0,0,3,0,5,4,16,3,0,4,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,12,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,8,0,0,0,4,4,0,0,0,0,19,0,8,14,39,16,10,11,5,4,110,30,45,68,131,100,74,60,30,9,539,842,1879,1632,3089,1611,1218,865,402,121,11654
201011002,0,0,0,0,0,0,0,0,0,3,0,4,9,20,3,0,0,0,0,31,0,0,0,0,0,4,0,0,0,7,0,0,0,5,11,10,6,8,0,51,0,0,0,10,0,0,0,0,0,9,0,3,3,15,4,0,0,0,0,29,0,0,0,0,0,0,4,0,3,10,0,0,0,14,0,0,0,0,0,17,0,0,0,4,0,0,0,0,0,8,0,0,3,11,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,7,8,8,0,0,45,3,3,3,8,0,0,0,0,0,23,0,0,0,4,0,3,8,8,0,19,0,0,3,3,0,0,0,0,0,6,0,10,6,44,15,9,3,9,7,112,26,55,106,177,126,110,110,80,36,825,607,1367,1675,2759,1666,1551,1250,784,389,12046
201011003,0,0,0,0,5,0,0,0,0,10,0,6,7,25,8,9,3,0,0,54,0,3,0,6,0,0,3,3,3,21,0,0,3,15,16,7,27,17,5,91,0,0,0,0,0,0,0,0,0,6,0,0,9,13,8,3,3,0,0,39,0,0,0,0,0,0,3,0,0,3,0,0,0,9,3,4,0,0,0,20,0,0,0,7,0,0,0,0,0,8,0,0,7,8,4,3,0,0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,8,11,19,13,15,12,0,0,77,0,0,0,11,3,0,0,0,0,18,0,0,0,0,3,3,3,0,0,12,0,0,0,0,0,0,3,0,0,13,0,11,22,48,23,23,18,19,11,178,78,103,172,361,192,158,215,126,37,1454,1480,2768,2916,5819,3068,2890,2246,1289,601,23083
201011004,0,0,0,6,3,0,0,0,0,12,3,19,6,58,10,13,4,3,0,104,0,0,0,0,0,0,0,6,3,10,0,3,0,9,10,18,25,11,4,77,0,0,0,3,3,0,0,0,0,11,0,4,4,18,5,0,3,0,0,31,0,0,0,0,0,0,3,0,0,9,0,0,0,18,0,0,0,3,0,19,0,0,0,5,0,0,0,0,0,6,0,0,3,11,6,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,6,6,20,3,6,3,0,0,54,0,0,0,10,9,0,0,0,0,19,0,0,0,0,8,0,3,9,0,21,0,0,0,0,0,0,0,0,0,0,3,19,43,74,29,34,14,27,7,252,108,153,274,475,246,230,231,141,54,1912,1633,2736,3733,6497,2773,2744,2262,1268,574,24231
201011005,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,8,0,0,3,3,7,10,7,0,0,31,0,0,0,0,3,0,0,0,0,3,0,0,3,3,3,6,0,3,0,22,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,3,3,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,5,5,15,5,11,5,6,10,4,55,26,48,46,129,71,89,73,37,10,523,432,1060,1173,1526,935,986,684,285,79,7153
201011006,0,0,3,0,0,0,0,0,0,9,0,9,3,18,3,5,0,0,0,37,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,5,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,11,18,13,6,3,9,0,61,22,58,57,94,59,44,43,22,16,403,476,958,1044,1829,890,775,644,311,146,7082
201011007,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,3,3,0,20,9,22,18,50,49,50,27,15,3,244,214,654,511,847,658,571,337,109,26,3932
201011008,0,0,0,3,0,0,0,0,0,6,0,12,16,55,19,14,7,0,0,120,0,0,0,3,0,0,0,0,3,4,0,0,0,0,9,8,22,18,9,61,0,0,0,0,3,0,0,0,0,7,0,0,0,10,3,10,3,0,0,22,0,0,0,0,0,0,0,4,3,4,0,0,0,3,0,0,0,0,0,6,0,0,0,12,0,0,0,0,0,14,0,0,3,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,4,3,0,0,0,18,0,0,6,11,3,3,0,0,0,25,0,0,0,0,0,0,0,4,3,7,0,0,3,0,0,0,0,0,0,8,3,16,11,39,9,12,10,13,3,105,65,104,110,268,151,156,139,125,58,1174,1055,1803,1814,3627,1682,1626,1525,1033,466,14633
201021009,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,14,0,0,0,0,0,0,3,0,3,10,0,0,0,3,7,15,22,3,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,0,9,0,0,0,0,0,3,0,3,0,6,0,0,0,4,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,5,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,12,18,16,18,7,0,85,15,54,38,97,105,91,63,23,11,497,331,766,635,1326,963,850,670,244,86,5870
201021010,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,13,9,3,29,0,0,0,0,0,0,0,0,0,0,0,6,0,7,6,0,0,0,0,18,0,0,0,0,0,3,4,0,3,9,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,8,5,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,10,17,14,14,10,3,67,31,59,72,132,130,160,125,78,38,833,389,946,728,1532,1074,1326,1059,528,237,7821
201021011,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,3,0,0,0,21,0,0,0,4,0,3,4,0,0,17,0,0,0,0,3,8,11,6,3,41,0,0,0,0,0,5,0,0,0,12,0,0,0,3,3,9,9,0,0,25,0,0,0,0,5,3,3,4,3,17,0,0,0,0,3,0,4,0,0,10,0,0,0,0,0,0,0,0,0,4,0,4,0,10,0,0,0,0,0,15,0,0,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,3,10,8,20,4,0,0,52,0,0,3,4,0,0,0,0,0,9,0,0,0,0,3,7,5,0,0,10,0,0,0,3,0,3,0,0,0,6,0,5,3,28,24,29,31,18,7,154,12,76,58,165,129,189,150,72,58,906,367,972,627,1610,1426,1735,1397,560,261,8956
201021012,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,6,9,3,10,0,0,24,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,0,9,0,0,0,0,3,3,3,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,9,6,6,18,4,0,50,14,55,48,100,113,84,76,27,9,522,288,818,620,1131,1015,867,642,221,63,5656
201031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,13,10,0,0,29,5,23,16,62,32,90,63,24,19,339,134,362,262,549,439,657,583,242,74,3302
201031014,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,6,5,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,4,0,6,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,9,7,7,3,0,42,13,32,17,81,54,71,69,37,26,401,225,485,349,878,660,769,675,244,117,4395
201031015,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,8,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,10,0,0,0,0,3,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,3,4,10,31,12,24,25,65,57,62,72,26,6,349,250,630,485,993,676,700,533,172,54,4483
201031016,0,0,0,0,0,0,0,0,0,0,0,3,0,22,4,3,3,0,0,34,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,13,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,13,4,4,6,11,4,50,19,38,49,113,102,99,134,103,53,705,381,862,830,1408,954,1089,1215,824,354,7921
201031017,0,0,0,0,0,0,0,0,0,0,0,5,0,7,4,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,9,3,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,10,13,5,0,42,17,42,29,70,78,112,102,42,11,502,210,581,489,849,804,982,873,372,108,5268
