SA2_MAINCODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
201011001,34,1615,702,310,1833,0.8,1585,2.8
201011002,42,1500,670,260,1867,0.8,1327,2.3
201011003,39,1347,615,250,1574,0.8,1198,2.3
201011004,36,1257,528,240,1242,0.8,945,2.2
201011005,38,1580,638,300,1921,0.8,1634,2.8
201011006,36,1466,595,260,1465,0.8,1272,2.6
201011007,41,1600,646,236,1745,0.8,1583,3
201011008,39,1300,508,220,1234,0.8,958,2.3
201021009,43,1571,624,250,1631,0.8,1369,2.6
201021010,48,1213,511,200,1272,0.8,994,2.3
201021011,51,1340,550,266,1311,0.8,1016,2.2
201021012,44,1497,604,190,1603,0.8,1329,2.6
201031013,52,932,454,150,1056,0.7,791,2.2
201031014,49,1105,489,165,1207,0.8,957,2.3
201031015,43,1300,513,200,1329,0.8,1124,2.5
201031016,50,995,458,200,987,0.7,769,2.1
201031017,51,921,442,160,1022,0.8,782,2.2
202011018,40,1200,577,240,1293,0.8,1029,2.2
202011019,37,1250,533,245,1188,0.8,951,2.4
202011020,44,1400,607,255,1493,0.7,1154,2.3
202011021,34,1400,611,260,1544,0.8,1169,2.3
202011022,40,1300,572,250,1324,0.8,1060,2.3
202011023,35,1700,720,330,1945,0.8,1828,3.1
202011024,37,1733,742,350,2002,0.8,1851,3
202011025,33,1517,677,290,1551,0.8,1393,2.7
202021026,40,1600,689,265,1755,0.8,1582,2.8
202021027,47,1300,568,265,1342,0.8,965,2.2
202021028,51,1300,519,230,1276,0.8,1043,2.3
202021029,53,1252,467,200,1141,0.8,895,2.2
202021030,45,1551,616,300,1575,0.8,1269,2.4
202021031,43,1733,731,320,2025,0.8,1689,2.6
202031032,45,1300,558,180,1421,0.8,1187,2.5
202031033,51,785,466,125,1112,0.8,824,2.2
203011034,35,1772,707,315,1805,0.8,1710,3.1
203011035,41,1517,627,200,1608,0.8,1400,2.8
203011036,44,1602,617,240,1564,0.8,1358,2.7
203021037,39,1517,601,290,1545,0.8,1142,2.3
203021038,36,1174,449,230,1058,0.8,866,2.4
203021039,40,1560,680,290,1820,0.8,1276,2.1
203021040,37,1517,671,280,1774,0.8,1275,2.3
203021041,37,1595,623,330,1647,0.8,1376,2.6
203021042,38,1751,656,310,2043,0.8,1676,2.7
203021043,37,1700,666,310,1803,0.8,1554,2.8
203021044,39,1582,627,330,1588,0.8,1358,2.6
203021045,44,1300,510,260,1220,0.8,956,2.3
203021046,40,1918,794,300,2265,0.8,1674,2.5
203021047,42,1408,537,284,1403,0.8,1096,2.4
203031048,45,1517,564,300,1405,0.7,1163,2.5
203031049,52,1700,692,320,1595,0.7,1262,2.2
203031050,40,1781,727,350,1877,0.8,1577,2.6
203031051,58,1517,492,270,1173,0.7,896,2.1
203031052,59,1733,666,300,1598,0.7,1211,2.2
203031053,39,2000,769,400,2036,0.8,1767,2.7
204011054,53,1300,522,200,1291,0.7,936,2.1
204011055,54,1083,526,175,1236,0.7,914,2.1
204011056,40,1517,607,280,1556,0.8,1323,2.6
204011057,47,1350,585,231,1340,0.7,1063,2.3
204011058,50,1300,578,220,1393,0.8,1061,2.2
204011059,45,1192,536,200,1253,0.8,977,2.3
204011060,38,1517,713,250,1686,0.8,1525,2.7
204011061,48,1036,458,200,1291,0.8,747,1.9
204011062,51,1322,537,240,1277,0.8,1003,2.2
204021063,49,1170,537,200,1205,0.7,905,2.1
204021064,50,1281,540,160,1317,0.8,1121,2.4
204021065,46,1300,613,200,1447,0.7,1143,2.3
204021066,44,1300,584,220,1355,0.7,1026,2.3
204021067,47,1346,616,160,1449,0.8,1210,2.5
204031068,49,1430,616,250,1461,0.8,1173,2.3
204031069,48,1300,590,220,1336,0.7,1039,2.2
204031070,45,1300,653,203,1584,0.8,1341,2.5
204031071,50,1300,532,195,1310,0.7,960,2.3
204031072,50,1083,534,150,1334,0.7,1039,2.3
204031073,37,1400,669,250,1557,0.8,1315,2.5
204031074,36,1473,677,250,1545,0.8,1245,2.4
204031075,45,1560,689,220,1708,0.8,1445,2.7
205011076,40,1504,566,270,1405,0.8,1170,2.5
205011077,47,1400,579,195,1454,0.8,1208,2.5
205011078,43,1356,599,250,1483,0.8,1220,2.5
205011079,42,1473,597,250,1523,0.8,1211,2.5
205021080,0,0,0,0,0,0,0,0
205021081,44,1300,559,240,1262,0.7,985,2.3
205021082,48,1250,531,162,1273,0.8,1082,2.4
