SA2_MAINCODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
201011001,4306,4634,8939,2247,1136,3382,559,1508,2070,119,179,297,156,152,311,3082,2974,6055,1024,1462,2486,5.1,5.1,5.1,71.6,64.2,67.7,67.9,60.9,64.3,208,170,377,90,191,278,539,826,1364,375,469,843,1005,574,1582,39,83,120,64,71,142,1111,732,1842,4206,4398,8596,1059,1116,2171,2252,2387,4644,2754,2881,5631
201011002,4686,5385,10075,1897,1221,3123,685,1398,2086,105,182,283,222,161,383,2914,2964,5880,1447,2064,3510,7.6,5.4,6.5,62.2,55,58.4,57.3,52,54.5,302,325,622,163,266,434,824,1128,1958,387,605,991,805,425,1228,31,56,84,68,87,151,904,559,1466,4175,4660,8832,968,1103,2072,2589,2998,5580,2388,2651,5041
201011003,8817,10016,18826,3937,2151,6088,1150,2728,3877,224,344,567,392,351,741,5700,5572,11266,2599,3848,6446,6.9,6.3,6.6,64.6,55.6,59.8,60.2,52.1,55.9,303,372,680,230,402,624,1084,1630,2715,697,949,1645,2210,1142,3348,74,157,225,107,180,290,2390,1474,3861,8410,9202,17611,1512,1808,3325,5609,6122,11735,3922,4462,8379
201011004,9247,10618,19864,3562,1968,5539,1201,2653,3851,262,345,607,534,452,989,5561,5424,10981,3014,4430,7446,9.6,8.3,9,60.1,51.1,55.3,54.3,46.8,50.3,230,269,496,130,267,396,808,1222,2030,630,962,1594,2372,1433,3804,96,210,305,118,178,295,2583,1820,4408,8346,9253,17595,1917,2138,4051,5246,5736,10980,4516,5205,9717
201011005,2864,2805,5666,1190,584,1776,427,850,1271,109,138,240,121,89,212,1840,1652,3499,833,977,1814,6.6,5.4,6.1,64.2,58.9,61.8,60.3,56,58,163,140,298,78,135,212,434,524,958,246,324,572,634,273,910,10,45,57,32,44,79,684,363,1045,2738,2716,5457,562,552,1117,1837,1766,3597,1329,1351,2673
201011006,2675,2968,5647,1271,654,1922,323,862,1179,84,99,183,114,111,225,1783,1725,3511,762,1092,1856,6.4,6.4,6.4,66.7,58.1,62.2,62.7,54.4,58.2,30,42,75,19,67,91,170,323,497,179,272,447,771,450,1215,9,55,68,39,48,87,817,556,1370,2669,2809,5479,458,541,999,1602,1750,3349,1379,1476,2851
201011007,1570,1488,3058,812,352,1163,173,494,665,51,63,114,46,40,85,1075,957,2030,408,463,874,4.3,4.2,4.2,68.5,64.3,66.4,66,61.1,63.5,18,31,54,33,52,83,103,202,307,112,162,271,514,171,683,13,31,47,14,40,51,538,239,778,1756,1659,3414,128,127,253,1322,1193,2515,492,507,1002
201011008,5550,6229,11776,2154,993,3151,599,1428,2024,143,190,332,275,241,514,3174,2847,6024,2010,2970,4985,8.7,8.5,8.5,57.2,45.7,51.2,52.2,41.9,46.8,77,79,162,54,141,199,356,565,915,298,465,765,1459,798,2256,62,105,172,70,129,199,1595,1031,2624,5448,5887,11331,926,963,1882,3603,3876,7484,2383,2607,4996
201021009,2363,2406,4767,1088,535,1624,268,633,907,86,85,171,98,69,167,1546,1325,2866,651,902,1548,6.3,5.2,5.8,65.4,55.1,60.1,61,52.1,56.7,41,76,123,36,73,110,165,319,480,181,249,429,678,294,967,17,33,50,39,54,93,735,379,1111,2420,2397,4818,256,258,508,1753,1709,3458,806,840,1649
201021010,3184,3300,6485,1160,559,1719,378,811,1190,123,136,257,117,78,199,1778,1590,3372,1140,1386,2523,6.6,4.9,5.9,55.8,48.2,52,52.2,45.6,48.8,79,94,175,58,111,166,228,350,582,211,356,568,867,363,1223,36,50,83,54,68,118,952,480,1430,3115,3115,6232,328,398,723,2267,2239,4502,1040,1120,2156
