SA2_MAINCODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
216011409,1390,3332,28,36,0,0,28,36,51,67,0,0,0,0,0,0,51,67,8,14,11,18,0,0,3,4,25,39,0,5,1497,3482,210,..,1708,3482
216011410,1569,3588,14,18,0,0,14,18,5,10,0,0,0,0,0,0,5,10,24,25,0,3,3,6,5,17,32,50,7,15,1634,3681,367,..,2001,3681
216021411,2154,5172,107,182,0,3,112,186,124,160,0,0,0,0,0,0,124,160,11,12,11,13,0,0,0,11,22,34,14,38,2425,5591,322,..,2747,5591
216021412,902,2217,0,4,0,0,0,4,7,9,0,0,0,0,0,0,9,14,4,4,4,3,0,0,0,0,4,9,9,15,924,2253,395,..,1322,2253
216021413,4217,10581,115,164,0,10,121,169,179,252,0,0,0,0,0,0,175,251,21,30,24,42,3,8,16,37,68,114,27,67,4607,11187,635,..,5247,11187
216021414,2578,6139,78,115,19,50,100,162,184,282,0,0,0,0,3,3,191,284,3,9,0,0,0,0,3,17,4,24,61,100,2940,6708,668,..,3607,6708
216031415,2457,6167,449,674,3,3,447,682,12,13,24,25,0,0,0,0,29,45,47,54,115,170,0,0,9,25,165,250,4,11,3109,7154,350,..,3462,7154
216031416,5515,14695,1002,1743,54,113,1059,1853,41,55,0,0,0,0,0,0,46,54,26,33,0,0,0,0,8,35,36,63,9,22,6670,16688,730,..,7399,16688
216031417,7313,19635,458,922,34,78,492,1008,66,120,0,3,0,0,0,0,69,123,12,18,7,10,6,12,9,21,35,61,16,54,7917,20880,786,..,8707,20880
216031418,1271,3464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,10,6,0,0,8,9,24,38,3,10,1303,3508,184,..,1490,3508
216031419,3279,8415,156,231,0,0,156,231,23,34,0,0,0,0,0,0,23,34,20,27,9,11,3,6,9,31,43,71,17,48,3521,8791,411,..,3931,8791
217011420,3296,7517,16,17,0,0,16,17,45,54,0,0,0,0,0,0,40,51,9,10,19,22,0,5,13,16,39,55,20,49,3416,7687,886,..,4304,7687
217011421,3757,8541,132,173,6,13,140,181,103,142,0,0,0,0,0,0,103,142,3,7,4,3,0,4,14,31,20,44,20,29,4035,8937,688,..,4725,8937
217011422,3761,8831,171,228,19,34,192,261,213,288,6,6,8,5,0,7,225,305,8,15,0,0,3,0,16,28,27,45,19,43,4220,9490,776,..,5004,9490
217011423,2211,5220,31,73,0,0,33,73,0,7,0,0,0,0,0,3,3,6,3,3,0,0,0,0,10,33,12,36,55,99,2317,5435,611,..,2932,5435
217031471,1286,2921,73,89,5,7,79,97,26,41,0,0,0,0,0,0,30,44,0,0,3,5,0,0,4,12,7,15,10,12,1406,3085,180,..,1584,3085
217031472,4120,10165,492,679,11,18,501,698,23,31,0,0,0,0,0,0,23,31,21,30,3,7,0,4,13,35,42,67,10,28,4697,10986,602,..,5300,10986
217031473,1947,4883,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,10,9,17,1965,4908,352,..,2314,4908
217031474,1925,4534,0,3,0,0,0,3,78,112,0,0,0,0,0,0,78,112,3,3,0,4,0,0,3,5,6,12,16,52,2031,4716,477,..,2502,4716
217031475,2476,6226,24,27,0,0,24,27,28,39,0,0,0,0,0,0,28,39,0,0,5,11,0,0,8,18,15,30,37,95,2582,6420,549,..,3133,6420
217031476,1205,2524,34,46,22,39,58,91,30,54,0,0,0,0,0,0,31,53,3,8,20,32,0,0,5,23,30,68,26,57,1353,2794,2067,..,3418,2794
217041477,2309,5922,11,13,0,0,11,13,0,0,0,0,0,0,0,0,0,0,7,11,0,3,0,3,3,10,14,20,15,35,2345,5991,593,..,2939,5991
217041478,3266,8195,62,81,17,35,78,114,19,37,0,0,0,0,0,3,26,39,6,16,4,7,4,7,24,50,34,70,26,57,3420,8473,1079,..,4496,8473
217041479,6768,17665,717,1120,112,188,824,1309,172,235,0,0,0,0,0,0,172,235,0,0,0,8,0,0,3,6,3,8,26,57,7786,19275,836,..,8622,19275
217041480,3655,9221,506,761,209,382,710,1139,398,575,75,96,0,0,0,3,479,670,7,26,62,107,0,0,5,7,74,143,39,89,4963,11267,761,..,5721,11267
297979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
299999499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
