SA2_MAINCODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
212051320,2679,8086,1343,3622,1265,4100,2613,7722,625,1331,374,737,620,1078,0,8,1620,3155,0,0,0,0,0,0,3,4,3,4,58,127,6973,19098,608,..,7587,19098
212051321,6470,19097,361,808,144,451,504,1265,84,222,17,30,0,3,0,0,105,250,0,4,0,0,0,3,0,3,3,6,7,10,7084,20633,648,..,7728,20633
212051322,4745,14029,549,1547,317,952,863,2498,561,1542,117,286,91,187,0,0,774,2015,0,0,0,0,0,0,0,0,3,0,20,54,6406,18594,643,..,7049,18594
212051323,3988,11515,161,380,113,318,271,701,1112,2663,0,0,0,4,0,0,1115,2663,0,3,0,0,0,0,4,19,7,22,18,62,5401,14961,514,..,5912,14961
212051324,4306,12410,423,1005,235,720,657,1727,1338,3229,36,65,4,10,0,0,1374,3298,0,0,0,0,0,0,3,4,3,4,18,45,6361,17492,595,..,6955,17492
212051325,5261,15123,452,1107,739,2059,1195,3165,26,40,14,41,0,0,0,0,35,86,0,0,3,3,0,0,3,3,7,5,7,22,6504,18404,424,..,6929,18404
212051326,5546,15590,514,1200,562,1538,1075,2734,567,1239,106,198,166,271,0,0,837,1711,0,3,0,0,0,0,13,29,16,35,32,59,7502,20135,709,..,8206,20135
212051327,5982,17535,303,500,96,268,396,773,132,282,196,269,0,3,3,10,328,565,0,0,0,0,0,0,6,14,6,14,13,15,6727,18893,570,..,7302,18893
213011328,1802,4839,292,703,218,599,511,1300,506,1044,5,21,3,7,3,10,523,1076,3,8,22,19,0,0,0,3,23,30,13,23,2867,7259,267,..,3138,7259
213011329,2315,8633,36,115,206,669,246,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,5,2564,9427,92,..,2654,9427
213011330,7056,22884,490,1312,238,669,730,1984,53,106,0,0,0,0,8,12,60,120,0,0,0,0,0,0,11,21,13,23,7,17,7868,25026,466,..,8334,25026
213011331,2043,6403,399,1167,71,226,474,1396,114,115,0,0,0,0,0,0,114,115,0,0,0,0,0,0,0,8,0,8,5,16,2639,7938,173,..,2814,7938
213011332,3819,11114,344,929,144,475,494,1402,21,52,19,36,0,0,0,0,39,90,0,0,0,0,0,0,0,7,0,7,5,7,4354,12618,327,..,4682,12618
213011333,4206,12744,102,242,11,29,113,276,42,106,0,0,0,0,0,0,42,106,0,0,0,3,0,0,3,12,3,14,8,19,4371,13149,240,..,4614,13149
213011334,4758,14074,707,1780,401,1130,1103,2902,713,1707,9,23,5,14,11,20,742,1762,0,0,3,6,0,0,26,85,29,92,18,53,6652,18884,596,..,7247,18884
213011335,4279,13591,460,1059,120,355,580,1422,405,1034,5,11,4,0,0,0,405,1042,0,0,0,0,0,0,10,28,10,28,17,44,5299,16131,356,..,5654,16131
213011336,2196,6354,514,1300,213,656,724,1955,171,324,43,70,89,215,0,0,297,606,0,10,0,0,0,0,0,11,3,19,9,28,3234,8958,273,..,3508,8958
213011337,3089,9590,165,451,198,626,365,1076,141,323,0,0,0,0,8,25,153,350,0,0,0,0,0,0,16,26,15,30,15,25,3640,11069,263,..,3904,11069
213011338,5058,15027,369,986,403,1249,771,2231,184,440,18,29,3,9,3,11,200,481,0,0,0,0,0,0,3,3,6,7,17,28,6052,17775,494,..,6550,17775
213011339,2433,7835,599,1476,522,1536,1119,3012,55,125,51,90,0,3,0,0,104,217,0,0,0,0,0,0,0,3,0,3,9,18,3659,11080,227,..,3884,11080
213011340,4866,15599,327,698,133,330,462,1022,42,76,0,0,0,0,0,0,40,79,0,0,0,0,0,0,7,15,7,15,0,3,5379,16724,301,..,5674,16724
213021341,3103,7932,929,1669,673,1696,1602,3367,210,334,64,73,128,221,0,0,403,627,0,0,0,0,0,0,11,25,11,25,13,16,5129,11969,554,..,5683,11969
213021342,5169,13989,1172,2717,199,591,1375,3307,316,664,0,0,0,3,0,0,323,667,0,4,0,0,0,0,3,3,4,7,12,19,6874,17996,427,..,7302,17996
213021343,3512,9520,625,1317,652,1577,1277,2894,211,368,41,95,0,4,0,0,258,463,0,0,0,0,0,4,10,25,12,28,22,58,5079,12965,403,..,5482,12965
213021344,4061,11155,706,1383,1205,3185,1908,4571,428,740,5,11,25,37,0,0,461,794,0,0,0,3,3,6,33,76,38,83,35,81,6507,16683,642,..,7148,16683
213021345,1133,3427,385,1131,104,320,494,1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1631,4885,78,..,1703,4885
