SA2_MAINCODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
201011001,85,258,114,186,551,678,453,562,39,2925,0,4,7,0,0,0,0,3,0,16,0,0,0,0,0,3,0,0,0,3,11,18,14,12,27,18,6,10,0,109,3,0,0,0,6,0,0,0,0,14,3,9,19,14,11,6,3,0,0,63,0,4,0,5,4,0,5,0,0,25,29,125,61,53,66,24,20,12,0,392,13,113,41,30,19,9,3,16,6,245,0,5,4,8,7,3,4,0,0,38,0,4,3,5,3,3,5,6,0,38,0,8,10,12,20,10,3,5,0,74,0,9,3,4,17,4,0,7,0,43,4,27,18,20,20,21,6,13,0,130,3,24,10,11,13,10,0,3,0,73,10,15,13,25,42,29,7,7,3,158,21,69,69,72,71,48,34,52,10,438,37,72,164,189,139,118,39,37,8,807,5,13,5,14,3,4,7,3,0,48,3,25,6,19,4,9,5,9,0,80
201011002,70,283,172,230,432,524,333,608,38,2693,0,12,7,3,0,3,4,0,0,31,0,0,0,0,0,3,3,0,0,9,3,14,9,5,17,7,11,10,0,79,0,0,0,0,0,5,0,6,0,14,0,9,8,5,8,8,0,3,3,35,0,3,0,6,4,9,0,3,0,25,22,82,55,48,34,28,17,22,5,307,13,100,37,23,24,6,5,25,0,227,3,8,7,3,7,3,3,3,0,33,3,8,4,0,12,8,8,3,0,42,5,3,6,8,10,14,0,4,0,47,0,10,5,7,11,12,0,9,0,50,0,20,28,28,29,25,6,17,0,156,3,20,10,12,10,10,4,7,0,67,7,13,21,20,31,32,24,17,0,163,23,67,50,84,87,61,53,81,0,511,56,109,160,182,121,99,47,42,0,830,0,20,9,7,3,0,0,7,0,46,0,14,10,16,9,7,8,4,0,67
201011003,125,465,306,381,996,1203,715,1022,100,5307,0,4,8,5,4,4,0,0,0,29,0,0,0,4,0,5,0,3,0,15,4,44,22,26,41,25,19,20,0,190,0,0,0,3,7,5,0,3,0,28,5,26,24,16,26,17,3,3,0,129,3,6,10,3,12,4,0,8,0,45,23,170,116,110,78,47,28,17,7,601,18,193,71,67,34,19,17,38,7,452,4,15,9,16,22,6,3,3,0,78,9,6,13,9,24,14,7,5,0,87,9,4,21,12,33,11,15,0,3,109,0,6,10,3,23,13,6,3,0,66,6,44,40,39,60,40,21,24,4,283,0,39,27,23,14,10,3,3,3,124,26,31,57,41,77,64,28,32,0,353,37,117,138,114,152,95,62,116,6,841,104,148,260,344,215,171,61,75,9,1394,10,30,14,13,13,10,3,7,0,96,7,44,32,40,39,23,11,8,4,202
201011004,150,452,327,421,1090,1085,625,760,111,5024,0,0,3,0,0,0,0,0,0,11,0,0,0,3,3,0,0,3,0,14,9,31,24,28,41,26,16,13,0,184,0,0,0,3,8,9,3,0,0,20,0,18,15,12,21,9,0,3,0,80,3,9,10,9,10,4,4,4,0,47,34,209,134,127,110,47,18,19,4,697,24,224,102,83,52,26,21,20,18,567,4,7,9,13,17,8,3,3,0,72,5,6,9,5,27,15,17,6,0,86,6,7,9,14,22,16,7,5,0,80,0,3,7,3,19,7,7,3,0,44,9,41,27,31,47,36,29,13,0,231,9,37,21,25,22,14,3,8,5,140,27,27,37,55,83,50,20,23,4,310,27,104,101,121,156,60,63,64,13,705,79,130,228,311,221,173,51,58,8,1250,8,29,19,27,15,10,4,9,3,125,10,38,34,28,22,15,15,5,0,163
201011005,59,189,103,129,256,362,217,353,44,1723,0,3,0,0,3,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,18,5,8,9,11,3,6,0,58,0,0,0,0,0,0,0,0,0,4,0,4,5,3,3,8,0,3,0,29,0,3,0,0,3,3,0,0,0,7,12,59,31,26,28,9,3,10,0,181,7,50,8,7,7,0,3,8,11,103,0,3,4,9,0,3,0,0,0,22,3,3,0,4,3,4,3,6,0,30,0,3,4,8,8,3,0,0,0,26,0,0,0,5,5,3,0,3,0,19,4,14,10,23,15,13,6,6,3,95,3,10,9,8,5,4,3,3,0,40,8,9,23,11,14,12,5,4,0,83,15,49,51,51,45,45,23,39,5,325,24,48,81,100,56,60,10,6,0,394,3,7,4,4,0,3,3,3,3,33,0,15,6,8,9,9,4,0,0,54
201011006,55,139,77,106,348,387,236,293,31,1673,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,19,10,4,25,9,10,3,3,89,0,0,3,0,0,7,0,0,0,6,3,7,6,6,8,3,0,0,0,33,0,4,3,0,3,5,0,0,0,19,6,69,43,44,41,26,10,14,3,252,3,78,24,24,24,11,3,7,3,168,0,0,7,3,5,7,4,4,0,28,4,3,0,0,0,4,3,0,0,19,0,0,4,3,7,9,0,0,0,28,0,0,0,3,6,0,3,0,0,11,3,11,12,12,18,13,5,3,3,77,0,11,11,4,11,3,0,0,0,47,12,11,14,20,21,17,3,10,0,102,3,19,30,31,44,13,13,14,3,166,22,40,77,107,90,48,15,18,7,424,3,10,3,6,3,3,0,0,0,27,3,16,9,14,10,7,3,4,0,59
201011007,26,75,37,61,217,274,149,171,22,1032,3,5,0,3,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,3,3,10,6,3,13,0,0,3,0,43,0,0,0,0,3,0,0,0,0,3,0,5,4,3,4,5,0,4,0,25,0,8,3,3,3,0,0,0,0,19,10,41,21,24,20,6,3,4,0,134,4,30,9,8,3,0,0,5,0,56,0,3,0,0,0,0,0,4,0,10,0,0,0,0,0,0,3,0,0,9,3,0,0,3,9,7,0,0,0,22,0,0,0,0,0,0,3,0,0,11,0,7,7,10,5,3,3,4,0,40,0,6,5,5,10,0,0,0,0,29,3,7,7,9,14,4,3,4,0,42,4,11,26,29,18,20,9,5,0,117,18,22,62,56,49,32,5,11,0,255,0,3,0,3,3,0,0,3,0,16,0,11,7,5,4,0,0,0,0,31
201011008,75,233,151,212,664,647,372,474,64,2895,3,7,3,3,0,0,0,0,0,22,0,0,3,0,0,0,0,0,0,3,7,14,17,12,51,26,9,8,3,156,0,0,0,3,0,3,0,0,0,11,0,9,7,10,7,3,0,0,0,38,0,3,3,3,7,3,0,0,0,27,17,119,68,71,52,31,15,15,5,387,6,91,44,37,21,11,9,14,6,234,0,10,7,15,9,4,3,0,0,51,4,5,4,0,10,0,0,4,0,31,9,3,0,9,8,13,0,3,0,44,0,3,8,4,4,3,0,0,0,26,4,13,12,16,21,17,8,7,0,92,3,26,17,13,12,3,4,7,5,96,8,19,19,31,46,24,7,10,0,173,18,48,55,58,55,26,18,39,0,306,41,86,128,172,123,74,19,24,4,670,0,21,8,10,8,3,11,8,0,70,8,22,10,15,18,3,3,4,0,86
201021009,48,102,66,106,237,351,153,348,41,1443,3,6,9,5,3,13,8,12,0,57,0,0,0,0,0,0,0,0,0,3,0,3,3,6,10,10,4,5,3,42,0,0,0,0,0,4,0,0,0,10,0,11,3,3,3,3,0,5,0,26,0,4,3,3,11,3,0,3,0,23,8,25,27,27,17,6,3,3,0,114,6,43,22,10,6,8,6,9,3,109,0,4,3,0,12,3,4,3,0,34,0,0,0,0,4,3,0,0,0,13,4,0,3,0,3,5,3,3,0,23,0,4,4,8,3,3,3,0,0,21,0,19,15,14,17,11,3,7,0,74,0,15,5,6,12,0,4,3,0,49,10,3,19,14,23,22,9,10,0,111,5,22,30,31,30,24,18,13,5,181,17,25,52,62,42,33,8,12,0,251,3,3,9,4,0,4,0,3,0,26,0,5,5,8,4,5,0,0,3,34
201021010,70,122,101,159,289,329,182,363,56,1656,4,17,15,13,8,12,6,10,3,88,0,3,0,0,0,0,0,0,0,3,8,13,5,7,13,4,9,3,0,62,0,0,0,0,0,0,0,0,0,6,0,12,13,4,10,3,0,3,0,41,0,0,0,4,4,0,0,0,0,8,7,49,35,31,31,8,4,8,0,181,12,35,16,19,10,7,9,16,0,117,0,4,3,9,7,3,3,3,0,39,0,9,4,8,3,0,0,0,0,21,0,3,0,6,6,3,3,0,0,28,0,3,4,0,0,0,3,0,0,18,0,9,9,15,17,12,3,6,0,69,3,13,9,10,0,0,3,3,3,45,6,10,14,14,18,13,5,3,0,82,10,32,19,42,32,24,11,17,3,194,42,42,79,77,60,44,11,13,5,377,0,3,5,3,7,3,0,0,0,32,3,12,12,5,3,8,3,6,0,55
