POA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA3000,30,13,83,9352,6216,1279,716,14567,4628,36762
POA3002,82,27,146,1563,1307,326,176,694,593,4667
POA3003,4,5,13,1490,1183,271,135,1188,860,5121
POA3004,80,103,243,2732,2204,580,310,1705,1204,8746
POA3005,0,0,0,138,81,23,10,93,135,479
POA3006,16,12,56,5438,3969,856,481,4737,2417,17902
POA3008,4,4,18,2550,2161,537,333,2854,1256,9695
POA3010,0,0,0,763,99,3,4,637,79,1582
POA3011,232,73,395,5050,4780,1367,956,4779,1847,18782
POA3012,186,111,465,5425,5698,1940,1419,5348,2010,21843
POA3013,127,67,317,3469,3732,1250,851,1971,866,12141
POA3015,169,37,316,3786,4336,1530,1039,2303,830,13817
POA3016,131,53,338,3259,3671,1536,1010,2242,896,12617
POA3018,140,71,373,2503,2915,1228,927,2169,848,10589
POA3019,68,24,111,1552,1407,568,552,2739,690,7505
POA3020,495,153,935,7266,7369,3084,2827,12892,3608,37050
POA3021,391,120,736,8449,8169,3468,3499,16393,4727,44705
POA3022,58,35,116,495,504,240,184,842,276,2544
POA3023,221,64,416,10155,10645,4429,4139,14564,4736,48664
POA3024,51,16,103,3899,4462,1856,1777,4101,1298,17388
POA3025,252,116,490,2070,2196,917,831,2835,1040,9899
POA3026,0,0,0,6,10,5,6,25,18,70
POA3027,7,0,10,1126,1348,512,476,1117,308,4897
POA3028,255,44,399,5247,5668,2408,2085,6798,1858,24055
POA3029,197,72,421,14373,16641,7321,6855,19269,5961,70414
POA3030,459,244,932,17061,19082,8329,7207,18681,5460,75828
POA3031,132,35,225,4567,4500,1165,740,3046,1595,15624
POA3032,168,37,358,6872,6559,2231,1537,5578,2011,24774
POA3033,172,96,387,2634,2961,1393,1160,2954,910,12020
POA3034,216,51,396,2044,2170,1107,910,2824,794,9847
POA3036,56,38,185,1154,1266,567,498,1107,332,4923
POA3037,270,137,478,8795,9057,3846,3432,11524,2642,39290
POA3038,183,32,324,5316,5367,2357,2052,6422,1371,22893
POA3039,229,41,397,3379,3317,1213,828,2438,808,11985
POA3040,286,88,685,6022,5761,2415,1587,4371,1503,21662
POA3041,98,76,329,2589,2729,1245,851,1932,775,10133
POA3042,171,70,464,3202,3292,1484,1116,2947,1043,13083
POA3043,160,45,314,3151,3474,1472,1275,4138,1259,14776
POA3044,449,135,973,5296,5974,2328,1845,4887,1758,22096
POA3045,0,0,0,13,7,0,0,10,73,98
POA3046,598,156,1100,5875,6342,2578,2216,8465,2538,28024
POA3047,143,43,279,2562,2541,1178,1307,6356,2227,16175
POA3048,99,13,134,2480,2188,986,1111,5871,1324,13950
POA3049,53,19,94,1766,1741,766,604,2208,593,7677
POA3050,4,0,3,8,6,3,0,25,51,100
POA3051,30,28,106,4114,3059,756,438,3274,1731,13372
POA3052,92,201,318,1593,1219,289,191,1219,762,5272
POA3053,114,19,169,4957,3282,724,426,6283,1768,17442
POA3054,55,21,138,2677,2276,677,353,980,540,7503
POA3055,140,40,293,3608,3572,1112,646,2394,923,12250
POA3056,201,39,378,7251,6386,1686,972,3989,1574,21866
POA3057,56,25,136,3562,3160,749,414,1628,796,10300
POA3058,425,75,855,7238,7795,2843,1953,6387,1966,28191
POA3059,30,8,64,2827,2779,1248,1110,3841,607,12407
POA3060,275,62,527,2015,2117,1042,1060,3817,969,11018
POA3061,40,12,83,664,612,296,349,1732,370,4034
POA3062,0,0,0,0,0,0,0,0,0,0
POA3063,3,3,5,99,108,80,40,98,40,461
POA3064,235,56,337,10972,11637,5016,5080,19403,3750,55861
POA3065,76,24,144,3115,2258,574,345,1563,1386,9250
POA3066,26,30,68,2510,1942,429,220,1361,1067,7535
POA3067,64,13,104,2688,2137,441,216,1300,763,7553
POA3068,89,45,231,5405,4861,1487,720,2116,1450,16035
POA3070,266,74,510,6162,6339,2024,1161,3267,1598,20552
POA3071,244,49,437,4516,4445,1521,1004,2909,1194,15589
POA3072,244,150,666,6987,7115,2654,1889,6392,2564,27596
POA3073,769,362,1755,8901,9817,3925,3350,12105,4158,42261
POA3074,197,44,381,3250,3135,1520,1455,6309,1484,17149
POA3075,168,62,388,3518,3669,1602,1472,6569,1609,18445
POA3076,265,56,393,5198,5382,2385,2293,8109,1846,25212
POA3078,72,35,190,2930,2995,1024,548,1650,698,9832
POA3079,231,61,448,3576,3828,1674,1038,2406,783,13306
