POA_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA3000,0,0,6,6,4,0,0,0,0,11,4,6,75,234,17,6,7,0,0,350,0,0,3,18,3,4,4,0,3,39,0,0,3,28,9,14,6,4,0,51,6,11,412,280,15,18,7,0,0,746,0,0,13,40,10,8,5,0,0,74,0,0,0,3,0,0,0,0,0,3,0,0,49,110,9,9,6,0,0,171,0,0,224,678,12,10,3,0,0,929,3,0,328,733,18,3,0,0,0,1080,0,0,0,17,4,0,0,0,0,26,0,0,10,43,3,0,0,0,0,56,3,9,51,125,28,22,5,0,0,243,0,5,258,199,20,13,11,0,0,495,0,0,6,6,0,0,0,0,0,13,0,0,4,4,0,0,0,0,0,12,26,18,634,1105,55,35,23,12,0,1901,82,80,1467,2140,301,259,141,37,13,4517,733,479,15450,17307,1754,1262,709,198,83,37975
POA3002,0,0,0,0,0,0,0,0,0,3,0,0,0,13,3,0,0,0,0,20,0,0,0,4,0,0,0,0,0,7,0,0,0,4,3,0,5,0,0,15,7,3,3,15,4,0,0,0,0,37,0,0,4,10,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,4,0,0,0,26,0,0,0,14,3,0,0,0,0,16,0,0,0,7,3,0,0,0,0,14,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,3,3,30,10,3,6,0,0,61,0,0,4,7,4,9,0,0,0,27,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,4,0,13,91,17,8,14,5,8,158,12,13,50,259,71,72,62,17,14,574,152,145,427,2124,571,664,546,181,146,4964
POA3003,0,0,0,0,0,0,0,0,0,0,0,3,3,49,3,3,0,0,0,62,0,0,3,6,3,0,0,0,0,11,0,0,0,9,0,0,0,0,0,18,0,0,18,33,0,0,0,0,0,63,0,0,4,11,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,3,13,4,0,0,0,0,16,0,0,9,47,0,0,0,0,0,59,0,6,11,63,4,0,0,0,0,83,0,0,0,3,3,0,0,0,0,8,0,0,3,3,0,0,0,0,0,4,0,3,8,21,3,0,0,0,0,29,0,0,8,25,9,9,3,0,0,61,0,0,0,3,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,6,11,3,61,203,13,5,9,3,0,309,17,13,111,309,49,33,29,14,4,574,182,209,1109,3025,486,264,160,52,13,5515
POA3004,0,0,0,3,0,3,0,0,0,8,0,3,6,50,3,6,0,0,0,68,0,0,0,13,3,4,10,11,5,51,0,0,3,30,3,8,6,4,3,62,0,0,17,38,3,4,4,0,0,64,0,0,5,38,9,14,6,0,0,67,0,0,0,3,0,3,0,0,0,7,0,0,4,39,3,7,6,0,0,60,0,0,5,34,0,4,3,0,0,52,0,0,5,52,0,0,0,0,0,58,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,10,0,9,10,35,14,12,10,0,0,97,0,0,8,35,5,0,3,0,0,48,0,0,0,5,0,3,0,0,0,9,0,0,0,8,0,0,0,0,0,8,5,3,49,294,33,34,35,13,22,486,26,36,116,493,149,123,121,59,85,1205,284,280,1076,4305,968,949,861,340,243,9307
POA3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,4,0,0,0,0,26,11,4,12,72,20,12,12,3,0,139,27,19,73,274,67,38,26,5,0,525
POA3006,0,0,0,3,0,0,0,0,0,4,0,4,29,140,24,7,0,0,0,207,0,0,0,23,3,4,7,4,0,38,0,0,9,50,6,5,7,0,0,85,3,3,53,168,17,11,4,0,0,255,0,0,16,51,15,3,5,0,0,92,0,0,0,14,0,5,0,0,0,15,0,0,15,67,4,6,3,0,0,95,0,3,35,108,5,11,4,0,0,164,4,0,39,115,10,0,0,0,0,164,0,0,0,11,3,3,0,0,0,15,0,0,0,24,0,0,0,0,0,27,0,3,24,85,20,12,8,0,0,159,0,0,29,86,3,19,7,0,0,144,0,0,0,5,3,3,3,0,0,21,0,0,0,11,4,4,0,0,0,17,24,8,273,845,51,42,41,22,4,1315,74,48,524,1313,212,150,104,21,11,2463,579,326,4027,10322,1428,1146,710,219,56,18808
POA3008,0,0,0,0,3,0,0,0,0,3,0,0,12,68,6,7,3,0,0,99,0,0,0,12,0,4,0,0,0,20,0,0,4,14,17,6,3,0,0,39,4,0,14,51,5,6,0,0,0,79,0,0,0,30,3,7,3,0,0,38,0,0,0,0,0,6,3,0,0,6,0,0,0,20,3,5,0,3,0,31,6,0,25,52,4,5,0,0,0,89,4,0,14,60,4,0,0,0,0,83,0,0,0,0,0,3,0,0,0,0,0,0,0,16,5,7,0,0,0,25,3,11,7,33,6,10,3,0,0,74,0,0,39,45,13,6,0,0,0,101,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,0,0,0,12,23,16,117,346,38,24,10,3,0,580,74,31,221,675,150,102,80,13,0,1337,528,217,1937,5423,1005,789,425,96,18,10437
POA3010,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,34,3,0,0,0,0,0,38,0,0,27,3,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,7,0,0,8,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0,0,0,0,0,33,0,0,6,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,34,9,3,0,0,0,0,40,0,0,68,3,0,0,0,0,0,73,4,5,1415,124,17,21,13,0,0,1593
POA3011,3,0,3,7,3,4,0,0,0,19,3,8,26,160,28,22,17,5,3,274,0,0,0,16,7,10,9,4,5,47,0,0,3,29,9,11,6,0,0,58,3,0,13,43,5,3,3,0,0,71,0,0,0,38,4,3,0,0,0,45,0,0,0,7,9,12,9,10,0,44,3,0,23,70,4,4,0,0,3,102,0,0,9,34,0,0,0,0,0,46,3,3,7,65,11,6,3,0,0,97,0,3,0,4,22,25,41,24,5,133,0,0,0,12,10,4,0,3,0,38,3,0,15,61,12,7,0,0,0,102,10,21,261,614,280,352,137,70,37,1789,0,3,0,5,3,4,0,0,0,10,0,0,0,13,3,0,0,0,0,12,8,22,144,479,127,83,51,44,16,969,121,101,289,774,226,183,117,109,80,2005,1347,1338,3111,9625,2272,1734,966,681,395,21462
POA3012,0,0,0,10,3,0,0,0,0,24,5,14,25,167,56,46,26,15,7,363,0,0,0,16,6,12,5,16,5,71,0,3,3,33,22,9,8,12,4,96,0,0,0,38,3,3,3,0,0,60,0,0,0,42,4,3,0,0,0,54,0,0,0,6,8,11,14,14,3,60,0,0,19,64,18,5,7,3,0,114,0,0,0,36,0,4,0,0,0,37,0,7,15,57,12,3,0,0,0,98,0,0,0,11,34,31,38,16,3,137,0,0,0,16,12,13,5,3,0,49,3,7,10,59,6,3,3,0,0,103,6,32,210,865,489,452,180,97,32,2372,0,0,0,3,7,0,3,0,0,12,0,0,0,19,0,6,0,0,0,22,22,34,145,632,212,115,83,54,22,1326,124,130,183,703,213,168,97,79,59,1742,1988,2463,3185,10726,3072,2221,1261,902,465,26298
