POA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA3000,17876,18886,36762,5421,3884,9309,2718,3337,6058,319,366,687,1300,1555,2860,9762,9146,18910,5882,7697,13583,13.3,17,15.1,54.6,48.4,51.4,47.3,40.2,43.7,1854,2098,3949,256,318,574,5133,5687,10823,1379,1349,2730,644,456,1103,62,56,118,136,140,280,844,650,1497,8535,8913,17446,7254,8127,15383,2129,2004,4133,13502,14795,28295
POA3002,2212,2453,4667,1151,981,2134,307,428,731,61,99,158,71,55,120,1586,1565,3151,387,603,984,4.5,3.5,3.8,71.7,63.8,67.5,68.7,61.5,64.8,348,365,709,78,126,211,775,808,1582,176,217,397,102,66,167,5,11,18,17,35,55,126,115,239,1511,1662,3166,521,575,1096,798,872,1669,1210,1346,2552
POA3003,2796,2325,5121,1155,871,2028,407,471,879,59,78,133,153,124,281,1780,1545,3319,747,543,1283,8.6,8,8.5,63.7,66.5,64.8,58,61.1,59.4,336,323,661,55,97,153,787,766,1550,221,216,438,153,97,246,4,19,23,24,17,50,185,133,320,1460,1388,2844,866,838,1704,539,505,1040,1731,1661,3392
POA3004,4250,4488,8746,2175,1776,3955,505,640,1145,108,131,241,153,177,334,2947,2723,5673,770,1198,1968,5.2,6.5,5.9,69.3,60.7,64.9,65.6,56.8,61.1,597,600,1194,113,192,302,1300,1372,2677,360,441,800,314,181,494,15,29,44,49,65,110,372,276,652,2729,2850,5578,1134,1232,2365,1136,1186,2320,2670,2826,5503
POA3005,251,232,479,94,79,173,27,39,64,9,11,18,7,14,15,132,141,275,35,43,78,5.3,9.9,5.5,52.6,60.8,57.4,51.8,55.6,53.2,27,24,47,5,7,7,52,60,110,18,24,47,21,8,27,0,0,3,0,6,6,19,22,39,118,126,248,56,68,121,61,53,112,111,134,246
POA3006,9021,8882,17902,4467,3373,7838,1127,1420,2548,206,213,423,442,468,910,6244,5472,11716,1579,2307,3887,7.1,8.6,7.8,69.2,61.6,65.4,64.3,56.4,60.4,1201,1273,2474,202,291,499,2783,2805,5584,728,716,1447,589,307,897,31,32,57,77,97,171,692,439,1133,4738,4647,9390,3222,3287,6503,1486,1431,2914,6436,6442,12877
POA3008,5002,4696,9695,2533,1581,4113,534,725,1259,131,137,266,212,256,469,3410,2701,6106,1000,1422,2428,6.2,9.5,7.7,68.2,57.5,63,63.9,52,58.2,590,621,1209,110,125,237,1659,1502,3163,412,398,810,312,131,446,14,26,36,47,66,112,368,226,597,2798,2577,5373,1813,1758,3574,741,684,1420,3719,3492,7213
POA3010,721,864,1582,36,35,64,172,243,417,92,127,216,91,123,216,388,526,918,298,298,601,23.5,23.4,23.5,53.8,60.9,58,41.6,46.9,44.1,44,35,81,9,4,9,89,81,172,5,12,16,17,23,36,3,8,13,3,7,11,23,38,65,362,431,794,307,399,710,36,28,66,641,798,1438
POA3011,9719,9061,18782,4033,2837,6877,1723,2014,3735,246,283,529,602,509,1116,6607,5642,12255,2243,2658,4900,9.1,9,9.1,68,62.3,65.2,61.8,56.7,59.3,925,912,1844,255,436,697,2283,2294,4578,861,772,1628,934,460,1399,60,72,138,99,126,221,1093,658,1754,7344,6910,14247,2413,2244,4653,3732,3683,7411,5642,5138,10777
POA3012,11031,10814,21843,5076,3237,8316,1725,2496,4217,269,377,651,629,548,1177,7699,6654,14356,2568,3413,5985,8.2,8.2,8.2,69.8,61.5,65.7,64.1,56.5,60.4,854,787,1640,246,451,695,2201,2491,4692,991,1029,2020,1458,754,2210,71,79,154,114,138,250,1640,973,2616,9558,9491,19049,2343,2185,4529,5610,5824,11432,5660,5300,10959
