POA_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
POA3000,15,25,3717,1638,170,65,29,12,7,5671,0,0,0,6,3,5,0,0,0,14,0,0,0,4,0,0,0,0,0,5,4,0,28,88,20,14,12,3,3,170,0,0,3,12,3,0,3,0,0,15,3,0,16,56,3,3,0,0,0,80,0,0,10,12,3,3,6,0,0,36,0,0,3,10,5,3,0,0,0,19,3,3,184,193,19,12,4,7,0,430,63,45,112,716,10,11,7,0,0,957,0,6,635,247,10,7,5,0,0,910,3,0,5,39,3,0,0,0,0,45,0,0,0,0,0,0,0,0,0,6,0,0,3,13,3,0,0,0,0,26,0,0,27,41,3,3,6,3,0,82,0,0,96,176,11,3,3,0,0,283,4,3,270,487,23,5,0,0,0,791,0,0,0,4,0,0,0,0,0,10,3,5,871,588,53,30,13,3,3,1568,0,0,0,0,0,0,0,3,0,6
POA3002,0,0,3,21,5,0,3,0,0,32,0,0,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,31,19,20,19,3,3,108,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,12,0,0,0,3,0,0,4,0,0,11,0,0,0,0,5,0,0,0,3,11,0,0,0,7,0,0,3,0,0,11,0,0,0,9,0,4,0,0,0,14,0,0,0,3,0,0,0,0,0,9,0,0,0,12,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,12,0,0,0,4,0,6,6,3,4,20,0,0,0,7,3,0,0,0,0,11,0,0,0,10,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,3,28,13,5,0,0,0,50,0,0,0,0,0,0,0,0,0,0
POA3003,0,5,126,93,18,11,0,3,0,254,0,0,0,4,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,25,10,7,3,0,0,51,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,3,7,24,4,6,0,0,0,38,8,3,12,70,3,0,0,0,0,104,0,0,14,19,0,0,0,0,0,34,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,12,0,0,3,11,0,0,3,3,0,22,0,0,12,34,5,0,0,0,0,54,0,0,41,71,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,27,57,5,11,0,0,0,103,0,0,0,0,0,0,0,0,0,3
POA3004,8,15,129,211,46,13,15,0,0,437,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,3,3,0,0,11,0,8,22,61,38,26,27,3,5,190,0,0,0,5,0,0,0,0,0,4,0,0,0,16,3,0,0,0,0,23,0,0,0,10,0,3,8,3,3,30,0,0,0,5,4,3,0,0,3,12,3,3,9,32,3,9,3,0,0,63,11,6,7,122,5,3,5,0,0,176,0,0,20,44,11,0,0,0,0,78,0,0,0,23,0,0,5,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,8,32,3,0,3,0,0,42,0,0,0,9,3,7,3,0,3,24,0,3,3,32,4,3,0,0,0,46,3,6,5,35,4,0,0,0,0,50,0,0,0,0,0,0,0,0,0,3,0,3,16,84,8,14,7,0,0,138,0,0,0,0,0,3,3,0,0,4
POA3005,0,0,8,15,0,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
POA3006,3,13,688,597,111,52,23,5,3,1498,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0,28,128,27,19,21,9,0,243,0,0,0,10,4,0,3,0,0,16,0,0,13,26,0,0,0,3,0,45,0,0,3,20,6,3,4,3,0,44,0,0,0,9,0,3,4,0,0,16,0,3,24,86,6,8,7,0,0,137,17,5,17,282,9,8,3,0,0,348,0,3,124,165,5,8,3,0,0,310,0,0,0,38,3,0,0,0,0,44,0,0,0,3,0,0,0,0,0,3,0,0,5,37,0,0,0,0,0,50,0,0,9,45,7,11,9,0,0,83,3,3,25,87,16,0,0,0,0,135,4,3,64,202,5,3,0,0,0,282,0,0,0,3,0,0,0,0,0,8,3,3,108,231,21,29,12,0,0,405,0,0,0,0,0,3,3,0,0,7
POA3008,3,13,415,434,78,35,13,4,0,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,8,37,16,20,12,3,0,92,0,0,0,3,0,0,0,0,0,3,0,0,6,14,0,0,0,0,0,24,0,0,4,14,4,0,0,0,0,20,0,0,0,3,3,3,0,0,0,9,0,0,16,51,3,7,4,0,0,77,59,14,34,430,7,10,0,3,0,553,0,3,18,41,0,3,3,0,0,74,0,0,0,23,3,3,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,11,0,0,11,16,3,0,9,0,0,40,3,0,9,23,3,3,0,0,0,36,0,0,39,112,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,38,90,7,5,9,0,0,151,0,0,0,0,0,0,0,0,0,0
POA3010,0,0,29,4,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,13,0,0,4,0,0,0,0,0,0,7,0,0,8,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
POA3011,0,4,121,137,33,27,14,11,9,352,0,0,0,9,3,3,15,15,6,55,0,0,0,0,0,0,0,0,0,7,0,3,10,99,27,22,11,4,11,196,0,0,0,7,0,6,0,0,0,14,0,0,0,13,0,0,0,0,0,18,0,0,3,21,4,6,4,3,3,41,0,0,0,3,3,12,45,43,13,122,0,0,0,32,0,4,0,0,0,36,23,21,50,281,14,10,6,3,0,405,6,5,5,38,7,4,0,0,0,64,0,0,0,5,0,0,0,0,0,8,0,0,5,0,4,3,0,0,0,10,0,0,0,12,7,0,0,0,0,24,0,0,4,12,4,11,19,38,22,98,0,0,7,42,0,0,0,0,0,50,0,0,0,23,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,25,71,11,4,11,0,0,131,0,0,0,3,0,4,3,5,4,25
POA3012,0,3,68,136,39,26,13,11,4,316,0,0,0,6,6,13,23,12,3,61,0,0,5,0,0,0,3,4,0,21,4,8,3,104,35,28,18,7,4,206,0,3,3,13,6,5,0,0,0,34,0,0,0,7,3,0,0,0,0,14,0,0,0,10,3,9,21,3,8,52,0,0,0,0,9,17,45,46,4,125,0,0,3,50,3,3,0,0,0,61,15,21,39,280,14,14,7,9,0,399,0,3,6,39,0,3,0,0,0,61,0,0,0,7,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,6,0,3,0,21,3,3,3,0,0,39,0,0,3,8,6,23,56,67,44,206,0,3,0,21,5,3,0,3,0,38,0,0,3,26,10,0,0,0,0,34,0,0,3,12,6,3,3,4,0,35,3,8,13,80,6,9,0,3,0,115,0,0,0,0,0,9,10,7,3,30
