POA_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA3000,10,89,200,53,47,18,3,0,0,429,28,188,369,109,74,24,9,0,0,796,389,2917,8438,2367,1082,627,188,24,11,16052
POA3002,0,4,23,14,14,13,3,0,0,65,0,9,38,18,16,13,7,3,0,115,28,229,1115,564,431,417,205,29,8,3025
POA3003,4,13,45,14,8,0,0,0,0,77,3,16,44,19,18,8,0,0,0,104,46,392,1483,571,331,151,54,8,0,3038
POA3004,4,8,37,21,9,7,0,0,0,99,4,16,82,51,50,37,24,6,0,279,52,425,2141,1096,679,587,301,47,14,5334
POA3005,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,9,3,20,96,65,35,19,7,3,0,258
POA3006,3,35,133,48,26,14,3,0,0,265,9,57,217,77,50,35,13,0,0,449,176,1286,5454,1979,989,661,224,21,3,10800
POA3008,3,20,54,26,18,10,4,0,0,131,8,37,89,30,48,23,13,0,0,251,71,524,2650,1060,699,468,150,11,3,5641
POA3010,0,3,0,0,0,3,0,0,0,9,3,8,3,0,0,0,0,0,0,12,275,314,63,12,14,18,6,0,0,698
POA3011,7,34,135,70,51,40,3,0,0,337,15,61,188,97,79,43,5,0,0,497,251,1201,4438,2683,1538,864,149,16,3,11141
POA3012,4,45,156,116,73,38,11,5,0,435,20,67,257,157,119,65,18,0,0,687,298,1275,4636,3474,2163,1137,172,16,9,13180
POA3013,7,19,66,68,49,30,3,0,0,251,6,28,52,82,54,29,7,0,0,258,214,550,2182,2465,1731,840,151,8,0,8134
POA3015,4,34,60,69,41,58,12,0,0,273,12,33,81,91,83,43,16,0,0,360,271,627,2150,2829,2074,1186,168,10,0,9319
POA3016,8,15,33,44,56,45,22,4,0,219,6,26,40,64,96,46,18,0,0,289,364,591,1078,1602,2223,1409,329,29,3,7619
POA3018,4,8,38,53,48,33,8,0,0,188,4,28,59,58,66,45,15,3,0,282,203,413,1315,1570,1391,910,199,22,0,6025
POA3019,0,23,56,28,21,8,0,0,0,143,4,34,80,54,57,43,10,0,0,284,94,468,1179,773,568,363,36,4,3,3489
POA3020,10,101,216,166,130,88,17,7,0,728,20,165,429,331,266,170,36,6,0,1430,608,1962,5295,4001,3203,1997,356,24,4,17452
POA3021,23,121,283,188,184,105,26,0,0,936,52,235,477,360,344,233,35,10,0,1743,678,2458,5580,3969,3595,2612,489,34,4,19421
POA3022,0,13,23,12,8,4,0,0,0,56,0,14,32,19,19,12,0,0,0,96,31,121,435,306,203,125,27,3,0,1253
POA3023,19,102,266,273,203,94,19,3,0,977,44,168,413,450,298,179,25,4,3,1587,1183,2431,6671,8275,5692,2948,414,31,7,27657
POA3024,15,34,102,80,58,34,8,0,0,341,13,44,134,124,79,42,10,0,0,454,458,900,3244,2932,1894,965,182,14,0,10588
POA3025,5,16,61,50,36,24,4,0,0,194,13,33,89,59,53,38,9,0,0,294,173,392,1343,1216,892,493,107,17,4,4640
POA3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,3,3,3,12,9,0,0,0,29
POA3027,3,8,41,21,9,4,3,0,0,90,0,17,71,48,20,8,0,0,0,158,72,213,1293,1124,445,169,26,0,0,3339
POA3028,23,57,136,126,111,65,11,0,0,528,30,85,216,133,139,112,19,3,0,734,514,1333,3598,2892,2895,1903,273,23,4,13439
POA3029,54,128,409,357,207,150,28,0,0,1327,63,265,736,579,364,217,44,7,3,2281,1681,3696,13110,10988,7459,4213,693,33,6,41886
POA3030,46,148,390,386,319,166,39,3,0,1493,75,194,617,611,433,249,57,7,3,2252,1851,3744,11891,13385,9466,4845,814,54,18,46067
POA3031,3,15,90,55,42,31,10,0,0,253,13,38,134,90,52,37,11,0,0,365,187,953,3737,2370,1395,825,148,14,0,9626
POA3032,3,53,161,99,99,57,10,3,0,484,13,58,189,122,110,64,27,3,0,605,433,1612,5026,3541,2858,1754,355,34,6,15613
POA3033,8,16,43,55,49,31,12,4,0,221,7,20,52,70,76,39,17,0,0,284,268,554,1305,1571,1544,932,284,37,0,6493
POA3034,0,22,58,53,45,37,12,0,0,224,3,19,39,51,72,32,13,9,0,244,169,420,1065,1135,1075,712,197,30,0,4798
POA3036,0,14,17,18,17,38,11,3,0,116,0,12,26,22,30,24,7,3,0,126,157,287,412,542,758,540,174,21,3,2890
POA3037,20,88,221,230,214,86,12,0,0,875,65,138,283,321,302,128,27,3,0,1268,1354,2372,5236,6624,5455,2595,352,18,0,24008
POA3038,10,60,88,86,154,81,17,0,0,495,24,63,133,144,179,139,31,3,0,717,722,1612,2400,2293,3439,2560,376,23,0,13425
POA3039,11,11,59,33,45,34,6,0,0,210,3,30,68,55,57,25,15,3,0,268,275,784,1968,1730,1585,1013,219,27,5,7599
POA3040,11,45,98,69,87,52,21,3,0,382,19,44,102,107,134,71,27,0,0,515,682,1387,3254,2774,3129,2080,457,47,9,13824
POA3041,11,17,46,48,42,30,8,0,0,207,6,14,29,60,60,43,6,3,0,228,320,612,1200,1444,1516,1012,223,16,0,6338
POA3042,5,19,71,61,62,60,9,0,0,279,9,28,73,64,94,58,12,4,0,340,263,629,1814,1871,1682,1063,220,25,0,7578
POA3043,4,29,83,59,75,51,7,0,0,308,15,43,88,95,94,73,27,3,0,427,292,693,2009,1829,1575,1169,312,15,3,7899
POA3044,10,36,121,114,97,50,19,0,0,436,16,61,137,126,103,67,19,3,0,530,434,1152,3527,3349,2864,1499,296,34,3,13153
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,10,4,4,0,0,0,30
POA3046,14,45,177,128,118,75,16,0,0,568,20,81,250,184,114,88,23,8,0,766,482,1470,4808,3414,2582,1494,270,36,9,14560
POA3047,3,30,70,45,44,26,3,0,0,224,16,61,148,89,107,40,6,3,0,474,208,785,1829,1118,1027,626,99,13,0,5709
POA3048,9,22,44,35,39,28,3,0,0,175,17,48,107,108,103,50,7,3,0,435,279,689,1268,1037,1143,619,77,15,0,5126
POA3049,8,16,38,38,42,29,10,0,0,184,8,26,49,50,53,54,7,0,0,249,238,478,933,888,1087,812,152,7,0,4596
