POA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA3000,5,11,1969,4,23,2005,11,3,2177,0,27,2211,4,11,8969,3,123,9111,0,0,163,0,0,163,4,10,1792,3,21,1822,0,0,198,0,0,198,0,0,289,0,8,295,0,0,113,0,3,117,6,19,11523,7,148,11710,0,0,140,8,3,154,4,0,526,40,18,593,28,33,16331,62,221,16671
POA3002,80,192,292,0,0,559,35,79,281,0,0,388,22,88,843,0,0,953,0,0,4,0,0,4,10,30,150,0,0,184,3,3,0,0,0,8,0,0,9,0,0,12,0,0,15,0,0,20,36,124,1020,0,6,1178,4,3,9,0,0,18,5,3,23,0,0,30,155,394,1616,3,6,2173
POA3003,19,100,133,0,0,254,8,131,316,0,0,466,16,162,843,0,0,1024,25,10,13,0,0,50,12,56,137,0,0,199,0,0,3,0,0,5,0,0,4,0,0,6,3,3,10,0,0,16,59,234,1004,0,0,1298,3,0,10,0,0,13,3,13,48,0,0,61,92,489,1504,3,3,2089
POA3004,3,0,932,0,0,935,3,3,935,0,3,944,9,3,1928,0,3,1945,0,0,0,0,0,0,0,0,322,0,0,326,0,0,3,0,0,3,0,0,20,0,0,24,0,0,19,0,0,21,5,3,2296,0,3,2315,0,0,26,0,0,26,0,0,108,0,3,115,15,7,4298,0,11,4337
POA3005,0,0,23,0,0,24,0,0,51,0,0,51,0,0,76,0,0,71,0,0,0,0,0,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,94,0,0,0,0,0,0,0,0,7,0,0,7,4,0,167,0,0,169
POA3006,7,29,1151,0,0,1182,5,33,1597,4,0,1637,5,62,4414,3,0,4478,0,0,3,0,0,3,0,31,666,0,0,689,0,0,5,0,0,5,0,4,60,0,0,65,0,3,44,0,0,43,5,97,5188,3,0,5291,0,0,37,0,0,40,0,3,173,0,0,175,16,158,8141,11,8,8328
POA3008,0,17,575,4,3,598,0,39,902,0,0,948,0,31,2356,0,11,2399,0,0,46,0,0,46,0,4,287,0,0,295,0,0,35,0,0,35,0,0,27,0,0,28,0,0,21,0,0,23,0,37,2766,0,13,2821,0,0,24,0,0,24,0,5,100,0,0,107,3,105,4371,5,18,4497
POA3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,12
POA3011,1013,145,177,14,4,1345,1200,428,510,13,6,2163,799,451,1912,16,7,3182,36,182,226,0,5,448,277,115,277,7,5,683,4,12,111,0,0,125,30,11,70,3,5,112,22,3,16,3,0,46,1170,773,2604,30,24,4601,16,3,24,0,0,48,117,42,121,0,15,299,3519,1396,3422,63,51,8451
POA3012,1736,258,127,6,15,2140,2036,776,301,9,5,3130,967,814,1200,8,15,2997,122,217,60,0,0,399,355,165,117,6,4,643,19,20,21,0,0,59,33,15,10,0,0,63,34,10,11,0,0,48,1522,1233,1420,11,24,4207,29,16,9,0,12,61,128,73,58,0,9,266,5446,2348,1922,32,57,9811
POA3013,1333,145,37,15,0,1531,1661,327,91,8,0,2087,700,326,325,26,0,1376,39,53,12,0,0,106,170,69,38,6,0,289,14,6,11,0,0,27,9,7,0,0,0,18,6,5,0,4,0,17,956,458,388,32,0,1839,14,4,0,0,0,22,83,19,5,0,0,117,4050,953,527,55,7,5591
POA3015,1445,276,40,6,5,1775,1687,762,100,5,15,2575,559,676,232,14,7,1491,13,32,15,0,0,67,175,84,39,12,5,303,28,5,3,0,0,39,8,6,3,0,0,17,15,9,4,0,0,27,796,814,294,33,16,1946,22,3,0,0,0,28,86,34,17,0,0,144,4042,1897,456,38,35,6462
POA3016,1379,538,149,14,7,2084,1250,541,80,4,0,1878,332,346,256,11,6,946,3,111,173,0,0,284,88,72,45,3,5,219,8,0,29,0,0,33,13,8,3,15,3,40,8,4,6,0,0,24,453,545,512,32,8,1547,19,8,3,0,0,31,61,34,47,9,3,152,3152,1665,789,57,23,5687
POA3018,1456,522,13,4,3,1994,940,421,28,0,8,1395,439,504,268,3,0,1217,18,10,38,0,0,62,119,66,18,3,0,204,3,0,22,0,0,22,5,5,3,0,0,17,16,13,0,0,0,36,606,602,345,11,0,1564,19,12,0,0,0,31,89,49,16,0,0,148,3103,1602,403,11,13,5129
POA3019,400,185,3,0,0,592,349,425,8,3,6,789,266,266,79,0,7,618,246,292,0,0,0,541,129,74,3,10,0,226,4,6,0,0,0,4,21,22,0,7,0,51,6,13,0,0,0,17,681,667,82,19,12,1458,9,13,0,0,0,27,71,53,0,0,0,124,1502,1344,99,24,12,2991
POA3020,4624,358,108,8,3,5096,3267,689,148,3,5,4117,1593,710,665,5,12,2991,161,68,54,0,0,284,811,200,80,4,11,1110,30,19,17,0,0,66,160,38,26,0,0,224,63,11,9,0,0,79,2819,1049,841,15,25,4755,63,10,5,0,0,78,519,80,63,3,4,666,11291,2185,1170,20,45,14707
POA3021,5952,265,177,3,0,6402,4217,420,216,7,4,4868,1718,588,490,14,16,2828,348,143,75,3,0,570,940,185,141,10,9,1280,56,35,8,0,0,100,206,62,38,3,3,311,101,16,11,0,0,132,3359,1030,761,25,27,5213,88,14,6,0,3,108,596,112,48,3,9,769,14212,1846,1213,42,44,17351
POA3022,330,23,0,0,0,359,247,69,0,0,0,324,135,61,3,0,0,196,7,6,0,0,0,14,71,21,0,0,0,94,0,0,0,0,0,3,17,3,0,0,0,19,10,0,0,0,0,10,240,88,0,0,0,335,3,0,0,0,0,9,38,8,0,23,0,63,863,191,6,23,3,1077
POA3023,4061,338,24,4,5,4434,8619,704,34,3,4,9362,2211,646,119,5,4,2977,118,32,0,0,0,150,653,105,13,3,0,772,19,11,0,0,0,29,87,19,3,0,0,106,43,8,0,0,0,49,3126,816,129,11,5,4091,91,48,8,0,0,146,459,63,9,0,4,534,16354,1975,206,17,11,18570
POA3024,1137,35,0,0,0,1176,3910,92,3,0,8,4015,1487,75,6,0,0,1570,37,6,0,0,0,44,334,16,4,0,0,351,23,5,0,0,0,24,13,0,0,0,0,14,20,0,0,0,0,20,1910,105,10,0,0,2027,19,0,0,0,0,21,153,3,3,0,3,162,7142,233,17,0,12,7400
POA3025,1485,178,8,5,0,1681,785,360,21,0,8,1170,432,275,63,3,5,785,24,85,79,0,0,192,160,50,7,4,0,224,3,0,10,0,0,20,24,13,0,0,0,37,13,9,0,0,0,22,666,430,166,8,8,1273,23,3,0,0,0,27,118,30,14,0,0,163,3070,1008,207,12,18,4310
POA3026,0,3,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,3,0,18,0,19,0,0,0,3,0,3,0,3,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,34,0,43
POA3027,146,18,0,0,0,160,997,135,0,0,0,1140,431,103,0,0,0,533,0,0,0,0,0,0,63,18,0,0,0,83,0,0,0,0,0,0,3,0,0,0,0,0,4,3,0,0,0,10,496,120,0,0,0,619,3,0,0,0,0,3,35,7,0,0,0,35,1676,276,3,0,0,1961
POA3028,2734,580,58,0,0,3377,2724,718,67,3,7,3515,1322,583,165,4,5,2083,147,58,26,0,0,226,398,90,25,3,0,519,19,7,0,0,0,24,49,12,3,0,0,61,22,8,0,0,0,34,1961,749,216,6,7,2947,30,7,0,0,0,47,202,45,12,0,5,268,7657,2103,358,5,18,10149
POA3029,4594,755,165,0,3,5511,11686,2054,167,3,6,13924,4288,1114,462,0,8,5880,85,22,32,0,0,139,924,166,75,0,0,1167,32,18,7,0,0,59,91,30,9,0,5,130,55,14,7,0,0,73,5484,1358,580,3,14,7435,62,70,22,0,0,165,550,99,40,0,5,694,22369,4345,976,8,31,27726
POA3030,5895,715,52,49,3,6718,13143,1404,115,6,8,14681,5361,1740,267,5,10,7381,322,107,19,0,0,448,1015,226,19,3,4,1274,24,28,7,0,0,61,175,23,3,16,0,219,75,19,0,0,0,90,6976,2151,311,19,19,9475,128,101,14,0,0,239,611,115,20,6,5,759,26753,4492,517,79,37,31877
