POA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA3000,64,18,83,1606,555,19,2180,30026,4555,36762
POA3002,125,23,146,369,357,3,733,3367,561,4667
POA3003,14,5,13,430,147,5,582,3683,857,5121
POA3004,141,97,243,731,478,19,1227,6336,1181,8746
POA3005,0,0,0,54,14,0,66,277,137,479
POA3006,44,12,56,1228,568,10,1811,13680,2420,17902
POA3008,9,9,18,953,290,11,1256,7218,1228,9695
POA3010,0,0,0,17,65,0,79,1428,78,1582
POA3011,320,67,395,2831,714,83,3624,13362,1795,18782
POA3012,355,106,465,4277,993,187,5454,14450,1938,21843
POA3013,248,61,317,2847,573,132,3553,7759,827,12141
POA3015,281,29,316,3584,748,142,4473,8537,808,13817
POA3016,282,50,338,2767,841,122,3734,7992,892,12617
POA3018,304,66,373,2038,701,66,2806,6977,808,10589
POA3019,93,20,111,1353,334,35,1721,5125,656,7505
POA3020,780,135,935,6447,1969,143,8558,25151,3334,37050
POA3021,616,102,736,7459,2648,145,10255,30149,4301,44705
POA3022,86,34,116,433,165,10,608,1682,250,2544
POA3023,344,68,416,12528,2883,259,15666,28501,4498,48664
POA3024,89,13,103,5216,1116,180,6513,9636,1241,17388
POA3025,371,114,490,1807,562,46,2418,6531,953,9899
POA3026,0,0,0,0,5,0,7,44,17,70
POA3027,9,0,10,1692,224,39,1950,2655,291,4897
POA3028,351,40,399,4833,1440,116,6390,15918,1745,24055
POA3029,345,65,421,19898,4285,450,24640,39989,5785,70414
POA3030,684,228,932,21669,4617,531,26817,43904,5108,75828
POA3031,181,35,225,2550,679,67,3291,10803,1521,15624
POA3032,309,33,358,4484,1230,113,5833,16986,1956,24774
POA3033,292,89,387,2387,1008,42,3442,7728,843,12020
POA3034,356,39,396,1676,716,27,2417,6708,720,9847
POA3036,148,30,185,950,481,21,1452,3166,301,4923
POA3037,330,136,478,10159,2175,230,12569,24179,2540,39290
POA3038,297,30,324,3951,1772,109,5832,15788,1281,22893
POA3039,327,64,397,2267,712,61,3038,8142,801,11985
POA3040,591,86,685,4207,1412,107,5723,14442,1487,21662
POA3041,241,76,329,2112,713,61,2888,6508,736,10133
POA3042,398,63,464,2663,923,68,3653,8461,970,13083
POA3043,266,46,314,2634,1170,102,3910,9689,1176,14776
POA3044,850,111,973,4739,1131,134,5993,14457,1645,22096
POA3045,0,0,0,7,0,0,7,22,73,98
POA3046,953,141,1100,5244,1396,110,6752,18912,2358,28024
POA3047,237,34,279,2953,731,49,3736,10408,2033,16175
POA3048,123,12,134,2494,646,47,3186,9540,1224,13950
POA3049,72,18,94,1401,547,33,1982,5153,535,7677
POA3050,4,0,3,0,4,0,3,47,52,100
POA3051,75,23,106,1260,462,43,1764,9924,1682,13372
POA3052,118,203,318,439,202,9,648,3861,768,5272
POA3053,155,14,169,893,445,22,1362,14345,1733,17442
POA3054,122,19,138,994,491,27,1519,5454,529,7503
POA3055,254,34,293,1922,575,73,2571,8834,853,12250
POA3056,332,37,378,2743,976,144,3864,16433,1567,21866
POA3057,112,21,136,1316,508,50,1886,7631,786,10300
POA3058,763,73,855,5455,1461,208,7125,19210,1863,28191
POA3059,54,9,64,2596,815,61,3477,8374,555,12407
POA3060,467,54,527,2199,546,52,2793,7359,867,11018
POA3061,71,5,83,615,224,14,858,2836,337,4034
POA3062,0,0,0,0,0,0,0,0,0,0
POA3063,4,3,5,101,38,0,145,283,35,461
POA3064,285,42,337,14957,2781,382,18117,34152,3586,55861
POA3065,114,20,144,957,411,27,1392,6522,1341,9250
POA3066,40,30,68,717,283,25,1017,5473,1040,7535
POA3067,96,6,104,777,342,10,1132,5677,744,7553
POA3068,183,39,231,2552,935,123,3614,10996,1433,16035
POA3070,428,72,510,3942,1112,197,5251,13735,1569,20552
POA3071,375,54,437,2960,868,111,3939,10474,1179,15589
POA3072,506,147,666,5005,1449,174,6634,18502,2460,27596
POA3073,1409,328,1755,7549,2326,204,10078,28313,3865,42261
POA3074,338,38,381,2726,1167,50,3951,11924,1275,17149
POA3075,318,59,388,3326,1159,62,4550,12480,1416,18445
POA3076,339,49,393,6251,1483,165,7899,15605,1713,25212
POA3078,154,35,190,1794,543,96,2437,6691,701,9832
POA3079,383,60,448,2712,930,78,3720,8840,741,13306
POA3081,269,62,340,1950,539,68,2557,7252,1234,11042
POA3082,297,39,346,4536,1727,97,6357,16840,1447,24647
POA3083,463,182,652,4492,1708,99,6305,18672,1915,26892
POA3084,678,170,867,4571,1617,153,6343,13172,1198,20716
POA3085,297,123,421,2508,813,88,3411,7126,704,11243
POA3086,0,0,0,23,41,0,62,733,98,885
POA3087,170,22,195,1592,519,67,2179,4795,401,7378
POA3088,506,58,574,4885,1933,195,7009,13714,1100,21822
POA3089,84,17,101,2197,772,110,3080,5913,398,9390
POA3090,10,4,11,446,173,13,627,1168,90,1888
POA3091,18,0,16,246,123,10,377,831,116,1321
POA3093,135,16,154,595,356,32,980,2141,153,3270
POA3094,109,16,132,1650,689,61,2405,4476,342,7225
POA3095,235,76,317,5128,2073,216,7414,13868,1011,22298
POA3096,55,6,58,310,119,14,447,1086,90,1628
POA3097,9,0,10,282,118,8,411,651,97,1161
POA3099,43,3,46,835,380,58,1273,2416,231,3920
POA3101,652,100,763,3845,1385,114,5346,13796,1511,20655
POA3102,147,9,158,1295,358,33,1682,3308,310,5294
POA3103,551,57,618,2507,975,63,3541,8702,656,12898
POA3104,604,63,678,3646,1072,94,4811,10989,804,16603
POA3105,337,41,384,1630,718,33,2385,6273,574,9232
POA3106,514,56,574,2529,1167,78,3775,9544,717,14028
POA3107,442,58,507,2310,980,62,3358,7301,610,11266
POA3108,550,145,700,3078,1356,58,4496,12436,1114,18052
POA3109,693,118,829,4863,1782,113,6759,15754,1114,23637
POA3111,478,78,558,2006,846,54,2910,6745,572,10235
POA3113,62,4,66,1609,622,76,2309,4076,374,6750
POA3114,32,3,38,673,272,32,980,1969,110,3062
POA3115,21,3,24,635,289,22,950,2028,159,3131
POA3116,128,24,159,1658,747,62,2467,5213,448,8127
POA3121,290,53,349,3180,1248,105,4529,20351,2549,27437
POA3122,270,82,360,3070,1169,85,4320,14538,1595,20455
POA3123,253,35,299,2202,784,79,3061,8215,750,12030
POA3124,849,86,941,3725,1373,122,5223,12070,932,18224
POA3125,488,76,576,1959,593,64,2617,9640,818,13071
POA3126,299,24,330,1296,587,29,1916,4389,351,6654
POA3127,404,49,464,3380,1105,112,4597,9756,698,15049
POA3128,393,136,540,2940,799,86,3831,11980,1263,17070
POA3129,367,63,437,3142,920,91,4157,9396,717,14270
POA3130,1039,199,1262,5827,1829,213,7872,16954,1386,26215
POA3131,672,150,831,4064,1183,136,5386,12015,1119,18523
POA3132,248,42,299,3017,967,119,4098,8364,677,13140
POA3133,473,80,562,3950,1648,101,5705,11764,694,18158
POA3134,720,92,818,5853,2080,231,8169,17119,1364,26651
POA3135,370,59,437,3614,1329,162,5108,10203,836,16147
POA3136,905,179,1088,7633,3069,326,11031,23065,2113,36214
POA3137,382,60,446,2298,934,91,3323,7245,739,11304
POA3138,205,82,299,3876,1605,184,5670,10974,991,17633
POA3139,115,25,146,2498,967,123,3587,6610,714,10911
POA3140,303,40,348,2883,1059,108,4050,8610,803,13467
POA3141,247,45,298,1905,1054,43,3000,17810,2553,23359
POA3142,407,94,504,1477,948,29,2461,8001,1021,11480
POA3143,190,45,237,1290,533,25,1852,5320,641,7817
POA3144,320,51,378,1757,722,57,2538,5861,601,8997
POA3145,460,48,522,3815,1197,144,5156,13162,999,19311
POA3146,467,46,525,4654,1386,154,6199,13207,1080,20484
POA3147,385,70,464,2768,696,109,3572,7357,790,11719
POA3148,112,8,128,1350,382,32,1767,4992,541,7300
POA3149,892,117,1034,5636,1980,146,7768,18616,1519,27906
POA3150,1519,276,1818,9746,3884,223,13857,33977,2406,50244
POA3151,239,30,269,1552,615,32,2197,6198,418,8808
POA3152,1013,125,1147,5153,2304,149,7604,19012,1244,27857
POA3153,352,184,542,3510,1234,156,4903,10707,1309,16918
POA3154,42,64,110,809,269,58,1131,2123,287,3541
POA3155,366,61,434,3651,1438,142,5233,11981,1189,18395
POA3156,519,107,635,6498,2367,265,9131,19870,1646,30652
POA3158,38,4,45,1190,499,62,1757,3372,252,5381
POA3159,17,3,16,527,139,18,685,1265,169,2116
POA3160,55,10,67,1736,561,90,2392,4436,404,7229
POA3161,540,121,665,2239,1060,77,3379,8426,959,12760
POA3162,616,68,702,2973,1113,74,4162,9340,883,14388
POA3163,641,92,743,5245,1284,143,6666,19178,1582,27430
POA3165,724,90,823,5543,1361,133,7040,13545,1262,21853
POA3166,522,109,633,3990,1019,124,5135,13476,1226,19832
POA3167,198,26,223,1516,456,54,2024,5257,471,7745
POA3168,419,95,511,2221,551,44,2815,14109,1206,18127
POA3169,362,47,418,2855,982,53,3888,12075,1108,17075
POA3170,399,87,490,3229,1141,60,4433,10566,1033,16027
POA3171,508,73,592,3038,885,61,3983,12767,1482,18235
POA3172,317,121,441,3634,1369,112,5120,12593,1217,18929
POA3173,338,26,368,4423,1288,85,5797,13849,1032,20679
POA3174,693,69,777,5812,1637,97,7544,21820,2423,31790
POA3175,917,172,1096,7836,2084,155,10073,29279,4086,43442
POA3177,150,50,204,1529,468,36,2030,6129,960,9112
POA3178,334,37,380,6103,1881,172,8159,18124,1157,27438
POA3179,27,3,25,1047,351,34,1435,3195,249,4880
POA3180,79,10,92,1277,501,51,1829,3998,319,6148
POA3181,480,67,555,1804,717,58,2586,13974,2042,18597
POA3182,171,40,221,2028,782,61,2867,15480,3272,21621
POA3183,226,32,263,2478,825,96,3398,10761,1407,15567
POA3184,120,11,132,2246,678,103,3029,9015,1358,13399
POA3185,277,33,321,2181,650,89,2920,6877,725,10520
POA3186,808,125,953,3916,1724,137,5773,12081,1357,19221
POA3187,700,163,873,3027,942,106,4080,7921,814,12810
POA3188,344,62,412,3409,863,104,4374,9055,1035,14468
POA3189,141,30,178,1038,292,34,1368,3103,380,4848
POA3190,263,42,310,2045,519,87,2651,5193,564,8399
POA3191,504,53,558,1786,602,74,2460,5419,559,8437
POA3192,691,203,908,3933,1190,117,5243,11892,1148,18280
POA3193,578,117,706,3392,1551,128,5075,9822,991,15883
POA3194,341,96,440,2052,805,60,2920,7250,690,10861
POA3195,644,112,773,6848,2064,294,9203,17894,1672,28767
POA3196,529,213,747,4425,1411,182,6026,13011,1767,20807
POA3197,212,56,269,1878,762,69,2705,6160,749,9622
POA3198,257,87,346,2647,1019,129,3796,8594,1351,13738
POA3199,1215,238,1477,8602,3646,411,12652,28435,3840,44925
POA3200,168,30,201,759,322,37,1117,2948,633,4697
POA3201,291,135,420,3708,1104,118,4923,10189,1418,16537
POA3202,31,46,77,580,101,23,708,1347,188,2247
POA3204,636,70,717,5884,1470,179,7534,15748,1305,24589
POA3205,195,38,234,1264,499,45,1808,6795,1054,9654
POA3206,176,37,217,1841,617,71,2533,5337,689,8555
POA3207,159,40,203,2258,930,79,3265,9326,1378,13974
