POA_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
POA3000,8,7,6,4,9,19,6,56,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,3,22,21,11,9,21,44,19,151,0,0,0,3,0,0,0,5,3,3,0,0,0,3,3,11,3,3,0,3,0,0,3,19,23,24,11,7,21,46,19,162,37,22,12,11,40,46,23,200,0,0,0,0,0,4,0,3,62,51,25,24,68,92,47,369
POA3002,0,3,4,0,0,3,3,19,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,16,4,0,3,7,4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,4,0,3,7,4,36,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,12,12,5,3,3,7,5,44
POA3003,0,3,0,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,3,8,11,3,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,7,9,3,8,11,3,3,42,9,3,0,3,3,3,3,28,0,0,0,0,0,0,0,0,11,14,4,8,13,5,7,66
POA3004,3,5,3,7,3,8,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,13,4,7,14,17,12,83,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,15,18,11,10,21,18,10,90,13,8,7,3,10,10,4,47,0,0,0,0,0,0,0,0,20,19,15,11,26,23,21,136
POA3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
POA3006,9,8,6,7,10,7,5,52,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,25,15,13,17,28,31,22,146,3,4,3,0,0,3,0,10,0,3,0,0,0,4,0,8,3,5,3,0,0,3,0,20,25,23,16,17,27,36,22,163,17,16,6,6,13,15,11,85,0,0,0,0,0,0,0,0,39,42,21,24,43,49,28,251
POA3008,0,3,0,0,3,4,0,21,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,22,13,6,9,17,13,15,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,13,6,9,17,16,13,91,10,7,4,6,12,11,6,50,0,0,0,0,0,0,0,0,31,16,4,15,31,31,22,144
POA3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3011,12,28,21,10,20,15,5,110,0,0,0,0,0,0,0,8,0,0,0,0,0,3,3,9,32,70,41,32,45,32,18,281,0,3,0,3,3,3,0,16,5,3,8,3,3,0,0,23,9,9,9,3,7,3,3,38,41,73,49,41,54,35,20,316,57,46,34,11,28,24,8,209,4,0,0,0,0,0,0,6,102,119,89,55,80,59,35,536
POA3012,30,66,41,28,43,31,16,250,11,3,0,0,3,0,0,19,4,3,3,4,4,3,0,16,71,134,82,45,98,65,37,535,8,13,3,3,9,6,0,40,6,15,10,4,3,3,4,47,12,26,12,5,8,13,9,84,85,158,98,53,110,75,40,620,100,91,52,31,47,18,17,362,0,0,0,0,0,0,0,3,182,253,151,85,152,98,63,980
