POA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
POA3954,124,0,0,3,0,123,17,0,0,0,0,17,3,0,0,0,0,3,143,0,0,3,0,139
POA3956,816,0,5,3,9,831,187,0,8,0,0,196,29,0,0,0,0,34,1034,0,14,3,5,1055
POA3957,74,0,0,0,0,74,18,0,0,0,0,18,3,0,0,0,0,3,95,0,0,0,0,95
POA3958,76,0,0,0,0,76,14,0,0,0,0,14,3,0,0,0,0,3,95,0,0,0,0,95
POA3959,330,0,3,4,0,338,71,0,0,0,0,74,11,0,0,0,0,11,412,0,3,6,3,425
POA3960,717,20,19,0,3,765,184,15,16,13,0,225,26,0,0,0,0,32,933,38,40,11,5,1023
POA3962,285,7,0,8,4,303,75,4,0,9,0,85,11,0,0,0,0,18,373,11,0,19,4,411
POA3964,51,0,0,0,0,51,11,0,0,0,0,11,0,0,0,0,0,0,58,0,0,0,0,58
POA3965,53,0,0,0,0,53,27,0,0,3,0,31,3,0,0,6,0,8,89,0,0,8,0,94
POA3966,152,0,0,7,0,157,49,0,0,0,0,52,6,0,0,0,0,10,205,0,0,5,0,216
POA3967,36,0,0,0,0,36,15,0,0,0,0,15,0,0,0,0,0,0,53,0,0,0,0,53
POA3971,1139,23,6,21,5,1192,380,19,6,23,0,426,41,3,4,0,0,46,1554,45,15,46,9,1663
POA3975,3561,194,19,0,3,3782,160,28,6,0,0,199,86,0,0,0,0,92,3813,222,26,0,9,4067
POA3976,5909,326,16,15,9,6272,833,101,23,3,3,966,217,18,0,0,0,245,6963,442,44,20,15,7481
POA3977,22647,2627,250,6,23,25553,2085,633,94,0,3,2816,650,124,27,0,8,810,25383,3392,366,8,37,29185
POA3978,2860,150,7,0,3,3022,192,13,3,0,0,207,61,5,0,0,0,68,3115,167,10,0,3,3293
POA3979,77,0,0,0,3,79,21,0,0,0,0,21,0,0,0,0,0,0,100,0,0,0,3,103
POA3980,959,7,3,10,3,975,120,0,0,10,0,133,32,0,0,3,0,33,1113,3,3,20,3,1143
POA3981,1255,6,0,0,4,1267,267,21,0,0,0,293,45,3,0,0,0,49,1568,31,0,3,7,1608
POA3984,1577,12,3,29,5,1626,391,18,0,19,0,431,66,0,0,6,0,71,2035,32,8,52,5,2130
POA3987,427,0,0,0,0,431,59,0,0,0,0,55,11,0,0,0,0,11,496,0,0,0,0,505
POA3988,284,0,0,3,3,291,64,0,0,0,0,64,8,0,0,0,0,8,348,0,0,3,3,359
POA3990,35,0,0,0,0,36,10,0,0,0,0,10,0,0,0,0,0,0,42,0,0,0,0,47
POA3991,99,0,0,0,0,99,31,0,0,0,0,32,5,0,0,0,0,5,139,0,0,0,0,138
POA3992,300,0,0,3,3,308,67,0,0,0,0,71,12,0,0,0,0,12,383,0,0,3,3,391
POA3995,2853,77,15,40,12,2991,844,81,19,59,0,999,113,7,4,0,9,141,3815,164,32,101,15,4128
POA3996,1622,108,25,0,12,1766,300,57,12,0,0,368,48,3,0,0,0,45,1968,166,32,3,10,2181
