POA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA3000,2129,2004,4133,713,694,1407,323,311,633,2578,2365,4945,227,227,450,117,140,254,163,152,320,40,57,94,23,21,40,57,65,127,0,0,0,3533,3331,6867,9116,10637,19760,134,131,262,13502,14795,28295,2484,2328,4819,18115,19126,37245
POA3002,798,872,1669,79,103,183,51,59,111,672,758,1426,42,49,88,24,24,52,29,32,57,8,9,14,3,6,12,26,23,47,0,0,0,859,964,1824,246,272,515,21,18,32,1210,1346,2552,268,314,581,2279,2530,4807
POA3003,539,505,1040,92,85,175,31,49,79,681,630,1311,60,56,112,14,21,32,32,21,52,10,10,27,5,4,10,24,20,45,0,0,0,857,815,1672,763,755,1518,20,8,27,1731,1661,3392,626,271,896,2893,2435,5329
POA3004,1136,1186,2320,135,143,280,119,120,243,1243,1309,2556,121,121,240,45,39,80,55,50,107,24,16,40,8,3,12,25,24,51,0,0,0,1642,1694,3332,870,967,1837,28,19,52,2670,2826,5503,586,615,1205,4392,4633,9026
POA3005,61,53,112,7,10,24,9,3,12,43,43,89,0,8,8,3,4,9,3,5,9,0,5,5,0,0,0,0,0,0,0,0,0,57,66,126,46,57,97,3,3,4,111,134,246,86,49,132,252,241,498
POA3006,1486,1431,2914,368,329,700,278,258,538,2229,2053,4286,211,215,429,99,83,180,157,149,308,58,51,110,24,17,46,54,51,106,0,0,0,3118,2878,5989,2880,3183,6063,72,56,129,6436,6442,12877,1263,1174,2436,9186,9045,18228
POA3008,741,684,1420,232,198,430,122,102,225,1213,1116,2330,100,93,191,28,29,60,59,58,120,21,22,46,7,7,13,29,30,60,3,0,3,1578,1461,3043,1868,1805,3671,34,26,63,3719,3492,7213,650,628,1283,5117,4801,9914
POA3010,36,28,66,4,0,10,78,118,200,251,302,556,35,39,75,20,27,44,61,50,114,15,23,32,10,12,20,14,13,25,0,0,0,479,600,1072,154,196,350,3,3,5,641,798,1438,41,45,83,721,871,1593
POA3011,3732,3683,7411,476,411,884,207,207,411,2744,2547,5291,147,140,284,61,61,123,72,72,143,36,37,71,14,18,28,48,45,97,5,0,5,3334,3119,6453,1737,1527,3260,99,86,176,5642,5138,10777,1030,896,1922,10403,9718,20119
POA3012,5610,5824,11432,475,460,936,162,160,325,3181,3012,6190,139,135,278,60,69,131,70,61,126,30,27,59,19,24,37,22,20,40,0,0,0,3675,3512,7183,1416,1262,2678,100,65,159,5660,5300,10959,1014,902,1916,12284,12023,24310
