SUA_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
2000,64480,47445,20236,7557,326960
2001,1335,922,356,149,8964
2002,1116,963,590,317,6904
2003,7033,4930,2534,967,47065
2004,6823,4670,2470,1193,44195
2005,855,571,342,162,5069
2006,1472,1198,708,286,9146
2007,18775,13210,6616,2906,121799
2008,1806,1267,448,144,10340
2009,1187,741,391,196,7128
2010,275701,171287,84789,37220,2176158
2011,3164,1876,619,176,24330
2012,3357,2274,1175,485,21385
2013,1297,939,530,219,7377
2014,906,574,292,127,4750
2015,1090,717,385,181,6827
2016,3107,2056,1054,471,20696
2017,666,478,278,133,4696
2018,2883,1928,1127,438,18515
2019,1401,986,652,429,8634
2020,2665,2135,983,317,16307
2021,2498,1686,891,409,15791
