SUA_CODE_2016,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
2000,553,802,172,84,80,52,66,163,37,2018,311,575,259,68,101,74,76,108,35,1600,5036,2226,14267,752,815,883,4061,3367,502,31909,2874,376,7641,255,177,278,1078,1667,201,14557,5748,850,1605,213,252,327,913,1632,140,11690,424,2014,184,733,95,72,87,171,28,3816,839,2556,255,382,155,86,178,196,53,4695,3108,1780,554,449,811,903,521,633,139,8900,815,1404,262,1708,299,173,187,401,63,5317,259,619,316,142,84,122,79,208,25,1859,748,70,1830,227,97,236,411,677,48,4333,20,9,14,9,11,6,15,39,5,123,340,187,225,181,78,68,190,170,65,1503,1070,209,1162,194,136,248,742,931,526,5228,22159,13675,28753,5402,3176,3541,8621,10352,1870,97548,376,697,274,181,270,86,12,86,23,2008,100,135,33,40,172,47,0,45,6,579,222,226,216,105,198,131,84,243,25,1438,102,198,140,46,96,61,10,30,7,687,1002,533,449,265,500,270,58,600,49,3727
2001,14,21,6,3,5,3,0,3,0,58,21,47,17,3,13,3,4,4,3,120,145,87,502,29,33,25,151,85,23,1089,51,10,342,9,9,3,44,59,5,529,20,9,37,4,12,3,10,13,3,109,10,40,3,17,0,6,3,9,0,86,23,82,3,9,7,0,11,3,0,135,124,82,20,22,54,44,46,17,4,418,15,35,8,55,23,4,14,11,5,185,10,28,10,3,6,0,9,8,0,81,15,0,37,3,4,5,20,14,0,100,0,0,0,0,0,0,0,0,0,3,8,7,10,12,3,0,18,3,0,54,11,0,30,3,4,4,11,18,12,96,465,461,1029,176,171,113,345,244,62,3059,5,22,7,5,18,6,0,3,3,68,7,14,5,0,5,0,0,0,0,36,4,7,11,0,10,7,5,3,0,48,0,9,4,0,8,0,0,3,0,26,3,9,17,3,13,10,0,3,0,56
2002,6,10,0,0,3,0,3,0,0,26,4,9,0,4,0,3,4,3,0,26,65,47,297,8,24,24,67,79,8,617,50,8,141,3,3,13,19,39,3,287,28,11,25,9,0,13,4,11,0,100,4,58,7,23,0,0,0,0,0,96,12,41,4,7,5,4,0,3,0,79,57,49,18,6,25,19,9,14,3,202,8,31,8,33,4,4,4,3,0,99,0,6,4,3,0,3,3,5,0,27,14,0,47,3,5,13,5,12,0,105,0,0,0,0,0,0,0,0,0,0,3,9,6,3,4,5,9,7,0,33,10,3,20,0,3,15,18,19,12,94,270,285,565,117,80,114,146,202,27,1803,3,10,0,4,5,0,0,3,0,32,0,0,0,5,3,0,0,0,0,14,3,3,8,7,6,3,0,4,0,27,0,0,3,0,8,3,0,0,0,17,4,8,5,3,10,0,0,3,0,38
2003,52,169,32,20,17,12,11,23,6,332,115,313,120,28,54,32,15,46,10,730,448,402,1676,91,115,120,406,322,54,3646,313,40,1353,41,28,59,107,196,18,2146,112,72,147,19,32,26,42,61,13,511,63,685,45,178,30,17,16,26,10,1069,132,628,29,78,25,32,28,23,8,980,667,621,143,120,249,257,87,125,32,2306,99,347,51,318,76,49,44,78,20,1076,55,174,74,43,26,43,18,53,5,491,85,14,317,49,31,48,60,84,4,688,4,0,3,0,0,3,3,6,0,17,45,51,36,21,21,7,24,22,6,240,39,29,115,22,19,46,64,60,51,439,2230,3541,4139,1030,707,740,929,1109,240,14670,36,133,38,29,44,18,0,12,3,313,12,38,14,6,34,12,0,0,0,127,18,34,45,20,22,12,14,29,5,194,7,35,24,12,10,11,0,3,0,105,18,38,29,21,30,17,0,21,0,175
2004,51,113,31,14,18,12,4,20,6,270,75,237,93,23,37,19,15,40,12,551,413,452,1782,111,137,151,385,354,34,3815,318,64,1253,45,52,54,127,210,17,2142,119,81,156,15,27,23,71,107,8,614,55,633,38,174,14,17,12,20,8,970,114,539,30,72,23,29,30,22,6,873,484,525,91,76,257,194,83,133,24,1868,118,269,39,357,59,41,39,103,4,1030,25,108,44,19,13,29,21,36,4,298,56,16,293,56,34,38,58,91,4,641,0,3,3,0,0,0,3,9,0,15,26,34,36,25,7,8,24,19,6,196,52,27,99,33,17,38,56,71,46,436,1914,3097,3990,1021,700,653,926,1226,177,13715,37,109,33,26,45,13,0,7,3,274,9,35,12,8,34,12,0,7,4,115,17,43,33,14,34,9,21,38,3,214,11,34,30,7,17,16,0,0,3,106,29,43,24,18,31,18,0,30,0,176
2005,3,3,3,0,0,0,0,5,0,19,3,7,6,0,0,3,0,8,0,28,54,25,227,4,13,18,73,95,10,527,47,3,127,3,3,5,19,28,7,246,26,10,21,3,4,4,24,17,0,114,6,46,4,4,3,0,3,0,0,76,7,44,3,5,3,0,3,0,0,69,47,45,8,6,26,17,15,20,0,177,6,17,5,41,3,4,3,13,0,95,3,12,5,3,0,7,0,12,0,41,10,0,38,5,0,5,10,37,0,109,0,0,0,0,0,0,0,0,0,3,3,6,3,3,3,0,3,6,5,25,14,3,17,0,0,0,10,28,8,85,234,218,475,92,61,74,167,270,27,1608,0,3,3,3,3,4,0,0,0,18,0,0,0,0,0,0,0,0,0,6,3,3,3,0,0,10,0,14,0,29,0,0,0,0,0,3,0,0,0,6,4,7,0,4,3,3,0,7,0,29
2006,15,5,3,0,0,0,0,0,0,28,7,3,11,0,0,0,7,5,0,39,154,59,435,16,18,38,87,102,7,929,90,7,249,9,4,17,36,61,9,476,54,23,49,6,3,22,20,34,4,219,18,79,3,24,0,0,0,3,0,132,20,95,7,14,0,3,5,5,0,148,112,77,15,13,21,41,13,14,0,319,22,33,5,55,9,5,3,15,0,141,3,12,4,6,0,8,0,4,0,29,22,4,80,15,3,10,16,28,3,187,0,0,0,0,0,0,0,0,0,0,3,3,7,4,3,0,7,0,0,28,15,7,17,0,4,14,9,34,9,107,535,417,877,166,71,164,207,309,39,2785,8,21,4,0,3,0,0,0,0,45,0,0,0,3,3,0,0,0,0,12,0,3,11,3,5,3,3,7,0,34,0,9,4,0,5,0,0,0,0,21,4,10,5,3,3,3,0,7,0,46
2007,196,522,118,61,64,57,33,86,14,1158,270,647,222,41,74,68,66,70,24,1486,1290,1512,4429,365,312,359,969,995,148,10386,845,306,3676,158,140,151,305,666,85,6325,220,166,423,42,49,61,105,152,20,1249,171,1494,106,389,70,60,55,87,31,2455,254,1328,92,171,60,49,62,53,16,2080,1730,1541,331,302,675,574,330,301,72,5855,327,784,183,875,204,133,117,193,38,2841,120,522,143,87,70,107,52,99,11,1210,181,48,774,136,61,97,155,199,10,1670,7,8,4,4,3,4,8,11,0,46,85,122,99,86,41,39,76,53,23,617,115,85,283,75,42,68,174,201,169,1214,5797,9087,10886,2782,1876,1826,2510,3157,657,38580,109,476,158,128,135,84,0,40,14,1134,29,112,28,27,77,19,8,11,3,308,64,163,71,46,101,53,26,101,3,632,52,177,96,40,71,70,5,20,0,528,47,82,80,46,70,58,13,43,9,439
2008,35,53,6,7,8,3,4,3,0,120,21,57,9,3,3,0,0,3,3,101,195,231,518,34,60,36,91,79,9,1259,92,35,380,9,11,7,21,35,3,587,26,9,44,4,5,4,13,12,3,122,13,81,3,28,3,4,4,5,0,139,36,117,7,13,7,0,3,5,3,199,213,159,23,27,75,56,26,16,9,598,43,81,11,66,17,6,8,6,3,237,15,41,14,5,3,6,5,8,0,96,24,4,46,3,5,8,7,9,0,108,0,0,0,0,0,0,0,0,0,0,16,16,5,12,3,3,7,3,0,75,18,13,29,3,4,8,8,12,7,101,757,894,1090,213,206,143,193,194,45,3731,15,57,13,11,18,4,0,4,4,133,7,13,3,4,13,0,0,0,0,37,11,20,11,3,9,5,0,3,3,67,3,10,10,9,6,5,0,0,0,42,3,10,10,6,21,9,0,8,0,69
2009,4,20,4,0,3,0,3,0,0,37,10,16,10,0,0,3,3,3,5,48,83,47,314,11,22,28,80,48,3,635,81,3,195,3,4,8,27,33,4,360,63,49,37,4,10,17,17,24,6,224,12,83,0,40,0,0,0,0,0,135,12,87,13,6,0,3,7,0,0,132,102,65,9,13,28,39,16,10,3,289,14,42,3,51,6,4,7,14,3,142,4,7,10,0,0,3,0,3,0,26,16,3,73,14,5,5,10,14,0,143,0,0,0,0,0,0,0,0,0,7,4,7,3,5,0,3,3,3,3,26,10,3,25,7,3,11,9,14,15,82,407,430,688,154,91,131,173,164,42,2281,3,22,7,4,6,3,0,0,0,53,0,0,0,0,0,0,0,0,0,9,0,4,6,0,0,0,0,0,0,22,0,4,0,3,0,3,0,0,0,12,8,9,3,5,8,5,0,5,0,44
