SUA_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
2000,907,10,6,12,923,113,0,1040,19551,2402,332,156,22438,240,95,339,22774,1260,45,24076,38787,4954,828,446,45011,428,90,512,45527,1603,80,47208,2897,373,571,60,3900,42,7,50,3949,132,5,4089,581,76,8,575,1238,8,0,8,1247,69,18,1332,61809,7805,1744,1232,72590,710,192,907,73496,3064,145,76705,404,83,16,20,517,139,5,147,663,105,0,771,1037,155,24,14,1236,100,46,143,1374,89,3,1466,1440,238,43,36,1751,241,50,290,2041,192,3,2236,63245,8042,1781,1267,74340,955,241,1199,75538,3260,151,78943,17810,2754,612,738,21912,675,135,815,22728,3301,72,26100,209,32,16,46,314,8,0,8,315,17,228,559,81266,10831,2416,2056,96566,1637,382,2013,98584,6576,448,105604
2001,68,0,0,0,70,11,0,78,808,87,9,11,916,9,0,9,931,28,0,960,1364,130,4,9,1510,25,0,25,1534,40,0,1572,98,6,22,0,132,3,0,3,131,10,0,139,13,3,0,19,38,0,0,0,38,0,0,38,2289,226,39,40,2591,36,0,41,2634,73,0,2712,25,7,0,0,33,0,0,0,33,0,0,34,62,0,0,0,62,3,0,3,69,4,0,73,86,7,3,0,95,3,0,3,95,10,0,109,2380,228,45,40,2691,42,0,39,2733,83,0,2820,846,89,34,24,987,32,3,33,1029,84,3,1109,4,0,0,0,8,0,0,0,8,0,3,8,3226,325,75,59,3685,74,8,76,3762,169,11,3936
2002,8,0,0,0,8,0,0,8,272,46,10,3,338,10,0,7,341,38,0,384,742,80,18,3,838,10,0,10,850,45,0,899,70,9,8,3,91,0,0,0,91,3,0,91,11,0,0,4,11,0,0,0,11,0,0,11,1095,137,36,13,1277,20,0,17,1297,85,0,1385,9,7,0,0,14,0,0,0,14,0,0,14,15,3,0,0,20,0,0,0,16,0,0,16,22,10,0,0,28,0,0,0,35,0,0,35,1119,144,36,13,1308,16,0,23,1333,85,0,1417,373,53,12,4,433,10,6,17,447,75,0,524,0,0,0,4,4,0,0,0,4,0,8,14,1488,197,46,19,1747,28,8,36,1784,163,8,1958
2003,223,0,3,3,229,29,3,265,2778,385,20,21,3204,54,30,81,3282,190,9,3484,6257,679,80,39,7052,70,24,97,7150,222,3,7374,502,68,63,7,641,10,0,10,651,14,0,669,49,6,0,69,126,3,0,3,125,8,3,137,9585,1140,161,134,11019,135,52,189,11215,441,14,11668,85,8,0,3,103,26,3,24,130,17,0,143,197,27,0,4,231,3,10,7,242,32,0,270,280,41,0,10,335,24,11,33,371,48,0,413,9866,1180,161,144,11352,165,65,226,11583,491,14,12079,2619,352,76,53,3103,160,16,177,3278,536,11,3828,6,3,0,5,11,0,3,3,10,0,25,35,12484,1532,240,205,14467,323,83,408,14874,1022,47,15944
2004,173,6,3,9,180,16,0,193,2544,363,42,16,2964,48,17,65,3030,149,3,3187,5526,683,111,64,6377,69,10,83,6462,187,5,6654,489,82,76,9,659,9,0,8,668,13,0,681,55,9,0,30,93,3,0,3,98,10,3,103,8618,1138,221,113,10093,128,32,159,10252,356,14,10621,84,14,0,5,98,17,0,17,116,7,0,122,205,20,3,7,228,12,17,27,253,29,0,280,280,33,3,8,330,26,17,40,369,39,0,406,8897,1175,224,122,10418,153,46,200,10619,388,14,11025,2620,450,51,46,3166,131,48,183,3343,543,9,3897,24,0,0,0,20,0,0,0,20,3,15,43,11543,1620,276,169,13609,290,97,379,13990,933,39,14966
2005,12,0,0,0,12,0,0,12,308,53,4,4,368,9,3,8,379,14,0,394,851,51,13,5,918,7,4,12,929,20,0,947,38,5,5,3,53,0,3,3,51,5,0,56,7,0,0,11,21,0,0,0,21,0,0,21,1206,105,20,26,1356,12,12,23,1383,41,0,1423,0,3,0,0,3,0,0,0,3,0,0,3,7,3,0,0,16,4,0,4,20,0,0,20,7,3,0,0,15,3,0,3,23,0,0,23,1212,113,20,26,1373,21,12,25,1403,41,0,1443,272,52,12,15,351,18,0,20,376,37,0,410,0,0,0,0,0,0,0,0,0,0,11,12,1482,165,30,46,1726,41,12,50,1779,73,18,1866
2006,18,0,0,0,18,0,0,23,753,69,7,3,834,3,4,11,840,27,5,872,1284,128,22,17,1449,18,5,26,1473,36,0,1503,69,12,37,3,116,0,3,3,113,3,0,121,7,0,0,13,15,0,0,0,15,3,5,26,2108,204,64,33,2412,18,15,30,2447,69,13,2524,21,0,0,0,21,0,0,0,21,3,0,23,44,6,0,0,49,0,0,0,49,0,0,51,63,6,0,0,70,0,0,0,67,5,0,73,2170,211,64,33,2482,24,15,38,2515,68,13,2596,367,48,6,7,434,9,0,9,444,64,0,506,12,0,0,3,10,0,0,0,10,4,21,36,2549,261,74,42,2926,32,15,45,2969,141,33,3139
2007,829,13,8,17,847,107,3,954,6956,963,128,46,8092,166,42,212,8308,501,20,8828,16295,1720,203,133,18342,206,36,235,18584,486,12,19080,1387,126,210,20,1746,18,0,18,1763,50,0,1810,152,25,5,141,323,0,3,4,330,11,3,344,24783,2835,534,341,28506,394,82,468,28975,1050,37,30057,232,45,3,5,290,41,0,41,330,19,0,352,616,56,8,4,692,52,13,65,753,25,8,784,853,105,15,14,981,95,13,104,1082,43,8,1133,25635,2936,549,357,29486,481,92,573,30061,1090,45,31196,7237,1009,198,183,8623,273,76,348,8972,1213,20,10212,61,7,3,22,93,0,0,0,93,7,66,162,32935,3955,752,558,38195,761,167,929,39126,2308,132,41563
2008,106,3,0,5,109,3,0,114,948,77,18,4,1045,23,3,28,1072,34,3,1104,1924,185,13,27,2150,15,3,24,2169,58,0,2231,161,16,18,0,193,0,0,0,194,0,0,201,11,0,0,15,29,3,0,3,33,3,0,35,3045,279,46,48,3415,39,8,50,3468,98,5,3572,19,0,0,0,21,0,0,0,21,0,0,26,72,4,0,0,75,0,0,0,75,4,0,79,92,4,0,0,95,0,0,0,95,3,0,99,3142,279,46,45,3517,39,8,50,3565,101,5,3674,786,62,20,16,882,6,0,7,890,39,0,934,9,0,0,0,9,0,0,0,9,0,14,23,3935,343,73,60,4407,53,8,63,4466,144,16,4625
2009,12,0,0,0,12,0,0,12,391,42,5,3,444,6,0,6,448,15,0,468,1055,115,13,18,1201,13,0,13,1215,14,0,1227,79,5,3,0,88,0,0,0,93,6,0,94,7,0,0,7,17,3,0,4,17,0,5,20,1529,163,27,25,1750,25,0,23,1771,38,5,1815,10,0,6,0,17,0,0,0,17,0,0,17,16,0,0,0,16,5,3,4,22,8,0,27,25,0,6,0,32,5,3,4,38,8,0,44,1554,160,30,25,1780,25,3,33,1810,42,5,1854,420,74,13,10,515,17,4,21,536,62,0,598,3,0,0,0,5,0,0,0,5,0,8,6,1982,235,41,36,2301,47,3,50,2351,102,13,2462
