SUA_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
2010,23,54,360,967,3354,3645,6766,4412,679,684,568,641,687,428,415,23690,17,182,833,3531,2744,9851,9763,12487,1889,3177,2313,1978,2203,1536,1145,53648,0,4,17,131,833,1521,2503,3220,560,657,757,897,1146,725,721,13697,15,221,996,7362,1938,2633,1531,609,112,97,149,114,121,42,559,16501,3,42,111,4423,2404,3097,2131,976,224,161,205,155,192,133,504,14763,801,10088,23503,34072,17147,13967,17539,15632,3788,3687,3210,3007,3098,1712,4555,155803,19,124,314,1261,1298,1875,3312,2643,768,778,800,959,1064,636,572,16420,4,16,45,384,21398,23255,9663,8752,1604,1944,2493,2425,2425,1491,2829,78740,0,7,47,70,323,250,979,1284,143,160,124,161,181,117,58,3912,389,6264,9623,24504,25140,41808,48303,40005,8110,9935,11548,11733,12684,8308,8411,266755,2633,50693,104409,140210,124035,190265,233006,245854,48235,57447,63862,66839,71482,45667,49269,1493895
2011,0,0,3,6,12,19,34,48,3,3,4,7,0,0,3,151,0,0,9,11,11,31,43,113,20,11,3,12,7,4,0,285,0,0,0,4,7,12,28,40,9,5,7,5,4,5,9,127,0,0,3,62,9,35,22,20,0,0,4,0,0,0,4,160,0,0,0,34,14,14,9,3,0,0,0,0,0,0,0,77,3,153,445,737,258,174,102,151,13,14,15,18,5,8,69,2167,0,0,3,9,3,3,16,23,7,3,4,8,3,3,0,94,0,0,0,3,38,56,40,56,11,7,14,7,4,5,16,260,0,0,0,0,3,0,20,37,0,0,3,0,5,0,0,67,0,60,92,347,223,440,927,694,111,90,133,118,125,45,93,3503,7,609,1154,1802,1042,1414,2371,2829,417,421,443,454,388,201,469,14009
2012,0,0,0,0,6,5,10,17,3,3,3,0,8,0,0,64,0,0,3,0,3,4,12,12,3,12,9,3,3,0,0,74,0,0,0,0,0,6,3,17,10,8,4,0,0,9,5,62,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,88,39,52,52,10,10,0,0,0,4,0,4,264,18,94,152,245,72,62,64,56,11,8,10,10,27,14,41,877,0,0,0,5,3,3,7,10,9,0,0,3,4,0,0,53,0,0,0,0,28,31,26,28,0,3,4,4,11,3,3,133,0,0,0,0,3,4,6,0,0,0,0,3,0,0,0,17,4,31,68,57,73,93,202,212,54,57,65,61,64,24,85,1159,44,449,629,615,363,430,666,721,177,195,220,180,253,198,333,5467
2013,0,0,0,0,4,0,7,4,0,0,0,0,0,0,0,24,0,0,3,0,0,0,0,4,0,0,0,3,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,168,226,149,83,44,4,13,3,0,0,0,0,0,23,725,0,0,0,9,3,4,10,0,0,0,0,0,3,0,0,22,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,18,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,5,3,52,29,74,46,26,41,34,3,7,8,7,0,0,7,322,11,512,471,330,257,157,139,136,15,21,18,21,19,3,83,2188
2014,0,0,0,0,0,0,11,14,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,19,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,85,80,29,13,12,16,0,0,3,0,0,0,15,284,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,11,14,18,11,9,7,15,5,9,0,0,0,0,3,92,0,106,129,127,82,81,95,97,14,29,12,11,14,10,32,846
2015,0,0,0,3,3,3,0,33,3,0,0,0,0,3,0,54,0,0,0,0,0,0,5,14,0,8,0,0,0,0,0,38,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,60,108,130,48,27,34,46,4,8,12,5,5,3,23,528,0,0,0,10,10,0,7,10,0,0,5,6,11,0,0,61,0,0,0,0,3,10,9,7,0,4,0,3,0,0,0,38,0,0,0,0,0,3,5,0,4,0,0,3,0,0,0,14,0,20,20,20,13,15,16,18,3,3,8,19,9,3,10,182,11,185,207,240,151,134,161,305,51,51,61,62,77,26,82,1792
2016,0,0,0,0,3,3,30,34,5,5,0,18,8,7,3,111,0,0,0,0,4,12,24,40,4,15,4,12,17,5,3,135,0,0,0,0,0,13,25,13,0,0,4,0,0,0,3,55,0,6,26,18,3,6,3,0,0,0,0,0,0,0,0,63,0,0,0,43,32,46,49,12,0,0,0,5,0,6,10,209,8,98,212,211,55,35,58,41,27,17,14,10,4,0,31,811,0,3,0,4,3,3,14,10,0,3,3,3,5,7,0,62,0,0,0,0,5,5,3,4,0,0,0,4,0,0,0,23,0,0,0,0,0,0,3,19,0,0,3,3,7,0,0,33,3,37,45,44,25,87,494,586,95,111,226,140,162,84,86,2209,26,469,700,544,293,456,1359,1774,313,341,526,446,403,230,329,8211
2017,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,7,0,0,6,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,28,10,4,3,10,0,0,0,4,0,0,10,109,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,14,0,0,0,0,0,0,4,8,3,4,0,0,0,0,0,18,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,19,0,0,0,8,8,0,49,60,37,34,8,9,19,3,13,239,0,71,85,63,41,36,142,266,66,87,75,65,50,28,47,1116
2018,0,3,0,0,14,3,22,38,4,9,4,3,0,3,3,112,0,4,4,0,0,5,12,24,7,7,10,0,6,0,0,79,0,0,0,0,3,3,10,16,0,3,6,3,8,3,7,58,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,309,356,296,127,57,45,35,11,5,4,12,11,8,53,1330,0,0,0,7,3,3,3,16,0,3,0,3,4,0,0,43,0,0,0,3,10,9,3,7,0,3,0,0,0,3,0,44,0,0,0,0,0,0,3,12,0,3,0,4,0,0,0,24,0,41,65,104,52,40,131,200,17,15,16,16,14,18,30,766,21,809,989,704,447,326,494,671,90,108,105,123,100,72,203,5260
2019,0,0,0,3,9,0,8,16,0,3,0,0,0,0,5,48,0,0,0,3,0,0,4,18,8,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,71,90,92,39,27,28,15,3,0,0,4,5,0,11,383,0,0,0,3,3,3,10,6,4,0,0,0,3,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,3,31,31,30,11,17,25,26,11,3,3,6,6,3,9,213,19,276,299,231,105,98,162,197,34,25,21,24,33,13,61,1599
2020,0,0,4,4,22,14,17,33,4,6,6,0,0,0,3,109,0,0,3,10,9,6,10,16,0,0,0,3,0,0,0,64,0,0,0,0,0,3,4,3,0,3,0,0,3,0,3,25,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,11,184,334,427,159,65,113,96,12,32,21,18,0,3,37,1510,0,6,0,13,11,9,21,8,0,5,0,5,0,0,0,71,0,0,0,0,0,4,0,7,0,0,0,0,3,0,9,19,0,0,0,0,3,0,6,3,3,4,0,0,0,0,0,21,4,22,50,107,55,52,61,54,16,15,7,10,22,8,29,506,14,462,620,743,434,304,428,398,72,91,59,69,65,24,150,3937
2021,0,0,0,0,5,6,12,21,3,5,0,4,0,0,3,64,0,0,0,0,0,10,12,28,3,9,3,7,3,3,0,84,0,0,0,0,0,0,10,11,0,7,0,8,9,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,71,180,151,66,50,70,54,27,17,6,4,12,0,29,750,0,0,0,10,7,8,15,8,5,3,0,0,3,0,3,58,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,5,0,4,0,0,0,5,0,14,0,8,5,21,20,33,63,47,12,8,8,34,56,55,43,415,7,168,267,261,185,226,422,401,94,87,56,111,163,146,147,2750
