SUA_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
2000,34,4,15,9,20850,20912,408,32,7,6,15798,16255,10131,613,428,29,19568,30767,20968,1645,2060,109,12548,37337,28439,2712,5891,401,11129,48576,34626,2770,8719,1169,7326,54607,32293,2047,6794,2257,3341,46732,15178,607,2010,2864,1234,21903,3738,109,302,2485,392,7026,145828,10540,26217,9327,92188,284107,31,5,3,9,18978,19036,761,78,25,25,13361,14256,13164,915,610,65,16570,31319,23183,2028,2980,284,10525,38999,30788,2774,7279,1017,8041,49901,35304,2302,9211,2913,4580,54307,28879,1314,6139,6188,1755,44278,10623,289,1745,9251,689,22601,1929,54,386,8131,375,10880,144664,9767,28382,27868,74886,285568,67,15,18,10,39829,39948,1177,110,37,27,29160,30512,23302,1529,1037,87,36137,62085,44148,3674,5044,393,23072,76335,59228,5483,13169,1418,19166,98475,69934,5072,17931,4075,11906,108918,61166,3365,12938,8443,5096,91011,25802,898,3756,12113,1927,44497,5664,164,683,10613,767,17903,290491,20308,54608,37192,167074,569670
2001,0,0,0,0,691,692,13,0,0,0,609,625,446,22,14,0,752,1233,814,50,91,6,369,1332,866,81,161,9,258,1373,799,66,173,14,92,1139,675,37,111,36,55,914,252,4,29,46,13,348,67,3,4,38,7,116,3927,258,592,147,2839,7773,0,0,0,0,647,651,30,0,0,0,554,582,567,45,22,0,656,1293,881,87,121,10,356,1454,855,92,242,32,197,1423,800,71,190,78,94,1235,599,33,166,168,18,990,183,9,55,196,12,451,31,0,11,166,8,216,3955,340,811,660,2555,8307,3,0,0,0,1338,1342,40,0,0,0,1163,1208,1010,67,42,0,1414,2530,1699,137,214,15,730,2787,1718,172,411,41,454,2802,1596,137,359,93,192,2377,1273,72,281,207,71,1903,436,10,87,242,24,795,99,3,16,206,10,333,7877,600,1406,807,5393,16082
2002,0,0,0,0,421,428,16,3,0,0,374,390,304,10,11,0,489,809,367,37,46,3,284,732,446,38,104,7,178,773,548,49,145,16,111,877,641,26,101,41,67,878,400,9,29,60,34,532,113,3,4,60,4,183,2832,178,437,192,1964,5605,0,0,0,0,409,409,30,9,0,0,392,425,337,29,16,5,432,821,377,61,70,8,265,788,524,76,193,23,167,987,592,57,228,70,89,1036,602,18,160,168,28,971,298,11,53,291,22,683,65,0,8,304,8,383,2833,257,725,874,1815,6498,0,0,0,0,830,838,48,8,0,0,760,822,640,38,23,5,923,1628,742,96,113,9,548,1518,977,119,297,37,344,1767,1138,109,374,88,204,1908,1240,47,255,209,98,1851,699,25,77,357,55,1212,174,3,12,359,11,563,5663,439,1162,1062,3776,12101
2003,8,5,0,3,3300,3311,74,8,3,3,3621,3709,2017,124,78,11,4132,6368,3366,248,345,19,1813,5789,3498,354,798,47,1255,5950,3577,262,837,115,723,5514,3091,181,578,238,321,4406,1619,51,197,314,130,2315,434,15,36,278,34,786,17680,1249,2868,1024,15325,38144,3,0,0,3,3184,3191,131,19,4,3,3625,3783,2533,195,134,16,3748,6622,3573,382,574,40,1805,6369,3595,490,1268,139,1183,6676,3567,383,1342,369,622,6281,2876,176,936,847,248,5080,1253,41,274,1350,140,3059,246,12,74,1184,72,1589,17773,1699,4596,3958,14627,42647,12,7,0,7,6481,6504,201,34,6,6,7249,7489,4554,320,209,27,7880,12991,6939,630,913,61,3613,12161,7097,847,2058,190,2439,12626,7139,643,2175,482,1351,11787,5966,356,1512,1081,566,9477,2868,94,471,1668,271,5375,673,27,111,1461,100,2375,35447,2945,7458,4979,29958,80792
2004,8,3,3,0,3012,3016,104,4,4,5,3282,3395,2047,114,79,3,3756,6001,3051,243,307,13,1744,5358,3206,354,754,54,1152,5513,3485,294,845,91,670,5384,2974,165,560,214,280,4192,1675,49,205,310,112,2352,468,17,31,325,47,886,17017,1232,2784,1012,14043,36093,11,0,3,6,2980,3002,164,11,3,4,3390,3572,2550,202,145,13,3510,6419,3249,363,551,38,1689,5884,3314,421,1178,102,1017,6039,3501,334,1292,365,526,6022,2727,161,817,770,213,4688,1303,41,275,1161,108,2891,274,16,78,1194,64,1632,17106,1559,4335,3651,13499,40147,17,3,4,6,5988,6023,272,15,6,8,6672,6970,4596,319,222,12,7274,12416,6301,608,855,49,3432,11241,6518,777,1929,154,2169,11552,6983,634,2137,457,1194,11405,5705,319,1376,980,498,8880,2986,92,483,1471,215,5240,738,26,111,1524,111,2515,34121,2792,7119,4664,27546,76243
2005,0,0,0,0,372,374,18,0,0,0,370,391,228,14,9,3,500,753,362,35,32,3,253,687,398,42,84,9,187,724,477,26,103,14,127,747,426,12,74,41,55,612,274,12,18,50,27,380,79,0,3,59,14,154,2266,146,334,178,1902,4817,0,3,0,0,338,345,21,0,3,0,335,363,289,26,8,0,358,678,347,44,65,3,174,628,423,55,145,28,141,794,504,46,166,45,101,860,411,28,92,120,59,706,211,6,35,261,23,540,40,0,9,236,12,303,2243,209,517,710,1543,5219,0,3,0,0,711,713,35,3,3,0,707,745,515,39,20,0,854,1432,706,77,94,10,425,1315,827,95,231,34,328,1515,973,73,270,60,226,1606,838,37,169,162,111,1318,485,22,56,315,46,914,122,3,8,293,26,460,4503,347,855,880,3442,10034
2006,3,0,0,0,622,624,10,0,0,0,451,460,378,12,14,0,598,1009,612,51,68,0,334,1064,738,70,175,3,239,1217,837,63,221,35,140,1295,960,41,181,80,62,1332,547,17,54,93,29,741,130,0,13,81,9,226,4213,251,730,296,2487,7977,0,0,0,0,601,601,25,3,0,0,449,474,465,37,14,0,644,1166,665,80,95,9,304,1153,786,95,238,34,204,1350,916,71,262,84,92,1428,899,35,181,222,43,1382,406,15,64,343,32,858,70,4,14,306,10,393,4225,342,861,996,2377,8794,3,0,0,0,1222,1223,32,4,0,0,896,937,841,56,25,5,1245,2176,1272,124,169,10,639,2219,1515,159,412,31,439,2565,1751,132,480,116,234,2726,1862,77,363,303,111,2713,952,30,118,435,62,1601,195,3,23,384,16,622,8432,591,1591,1293,4864,16773
2007,16,0,4,0,7764,7795,193,13,3,4,8062,8284,5346,216,172,14,9611,15369,9443,659,854,32,4470,15448,9480,813,1863,91,3050,15298,9694,654,2203,255,1578,14383,8471,385,1412,580,634,11474,4468,120,420,851,205,6063,1343,30,80,830,76,2361,48454,2892,7024,2658,35450,96484,22,0,0,7,7524,7552,342,25,8,5,7525,7907,6617,383,305,42,8685,16036,9788,873,1247,118,4243,16268,9756,1103,2883,335,2652,16730,9677,827,3106,896,1349,15858,7845,394,2132,1968,526,12862,3483,110,643,3205,210,7644,732,18,169,3137,139,4203,48256,3732,10510,9720,32853,105074,40,0,7,9,15291,15347,534,34,19,9,15591,16188,11960,602,480,61,18302,31402,19228,1524,2108,148,8709,31719,19235,1916,4749,429,5702,32028,19365,1485,5311,1153,2927,30243,16317,778,3547,2550,1158,24339,7950,228,1065,4052,420,13708,2080,55,256,3967,212,6564,96716,6620,17538,12376,68303,201556
2008,0,0,0,0,687,688,6,0,3,0,486,490,357,7,7,0,452,828,1004,46,47,3,243,1335,1089,50,160,9,198,1506,965,48,159,15,103,1288,820,37,93,39,41,1026,292,4,26,52,11,393,61,0,5,42,3,112,4590,200,506,163,2220,7677,3,0,0,0,642,642,13,0,0,0,457,467,481,17,15,0,440,953,1080,59,100,3,249,1488,1140,79,229,29,155,1632,946,44,190,59,75,1327,716,33,132,126,29,1034,202,0,29,125,10,372,28,0,4,155,0,193,4608,237,696,497,2059,8100,3,0,0,0,1328,1334,21,0,3,0,939,961,836,27,24,0,896,1783,2084,101,140,9,489,2826,2229,126,391,34,356,3138,1909,96,355,71,180,2608,1537,69,222,163,73,2060,494,7,60,183,18,762,86,0,9,201,3,305,9197,436,1202,659,4277,15775
2009,0,0,0,0,492,495,13,0,0,0,453,467,327,18,18,0,619,981,523,44,52,0,216,836,627,45,122,8,170,964,662,54,143,15,123,989,589,20,77,40,46,773,359,3,37,68,24,500,110,3,13,55,5,183,3208,185,462,189,2153,6190,0,0,0,0,471,472,26,6,0,0,483,510,414,30,21,0,566,1028,555,56,98,4,240,954,640,71,171,14,135,1025,694,57,225,77,70,1120,566,21,116,163,26,896,270,5,48,307,18,647,57,0,6,274,16,356,3219,247,679,832,2022,7000,0,0,0,0,962,961,33,6,0,0,937,980,741,50,33,0,1181,2010,1078,97,146,10,454,1788,1263,113,288,13,306,1983,1348,112,371,83,193,2110,1159,40,190,204,68,1665,634,9,84,378,44,1144,161,3,16,330,25,543,6423,430,1138,1020,4169,13188
