SUA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
2000,284107,285568,569670,113188,54222,167406,33252,73408,106666,10170,10553,20719,8972,7212,16181,165583,145396,310977,95246,117240,212483,5.4,5,5.2,58.3,50.9,54.6,55.1,48.4,51.7,4704,6098,10794,3459,7734,11194,18842,33178,52016,18347,29597,47947,77919,32684,110603,2301,4759,7055,4202,6388,10586,84419,43826,128245,269945,269698,539642,38042,39957,78000,196636,193289,389924,97815,103912,201732
2001,7773,8307,16082,3863,1974,5846,810,2144,2954,239,273,514,300,295,597,5219,4683,9900,2116,3165,5287,5.7,6.3,6,67.1,56.4,61.6,63.2,52.9,57.9,160,196,356,89,223,311,553,953,1507,554,917,1471,2282,1035,3317,56,121,183,112,207,322,2459,1369,3821,8002,8285,16285,1111,1247,2358,5223,5316,10547,3398,3837,7237
2002,5605,6498,12101,2035,1080,3114,677,1526,2200,170,238,412,205,165,368,3086,3002,6092,1962,2805,4764,6.6,5.5,6,55.1,46.2,50.3,51.4,43.8,47.3,74,77,154,55,122,179,324,626,955,330,661,993,1537,771,2311,43,109,154,94,148,243,1679,1027,2707,5102,5716,10818,956,1105,2060,3340,3686,7027,2391,2791,5178
2003,38144,42647,80792,16260,8711,24971,4932,11426,16358,1037,1474,2513,1815,1549,3371,24057,23161,47216,11695,16846,28545,7.5,6.7,7.1,63.1,54.3,58.4,58.3,50.7,54.3,1319,1395,2708,764,1468,2236,4206,6229,10432,2820,4049,6871,9256,5093,14344,324,709,1035,496,740,1238,10084,6541,16623,35998,38917,74912,7403,8212,15622,22740,24633,47370,18663,20634,39294
2004,36093,40147,76243,15313,8301,23611,4700,10762,15457,1081,1443,2523,1593,1352,2947,22684,21850,44535,10890,15551,26442,7,6.2,6.6,62.8,54.4,58.4,58.4,51.1,54.6,885,1033,1915,640,1286,1928,3427,5472,8895,2523,3660,6189,9442,5020,14469,359,635,987,490,872,1362,10287,6525,16821,34491,36727,71217,6512,7411,13926,22158,23430,45588,16752,18829,35587
2005,4817,5219,10034,2017,962,2974,623,1378,2005,159,170,334,141,102,243,2944,2612,5554,1533,2253,3782,4.8,3.9,4.4,61.1,50,55.4,58.1,48.1,52.9,47,63,113,44,72,121,239,445,685,260,474,737,1265,682,1953,46,75,118,77,114,186,1385,872,2257,4669,4879,9549,758,819,1576,3293,3480,6776,1850,1930,3776
2006,7977,8794,16773,3322,1884,5199,880,2208,3090,266,309,581,240,188,430,4706,4590,9299,2685,3531,6214,5.1,4.1,4.6,59,52.2,55.4,56,50,52.9,79,120,198,78,199,282,545,932,1476,451,809,1262,2320,1049,3370,54,111,165,107,174,285,2481,1338,3819,7532,8091,15626,1335,1516,2854,5067,5363,10430,3421,3822,7241
2007,96484,105074,201556,41614,21764,63374,12531,28972,41503,2824,3535,6359,3911,3348,7256,60883,57610,118495,29897,41298,71200,6.4,5.8,6.1,63.1,54.8,58.8,59,51.7,55.2,3429,3435,6870,1621,3353,4978,11632,16445,28074,8163,11531,19694,23862,12264,36127,735,1344,2080,1351,2102,3450,25950,15706,41657,90919,97032,187954,17447,18973,36423,59690,63834,123522,43987,48078,92063
2008,7677,8100,15775,3964,1908,5874,944,2513,3458,236,305,538,226,226,448,5365,4946,10316,1897,2721,4624,4.2,4.6,4.3,69.9,61.1,65.4,67,58.3,62.6,339,320,652,183,376,563,1023,1523,2549,780,992,1772,2152,794,2948,37,106,144,118,231,346,2315,1128,3443,8167,8305,16466,1060,1095,2153,5764,5813,11579,3029,3208,6244
2009,6190,7000,13188,2807,1447,4257,745,1904,2654,205,249,458,238,174,411,3997,3780,7779,1820,2811,4629,6,4.6,5.3,64.6,54,59,60.7,51.4,55.9,107,132,241,68,169,241,401,832,1235,402,710,1105,1674,876,2550,67,123,193,76,145,214,1817,1142,2955,6090,6496,12581,1041,1275,2316,4154,4439,8594,2610,3019,5632
