SUA_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
2000,225,133,1666,2326,8675,1166,14188,24,14,143,112,1064,61,1414,192,107,997,1106,7563,586,10547,75,39,311,335,1725,104,2583,60,48,541,840,14635,743,16870,49,31,267,340,1671,161,2515,83,58,583,595,3245,334,4905,75,56,448,557,2041,252,3423,49,57,309,560,3364,434,4777,44,18,202,152,399,42,854,87,46,324,285,192,34,965,15,18,133,176,533,53,920,440,188,1924,759,895,149,4347,38,38,248,315,1282,159,2087,336,276,1043,1682,2751,258,6346,715,891,2070,559,825,108,5168,486,323,1532,876,1401,148,4763,66,45,332,286,699,80,1508,75,45,250,249,3877,165,4657,111,44,428,444,2806,874,4703,3245,2465,13743,12561,59636,5900,97548,178,252,1505,1605,1908,602,6050,8,5,42,34,59,6,164,86,74,640,659,1348,251,3051,38,29,156,113,141,21,493,18,38,298,402,717,107,1583,27,26,190,213,412,62,928,64,116,960,1231,3090,576,6041,103,93,766,1062
2001,0,0,13,18,33,0,59,0,0,3,7,26,4,42,12,8,40,33,225,8,324,0,0,9,5,56,3,71,3,4,24,33,604,27,695,8,3,16,16,68,6,114,5,0,22,24,80,10,137,4,0,7,10,44,3,76,3,7,21,41,223,23,307,10,0,6,9,19,0,46,3,3,21,13,11,3,56,0,0,7,6,18,4,37,24,8,74,44,48,4,197,0,0,15,3,38,3,62,15,10,41,57,105,8,234,34,17,61,19,22,5,162,7,11,31,12,30,0,94,0,0,12,9,23,3,48,0,3,9,12,125,8,162,4,0,14,14,96,15,139,138,69,442,401,1884,130,3059,0,3,9,3,10,0,21,0,0,0,0,4,0,7,0,0,27,24,26,7,80,0,0,0,3,3,0,9,0,0,7,18,29,4,56,3,0,10,10,16,3,38,4,5,35,46,102,8,203,0,0,11,25
2002,0,0,13,5,46,7,69,0,0,0,3,29,0,27,5,0,14,8,155,10,200,5,5,12,4,32,3,52,0,0,8,11,291,11,325,3,0,3,8,46,7,63,5,0,24,23,112,20,181,0,0,4,19,49,3,72,0,3,6,6,69,6,85,0,0,0,5,11,0,15,0,0,4,6,3,0,10,0,0,3,3,11,3,22,4,0,39,17,31,3,94,0,0,3,5,26,5,38,7,7,25,23,36,3,95,11,7,28,14,28,3,97,17,11,40,27,36,7,143,0,0,3,8,7,0,20,0,0,6,8,96,4,114,0,0,5,5,46,17,76,57,36,242,208,1142,112,1803,0,0,8,11,11,6,35,0,0,0,0,0,0,0,3,0,20,7,36,6,78,0,0,6,0,3,0,10,0,0,10,12,18,0,34,0,0,3,3,12,3,19,0,0,12,29,97,16,157,0,0,6,30
2003,6,0,52,36,134,6,245,17,7,45,16,108,3,191,44,25,243,178,1038,69,1603,17,9,39,44,127,9,245,21,18,124,162,2135,68,2535,9,0,46,70,241,12,382,47,19,190,142,539,50,989,32,5,113,110,359,24,642,15,13,72,84,346,46,579,21,6,95,83,170,14,391,18,9,83,100,33,6,251,5,3,51,39,105,9,205,136,50,541,164,164,16,1076,3,8,52,60,137,8,274,57,73,253,259,345,29,1011,298,203,550,123,144,16,1332,234,115,556,185,258,45,1394,14,4,89,41,86,16,251,15,3,48,50,423,22,564,17,6,74,54,280,78,517,1037,594,3328,2008,7164,534,14670,4,4,22,12,29,5,78,4,4,13,7,8,0,32,19,4,131,79,158,22,414,4,3,18,19,12,0,58,6,10,45,63,106,12,236,5,0,31,23,46,0,104,31,29,232,231,545,79,1142,14,12,131,136
2004,7,0,39,34,191,20,284,13,3,55,26,285,5,389,40,23,203,183,1000,56,1497,14,5,57,54,160,5,294,9,7,100,132,2126,61,2435,3,0,36,34,170,16,257,18,13,156,125,589,45,946,9,4,76,82,291,22,493,6,10,52,71,340,47,518,3,4,63,39,103,6,220,31,34,217,123,92,18,508,6,4,30,19,93,4,166,51,45,411,139,122,21,794,7,9,37,43,197,21,310,72,50,201,232,373,34,958,159,148,430,110,121,19,983,179,104,465,200,318,42,1316,14,6,35,24,84,12,172,29,7,44,46,500,19,649,15,5,50,45,306,86,508,680,487,2767,1763,7448,566,13715,0,0,38,17,38,9,106,4,4,25,7,15,0,45,13,7,95,70,225,23,429,6,11,25,13,33,0,94,3,8,47,48,115,9,228,7,5,7,13,39,5,73,17,10,233,202,547,66,1073,10,9,106,110
2005,0,0,3,16,74,14,109,0,0,0,0,11,0,8,6,3,19,26,278,27,364,0,0,0,3,32,0,31,0,0,4,6,214,9,236,0,0,0,3,35,3,48,3,0,11,13,62,3,97,0,3,3,12,36,4,57,0,0,3,3,74,4,87,0,0,3,8,12,3,29,0,0,8,10,5,0,22,0,0,0,5,3,0,5,3,3,28,13,9,3,61,0,0,3,3,26,3,38,3,3,19,22,28,4,87,3,9,34,8,17,3,73,13,6,23,13,39,5,91,0,0,0,3,9,0,20,3,0,4,3,63,3,72,0,0,3,6,45,18,74,37,34,177,188,1070,108,1608,0,0,5,4,5,3,19,0,0,0,0,0,0,0,0,3,18,19,51,11,104,0,0,0,0,3,0,4,0,0,0,5,11,0,15,0,0,3,4,6,0,13,0,0,20,18,61,7,104,0,0,6,13
2006,0,3,33,13,75,16,142,0,0,3,0,18,0,25,7,4,54,47,347,19,474,3,0,8,4,35,0,48,0,0,12,32,454,10,517,0,0,13,8,56,3,80,0,0,17,22,123,10,180,4,0,35,29,131,17,216,0,0,5,18,79,9,110,0,0,3,3,5,0,15,0,0,16,18,7,3,42,0,0,5,3,13,4,24,3,3,51,22,23,0,109,0,0,3,6,38,0,45,3,3,35,42,65,3,152,8,28,90,15,20,0,163,16,12,60,31,39,4,157,0,0,7,7,21,4,44,3,0,9,7,105,3,126,0,0,15,4,88,23,127,58,60,462,323,1739,144,2785,0,3,12,13,10,0,40,0,0,0,0,0,0,3,3,8,21,16,38,9,99,3,0,3,0,6,0,12,0,0,9,8,20,3,36,0,0,10,3,13,0,26,3,5,35,43,129,17,229,3,3,32,51
2007,19,13,91,85,233,32,472,4,3,29,31,131,9,206,181,54,728,585,2541,152,4255,54,21,167,120,342,33,722,50,33,505,564,5870,220,7243,36,16,243,156,514,55,1015,94,35,667,479,1224,120,2618,48,13,325,262,828,63,1535,77,24,284,349,1130,110,1980,26,27,192,108,166,13,525,116,66,491,259,158,32,1113,11,10,122,86,230,29,489,398,125,1418,539,457,70,3006,42,25,184,182,470,33,933,197,141,660,626,915,80,2621,717,372,1266,401,371,70,3202,430,207,1172,406,578,88,2888,34,22,163,123,243,32,621,48,19,173,178,1100,38,1563,56,22,250,211,816,213,1572,2642,1249,9138,5734,18323,1488,38580,9,14,57,53,79,15,224,0,0,15,8,6,3,30,42,24,253,208,378,37,945,24,14,71,77,78,6,267,21,15,155,188,270,16,667,16,17,111,99,150,27,415,76,72,824,823,1360,167,3328,45,24,365,382
2008,0,5,8,10,20,0,50,0,0,3,0,8,0,11,29,0,67,52,197,12,353,3,5,15,3,28,0,57,3,4,51,44,709,23,827,10,8,32,23,48,0,121,6,3,31,34,66,7,147,7,3,17,9,38,0,77,14,14,54,98,165,13,354,3,5,20,13,20,3,57,12,11,52,23,16,9,127,4,3,15,11,30,4,68,48,16,169,47,51,4,340,5,3,15,19,39,6,92,29,19,67,93,84,4,296,59,43,87,26,26,6,244,31,14,57,14,18,4,136,9,6,23,11,17,8,68,7,0,16,10,111,7,140,6,5,39,6,79,21,154,274,150,840,555,1785,126,3731,0,0,11,10,6,5,32,0,0,0,3,0,0,3,6,7,28,29,32,4,109,0,4,6,4,4,0,20,0,3,15,18,25,7,75,0,3,13,9,5,3,40,0,5,37,47,82,5,176,8,3,28,25
2009,8,0,13,27,68,6,130,0,0,3,0,20,0,20,0,0,11,13,93,0,117,4,3,13,17,40,3,82,0,0,9,10,389,10,421,3,0,14,14,83,4,123,0,0,10,18,135,14,179,3,0,0,9,59,4,76,3,0,9,11,91,9,118,0,0,9,8,12,0,33,0,0,10,12,9,3,37,0,0,4,5,12,3,28,9,3,33,9,28,3,85,0,0,3,10,22,4,44,18,11,34,37,75,6,180,6,23,66,18,26,0,140,29,15,55,43,70,11,219,0,0,6,3,17,3,24,0,3,10,9,116,0,137,0,0,9,10,49,17,83,88,55,323,294,1413,107,2281,3,0,10,10,12,3,37,0,0,0,0,3,0,3,0,0,10,5,24,0,43,3,3,9,7,18,0,38,0,0,7,8,23,0,42,0,0,3,10,3,3,19,5,3,30,45,98,10,182,0,0,10,28
2010,387,93,1070,658,1400,213,3817,415,82,884,261,818,70,2523,5589,1286,18221,11181,32982,2506,71767,1486,331,3471,1451,3378,276,10398,2285,691,11893,9814,73206,3170,101061,3186,772,9473,4672,9110,962,28174,4691,977,16441,8962,16005,2017,49094,2421,376,10126,8564,10709,1434,33633,3736,941,11165,9113,16181,2313,43444,3730,943,9521,3548,3500,586,21838,7379,2235,19730,6417,3260,936,39964,1412,385,4637,2399,3960,456,13251,20059,4247,49432,10579,6889,2110,93319,2146,618,7204,4165,7670,936,22745,5842,2600,12941,8196,9616,1048,40248,14767,5533,17851,4250,4031,826,47253,9674,2882,20546,6058,6850,1324,47327,1366,557,5727,2620,3689,480,14443,1828,531,4588,3785,17809,946,29486,3456,705,9436,5214,13673,4783,37266,95866,26776,244363,111904,244739,27391,751038,193,89,821,447,520,131,2198,156,46,451,83,80,19,846,2685,855,9863,5084,5787,1174,25449,775,255,2010,703,726,131,4594,978,380,4163,3208,3586,519,12827,1921,586,6936,3424,3403,577,16846,3632,1259,20462,12703,14356,2736,55153,1996,455,9916,7196
2011,3,0,5,14,33,3,53,0,0,3,6,27,0,39,19,9,78,121,675,34,935,3,3,12,21,101,3,151,3,0,49,96,1309,83,1533,10,4,44,45,209,13,324,23,10,84,83,311,27,541,13,0,25,53,119,14,225,34,11,106,160,617,80,1008,11,4,40,31,46,4,134,25,9,55,50,34,6,172,0,0,14,15,62,4,100,48,13,130,84,87,14,371,9,3,28,49,131,5,219,41,17,99,132,271,30,593,39,40,132,48,60,6,321,33,13,96,64,104,11,312,9,0,29,16,63,7,130,21,3,20,38,359,12,453,8,0,38,54,239,93,426,354,124,1088,1184,4853,444,8041,0,3,4,6,9,0,23,0,0,3,3,0,0,4,11,3,41,50,100,17,224,5,0,9,12,18,0,48,0,3,31,39,67,11,154,5,3,19,25,68,0,134,17,10,105,132,296,42,602,7,3,39,59
2012,9,5,86,90,319,57,567,4,0,11,6,89,3,115,7,4,57,48,411,29,561,3,0,17,22,120,6,172,0,5,19,34,789,33,875,0,4,25,23,153,10,216,9,0,45,49,329,31,460,0,0,31,38,182,15,274,0,0,11,36,234,27,313,0,0,19,5,45,4,78,4,3,29,38,18,0,98,0,0,10,5,46,9,78,13,19,134,46,64,10,289,3,0,17,32,110,8,175,23,12,78,134,170,20,428,34,48,197,69,67,9,423,46,17,161,83,130,14,462,3,0,12,12,39,3,64,0,3,19,29,281,20,352,5,5,19,22,190,63,300,174,132,990,830,3799,372,6295,9,4,45,35,65,23,177,0,0,3,4,6,0,12,0,5,34,34,67,13,157,0,0,8,8,16,3,34,0,0,16,27,39,3,86,0,0,16,12,37,3,77,0,4,65,85,322,63,547,3,3,36,63
2013,0,0,0,3,34,4,41,0,0,0,3,48,7,65,0,0,12,16,172,17,214,0,3,16,41,220,17,306,0,0,3,11,352,12,377,0,0,0,6,27,3,40,0,0,14,13,76,12,112,0,0,10,4,42,3,61,0,0,0,3,66,5,75,0,0,3,4,9,0,20,0,0,3,6,3,0,20,0,0,0,3,17,3,24,7,3,19,16,42,0,85,0,3,3,3,41,4,54,0,4,19,21,51,4,99,5,5,29,23,25,6,92,6,3,15,22,47,7,98,0,0,0,9,8,4,22,0,0,4,11,89,3,109,0,0,3,10,75,16,115,28,25,168,230,1439,125,2014,0,0,3,0,8,0,11,0,0,0,0,0,0,3,0,0,5,3,16,3,29,0,0,11,4,8,0,24,0,0,0,7,19,0,32,0,0,0,3,5,0,8,0,4,12,23,88,14,138,0,0,11,12
2014,0,0,3,7,45,3,65,0,0,0,0,9,0,9,12,3,34,23,304,18,388,0,0,0,3,15,6,26,0,0,0,3,161,3,171,0,0,6,7,21,3,38,0,0,5,7,32,7,49,0,0,4,6,38,6,53,0,0,8,14,96,18,136,0,0,3,0,8,0,11,0,0,0,3,0,0,3,0,0,3,0,11,0,17,3,0,17,6,26,3,53,0,0,3,0,14,0,19,4,3,15,28,22,3,80,6,7,37,4,18,0,73,10,0,25,13,26,6,78,0,0,0,3,11,0,12,0,0,3,6,54,5,67,0,0,0,3,42,13,63,31,22,172,133,945,96,1398,0,3,0,5,9,0,25,0,0,0,0,0,0,0,0,4,8,10,22,7,44,0,0,0,0,0,0,4,0,0,0,0,10,0,11,0,0,3,4,5,0,15,0,0,6,16,56,6,85,0,0,3,10
2015,3,0,8,23,37,8,75,5,3,20,19,104,3,156,0,0,13,14,108,5,139,0,5,4,11,44,0,65,0,0,27,16,284,13,348,0,0,3,8,22,0,32,3,0,13,14,75,11,126,0,0,9,10,77,3,106,3,0,8,13,36,6,64,0,0,5,0,3,0,8,0,0,9,10,11,0,30,0,0,3,0,16,0,22,0,7,41,12,28,4,93,0,0,3,7,20,4,41,25,11,92,103,106,10,350,16,22,45,18,14,3,126,22,13,56,20,37,7,154,3,0,0,0,7,0,11,0,3,8,0,60,3,70,0,0,7,8,56,14,84,93,71,374,327,1160,89,2114,0,0,4,11,14,12,42,0,0,4,0,3,0,7,0,0,7,5,16,3,32,0,0,6,0,3,0,11,0,0,7,14,20,0,45,0,0,3,6,3,3,20,0,0,16,31,75,10,131,0,0,10,12
2016,6,3,44,52,117,25,246,0,0,0,0,16,0,20,18,8,67,105,615,41,853,25,9,56,43,105,5,252,3,3,31,54,878,43,1017,5,0,19,23,96,9,149,10,3,45,54,291,15,425,7,0,18,43,134,20,224,7,3,19,30,184,25,269,4,0,23,18,37,3,92,3,3,31,46,19,4,107,0,0,9,6,43,0,66,25,18,159,75,72,9,349,3,0,16,20,91,13,139,25,19,61,71,116,10,301,42,91,186,52,52,11,427,117,43,212,88,129,27,616,0,0,3,12,38,0,56,3,3,20,44,277,10,364,7,5,21,22,160,70,283,328,216,1044,873,3464,329,6243,8,0,36,25,27,16,109,0,0,0,0,0,0,0,11,8,57,41,84,15,216,7,6,28,22,30,3,95,4,0,24,19,49,3,98,0,0,9,4,24,9,50,4,10,59,91,248,55,474,4,0,35,63
2017,0,0,18,36,65,10,127,0,0,0,0,8,0,11,0,0,3,13,112,20,154,0,0,3,0,19,3,27,0,0,6,7,190,7,211,0,0,5,10,45,6,60,0,0,10,27,68,3,104,0,0,5,13,32,3,61,0,0,3,7,49,3,63,0,0,7,0,10,0,15,0,0,9,10,0,4,22,0,0,3,0,9,0,12,3,3,37,8,14,4,70,0,0,4,4,17,0,24,0,0,17,29,35,0,84,3,13,53,4,22,0,102,11,13,37,20,21,0,101,0,0,3,3,21,0,23,0,0,7,3,75,3,90,0,0,7,4,42,10,61,27,33,229,199,855,84,1433,0,0,10,6,7,3,22,0,0,0,0,0,0,0,0,0,3,3,20,3,39,0,0,0,0,3,0,3,0,0,3,7,11,0,18,0,0,0,3,9,0,16,0,0,18,13,58,10,98,0,0,14,16
2018,0,0,11,9,86,11,128,0,0,17,21,134,7,177,21,4,65,62,531,15,696,20,11,103,107,388,19,642,4,3,30,51,798,30,913,0,0,5,9,74,13,102,5,4,48,45,221,13,345,7,4,15,34,134,11,211,0,3,28,28,149,18,228,4,0,10,10,28,6,58,3,0,22,35,15,0,81,0,0,9,10,41,3,63,13,11,106,52,81,11,274,0,3,5,17,78,10,107,20,13,85,91,135,7,351,37,34,103,25,38,3,240,80,26,152,63,85,12,410,0,0,9,5,23,0,43,5,0,16,20,206,7,252,3,0,21,10,151,52,227,214,126,861,695,3396,265,5557,0,0,7,7,16,6,30,0,0,4,0,0,0,12,0,0,25,19,38,0,87,5,3,26,21,24,0,75,0,0,16,23,31,0,78,0,0,5,3,21,0,33,7,5,52,77,235,28,396,6,3,28,40
2019,0,0,11,10,45,6,73,0,0,0,0,10,0,9,10,7,33,48,233,19,341,0,0,3,3,29,0,41,0,3,8,19,347,11,392,0,0,9,7,39,3,58,0,3,15,28,140,9,200,0,0,8,21,58,3,99,0,0,8,12,74,14,105,0,0,4,8,17,3,30,4,4,5,18,3,0,41,0,0,4,8,20,0,36,11,0,44,14,19,4,96,0,0,8,7,66,7,90,13,3,35,52,83,0,186,17,30,73,18,21,4,167,33,26,97,37,62,10,261,0,3,4,6,19,0,30,0,3,12,16,102,4,136,0,0,6,17,67,19,119,100,80,391,350,1466,120,2508,0,0,5,10,3,0,16,0,0,0,0,0,0,0,4,0,19,25,37,4,82,0,0,0,0,3,0,6,0,0,3,10,14,0,27,0,0,3,5,7,0,19,4,0,31,34,135,6,206,0,0,15,34
2020,13,7,49,58,233,29,383,0,0,3,3,37,0,41,5,9,49,70,414,13,563,12,3,27,17,102,0,159,3,3,27,54,985,39,1114,3,3,15,21,129,5,174,9,0,34,50,154,18,257,0,0,17,22,80,3,117,3,0,8,26,181,16,231,0,7,18,10,30,10,73,3,4,25,27,11,9,77,0,0,8,6,32,3,49,25,15,121,64,56,9,288,0,4,9,18,60,10,102,21,15,70,77,96,17,305,64,56,162,30,53,6,367,38,21,86,43,68,4,262,0,0,5,14,18,3,47,9,3,21,27,227,12,297,4,0,22,23,143,25,217,218,152,772,655,3104,223,5123,7,7,64,41,70,21,206,0,0,0,0,3,0,5,0,3,17,27,70,0,118,0,0,8,0,6,0,19,0,0,14,26,42,3,91,0,3,9,23,18,4,59,5,3,61,67,180,28,339,0,0,28,40
