SUA_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
2010,115,41,26,44,11,130,0,136,59,8662,108,9334,30,86,14,32,0,63,11,366,56,2952,47,3646,17,119,3,35,5,99,13,796,59,1765,28,2938,11,20,0,11,0,114,3,655,49,897,14,1767,66,390,32,100,4,323,39,1429,141,12843,198,15568,74,442,19,195,10,942,43,2292,219,4173,62,8475,251,1329,93,489,39,2375,128,3191,309,31781,517,40508,376,1706,83,1224,87,4474,141,3768,420,12284,191,24756,1135,2691,153,3688,212,5949,230,3423,490,13353,204,31517,3685,2350,212,6385,387,4859,264,2473,373,8789,191,29965,4106,1171,138,5622,317,4247,179,1434,259,2807,68,20348,7101,1140,197,5530,458,3535,204,1117,236,3119,81,22713,23204,1637,441,9639,1041,5615,346,1601,368,4004,114,48006,18930,847,321,6555,811,2061,191,837,158,1885,51,32649,12791,464,206,3289,527,900,103,371,62,1055,30,19805,8315,209,124,1218,308,2038,48,355,93,725,22,13444,15220,1003,314,4446,600,2667,161,1189
2011,0,0,0,0,0,3,0,4,5,61,0,74,0,3,0,0,0,0,0,4,0,24,0,30,0,0,0,0,0,4,0,6,0,25,0,39,0,0,0,0,0,0,0,0,0,3,0,10,0,9,0,0,0,4,0,20,0,166,3,199,0,3,0,4,0,12,0,28,7,61,0,117,7,14,0,11,3,39,0,52,3,542,7,674,8,20,0,13,0,90,3,51,7,145,4,343,15,26,0,46,3,124,3,48,7,180,3,454,68,19,3,126,6,119,0,37,7,81,0,463,70,20,5,92,14,79,4,16,6,19,0,312,140,9,8,77,11,64,6,6,3,18,0,345,347,12,7,134,17,71,3,6,0,19,0,629,193,5,10,61,14,14,0,5,0,4,0,310,108,3,10,31,7,8,0,0,0,4,0,169,47,3,0,7,0,16,0,3,3,0,0,76,34,0,0,26,4,8,0,3
2012,5,3,0,0,0,4,0,0,0,64,0,76,0,3,0,3,0,3,0,9,0,37,0,60,0,0,0,3,0,0,0,7,0,19,0,31,0,0,0,0,0,0,0,11,0,17,0,26,3,7,0,5,0,3,0,20,4,198,9,250,0,9,0,3,0,24,0,24,5,76,0,138,12,37,5,14,4,45,0,44,11,724,15,907,17,25,3,24,3,70,0,61,6,215,3,431,44,40,0,69,9,93,8,51,9,238,4,557,94,32,8,140,13,55,9,31,10,152,0,535,80,13,0,90,3,47,6,15,3,21,0,270,121,24,6,91,15,22,3,10,9,41,3,340,284,21,7,124,16,42,5,12,3,40,3,552,137,8,6,65,5,15,3,4,0,14,0,264,86,6,3,26,4,5,0,0,0,8,0,148,38,0,0,6,0,13,0,0,0,3,0,61,40,5,7,27,0,13,0,3
2013,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,13,0,11,0,0,0,0,0,0,0,3,0,9,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,12,0,90,3,112,0,5,0,0,0,3,0,10,0,25,0,46,3,4,0,0,0,6,0,22,0,290,4,343,0,7,0,17,0,11,0,20,7,79,3,142,3,8,0,14,0,28,0,18,0,76,3,162,20,10,3,27,0,19,3,12,3,39,0,139,25,8,0,22,3,13,0,8,3,13,0,90,29,3,4,23,0,9,0,0,3,12,0,80,59,3,0,39,10,25,0,4,3,10,0,162,32,3,0,28,0,10,0,3,0,3,0,83,21,0,0,13,3,3,0,0,0,0,0,42,6,0,0,3,0,11,0,0,0,3,0,26,8,3,0,10,3,11,0,4
2014,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,3,0,51,0,61,0,3,0,0,0,3,0,8,0,15,0,27,0,7,0,3,0,5,0,16,0,158,0,194,0,5,3,8,0,14,0,17,4,48,3,110,4,14,3,16,0,27,0,15,3,51,0,128,14,4,0,26,0,11,0,6,0,41,0,105,11,3,0,15,0,20,0,3,0,9,0,66,13,11,0,15,9,15,3,5,0,9,0,79,35,4,4,39,4,19,3,0,0,6,3,127,28,7,0,20,6,4,0,0,0,3,0,65,25,0,0,14,3,0,0,0,0,0,0,39,13,0,0,4,0,9,0,3,0,0,0,24,13,0,0,13,0,0,0,0
2015,3,0,0,0,0,0,0,0,0,16,0,23,0,0,0,0,0,0,0,3,0,4,0,9,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,43,0,47,0,0,0,0,0,3,0,6,0,15,0,31,0,3,0,4,0,7,0,22,0,152,3,198,8,4,0,7,0,18,0,17,0,65,0,126,0,11,0,27,0,21,0,13,0,85,0,158,18,10,0,23,5,10,0,12,0,54,0,126,9,6,0,32,0,17,0,7,4,9,0,84,22,6,0,24,0,20,3,9,0,22,0,103,63,3,0,44,0,18,6,7,0,18,0,170,40,5,3,25,4,12,4,3,0,5,0,102,26,0,0,15,3,4,0,3,0,0,0,52,12,0,0,0,0,11,0,0,0,3,0,31,22,3,3,27,4,17,0,0
2016,0,0,0,0,0,0,0,0,0,66,0,68,3,0,0,0,0,0,0,3,0,21,3,35,0,0,0,0,0,3,0,3,0,17,0,25,0,0,0,0,0,0,0,4,0,11,0,14,3,4,0,3,0,5,0,10,0,184,9,222,0,5,0,3,0,12,3,30,0,60,3,131,9,18,4,14,0,28,3,50,9,593,11,732,6,14,0,20,6,55,0,44,13,192,4,347,23,32,4,81,7,87,3,54,10,206,3,510,86,17,3,105,8,61,3,41,3,119,4,453,74,24,5,83,0,42,4,15,4,26,0,281,117,22,0,76,9,31,3,10,3,29,4,307,241,16,3,126,18,37,3,11,0,38,0,506,160,16,3,87,8,22,3,7,3,19,0,320,82,3,0,27,6,7,0,4,0,6,0,130,30,0,0,5,0,11,0,5,3,4,0,54,45,10,3,27,0,10,0,9
2017,0,0,0,0,0,0,0,0,0,11,0,12,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,5,0,5,0,8,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,38,0,47,0,3,0,0,0,8,3,6,0,8,0,29,3,0,0,0,0,8,0,10,3,133,0,168,3,5,0,11,0,12,0,4,0,50,0,89,11,5,0,23,0,13,0,8,0,40,0,120,27,10,0,23,3,8,0,7,0,32,0,112,15,4,0,18,0,0,0,13,0,4,0,57,31,3,0,24,3,9,0,4,0,10,0,85,66,5,3,23,3,4,0,0,0,10,0,113,36,0,0,6,0,3,0,4,0,3,6,63,21,0,0,7,0,0,0,0,0,3,0,34,3,0,0,0,0,5,0,0,0,0,0,5,9,3,0,11,0,9,0,0
2018,0,0,0,3,0,0,0,0,0,43,0,53,3,0,0,0,0,0,0,3,3,16,0,32,0,0,0,0,0,0,0,13,0,6,0,24,0,0,0,0,0,0,0,5,0,14,0,21,0,4,0,0,0,0,0,19,3,170,3,212,0,0,0,3,0,16,0,31,0,67,0,123,3,10,0,4,0,25,5,53,9,508,17,635,4,18,0,16,0,48,0,59,9,177,3,345,9,18,0,53,0,41,3,44,0,166,3,343,44,21,0,75,3,57,5,35,15,130,8,388,46,13,0,55,0,45,0,12,3,25,0,200,66,7,0,71,7,31,0,3,8,33,3,229,185,8,3,117,15,70,7,16,14,37,3,478,122,8,0,79,9,19,3,4,5,11,3,259,88,0,3,53,5,9,0,0,0,11,0,168,40,0,3,8,6,28,0,0,0,6,0,89,64,10,0,41,3,17,0,7
2019,0,0,0,0,0,0,0,0,0,19,0,21,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,0,0,3,5,83,0,93,0,0,0,0,0,5,0,9,0,41,0,56,4,3,0,14,0,16,0,23,3,257,0,325,7,14,0,12,0,22,0,31,3,131,0,222,10,20,3,23,4,31,0,23,3,112,3,242,42,15,4,57,3,23,0,13,0,46,0,208,36,10,3,48,4,13,0,7,3,11,0,140,37,3,0,32,0,7,3,4,0,23,0,119,77,11,4,64,3,17,3,5,4,16,0,193,58,3,0,35,0,6,3,0,0,7,0,110,33,0,0,3,0,0,0,0,0,0,0,46,16,0,0,5,0,3,0,0,0,3,0,26,16,0,0,14,0,3,0,0
2020,3,0,0,0,0,0,0,0,0,49,0,51,3,5,0,0,0,0,0,0,0,29,3,38,0,0,0,0,0,0,0,7,0,14,0,23,0,0,0,0,0,0,0,3,0,12,0,12,0,5,0,3,0,5,0,9,0,159,8,195,0,9,0,3,0,9,0,29,0,54,3,107,4,8,0,17,0,28,6,40,4,507,9,626,18,23,3,20,0,40,0,57,7,192,3,357,22,39,0,42,3,51,4,45,3,192,8,415,53,17,3,75,4,44,3,28,3,91,3,331,44,16,0,55,0,39,3,17,0,25,0,212,84,13,4,57,12,23,3,10,3,29,3,232,162,13,9,102,18,42,0,8,3,37,0,403,104,3,0,63,3,14,5,10,0,15,0,226,63,7,0,27,0,10,3,0,0,3,0,109,30,0,3,7,3,18,0,3,0,8,0,75,54,3,5,36,6,14,0,6
2021,0,0,0,3,0,0,0,0,0,29,6,40,0,0,0,0,0,0,0,0,0,18,4,27,0,0,0,4,0,3,0,9,0,10,0,21,0,0,0,0,0,0,0,3,0,4,0,13,3,0,0,0,0,0,0,12,0,130,3,157,0,5,0,0,0,8,0,20,0,48,3,96,9,12,0,11,0,18,0,54,7,362,11,479,7,19,0,17,0,38,3,52,5,154,0,302,16,34,0,55,3,44,0,34,8,182,6,391,54,25,0,99,3,26,0,20,3,95,4,329,52,13,0,66,3,16,0,15,6,19,0,197,83,16,3,67,7,24,0,10,3,35,0,247,192,13,5,95,9,37,6,19,9,39,0,432,102,11,6,70,8,7,3,3,0,23,0,240,53,3,0,18,3,3,4,3,0,7,0,92,26,0,0,15,0,4,0,0,0,3,0,48,47,3,0,26,0,8,6,3
