SUA_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
2000,986,2201,1557,1100,1468,355,74,7738,121,124,90,56,89,17,12,511,36,58,44,35,57,10,5,239,1530,3454,2706,2078,3049,741,206,13769,50,221,148,108,151,33,8,723,138,343,187,117,116,24,8,936,183,564,339,224,268,59,15,1653,1719,4024,3038,2307,3314,799,218,15424,2913,2840,1451,982,1079,247,67,9579,47,72,55,39,29,3,0,253,4679,6935,4550,3328,4423,1049,283,25246
2001,37,89,52,45,52,17,7,308,5,0,0,4,3,0,0,20,0,3,3,3,0,0,0,7,60,153,107,82,111,45,21,579,3,15,10,3,3,3,0,33,4,13,8,10,0,0,0,35,12,23,18,9,3,3,0,71,71,178,131,89,115,48,20,653,129,114,53,33,37,11,7,387,0,3,0,0,3,0,0,15,208,293,180,125,154,61,28,1051
2002,32,59,44,25,49,5,3,212,0,3,4,6,7,0,0,23,0,3,0,0,3,0,0,10,41,100,69,53,98,18,3,380,4,3,0,3,3,0,0,18,9,12,7,11,3,0,0,39,14,22,6,14,3,0,0,53,51,117,78,60,100,22,3,434,118,92,44,31,49,7,0,336,4,0,0,0,0,0,0,7,173,214,123,93,147,23,3,783
2003,237,469,314,169,291,70,26,1572,30,35,16,19,13,6,0,112,6,8,14,7,11,0,3,41,330,709,533,342,623,199,69,2803,15,72,46,30,22,9,0,183,54,117,54,37,43,5,0,313,76,191,96,63,63,18,3,500,399,896,631,406,684,217,75,3301,682,558,301,209,194,49,18,2010,7,8,0,0,5,0,0,30,1093,1465,931,618,875,267,90,5336
2004,218,471,302,199,269,78,25,1567,45,38,21,20,10,5,3,137,6,7,4,4,4,0,3,36,347,700,501,385,568,194,84,2792,20,57,36,17,30,3,0,163,44,65,46,22,31,6,0,221,65,122,74,40,61,15,0,381,414,822,581,429,626,204,86,3168,678,610,306,182,208,52,14,2062,4,4,8,0,4,0,0,20,1098,1436,898,614,841,259,104,5249
2005,42,41,44,21,47,5,0,204,0,0,3,0,0,0,0,11,0,0,3,0,0,0,0,9,57,65,72,35,79,12,0,318,0,5,4,3,3,3,0,18,3,5,3,0,3,0,0,11,3,4,3,4,4,3,0,29,54,72,74,38,79,16,0,339,105,77,32,33,15,4,0,279,0,0,0,0,0,0,0,0,165,154,113,72,101,19,3,623
2006,44,69,62,30,56,11,3,270,3,3,5,3,0,0,0,10,3,0,0,0,3,0,0,8,72,117,105,65,108,24,3,500,0,3,3,0,3,0,0,7,7,16,3,4,5,0,0,35,9,18,7,4,8,0,0,46,81,132,114,70,118,24,3,549,106,89,46,22,30,8,0,297,3,3,0,0,0,0,0,10,198,226,163,87,149,29,3,855
2007,499,877,657,463,635,221,92,3441,70,46,24,16,47,9,8,216,9,19,16,17,16,9,3,86,770,1456,1137,879,1358,525,230,6355,36,109,67,49,61,14,6,341,72,141,91,40,58,18,8,431,105,248,163,90,121,31,13,764,871,1700,1299,970,1476,556,246,7122,1170,1106,551,409,489,161,69,3953,24,32,16,7,14,6,3,101,2066,2835,1865,1392,1978,717,328,11175
2008,29,68,43,36,54,19,10,260,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,49,97,75,64,106,43,19,454,0,7,3,3,7,0,0,12,0,0,0,0,0,0,0,4,0,3,4,3,4,3,0,19,49,103,76,67,115,48,19,478,23,35,25,14,17,14,4,123,0,0,0,0,0,0,0,6,72,141,104,84,136,56,21,605
2009,23,89,50,36,39,16,0,253,0,3,0,0,0,3,0,5,0,0,4,0,0,0,0,8,42,116,72,61,81,29,3,403,3,7,3,0,5,3,0,16,8,19,5,9,3,0,0,44,6,19,11,11,12,3,0,63,51,137,83,70,89,29,3,465,134,113,51,31,28,4,0,358,3,0,0,0,0,0,0,6,187,257,129,97,118,35,3,832
