SUA_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
2000,269945,269698,539642,13010,13892,26905,1512,1567,3082,18617,19623,38237,1164,1116,2278,442,403,844,497,523,1024,170,180,346,310,286,592,103,78,181,6,3,11,22816,23774,46589,1548,1670,3216,666,620,1284,38042,39957,78000,34114,30783,64895,342101,340438,682535
2001,8002,8285,16285,423,507,932,14,21,37,570,616,1185,14,11,24,3,0,5,13,15,29,7,11,16,3,6,10,0,0,0,0,0,0,631,675,1305,31,39,72,19,24,38,1111,1247,2358,711,761,1475,9820,10294,20115
2002,5102,5716,10818,439,539,979,38,55,94,373,400,773,31,44,79,14,12,26,9,13,24,0,0,0,7,5,10,3,5,10,0,0,0,475,533,1007,18,16,38,21,18,32,956,1105,2060,751,915,1664,6812,7736,14548
2003,35998,38917,74912,1714,1866,3577,122,125,250,4809,5422,10230,150,175,322,69,82,153,70,57,122,32,35,67,24,37,61,17,19,34,0,0,0,5296,5945,11240,308,326,636,86,83,166,7403,8212,15622,3852,4234,8089,47260,51362,98618
2004,34491,36727,71217,1378,1583,2969,196,202,396,4255,4869,9125,139,136,278,70,81,151,60,64,120,37,45,83,31,31,69,15,13,24,0,0,0,4805,5444,10246,238,322,554,87,66,150,6512,7411,13926,3915,4163,8085,44920,48306,93226
2005,4669,4879,9549,434,420,854,12,17,28,252,316,570,15,12,30,12,8,16,4,5,5,3,0,3,6,9,11,0,0,0,0,0,0,305,364,670,18,23,39,12,4,14,758,819,1576,486,498,986,5910,6195,12107
2006,7532,8091,15626,534,600,1136,153,164,314,519,595,1118,40,43,78,10,13,22,19,10,28,3,3,7,8,10,14,0,3,5,0,0,0,739,838,1579,34,47,77,23,27,48,1335,1516,2854,839,914,1757,9711,10525,20233
2007,90919,97032,187954,4811,5277,10084,334,369,705,10053,11090,21148,348,351,703,119,129,251,187,180,370,54,70,129,81,82,163,55,62,115,0,0,0,11240,12339,23576,1190,1155,2345,209,215,421,17447,18973,36423,10269,9977,20248,118630,125991,244619
2008,8167,8305,16466,317,336,652,30,36,68,600,632,1233,32,22,51,3,3,12,14,5,16,0,0,3,7,3,3,5,9,14,0,0,0,688,705,1388,38,45,80,16,18,32,1060,1095,2153,659,686,1342,9882,10084,19965
2009,6090,6496,12581,614,775,1392,11,14,26,297,349,646,21,20,36,26,31,56,15,12,30,3,0,3,8,10,15,0,0,0,0,0,0,388,436,826,27,32,62,14,24,39,1041,1275,2316,577,594,1172,7704,8360,16062
2010,1611892,1683132,3295019,48166,49663,97831,8172,8102,16273,193852,199784,393631,6005,6157,12163,2696,2645,5343,3661,3467,7128,1036,1157,2190,829,819,1644,1120,1243,2361,36,21,61,217407,223383,440790,49709,55897,105606,3766,3389,7154,319053,332332,651386,161389,162190,323579,2092330,2177654,4269982
2011,22166,22971,45131,778,865,1641,113,118,232,2783,2943,5722,82,88,170,35,44,74,42,39,86,18,13,37,13,10,29,0,0,3,0,0,0,3093,3258,6351,238,296,529,72,55,124,4174,4467,8637,2520,2579,5096,28852,30018,58874
2012,18334,19233,37570,953,999,1949,276,296,566,1527,1716,3239,72,60,130,160,155,307,47,43,98,5,4,11,26,30,57,3,3,8,0,0,0,2119,2304,4427,247,212,463,110,95,204,3434,3615,7042,2518,2494,5005,24283,25331,49617
2013,6299,6656,12950,453,541,990,5,14,21,346,382,729,17,26,45,0,0,0,12,5,18,0,3,7,8,4,12,3,0,4,0,0,0,399,444,843,18,31,43,12,10,22,881,1026,1904,747,758,1509,7926,8433,16367
2014,4217,4290,8507,303,333,643,17,17,31,176,193,368,15,13,31,19,32,48,7,7,20,6,7,14,3,5,4,3,0,3,0,0,0,242,274,520,7,9,22,9,11,17,564,628,1199,485,481,968,5269,5401,10667
2015,5285,5680,10968,466,576,1044,53,56,106,337,367,704,27,33,61,15,13,34,24,24,48,3,4,9,12,11,28,9,13,19,0,0,0,481,520,1002,46,45,85,17,20,36,1003,1166,2170,660,676,1342,6954,7528,14479
2016,18288,18937,37221,1089,1193,2287,101,102,203,1590,1722,3317,89,92,177,26,23,57,31,19,47,17,19,34,17,18,41,7,5,5,0,0,0,1881,1998,3879,244,298,542,41,43,87,3256,3537,6797,2442,2546,4991,23992,25024,49015
2017,3911,4192,8100,369,420,796,45,42,80,219,199,421,9,9,23,7,13,17,0,0,3,0,4,4,3,4,7,0,0,0,0,0,0,294,270,556,31,18,50,15,9,25,705,717,1426,616,614,1234,5236,5530,10764
2018,14888,15656,30542,1184,1369,2546,52,50,99,978,1104,2084,66,58,128,17,12,34,27,25,57,14,11,22,13,5,17,0,0,4,0,0,0,1166,1286,2444,84,96,176,46,39,88,2478,2784,5256,2071,2234,4303,19437,20676,40109
2019,6798,7611,14410,639,715,1355,46,53,103,365,446,808,26,30,56,4,0,6,10,11,21,0,0,3,9,8,16,0,3,4,0,0,0,464,554,1019,35,46,78,17,15,35,1155,1334,2487,732,881,1612,8687,9824,18514
2020,12742,13633,26368,830,927,1757,40,53,93,1366,1546,2911,57,64,126,11,19,35,27,28,53,10,10,24,8,3,7,6,10,13,0,0,0,1525,1730,3253,57,70,124,38,29,67,2448,2758,5208,1410,1544,2960,16597,17932,34535
2021,12329,13341,25672,767,828,1597,33,46,78,1139,1319,2460,50,59,108,33,45,75,33,36,68,9,15,19,16,18,35,3,5,6,0,0,0,1318,1541,2855,207,141,347,31,29,66,2326,2539,4861,1488,1590,3081,16139,17477,33616
